# Weather station Khargone, India, WMO_ID=42849,selection from 08.12.2015 till 31.12.2017, all days
# Encoding: UTF-8
# The data is provided by the website "Reliable Prognosis", rp5.ru 
# If you use the data, please indicate the name of the website.
# For meteorological parameters see the address http://rp5.ru/archive.php?wmo_id=42849&lang=en
#
"Local time in Khargone";"T";"Po";"P";"Pa";"U";"DD";"Ff";"ff10";"ff3";"N";"WW";"W1";"W2";"Tn";"Tx";"Cl";"Nh";"H";"Cm";"Ch";"VV";"Td";"RRR";"tR";"E";"Tg";"E'";"sss"
"17.11.2017 17:30";"28.4";"735.7";"757.0";"";"51";"Wind blowing from the north-west";"3";"";"";"50%.";" ";"";"";"";"29.8";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"50%.";"2500 or more, or no clouds.";"Patches (often lenticular) of Altocumulus translucidus, continually changing and occurring at one or more levels.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"17.3";"";"";"";"";"";"";
"17.11.2017 08:30";"19.4";"738.3";"760.3";"";"69";"Calm, no wind";"0";"";"";"90  or more, but not 100%";" ";"";"";"13.5";"";"Stratus fractus or Cumulus fractus of bad weather, or both (pannus), usually below Altostratus or Nimbostratus.";"50%.";"2500 or more, or no clouds.";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"13.5";"";"";"";"";"";"";
"16.11.2017 17:30";"27.4";"735.8";"757.2";"";"51";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"30.9";"";"";"";"";"";"4.0";"16.5";"";"";"";"";"";"";
"16.11.2017 08:30";"17.6";"737.5";"759.7";"";"71";"Wind blowing from the south";"1";"";"";"no clouds";" ";"";"";"12.1";"";"";"";"";"";"";"4.0";"12.2";"";"";"";"";"";"";
"15.11.2017 17:30";"27.8";"735.0";"756.3";"";"48";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"30.9";"";"";"";"";"";"4.0";"15.8";"";"";"";"";"";"";
"15.11.2017 08:30";"19.4";"738.3";"760.3";"";"70";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"12.9";"";"";"";"";"";"";"4.0";"13.8";"";"";"";"";"";"";
"14.11.2017 17:30";"27.8";"734.2";"755.5";"";"49";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"30.9";"";"";"";"";"";"4.0";"16.2";"";"";"";"";"";"";
"14.11.2017 08:30";"18.0";"737.1";"759.2";"";"71";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"11.4";"";"";"";"";"";"";"4.0";"12.6";"";"";"";"";"";"";
"13.11.2017 17:30";"28.0";"733.3";"754.6";"";"41";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"31.2";"";"";"";"";"";"4.0";"13.6";"";"";"";"";"";"";
"13.11.2017 08:30";"18.4";"737.6";"759.7";"";"63";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"11.4";"";"";"";"";"";"";"4.0";"11.1";"";"";"";"";"";"";
