# Weather station Sidhi, India, WMO_ID=42577,selection from 07.12.2015 till 31.12.2017, all days
# Encoding: UTF-8
# The data is provided by the website "Reliable Prognosis", rp5.ru 
# If you use the data, please indicate the name of the website.
# For meteorological parameters see the address http://rp5.ru/archive.php?wmo_id=42577&lang=en
#
"Local time in Sidhi";"T";"Po";"P";"Pa";"U";"DD";"Ff";"ff10";"ff3";"N";"WW";"W1";"W2";"Tn";"Tx";"Cl";"Nh";"H";"Cm";"Ch";"VV";"Td";"RRR";"tR";"E";"Tg";"E'";"sss"
"29.12.2016 17:30";"22.6";"737.0";"760.0";"";"50";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"24.8";"";"";"";"";"";"4.0";"11.6";"";"";"";"";"";"";
"29.12.2016 08:30";"10.8";"739.6";"763.6";"";"80";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"9.2";"";"";"";"";"";"";"4.0";"7.5";"";"";"";"";"";"";
"28.12.2016 17:30";"23.2";"736.3";"759.2";"";"36";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"24.6";"";"";"";"";"";"4.0";"7.1";"";"";"";"";"";"";
"28.12.2016 08:30";"12.6";"739.0";"762.9";"";"81";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"10.0";"";"";"";"";"";"";"4.0";"9.4";"";"";"";"";"";"";
"27.12.2016 17:30";"23.6";"736.6";"759.5";"";"48";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"24.6";"";"";"";"";"";"4.0";"12.0";"";"";"";"";"";"";
"27.12.2016 08:30";"12.6";"740.3";"764.2";"";"86";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"11.4";"";"";"";"";"";"";"4.0";"10.3";"";"";"";"";"";"";
"26.12.2016 17:30";"22.2";"737.0";"760.0";"";"45";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"27.6";"";"";"";"";"";"4.0";"9.7";"";"";"";"";"";"";
"26.12.2016 08:30";"12.6";"738.1";"761.9";"";"75";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"11.8";"";"";"";"";"";"";"4.0";"8.2";"";"";"";"";"";"";
"25.12.2016 17:30";"26.2";"735.4";"758.1";"";"44";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"27.6";"";"";"";"";"";"4.0";"12.9";"";"";"";"";"";"";
"25.12.2016 08:30";"10.8";"736.5";"760.5";"";"88";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"9.6";"";"";"";"";"";"";"4.0";"8.8";"";"";"";"";"";"";
"24.12.2016 17:30";"24.2";"734.8";"757.6";"";"53";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"25.2";"";"";"";"";"";"4.0";"14.0";"";"";"";"";"";"";
"24.12.2016 08:30";"11.2";"736.7";"760.6";"";"88";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"10.0";"";"";"";"";"";"";"4.0";"9.2";"";"";"";"";"";"";
"23.12.2016 17:30";"22.8";"735.4";"758.3";"";"47";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"23.8";"";"";"";"";"";"4.0";"10.9";"";"";"";"";"";"";
"23.12.2016 08:30";"10.0";"737.8";"761.9";"";"82";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"8.6";"";"";"";"";"";"";"4.0";"7.1";"";"";"";"";"";"";
"22.12.2016 17:30";"22.4";"736.3";"759.3";"";"37";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"24.0";"";"";"";"";"";"4.0";"6.9";"";"";"";"";"";"";
"22.12.2016 08:30";"10.6";"738.2";"762.2";"";"80";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"9.2";"";"";"";"";"";"";"4.0";"7.3";"";"";"";"";"";"";
"21.12.2016 17:30";"23.8";"737.1";"760.0";"";"27";"Wind blowing from the west";"1";"";"";"no clouds";" ";"";"";"";"25.4";"";"";"";"";"";"4.0";"3.9";"";"";"";"";"";"";
"21.12.2016 08:30";"13.4";"739.2";"763.0";"";"67";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"9.2";"";"";"";"";"";"";"4.0";"7.3";"";"";"";"";"";"";
"20.12.2016 17:30";"23.6";"737.1";"760.0";"";"43";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"24.6";"";"";"";"";"";"4.0";"10.2";"";"";"";"";"";"";
"20.12.2016 08:30";"11.0";"";"762.4";"";"80";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"9.2";"";"";"";"";"";"";"4.0";"7.7";"";"";"";"";"";"";
"19.12.2016 17:30";"22.0";"";"760.7";"";"46";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"23.6";"";"";"";"";"";"4.0";"9.9";"";"";"";"";"";"";
"19.12.2016 08:30";"10.4";"";"764.5";"";"80";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"8.6";"";"";"";"";"";"";"4.0";"7.0";"";"";"";"";"";"";
"18.12.2016 17:30";"23.2";"";"761.2";"";"37";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"23.8";"";"";"";"";"";"4.0";"7.6";"";"";"";"";"";"";
"18.12.2016 08:30";"10.2";"";"764.4";"";"78";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"8.4";"";"";"";"";"";"";"4.0";"6.4";"";"";"";"";"";"";
"17.12.2016 17:30";"22.8";"";"760.0";"";"32";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"23.8";"";"";"";"";"";"4.0";"5.3";"";"";"";"";"";"";
"17.12.2016 08:30";"11.4";"";"763.9";"";"76";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"9.0";"";"";"";"";"";"";"4.0";"7.3";"";"";"";"";"";"";
"16.12.2016 17:30";"22.6";"";"760.7";"";"37";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"24.8";"";"";"";"";"";"4.0";"7.2";"";"";"";"";"";"";
"16.12.2016 08:30";"12.0";"";"764.1";"";"79";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"10.6";"";"";"";"";"";"";"4.0";"8.4";"";"";"";"";"";"";
"15.12.2016 17:30";"24.0";"";"759.8";"";"38";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"26.0";"";"";"";"";"";"4.0";"8.8";"";"";"";"";"";"";
"15.12.2016 08:30";"13.6";"";"762.9";"";"77";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"11.2";"";"";"";"";"";"";"4.0";"9.7";"";"";"";"";"";"";
"14.12.2016 17:30";"24.8";"";"759.5";"";"41";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"27.0";"";"";"";"";"";"4.0";"10.5";"";"";"";"";"";"";
"14.12.2016 08:30";"12.0";"";"763.0";"";"83";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"11.0";"";"";"";"";"";"";"4.0";"9.2";"";"";"";"";"";"";
"13.12.2016 17:30";"24.2";"";"759.1";"";"34";"Calm, no wind";"0";"";"";"60%.";" ";"";"";"";"27.2";"Stratocumulus other than Stratocumulus cumulogenitus.";"50%.";"600-1000";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"7.5";"";"";"";"";"";"";
"13.12.2016 08:30";"13.2";"";"761.5";"";"88";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"12.2";"";"";"";"";"";"";"4.0";"11.3";"";"";"";"";"";"";
"12.12.2016 17:30";"25.8";"";"759.0";"";"41";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"28.2";"";"";"";"";"";"4.0";"11.4";"";"";"";"";"";"";
"12.12.2016 08:30";"14.0";"";"760.1";"";"78";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"11.4";"";"";"";"";"";"";"4.0";"10.2";"";"";"";"";"";"";
"11.12.2016 17:30";"26.2";"";"759.0";"";"39";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"27.6";"";"";"";"";"";"4.0";"11.0";"";"";"";"";"";"";
"11.12.2016 08:30";"11.8";"";"760.7";"";"88";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"10.4";"";"";"";"";"";"";"4.0";"9.8";"";"";"";"";"";"";
"26.10.2016 08:30";"19.0";"735.4";"758.6";"";"79";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"18.0";"";"";"";"";"";"";"4.0";"15.3";"";"";"";"";"";"";
"25.10.2016 17:30";"30.2";"732.3";"754.6";"";"35";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"32.8";"";"";"";"";"";"4.0";"13.1";"";"";"";"";"";"";
"25.10.2016 08:30";"20.0";"734.0";"757.1";"";"71";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"18.2";"";"";"";"";"";"";"4.0";"14.5";"";"";"";"";"";"";
"24.10.2016 08:30";"19.0";"734.1";"757.3";"";"79";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"18.0";"";"";"";"";"";"";"4.0";"15.3";"";"";"";"";"";"";
"23.10.2016 17:30";"30.2";"732.4";"754.7";"";"30";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"33.0";"";"";"";"";"";"4.0";"10.7";"";"";"";"";"";"";
"23.10.2016 08:30";"20.6";"735.4";"758.5";"";"69";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"19.5";"";"";"";"";"";"";"4.0";"14.6";"";"";"";"";"";"";
"22.10.2016 17:30";"30.6";"732.7";"754.9";"";"38";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"33.0";"";"";"";"";"";"4.0";"14.6";"";"";"";"";"";"";
"22.10.2016 08:30";"19.8";"735.3";"758.5";"";"83";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"18.8";"";"";"";"";"";"";"4.0";"16.8";"";"";"";"";"";"";
"21.10.2016 17:30";"30.6";"732.4";"754.6";"";"34";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"32.8";"";"";"";"";"";"4.0";"13.2";"";"";"";"";"";"";
"21.10.2016 08:30";"20.2";"734.8";"757.9";"";"78";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"18.6";"";"";"";"";"";"";"4.0";"16.2";"";"";"";"";"";"";
"20.10.2016 08:30";"19.6";"733.3";"756.4";"";"85";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"18.8";"";"";"";"";"";"";"4.0";"17.0";"";"";"";"";"";"";
"19.10.2016 08:30";"18.0";"734.7";"758.0";"";"96";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"17.8";"";"";"";"";"";"";"4.0";"17.3";"";"";"";"";"";"";
"18.10.2016 17:30";"30.4";"732.4";"754.7";"";"35";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"32.6";"";"";"";"";"";"4.0";"13.4";"";"";"";"";"";"";
"18.10.2016 08:30";"19.4";"734.0";"757.2";"";"83";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"18.6";"";"";"";"";"";"";"4.0";"16.4";"";"";"";"";"";"";
"17.10.2016 17:30";"30.2";"733.1";"755.4";"";"39";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"32.8";"";"";"";"";"";"4.0";"14.9";"";"";"";"";"";"";
"17.10.2016 08:30";"20.8";"735.4";"758.5";"";"78";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"19.2";"";"";"";"";"";"";"4.0";"16.9";"";"";"";"";"";"";
"16.10.2016 08:30";"20.2";"736.3";"759.5";"";"84";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"18.4";"";"";"";"";"";"";"4.0";"17.3";"";"";"";"";"";"";
"15.10.2016 17:30";"30.2";"733.1";"755.4";"";"37";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"33.2";"";"";"";"";"";"4.0";"14.0";"";"";"";"";"";"";
"15.10.2016 08:30";"20.0";"735.3";"758.5";"";"74";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"18.4";"";"";"";"";"";"";"4.0";"15.3";"";"";"";"";"";"";
"14.10.2016 17:30";"30.6";"732.1";"754.3";"";"31";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"32.6";"";"";"";"";"";"4.0";"11.8";"";"";"";"";"";"";
"14.10.2016 08:30";"21.4";"735.2";"758.2";"";"84";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"19.6";"";"";"";"";"";"";"4.0";"18.5";"";"";"";"";"";"";
"13.10.2016 17:30";"30.4";"732.2";"754.4";"";"47";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"32.4";"";"";"";"";"";"4.0";"17.9";"";"";"";"";"";"";
"12.10.2016 08:30";"23.4";"732.4";"755.2";"";"83";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"22.0";"";"";"";"";"";"";"4.0";"20.3";"";"";"";"";"";"";
"11.10.2016 17:30";"31.0";"730.6";"752.8";"";"58";"Calm, no wind";"0";"";"";"60%.";" ";"";"";"";"32.8";"Stratocumulus other than Stratocumulus cumulogenitus.";"50%.";"600-1000";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"21.9";"";"";"";"";"";"";
"11.10.2016 08:30";"24.4";"732.2";"754.9";"";"88";"Calm, no wind";"0";"";"";"60%.";" ";"";"";"23.4";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"50%.";"600-1000";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"22.3";"";"";"";"";"";"";
"10.10.2016 17:30";"30.4";"729.9";"752.1";"";"58";"Calm, no wind";"0";"";"";"60%.";" ";"";"";"";"31.6";"Stratocumulus other than Stratocumulus cumulogenitus.";"50%.";"600-1000";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"21.2";"";"";"";"";"";"";
"10.10.2016 08:30";"25.4";"732.3";"754.9";"";"91";"Calm, no wind";"0";"";"";"60%.";" ";"";"";"24.6";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"50%.";"600-1000";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"23.9";"";"";"";"";"";"";
"09.10.2016 08:30";"25.2";"732.9";"755.6";"";"90";"Calm, no wind";"0";"";"";"100%.";" ";"";"";"24.4";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"60%.";"600-1000";"Altocumulus translucidus at a single level.";"";"4.0";"23.4";"";"";"";"";"";"";
"08.10.2016 17:30";"30.8";"731.9";"754.1";"";"67";"Calm, no wind";"0";"";"";"100%.";" ";"";"";"";"32.8";"Stratocumulus other than Stratocumulus cumulogenitus.";"60%.";"600-1000";"Altocumulus translucidus at a single level.";"";"4.0";"23.9";"";"";"";"";"";"";
"08.10.2016 08:30";"25.4";"732.9";"755.5";"";"88";"Calm, no wind";"0";"";"";"100%.";" ";"";"";"24.6";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"60%.";"600-1000";"Altocumulus translucidus at a single level.";"";"4.0";"23.3";"";"";"";"";"";"";
"07.10.2016 17:30";"31.0";"731.3";"753.5";"";"67";"Calm, no wind";"0";"";"";"60%.";" ";"";"";"";"32.6";"Stratocumulus other than Stratocumulus cumulogenitus.";"50%.";"600-1000";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"24.1";"";"";"";"";"";"";
"07.10.2016 08:30";"26.0";"732.0";"754.6";"";"92";"Calm, no wind";"0";"";"";"60%.";" ";"";"";"24.6";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"50%.";"600-1000";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"24.6";"";"";"";"";"";"";
"06.10.2016 08:30";"27.0";"732.1";"754.6";"";"90";"Calm, no wind";"0";"";"";"100%.";" ";"";"";"25.8";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"60%.";"600-1000";"Altocumulus translucidus at a single level.";"";"4.0";"25.3";"";"";"";"";"";"";
"05.10.2016 17:30";"33.4";"728.3";"750.2";"";"63";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"33.6";"";"";"";"";"";"4.0";"25.5";"";"";"";"";"";"";
"05.10.2016 08:30";"27.0";"732.2";"754.7";"";"87";"Calm, no wind";"0";"";"";"60%.";" ";"";"";"26.0";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"50%.";"600-1000";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"24.7";"";"";"";"";"";"";
"04.10.2016 17:30";"31.4";"729.0";"751.1";"";"71";"Calm, no wind";"0";"";"";"100%.";" ";"";"";"";"33.0";"Stratocumulus other than Stratocumulus cumulogenitus.";"60%.";"600-1000";"Altocumulus translucidus at a single level.";"";"4.0";"25.5";"";"";"";"";"";"";
"04.10.2016 08:30";"27.2";"732.4";"754.9";"";"89";"Calm, no wind";"0";"";"";"100%.";" ";"";"";"26.2";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"60%.";"600-1000";"Altocumulus translucidus at a single level.";"";"4.0";"25.2";"";"";"";"";"";"";
"03.10.2016 17:30";"32.0";"730.4";"752.5";"";"64";"Calm, no wind";"0";"";"";"40%.";" ";"";"";"";"33.6";"Cumulus humilis or Cumulus fractus other than of bad weather, or both.";"20–30%.";"600-1000";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"24.3";"";"";"";"";"";"";
"03.10.2016 08:30";"26.6";"733.5";"756.1";"";"92";"Calm, no wind";"0";"";"";"60%.";" ";"";"";"25.4";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"50%.";"600-1000";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"25.2";"";"";"";"";"";"";
"02.10.2016 17:30";"30.8";"731.3";"753.5";"";"69";"Calm, no wind";"0";"";"";"60%.";" ";"";"";"";"33.6";"Stratocumulus other than Stratocumulus cumulogenitus.";"50%.";"600-1000";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"24.5";"";"";"";"";"";"";
"02.10.2016 08:30";"27.0";"733.7";"756.3";"";"89";"Calm, no wind";"0";"";"";"60%.";" ";"";"";"25.6";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"50%.";"600-1000";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"25.0";"";"";"";"";"";"";
"01.10.2016 17:30";"31.4";"730.1";"752.2";"";"66";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"33.4";"";"";"";"";"";"4.0";"24.3";"";"";"";"";"";"";
"01.10.2016 08:30";"25.6";"732.3";"754.9";"";"91";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"24.4";"";"";"";"";"";"";"4.0";"24.1";"";"";"";"";"";"";
"30.09.2016 17:30";"30.4";"728.7";"750.8";"";"70";"Calm, no wind";"0";"";"";"100%.";" ";"";"";"";"30.8";"Stratocumulus other than Stratocumulus cumulogenitus.";"60%.";"600-1000";"Altocumulus translucidus at a single level.";"";"4.0";"24.4";"";"";"";"";"";"";
"30.09.2016 08:30";"25.8";"730.1";"752.6";"";"90";"Calm, no wind";"0";"";"";"60%.";" ";"";"";"24.6";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"50%.";"600-1000";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"24.1";"";"";"";"";"";"";
"29.09.2016 17:30";"27.6";"728.6";"750.9";"";"89";"Calm, no wind";"0";"";"";"100%.";" ";"";"";"";"28.6";"Stratocumulus other than Stratocumulus cumulogenitus.";"60%.";"600-1000";"Altocumulus translucidus at a single level.";"";"4.0";"25.6";"";"";"";"";"";"";
"29.09.2016 08:30";"25.4";"731.6";"754.2";"";"91";"Calm, no wind";"0";"";"";"100%.";" ";"";"";"24.2";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"60%.";"600-1000";"Altocumulus translucidus at a single level.";"";"4.0";"23.9";"";"";"";"";"";"";
"28.09.2016 08:30";"25.0";"731.5";"754.1";"";"95";"Calm, no wind";"0";"";"";"100%.";" ";"";"";"23.6";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"60%.";"600-1000";"Altocumulus translucidus at a single level.";"";"4.0";"24.1";"";"";"";"";"";"";
"27.09.2016 17:30";"26.6";"729.3";"751.7";"";"90";"Calm, no wind";"0";"";"";"100%.";" ";"";"";"";"29.8";"Stratocumulus other than Stratocumulus cumulogenitus.";"60%.";"600-1000";"Altocumulus translucidus at a single level.";"";"4.0";"24.9";"";"";"";"";"";"";
"27.09.2016 08:30";"24.8";"732.2";"754.9";"";"93";"Calm, no wind";"0";"";"";"100%.";" ";"";"";"23.4";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"60%.";"600-1000";"Altocumulus translucidus at a single level.";"";"4.0";"23.6";"";"";"";"";"";"";
"26.09.2016 08:30";"25.2";"731.5";"754.1";"";"93";"Calm, no wind";"0";"";"";"100%.";" ";"";"";"24.0";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"60%.";"600-1000";"Altocumulus translucidus at a single level.";"";"4.0";"24.0";"";"";"";"";"";"";
"25.09.2016 17:30";"29.6";"728.4";"750.6";"";"71";"Calm, no wind";"0";"";"";"100%.";" ";"";"";"";"30.6";"Stratocumulus other than Stratocumulus cumulogenitus.";"60%.";"600-1000";"Altocumulus translucidus at a single level.";"";"4.0";"23.8";"";"";"";"";"";"";
"25.09.2016 08:30";"25.4";"730.0";"752.6";"";"93";"Calm, no wind";"0";"";"";"100%.";" ";"";"";"23.4";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"60%.";"600-1000";"Altocumulus translucidus at a single level.";"";"4.0";"24.2";"";"";"";"";"";"";
"24.09.2016 17:30";"25.4";"727.6";"750.1";"";"90";"Calm, no wind";"0";"";"";"100%.";" ";"";"";"";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"60%.";"600-1000";"Altocumulus translucidus at a single level.";"";"4.0";"23.7";"";"";"";"";"";"";
"24.09.2016 08:30";"26.8";"729.1";"751.5";"";"90";"Calm, no wind";"0";"";"";"60%.";" ";"";"";"25.4";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"50%.";"600-1000";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"25.1";"";"";"";"";"";"";
"23.09.2016 17:30";"31.4";"728.3";"750.4";"";"67";"Calm, no wind";"0";"";"";"60%.";" ";"";"";"";"33.0";"Stratocumulus other than Stratocumulus cumulogenitus.";"50%.";"600-1000";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"24.6";"";"";"";"";"";"";
"23.09.2016 08:30";"26.0";"731.3";"753.9";"";"95";"Calm, no wind";"0";"";"";"60%.";" ";"";"";"25.2";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"50%.";"600-1000";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"25.1";"";"";"";"";"";"";
"22.09.2016 17:30";"30.2";"731.2";"753.4";"";"73";"Calm, no wind";"0";"";"";"100%.";" ";"";"";"";"33.0";"Stratocumulus other than Stratocumulus cumulogenitus.";"60%.";"600-1000";"Altocumulus translucidus at a single level.";"";"4.0";"24.8";"";"";"";"";"";"";
"22.09.2016 08:30";"25.4";"733.0";"755.7";"";"91";"Calm, no wind";"0";"";"";"100%.";" ";"";"";"24.0";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"60%.";"600-1000";"Altocumulus translucidus at a single level.";"";"4.0";"23.9";"";"";"";"";"";"";
"21.09.2016 08:30";"26.8";"732.3";"754.8";"";"83";"Calm, no wind";"0";"";"";"100%.";" ";"";"";"25.0";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"60%.";"600-1000";"Altocumulus translucidus at a single level.";"";"4.0";"23.6";"";"";"";"";"";"";
"20.09.2016 17:30";"31.2";"728.2";"750.3";"";"68";"Calm, no wind";"0";"";"";"100%.";" ";"";"";"";"34.6";"Stratocumulus other than Stratocumulus cumulogenitus.";"60%.";"600-1000";"Altocumulus translucidus at a single level.";"";"4.0";"24.6";"";"";"";"";"";"";
"20.09.2016 08:30";"27.2";"731.4";"753.9";"";"87";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"26.0";"";"";"";"";"";"";"4.0";"24.9";"";"";"";"";"";"";
"19.09.2016 17:30";"31.0";"728.3";"750.4";"";"64";"Calm, no wind";"0";"";"";"60%.";" ";"";"";"";"33.4";"Stratocumulus other than Stratocumulus cumulogenitus.";"50%.";"600-1000";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"23.5";"";"";"";"";"";"";
"19.09.2016 08:30";"26.6";"732.1";"754.6";"";"90";"Calm, no wind";"0";"";"";"60%.";" ";"";"";"25.4";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"50%.";"600-1000";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"24.9";"";"";"";"";"";"";
"18.09.2016 17:30";"31.6";"729.0";"751.1";"";"67";"Calm, no wind";"0";"";"";"60%.";" ";"";"";"";"32.4";"Stratocumulus other than Stratocumulus cumulogenitus.";"50%.";"600-1000";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"24.8";"";"";"";"";"";"";
"18.09.2016 08:30";"27.0";"732.1";"754.6";"";"90";"Calm, no wind";"0";"";"";"100%.";" ";"";"";"25.4";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"60%.";"600-1000";"Altocumulus translucidus at a single level.";"";"4.0";"25.3";"";"";"";"";"";"";
"17.09.2016 17:30";"33.4";"727.6";"749.5";"";"60";"Calm, no wind";"0";"";"";"100%.";" ";"";"";"";"34.6";"Stratocumulus other than Stratocumulus cumulogenitus.";"60%.";"600-1000";"Altocumulus translucidus at a single level.";"";"4.0";"24.6";"";"";"";"";"";"";
"17.09.2016 08:30";"27.4";"730.2";"752.6";"";"89";"Calm, no wind";"0";"";"";"60%.";" ";"";"";"25.6";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"50%.";"600-1000";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"25.4";"";"";"";"";"";"";
"16.09.2016 17:30";"31.2";"728.3";"750.4";"";"67";"Wind blowing from the west";"1";"";"";"100%.";" ";"";"";"";"33.4";"Stratocumulus other than Stratocumulus cumulogenitus.";"60%.";"600-1000";"Altocumulus translucidus at a single level.";"";"4.0";"24.3";"";"";"";"";"";"";
"16.09.2016 08:30";"26.4";"730.8";"753.3";"";"92";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"25.0";"";"";"";"";"";"";"4.0";"25.0";"";"";"";"";"";"";
"15.09.2016 17:30";"29.4";"729.2";"751.4";"";"78";"Calm, no wind";"0";"";"";"100%.";" ";"";"";"";"32.6";"Stratocumulus other than Stratocumulus cumulogenitus.";"60%.";"600-1000";"Altocumulus translucidus at a single level.";"";"4.0";"25.1";"";"";"";"";"";"";
"15.09.2016 08:30";"26.4";"731.4";"753.9";"";"94";"Calm, no wind";"0";"";"";"60%.";" ";"";"";"25.2";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"50%.";"600-1000";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"25.3";"";"";"";"";"";"";
