# Weather station Khajuraho (airport), India, WMO_ID=42567,selection from 01.01.2012 till 31.12.2017, all days
# Encoding: UTF-8
# The data is provided by the website "Reliable Prognosis", rp5.ru 
# If you use the data, please indicate the name of the website.
# For meteorological parameters see the address http://rp5.ru/archive.php?wmo_id=42567&lang=en
#
"Local time in Khajuraho (airport)";"T";"Po";"P";"Pa";"U";"DD";"Ff";"ff10";"ff3";"N";"WW";"W1";"W2";"Tn";"Tx";"Cl";"Nh";"H";"Cm";"Ch";"VV";"Td";"RRR";"tR";"E";"Tg";"E'";"sss"
"30.11.2016 11:30";"24.6";"743.8";"763.0";"-0.1";"48";"Wind blowing from the north-northeast";"2";"";"";"no clouds";"Haze. ";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"";"";"";"";"";"";"";"2.0";"12.9";"";"";"";"";"";"";
"30.11.2016 08:30";"13.6";"743.9";"763.8";"";"87";"Wind blowing from the south-east";"1";"";"";"no clouds";"Haze. ";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"10.0";"";"";"";"";"";"";"2.0";"11.4";"";"";"";"";"";"";
"29.11.2016 17:30";"27.0";"740.2";"759.1";"-0.4";"32";"Wind blowing from the north-west";"1";"";"";"no clouds";" ";"";"";"";"30.4";"";"";"";"";"";"4.0";"8.7";"";"";"";"";"";"";
"29.11.2016 14:30";"30.0";"740.6";"759.4";"-1.7";"25";"Wind blowing from the west-northwest";"3";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"4.0";"7.7";"";"";"";"";"";"";
"29.11.2016 11:30";"27.2";"742.3";"761.3";"-0.2";"31";"Wind blowing from the south-west";"3";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"4.0";"8.5";"";"";"";"";"";"";
"29.11.2016 08:30";"16.8";"742.5";"762.2";"";"70";"Wind blowing from the south-west";"2";"";"";"no clouds";"Haze. ";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"12.0";"";"";"";"";"";"";"4.0";"11.3";"";"";"";"";"";"";
"28.11.2016 17:30";"27.4";"739.0";"757.9";"-0.8";"29";"Wind blowing from the west-southwest";"2";"";"";"no clouds";" ";"";"";"";"30.8";"";"";"";"";"";"4.0";"7.8";"";"";"";"";"";"";
"28.11.2016 14:30";"30.4";"739.8";"758.5";"-2.3";"23";"Wind blowing from the west-northwest";"4";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"4.0";"7.2";"";"";"";"";"";"";
"28.11.2016 11:30";"27.6";"742.1";"761.0";"0.2";"34";"Wind blowing from the west-northwest";"3";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"4.0";"10.2";"";"";"";"";"";"";
"28.11.2016 08:30";"16.8";"741.9";"761.6";"";"72";"Wind blowing from the south-west";"3";"";"";"no clouds";"Haze. ";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"12.1";"";"";"";"";"";"";"4.0";"11.7";"";"";"";"";"";"";
"27.11.2016 17:30";"26.6";"739.3";"758.2";"-0.5";"31";"Wind blowing from the west-southwest";"3";"";"";"no clouds";"Haze. ";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"";"30.5";"";"";"";"";"";"4.0";"8.1";"";"";"";"";"";"";
"27.11.2016 14:30";"30.0";"739.8";"758.5";"-2.4";"27";"Wind blowing from the west-northwest";"5";"";"";"no clouds";"Haze. ";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"";"";"";"";"";"";"";"4.0";"8.8";"";"";"";"";"";"";
"27.11.2016 11:30";"27.6";"742.2";"761.2";"0.2";"29";"Wind blowing from the north-west";"3";"";"";"no clouds";"Haze. ";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"";"";"";"";"";"";"";"4.0";"8.1";"";"";"";"";"";"";
"27.11.2016 08:30";"17.8";"742.0";"761.6";"";"62";"Wind blowing from the west-southwest";"2";"";"";"no clouds";"Haze. ";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"13.5";"";"";"";"";"";"";"4.0";"10.3";"";"";"";"";"";"";
"26.11.2016 17:30";"26.8";"739.3";"758.2";"-0.3";"30";"Wind blowing from the west";"3";"";"";"no clouds";" ";"";"";"";"30.1";"";"";"";"";"";"4.0";"7.9";"";"";"";"";"";"";
"26.11.2016 14:30";"29.8";"739.6";"758.3";"-2.2";"24";"Wind blowing from the west-northwest";"5";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"4.0";"7.3";"";"";"";"";"";"";
"26.11.2016 11:30";"27.6";"741.8";"760.7";"0.3";"28";"Wind blowing from the west-northwest";"3";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"4.0";"7.5";"";"";"";"";"";"";
"26.11.2016 08:30";"16.8";"741.5";"761.2";"";"72";"Wind blowing from the west-southwest";"2";"";"";"no clouds";"Haze. ";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"12.5";"";"";"";"";"";"";"4.0";"11.7";"";"";"";"";"";"";
"25.11.2016 17:30";"24.4";"738.9";"758.0";"-0.5";"39";"Wind blowing from the west-northwest";"3";"";"";"no clouds";"Haze. ";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"";"29.4";"";"";"";"";"";"4.0";"9.4";"";"";"";"";"";"";
"25.11.2016 14:30";"28.6";"739.4";"758.2";"-2.7";"30";"Wind blowing from the north-west";"3";"";"";"no clouds";"Haze. ";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"";"";"";"";"";"";"";"4.0";"9.2";"";"";"";"";"";"";
"25.11.2016 11:30";"26.6";"742.1";"761.1";"-0.5";"38";"Wind blowing from the west-northwest";"2";"";"";"no clouds";"Haze. ";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"";"";"";"";"";"";"";"4.0";"11.1";"";"";"";"";"";"";
"25.11.2016 08:30";"17.4";"742.6";"762.2";"";"69";"Wind blowing from the west-southwest";"2";"";"";"no clouds";"Haze. ";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"12.9";"";"";"";"";"";"";"4.0";"11.6";"";"";"";"";"";"";
"24.11.2016 17:30";"25.0";"740.4";"759.5";"-0.2";"38";"Wind blowing from the west-southwest";"2";"";"";"no clouds";"Haze. ";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"";"30.2";"";"";"";"";"";"4.0";"9.8";"";"";"";"";"";"";
"24.11.2016 14:30";"29.2";"740.6";"759.4";"-2.1";"28";"Wind blowing from the north-west";"3";"";"";"no clouds";"Haze. ";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"";"";"";"";"";"";"";"4.0";"9.1";"";"";"";"";"";"";
"24.11.2016 11:30";"28.4";"742.7";"761.6";"0.0";"33";"Wind blowing from the west-southwest";"2";"";"";"no clouds";"Haze. ";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"";"";"";"";"";"";"";"4.0";"10.4";"";"";"";"";"";"";
"24.11.2016 08:30";"17.0";"742.7";"762.4";"";"76";"Wind blowing from the west-southwest";"2";"";"";"no clouds";"Haze. ";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"12.2";"";"";"";"";"";"";"4.0";"12.7";"";"";"";"";"";"";
"23.11.2016 17:30";"26.2";"739.3";"758.3";"0.1";"34";"Wind blowing from the west";"2";"";"";"no clouds";" ";"";"";"";"31.6";"";"";"";"";"";"4.0";"9.1";"";"";"";"";"";"";
"23.11.2016 14:30";"31.0";"739.2";"757.9";"-2.2";"22";"Wind blowing from the west";"2";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"4.0";"7.1";"";"";"";"";"";"";
"23.11.2016 11:30";"28.8";"741.4";"760.3";"-0.1";"32";"Wind blowing from the west-northwest";"2";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"4.0";"10.5";"";"";"";"";"";"";
"23.11.2016 08:30";"16.8";"741.5";"761.2";"";"70";"Wind blowing from the south-west";"2";"";"";"no clouds";"Haze. ";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"12.1";"";"";"";"";"";"";"4.0";"11.3";"";"";"";"";"";"";
"22.11.2016 17:30";"26.0";"738.7";"757.7";"-0.7";"35";"Wind blowing from the south-west";"2";"";"";"no clouds";"Haze. ";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"";"31.8";"";"";"";"";"";"4.0";"9.3";"";"";"";"";"";"";
"22.11.2016 14:30";"31.0";"739.4";"758.1";"-1.8";"23";"Wind blowing from the west";"4";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"4.0";"7.7";"";"";"";"";"";"";
"22.11.2016 11:30";"28.4";"741.2";"760.1";"-0.5";"31";"Wind blowing from the south-west";"3";"";"";"no clouds";"Haze. ";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"";"";"";"";"";"";"";"2.0";"9.9";"";"";"";"";"";"";
"22.11.2016 08:30";"16.0";"741.7";"761.4";"";"75";"Wind blowing from the south-west";"2";"";"";"no clouds";"Haze. ";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"11.0";"";"";"";"";"";"";"2.0";"11.6";"";"";"";"";"";"";
"21.11.2016 17:30";"26.4";"739.5";"758.5";"-0.5";"38";"Calm, no wind";"0";"";"";"no clouds";"Haze. ";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"";"30.4";"";"";"";"";"";"4.0";"10.9";"";"";"";"";"";"";
"21.11.2016 14:30";"30.0";"740.0";"758.7";"-1.6";"25";"Wind blowing from the north-west";"3";"";"";"no clouds";"Haze. ";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"";"";"";"";"";"";"";"4.0";"7.7";"";"";"";"";"";"";
"21.11.2016 11:30";"27.4";"741.6";"760.6";"-0.9";"30";"Wind blowing from the south-west";"2";"";"";"no clouds";"Haze. ";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"";"";"";"";"";"";"";"2.0";"8.3";"";"";"";"";"";"";
"21.11.2016 08:30";"15.2";"742.5";"762.3";"";"79";"Wind blowing from the south-west";"1";"";"";"no clouds";"Haze. ";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"11.0";"";"";"";"";"";"";"2.0";"11.5";"";"";"";"";"";"";
"20.11.2016 17:30";"26.2";"739.7";"758.7";"0.0";"39";"Calm, no wind";"0";"";"";"no clouds";"Haze. ";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"";"30.6";"";"";"";"";"";"4.0";"11.0";"";"";"";"";"";"";
"20.11.2016 14:30";"29.4";"739.7";"758.5";"-2.1";"28";"Wind blowing from the west-northwest";"2";"";"";"no clouds";"Haze. ";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"";"";"";"";"";"";"";"4.0";"8.9";"";"";"";"";"";"";
"20.11.2016 11:30";"26.8";"741.8";"760.8";"-0.1";"36";"Wind blowing from the west-southwest";"2";"";"";"no clouds";"Haze. ";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"";"";"";"";"";"";"";"4.0";"10.5";"";"";"";"";"";"";
"20.11.2016 08:30";"16.6";"741.9";"761.6";"";"70";"Wind blowing from the south-west";"1";"";"";"no clouds";"Haze. ";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"12.5";"";"";"";"";"";"";"4.0";"11.0";"";"";"";"";"";"";
"19.11.2016 17:30";"26.0";"738.6";"757.6";"-0.3";"32";"Wind blowing from the south-west";"1";"";"";"no clouds";"Haze. ";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"";"30.8";"";"";"";"";"";"4.0";"8.2";"";"";"";"";"";"";
"19.11.2016 14:30";"30.2";"738.9";"757.6";"-2.8";"26";"Wind blowing from the west-northwest";"2";"";"";"no clouds";"Haze. ";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"";"";"";"";"";"";"";"4.0";"8.6";"";"";"";"";"";"";
"19.11.2016 11:30";"28.0";"741.7";"760.6";"0.1";"30";"Wind blowing from the west-southwest";"2";"";"";"no clouds";"Haze. ";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"";"";"";"";"";"";"";"4.0";"8.7";"";"";"";"";"";"";
"19.11.2016 08:30";"15.6";"741.6";"761.3";"";"81";"Wind blowing from the west-southwest";"2";"";"";"no clouds";"Haze. ";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"11.5";"";"";"";"";"";"";"4.0";"12.3";"";"";"";"";"";"";
"18.11.2016 17:30";"24.2";"740.2";"759.3";"-0.4";"38";"Wind blowing from the west-northwest";"2";"";"";"no clouds";"Haze. ";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"";"28.8";"";"";"";"";"";"2.0";"9.1";"";"";"";"";"";"";
"18.11.2016 14:30";"27.8";"740.6";"759.5";"-2.2";"28";"Wind blowing from the west-northwest";"3";"";"";"no clouds";"Haze. ";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"";"";"";"";"";"";"";"4.0";"7.9";"";"";"";"";"";"";
"18.11.2016 11:30";"27.8";"742.8";"761.8";"-1.2";"34";"Wind blowing from the west-southwest";"1";"";"";"no clouds";"Haze. ";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"";"";"";"";"";"";"";"2.0";"10.5";"";"";"";"";"";"";
"18.11.2016 08:30";"15.4";"744.0";"763.8";"";"77";"Wind blowing from the south-west";"1";"";"";"no clouds";"Haze. ";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"11.6";"";"";"";"";"";"";"2.0";"11.3";"";"";"";"";"";"";
"17.11.2016 17:30";"25.4";"741.8";"760.9";"0.0";"45";"Calm, no wind";"0";"";"";"no clouds";"Haze. ";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"";"29.2";"";"";"";"";"";"2.0";"12.7";"";"";"";"";"";"";
"17.11.2016 14:30";"28.8";"741.8";"760.7";"-2.7";"30";"Wind blowing from the west-northwest";"2";"";"";"no clouds";"Haze. ";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"";"";"";"";"";"";"";"2.0";"9.5";"";"";"";"";"";"";
"17.11.2016 11:30";"27.0";"744.5";"763.5";"-0.1";"33";"Wind blowing from the west-northwest";"3";"";"";"no clouds";"Haze. ";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"";"";"";"";"";"";"";"2.0";"9.3";"";"";"";"";"";"";
"17.11.2016 08:30";"16.6";"744.6";"764.3";"";"72";"Wind blowing from the south-west";"2";"";"";"no clouds";"Haze. ";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"12.5";"";"";"";"";"";"";"4.0";"11.5";"";"";"";"";"";"";
"16.11.2016 17:30";"26.2";"741.9";"760.9";"0.1";"38";"Wind blowing from the west-northwest";"2";"";"";"no clouds";"Haze. ";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"";"30.8";"";"";"";"";"";"4.0";"10.6";"";"";"";"";"";"";
"16.11.2016 14:30";"30.2";"741.8";"760.6";"-1.6";"28";"Wind blowing from the west-northwest";"3";"";"";"no clouds";"Haze. ";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"";"";"";"";"";"";"";"4.0";"9.7";"";"";"";"";"";"";
"16.11.2016 11:30";"28.2";"743.4";"762.3";"-0.5";"36";"Wind blowing from the west-southwest";"2";"";"";"no clouds";"Haze. ";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"";"";"";"";"";"";"";"2.0";"11.6";"";"";"";"";"";"";
"16.11.2016 08:30";"16.4";"743.9";"763.6";"";"77";"Calm, no wind";"0";"";"";"no clouds";"Haze. ";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"12.2";"";"";"";"";"";"";"2.0";"12.4";"";"";"";"";"";"";
"15.11.2016 17:30";"26.6";"740.8";"759.8";"0.2";"45";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"31.0";"";"";"";"";"";"4.0";"13.8";"";"";"";"";"";"";
"15.11.2016 14:30";"30.6";"740.6";"759.3";"-2.5";"27";"Wind blowing from the south-southwest";"2";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"4.0";"9.3";"";"";"";"";"";"";
"15.11.2016 11:30";"29.6";"743.1";"761.9";"0.1";"51";"Wind blowing from the west-southwest";"2";"";"";"no clouds";"Haze. ";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"";"";"";"";"";"";"";"4.0";"18.4";"";"";"";"";"";"";
"15.11.2016 08:30";"16.6";"743.0";"762.7";"";"72";"Wind blowing from the west-southwest";"2";"";"";"no clouds";"Haze. ";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"11.4";"";"";"";"";"";"";"4.0";"11.5";"";"";"";"";"";"";
"14.11.2016 17:30";"27.0";"740.7";"759.7";"-0.4";"34";"Calm, no wind";"0";"";"";"no clouds";"Haze. ";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"";"30.8";"";"";"";"";"";"4.0";"9.8";"";"";"";"";"";"";
"14.11.2016 14:30";"30.2";"741.1";"759.9";"-2.0";"26";"Calm, no wind";"0";"";"";"no clouds";"Haze. ";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"";"";"";"";"";"";"";"2.0";"8.6";"";"";"";"";"";"";
"14.11.2016 11:30";"27.8";"743.1";"762.1";"-0.6";"35";"Wind blowing from the south-southeast";"1";"";"";"no clouds";"Haze. ";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"";"";"";"";"";"";"";"2.0";"11.0";"";"";"";"";"";"";
"14.11.2016 08:30";"15.2";"743.7";"763.5";"";"75";"Calm, no wind";"0";"";"";"no clouds";"Haze. ";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"11.2";"";"";"";"";"";"";"2.0";"10.7";"";"";"";"";"";"";
"13.11.2016 17:30";"27.2";"741.5";"760.5";"0.0";"37";"Calm, no wind";"0";"";"";"no clouds";"Haze. ";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"";"30.6";"";"";"";"";"";"4.0";"11.1";"";"";"";"";"";"";
"13.11.2016 14:30";"30.2";"741.5";"760.3";"-2.4";"28";"Wind blowing from the north-west";"2";"";"";"no clouds";"Haze. ";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"";"";"";"";"";"";"";"2.0";"9.7";"";"";"";"";"";"";
"13.11.2016 11:30";"28.2";"743.9";"762.9";"0.0";"35";"Wind blowing from the south-west";"2";"";"";"no clouds";"Haze. ";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"";"";"";"";"";"";"";"4.0";"11.1";"";"";"";"";"";"";
"13.11.2016 08:30";"16.6";"743.9";"763.6";"";"66";"Wind blowing from the west-southwest";"2";"";"";"no clouds";"Haze. ";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"11.5";"";"";"";"";"";"";"4.0";"10.2";"";"";"";"";"";"";
"12.11.2016 17:30";"27.8";"740.9";"759.8";"0.0";"27";"Wind blowing from the west-southwest";"2";"";"";"no clouds";"Haze. ";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"";"31.5";"";"";"";"";"";"4.0";"7.3";"";"";"";"";"";"";
"12.11.2016 14:30";"30.8";"740.9";"759.6";"-2.1";"22";"Wind blowing from the west-southwest";"2";"";"";"no clouds";"Haze. ";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"";"";"";"";"";"";"";"4.0";"6.7";"";"";"";"";"";"";
"12.11.2016 11:30";"29.6";"743.0";"761.8";"0.3";"25";"Wind blowing from the south-west";"2";"";"";"no clouds";"Haze. ";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"";"";"";"";"";"";"";"4.0";"7.5";"";"";"";"";"";"";
"12.11.2016 08:30";"16.8";"742.7";"762.4";"";"66";"Wind blowing from the south-west";"2";"";"";"no clouds";"Haze. ";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"11.8";"";"";"";"";"";"";"4.0";"10.4";"";"";"";"";"";"";
"11.11.2016 17:30";"27.4";"739.7";"758.6";"-0.4";"26";"Wind blowing from the north-northwest";"2";"";"";"no clouds";"Haze. ";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"";"32.1";"";"";"";"";"";"2.0";"6.0";"";"";"";"";"";"";
"11.11.2016 14:30";"31.4";"740.1";"758.8";"-1.6";"22";"Wind blowing from the north-west";"3";"";"";"no clouds";"Haze. ";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"";"";"";"";"";"";"";"4.0";"7.3";"";"";"";"";"";"";
"11.11.2016 11:30";"29.0";"741.7";"760.6";"-0.1";"27";"Wind blowing from the west-southwest";"1";"";"";"no clouds";"Haze. ";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"";"";"";"";"";"";"";"2.0";"8.2";"";"";"";"";"";"";
"11.11.2016 08:30";"16.6";"741.8";"761.5";"";"70";"Wind blowing from the south-west";"1";"";"";"no clouds";"Haze. ";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"12.8";"";"";"";"";"";"";"2.0";"11.0";"";"";"";"";"";"";
"10.11.2016 17:30";"28.4";"739.4";"758.2";"0.1";"36";"Calm, no wind";"0";"";"";"no clouds";"Haze. ";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"";"32.0";"";"";"";"";"";"2.0";"11.9";"";"";"";"";"";"";
"10.11.2016 14:30";"31.6";"739.3";"757.9";"-2.8";"21";"Wind blowing from the west-northwest";"2";"";"";"no clouds";"Haze. ";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"";"";"";"";"";"";"";"2.0";"7.0";"";"";"";"";"";"";
"10.11.2016 11:30";"28.6";"742.1";"761.0";"-0.3";"26";"Wind blowing from the south-west";"2";"";"";"no clouds";"Haze. ";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"";"";"";"";"";"";"";"2.0";"7.5";"";"";"";"";"";"";
"10.11.2016 08:30";"16.4";"742.4";"762.1";"";"68";"Wind blowing from the west-southwest";"2";"";"";"no clouds";"Haze. ";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"12.2";"";"";"";"";"";"";"2.0";"10.4";"";"";"";"";"";"";
"09.11.2016 17:30";"27.4";"740.4";"759.3";"0.1";"25";"Wind blowing from the west-northwest";"2";"";"";"no clouds";"Haze. ";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"";"30.6";"";"";"";"";"";"2.0";"5.4";"";"";"";"";"";"";
"09.11.2016 14:30";"29.6";"740.3";"759.1";"-1.2";"27";"Wind blowing from the west";"4";"";"";"no clouds";"Haze. ";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"";"";"";"";"";"";"";"2.0";"8.7";"";"";"";"";"";"";
"09.11.2016 11:30";"27.2";"741.5";"760.5";"-0.9";"37";"Wind blowing from the west-southwest";"2";"";"";"no clouds";"Haze. ";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"";"";"";"";"";"";"";"2.0";"11.2";"";"";"";"";"";"";
"09.11.2016 08:30";"16.2";"742.4";"762.1";"";"71";"Wind blowing from the south-west";"1";"";"";"no clouds";"Haze. ";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"12.6";"";"";"";"";"";"";"2.0";"11.0";"";"";"";"";"";"";
"08.11.2016 17:30";"26.8";"739.8";"758.7";"-0.1";"42";"Calm, no wind";"0";"";"";"Sky obscured by fog and/or other meteorological phenomena.";"Visibility reduced by smoke, e.g. veldt or forest fires, industrial smoke or volcanic ashes. ";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"";"30.4";"";"Sky obscured by fog and/or other meteorological phenomena.";"";"";"";"1.0";"12.8";"";"";"";"";"";"";
"08.11.2016 14:30";"30.0";"739.9";"758.6";"-2.0";"34";"Wind blowing from the west-northwest";"2";"";"";"no clouds";"Haze. ";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"";"";"";"";"";"";"";"2.0";"12.3";"";"";"";"";"";"";
