# Weather station Sagar, India, WMO_ID=42671,selection from 07.12.2015 till 31.12.2017, all days
# Encoding: UTF-8
# The data is provided by the website "Reliable Prognosis", rp5.ru 
# If you use the data, please indicate the name of the website.
# For meteorological parameters see the address http://rp5.ru/archive.php?wmo_id=42671&lang=en
#
"Local time in Sagar";"T";"Po";"P";"Pa";"U";"DD";"Ff";"ff10";"ff3";"N";"WW";"W1";"W2";"Tn";"Tx";"Cl";"Nh";"H";"Cm";"Ch";"VV";"Td";"RRR";"tR";"E";"Tg";"E'";"sss"
"20.11.2016 11:30";"30.0";"714.5";"759.7";"-0.2";"26";"Wind blowing from the north-west";"1";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"10.0";"8.5";"";"";"";"";"";"";
"20.11.2016 08:30";"21.4";"714.7";"761.1";"1.6";"42";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"14.8";"";"";"";"";"";"";"10.0";"7.8";"";"";"";"";"";"";
"20.11.2016 05:30";"16.2";"713.1";"760.3";"0.5";"51";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"4.0";"6.0";"";"";"";"";"";"";
"20.11.2016 02:30";"19.4";"712.6";"759.4";"-0.3";"39";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"4.0";"4.9";"";"";"";"";"";"";
"19.11.2016 23:30";"20.6";"712.9";"759.5";"-0.3";"36";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"4.0";"5.1";"";"";"";"";"";"";
"19.11.2016 20:30";"21.2";"713.2";"759.6";"1.4";"37";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"4.0";"6.0";"";"";"";"";"";"";
"19.11.2016 17:30";"24.6";"711.8";"757.7";"-0.2";"30";"Calm, no wind";"0";"";"";"10%  or less, but not 0";" ";"";"";"";"31.3";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"no clouds";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"10.0";"6.0";"";"";"";"";"";"";
"19.11.2016 14:30";"29.6";"712.0";"757.1";"-2.1";"23";"Wind blowing from the north-west";"1";"";"";"10%  or less, but not 0";" ";"";"";"";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"no clouds";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"10.0";"6.1";"";"";"";"";"";"";
"19.11.2016 11:30";"28.0";"714.1";"759.7";"-0.2";"25";"Wind blowing from the north-west";"1";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"10.0";"6.1";"";"";"";"";"";"";
"19.11.2016 08:30";"20.6";"714.3";"760.9";"1.1";"46";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"15.4";"";"";"";"";"";"";"10.0";"8.6";"";"";"";"";"";"";
"19.11.2016 05:30";"16.4";"713.2";"760.3";"0.5";"48";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"4.0";"5.3";"";"";"";"";"";"";
"19.11.2016 02:30";"17.6";"712.7";"759.7";"-1.1";"50";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"4.0";"6.9";"";"";"";"";"";"";
"18.11.2016 23:30";"18.8";"713.8";"760.8";"-0.1";"44";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"4.0";"6.1";"";"";"";"";"";"";
"18.11.2016 20:30";"20.8";"713.9";"760.6";"1.0";"38";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"4.0";"6.0";"";"";"";"";"";"";
"18.11.2016 17:30";"24.2";"712.9";"758.8";"-0.3";"34";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"30.2";"";"";"";"";"";"10.0";"7.5";"";"";"";"";"";"";
"18.11.2016 14:30";"28.4";"713.2";"758.5";"-2.6";"25";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"10.0";"6.8";"";"";"";"";"";"";
"18.11.2016 11:30";"27.0";"715.8";"761.5";"-0.4";"28";"Wind blowing from the north-east";"1";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"10.0";"7.0";"";"";"";"";"";"";
"18.11.2016 08:30";"19.4";"716.2";"763.0";"1.0";"48";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"13.4";"";"";"";"";"";"";"10.0";"7.9";"";"";"";"";"";"";
"18.11.2016 05:30";"14.6";"715.2";"762.9";"0.2";"64";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"4.0";"7.7";"";"";"";"";"";"";
"18.11.2016 02:30";"16.0";"715.0";"762.6";"-0.6";"67";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"4.0";"9.8";"";"";"";"";"";"";
"17.11.2016 23:30";"17.0";"715.6";"763.0";"0.1";"63";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"4.0";"9.8";"";"";"";"";"";"";
"17.11.2016 20:30";"19.0";"715.5";"762.6";"1.0";"53";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"4.0";"9.2";"";"";"";"";"";"";
"17.11.2016 17:30";"23.2";"714.5";"760.6";"-0.3";"46";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"29.3";"";"";"";"";"";"10.0";"10.8";"";"";"";"";"";"";
"17.11.2016 14:30";"27.4";"714.8";"760.4";"-2.0";"29";"Wind blowing from the north-east";"1";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"10.0";"7.9";"";"";"";"";"";"";
"17.11.2016 11:30";"26.0";"716.8";"762.8";"-0.3";"34";"Wind blowing from the north-east";"1";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"10.0";"8.7";"";"";"";"";"";"";
"17.11.2016 08:30";"19.6";"717.1";"764.2";"1.3";"45";"Wind blowing from the north-east";"1";"";"";"no clouds";" ";"";"";"14.8";"";"";"";"";"";"";"10.0";"7.3";"";"";"";"";"";"";
"17.11.2016 05:30";"16.2";"715.8";"763.2";"0.4";"60";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"4.0";"8.4";"";"";"";"";"";"";
"17.11.2016 02:30";"17.8";"715.4";"762.7";"-0.5";"52";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"4.0";"7.7";"";"";"";"";"";"";
"16.11.2016 23:30";"19.2";"715.9";"762.8";"0.0";"49";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"4.0";"8.3";"";"";"";"";"";"";
"16.11.2016 20:30";"19.0";"715.9";"763.0";"1.0";"56";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"4.0";"10.1";"";"";"";"";"";"";
"16.11.2016 17:30";"23.8";"714.9";"761.1";"0.4";"43";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"28.9";"";"";"";"";"";"10.0";"10.3";"";"";"";"";"";"";
"16.11.2016 14:30";"28.0";"714.5";"760.0";"-1.9";"30";"Wind blowing from the north-east";"1";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"10.0";"8.8";"";"";"";"";"";"";
"16.11.2016 11:30";"26.8";"716.4";"762.3";"-0.1";"29";"Wind blowing from the south-west";"1";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"10.0";"7.4";"";"";"";"";"";"";
"16.11.2016 08:30";"22.6";"716.5";"763.0";"1.8";"42";"Wind blowing from the south-west";"1";"";"";"no clouds";" ";"";"";"17.4";"";"";"";"";"";"";"10.0";"9.1";"";"";"";"";"";"";
"16.11.2016 05:30";"18.0";"714.7";"761.8";"0.3";"55";"Wind blowing from the north-east";"1";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"4.0";"8.8";"";"";"";"";"";"";
"16.11.2016 02:30";"18.2";"714.4";"761.3";"-0.6";"51";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"4.0";"7.7";"";"";"";"";"";"";
"15.11.2016 23:30";"19.0";"715.0";"762.1";"-0.2";"49";"Wind blowing from the north-east";"1";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"4.0";"7.9";"";"";"";"";"";"";
"15.11.2016 20:30";"22.0";"715.2";"761.8";"1.3";"39";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"4.0";"7.2";"";"";"";"";"";"";
"15.11.2016 17:30";"24.2";"713.9";"759.9";"0.1";"40";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"29.8";"";"";"";"";"";"10.0";"9.9";"";"";"";"";"";"";
"15.11.2016 14:30";"28.6";"713.8";"759.2";"-1.8";"31";"Wind blowing from the east";"1";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"10.0";"9.8";"";"";"";"";"";"";
"15.11.2016 11:30";"28.0";"715.6";"761.2";"-0.3";"30";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"10.0";"8.8";"";"";"";"";"";"";
"15.11.2016 08:30";"22.0";"715.9";"762.4";"1.6";"39";"Wind blowing from the south-east";"1";"";"";"no clouds";" ";"";"";"18.0";"";"";"";"";"";"";"10.0";"7.2";"";"";"";"";"";"";
"15.11.2016 05:30";"19.6";"714.3";"761.1";"7.7";"42";"Wind blowing from the east";"1";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"4.0";"6.3";"";"";"";"";"";"";
"15.11.2016 02:30";"20.0";"706.6";"760.9";"-8.3";"41";"Wind blowing from the north";"1";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"4.0";"6.3";"";"";"";"";"";"";
"14.11.2016 23:30";"21.0";"714.9";"761.6";"-0.4";"40";"Wind blowing from the north";"1";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"4.0";"6.8";"";"";"";"";"";"";
"14.11.2016 20:30";"20.4";"715.3";"762.0";"1.5";"49";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"4.0";"9.3";"";"";"";"";"";"";
"14.11.2016 17:30";"24.4";"713.8";"759.7";"0.0";"38";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"29.4";"";"";"";"";"";"10.0";"9.3";"";"";"";"";"";"";
"14.11.2016 14:30";"28.0";"713.8";"759.4";"-1.9";"27";"Wind blowing from the north-east";"1";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"10.0";"7.3";"";"";"";"";"";"";
"14.11.2016 11:30";"27.2";"715.7";"761.3";"-0.6";"26";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"10.0";"5.9";"";"";"";"";"";"";
"14.11.2016 08:30";"22.4";"716.3";"762.7";"1.5";"43";"Calm, no wind";"0";"";"";"20–30%.";" ";"";"";"17.0";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"no clouds";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus spissatus, in patches or entangled sheaves, which usually do not increase and sometimes seem to be the remains of the upper part of a Cumulonimbus; or Cirrus castellanus or floccus.";"10.0";"9.2";"";"";"";"";"";"";
"14.11.2016 05:30";"18.4";"714.8";"761.8";"0.0";"48";"Calm, no wind";"0";"";"";"20–30%.";" ";"";"";"";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"20–30%.";"2500 or more, or no clouds.";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"7.1";"";"";"";"";"";"";
"14.11.2016 02:30";"19.4";"714.8";"761.7";"-0.7";"43";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"4.0";"6.5";"";"";"";"";"";"";
"13.11.2016 23:30";"19.6";"715.5";"762.4";"-0.2";"45";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"4.0";"7.3";"";"";"";"";"";"";
"13.11.2016 20:30";"20.0";"715.7";"762.6";"1.0";"44";"Wind blowing from the north-east";"1";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"4.0";"7.3";"";"";"";"";"";"";
"13.11.2016 17:30";"24.6";"714.7";"760.6";"0.2";"39";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"30.2";"";"";"";"";"";"10.0";"9.6";"";"";"";"";"";"";
"13.11.2016 14:30";"29.4";"714.5";"759.7";"-1.9";"28";"Wind blowing from the north-east";"1";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"10.0";"9.0";"";"";"";"";"";"";
"13.11.2016 11:30";"27.8";"716.4";"762.1";"-0.2";"30";"Wind blowing from the north";"1";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"10.0";"8.5";"";"";"";"";"";"";
"13.11.2016 08:30";"19.8";"716.6";"763.6";"1.9";"51";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"16.2";"";"";"";"";"";"";"10.0";"9.4";"";"";"";"";"";"";
"13.11.2016 05:30";"17.0";"714.7";"762.0";"0.3";"54";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"4.0";"7.6";"";"";"";"";"";"";
"13.11.2016 02:30";"18.4";"714.4";"761.4";"-0.9";"49";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"4.0";"7.5";"";"";"";"";"";"";
"12.11.2016 23:30";"19.4";"715.3";"762.1";"0.3";"46";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"4.0";"7.5";"";"";"";"";"";"";
"12.11.2016 20:30";"22.4";"715.0";"761.4";"1.3";"38";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"4.0";"7.3";"";"";"";"";"";"";
"12.11.2016 17:30";"24.8";"713.7";"759.7";"0.0";"38";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"31.2";"";"";"";"";"";"10.0";"9.4";"";"";"";"";"";"";
"12.11.2016 14:30";"29.6";"713.7";"758.9";"-1.9";"24";"Wind blowing from the north";"1";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"10.0";"6.7";"";"";"";"";"";"";
"12.11.2016 11:30";"28.2";"715.6";"761.0";"0.0";"26";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"10.0";"7.0";"";"";"";"";"";"";
"12.11.2016 08:30";"22.0";"715.6";"762.1";"2.0";"47";"Wind blowing from the north-east";"1";"";"";"no clouds";" ";"";"";"15.0";"";"";"";"";"";"";"10.0";"10.1";"";"";"";"";"";"";
"12.11.2016 05:30";"16.0";"713.6";"761.1";"0.2";"61";"Wind blowing from the north-east";"1";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"4.0";"8.5";"";"";"";"";"";"";
"12.11.2016 02:30";"21.0";"713.4";"760.0";"-0.9";"37";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"4.0";"5.7";"";"";"";"";"";"";
"11.11.2016 23:30";"22.0";"714.3";"760.7";"0.2";"33";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"4.0";"5.1";"";"";"";"";"";"";
"11.11.2016 20:30";"21.4";"714.1";"760.5";"1.3";"36";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"4.0";"5.8";"";"";"";"";"";"";
"11.11.2016 17:30";"25.2";"712.8";"758.5";"-0.1";"36";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"31.5";"";"";"";"";"";"10.0";"9.0";"";"";"";"";"";"";
"11.11.2016 14:30";"30.0";"712.9";"758.0";"-2.1";"20";"Wind blowing from the north-east";"1";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"10.0";"5.0";"";"";"";"";"";"";
"11.11.2016 11:30";"29.0";"715.0";"760.4";"0.3";"24";"Wind blowing from the north";"1";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"10.0";"6.2";"";"";"";"";"";"";
"11.11.2016 08:30";"22.4";"714.7";"761.0";"1.7";"46";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"15.6";"";"";"";"";"";"";"10.0";"10.1";"";"";"";"";"";"";
"11.11.2016 05:30";"18.6";"713.0";"759.9";"0.2";"43";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"4.0";"5.8";"";"";"";"";"";"";
"11.11.2016 02:30";"18.0";"712.8";"759.8";"-1.1";"49";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"4.0";"7.0";"";"";"";"";"";"";
"10.11.2016 23:30";"20.2";"713.9";"760.6";"-0.2";"39";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"4.0";"5.6";"";"";"";"";"";"";
"10.11.2016 20:30";"20.4";"714.1";"760.7";"1.1";"40";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"4.0";"6.4";"";"";"";"";"";"";
"10.11.2016 17:30";"25.2";"713.0";"758.8";"0.0";"37";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"33.3";"";"";"";"";"";"10.0";"9.5";"";"";"";"";"";"";
"10.11.2016 14:30";"32.0";"713.0";"757.8";"-2.2";"19";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"10.0";"5.8";"";"";"";"";"";"";
"10.11.2016 11:30";"28.6";"715.2";"760.6";"-0.1";"24";"Wind blowing from the north";"1";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"10.0";"6.1";"";"";"";"";"";"";
"10.11.2016 08:30";"22.0";"715.3";"761.9";"1.7";"43";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"15.0";"";"";"";"";"";"";"10.0";"8.7";"";"";"";"";"";"";
"10.11.2016 05:30";"17.4";"713.6";"760.7";"0.0";"46";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"4.0";"5.7";"";"";"";"";"";"";
"10.11.2016 02:30";"16.6";"713.6";"760.9";"-1.0";"50";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"4.0";"6.1";"";"";"";"";"";"";
"09.11.2016 23:30";"18.2";"714.6";"761.5";"-0.1";"46";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"4.0";"6.3";"";"";"";"";"";"";
"09.11.2016 20:30";"21.0";"714.7";"761.4";"0.7";"37";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"4.0";"5.7";"";"";"";"";"";"";
"09.11.2016 17:30";"24.4";"714.0";"760.0";"0.2";"34";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"30.4";"";"";"";"";"";"10.0";"7.3";"";"";"";"";"";"";
"09.11.2016 14:30";"29.8";"713.8";"759.1";"-2.0";"24";"Wind blowing from the north";"1";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"10.0";"7.0";"";"";"";"";"";"";
"09.11.2016 11:30";"28.0";"715.8";"761.4";"-0.1";"25";"Wind blowing from the south-west";"1";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"10.0";"6.1";"";"";"";"";"";"";
"09.11.2016 08:30";"19.6";"715.9";"762.7";"1.8";"46";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"15.6";"";"";"";"";"";"";"4.0";"7.7";"";"";"";"";"";"";
"09.11.2016 05:30";"16.6";"714.1";"761.4";"0.3";"45";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"4.0";"4.5";"";"";"";"";"";"";
"09.11.2016 02:30";"17.0";"713.8";"761.1";"-0.9";"54";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"4.0";"7.6";"";"";"";"";"";"";
"08.11.2016 23:30";"18.0";"714.7";"761.8";"0.2";"52";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"4.0";"7.9";"";"";"";"";"";"";
"08.11.2016 20:30";"21.0";"714.5";"761.2";"0.8";"33";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"4.0";"4.1";"";"";"";"";"";"";
"08.11.2016 17:30";"24.2";"713.7";"759.7";"0.3";"32";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"31.3";"";"";"";"";"";"10.0";"6.5";"";"";"";"";"";"";
"08.11.2016 14:30";"31.0";"713.4";"758.5";"-1.6";"23";"Wind blowing from the north-west";"1";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"10.0";"7.5";"";"";"";"";"";"";
"08.11.2016 11:30";"28.2";"715.0";"760.5";"-0.3";"29";"Wind blowing from the north-west";"1";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"10.0";"8.6";"";"";"";"";"";"";
"08.11.2016 08:30";"20.0";"715.3";"762.1";"1.6";"50";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"14.9";"";"";"";"";"";"";"4.0";"9.2";"";"";"";"";"";"";
"08.11.2016 05:30";"17.0";"713.7";"761.0";"0.8";"52";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"4.0";"7.1";"";"";"";"";"";"";
"08.11.2016 02:30";"19.0";"712.9";"759.7";"-0.4";"46";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"4.0";"6.9";"";"";"";"";"";"";
"07.11.2016 23:30";"20.2";"713.3";"759.9";"-0.2";"41";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"4.0";"6.6";"";"";"";"";"";"";
"07.11.2016 20:30";"22.0";"713.5";"759.9";"1.2";"36";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"4.0";"6.2";"";"";"";"";"";"";
"07.11.2016 17:30";"25.6";"712.3";"758.0";"-0.3";"33";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"32.0";"";"";"";"";"";"10.0";"8.1";"";"";"";"";"";"";
"07.11.2016 14:30";"31.2";"712.6";"757.3";"-1.8";"22";"Wind blowing from the north-west";"1";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"10.0";"7.3";"";"";"";"";"";"";
"07.11.2016 11:30";"28.8";"714.4";"759.8";"0.0";"25";"Wind blowing from the north-west";"1";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"10.0";"7.0";"";"";"";"";"";"";
"07.11.2016 08:30";"22.0";"714.4";"760.8";"1.4";"35";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"16.4";"";"";"";"";"";"";"10.0";"5.7";"";"";"";"";"";"";
"07.11.2016 05:30";"17.8";"713.0";"760.0";"0.1";"60";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"4.0";"9.9";"";"";"";"";"";"";
"07.11.2016 02:30";"18.0";"712.9";"759.9";"-0.3";"59";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"4.0";"9.7";"";"";"";"";"";"";
"06.11.2016 23:30";"19.0";"713.2";"760.0";"0.2";"55";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"4.0";"9.7";"";"";"";"";"";"";
"06.11.2016 20:30";"21.4";"713.0";"759.4";"1.2";"43";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"4.0";"8.3";"";"";"";"";"";"";
"06.11.2016 17:30";"25.8";"711.8";"757.6";"0.2";"36";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"31.7";"";"";"";"";"";"10.0";"9.4";"";"";"";"";"";"";
"06.11.2016 14:30";"31.0";"711.6";"756.4";"-1.3";"26";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"10.0";"9.6";"";"";"";"";"";"";
"06.11.2016 11:30";"30.0";"712.9";"758.1";"-0.1";"27";"Wind blowing from the north-east";"1";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"10.0";"9.0";"";"";"";"";"";"";
"06.11.2016 08:30";"20.0";"713.0";"759.7";"1.5";"54";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"14.4";"";"";"";"";"";"";"10.0";"10.5";"";"";"";"";"";"";
"06.11.2016 05:30";"16.2";"711.5";"758.6";"0.4";"63";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"4.0";"9.2";"";"";"";"";"";"";
"06.11.2016 02:30";"18.6";"711.1";"757.9";"-0.8";"61";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"4.0";"10.9";"";"";"";"";"";"";
"05.11.2016 23:30";"19.6";"711.9";"758.6";"0.2";"57";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"4.0";"10.8";"";"";"";"";"";"";
"05.11.2016 20:30";"20.4";"711.7";"758.2";"1.2";"54";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"4.0";"10.6";"";"";"";"";"";"";
"05.11.2016 17:30";"24.4";"710.5";"756.4";"0.3";"42";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"29.8";"";"";"";"";"";"10.0";"10.6";"";"";"";"";"";"";
"05.11.2016 14:30";"28.4";"710.2";"755.3";"-2.0";"31";"Wind blowing from the north-east";"1";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"10.0";"9.5";"";"";"";"";"";"";
"05.11.2016 11:30";"27.8";"712.2";"757.6";"-0.4";"31";"Wind blowing from the north-east";"1";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"10.0";"9.0";"";"";"";"";"";"";
"05.11.2016 08:30";"22.2";"712.6";"758.8";"1.2";"50";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"16.2";"";"";"";"";"";"";"10.0";"11.2";"";"";"";"";"";"";
"05.11.2016 05:30";"17.4";"711.4";"758.3";"0.0";"63";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"4.0";"10.2";"";"";"";"";"";"";
"05.11.2016 02:30";"18.4";"711.4";"758.2";"-0.7";"62";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"4.0";"11.0";"";"";"";"";"";"";
"04.11.2016 23:30";"19.6";"712.1";"758.8";"0.1";"59";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"4.0";"11.2";"";"";"";"";"";"";
"04.11.2016 20:30";"21.6";"712.0";"758.4";"0.6";"52";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"4.0";"11.3";"";"";"";"";"";"";
"04.11.2016 17:30";"25.2";"711.4";"757.1";"0.0";"46";"Calm, no wind";"0";"";"";"10%  or less, but not 0";" ";"";"";"";"30.3";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"10%  or less, but not 0";"2500 or more, or no clouds.";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"10.0";"12.6";"";"";"";"";"";"";
