# Weather station Durg, India, WMO_ID=42876,selection from 07.12.2015 till 31.12.2017, all days
# Encoding: UTF-8
# The data is provided by the website "Reliable Prognosis", rp5.ru 
# If you use the data, please indicate the name of the website.
# For meteorological parameters see the address http://rp5.ru/archive.php?wmo_id=42876&lang=en
#
"Local time in Durg";"T";"Po";"P";"Pa";"U";"DD";"Ff";"ff10";"ff3";"N";"WW";"W1";"W2";"Tn";"Tx";"Cl";"Nh";"H";"Cm";"Ch";"VV";"Td";"RRR";"tR";"E";"Tg";"E'";"sss"
"27.01.2017 17:30";"28.2";"";"";"";"36";"Wind blowing from the north";"1";"";"";"no clouds";" ";"";"";"";"31.2";"";"";"";"";"";"4.0";"11.6";"";"";"";"";"";"";
"27.01.2017 08:30";"18.6";"";"";"";"84";"Wind blowing from the south";"1";"";"";"60%.";" ";"";"";"14.6";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"20–30%.";"600-1000";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"15.9";"";"";"";"";"";"";
"26.01.2017 17:30";"24.4";"";"";"";"42";"Wind blowing from the north-west";"1";"";"";"60%.";" ";"";"";"";"27.4";"Stratocumulus other than Stratocumulus cumulogenitus.";"20–30%.";"600-1000";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"10.5";"";"";"";"";"";"";
"26.01.2017 08:30";"15.2";"";"";"";"82";"Wind blowing from the north-east";"1";"";"";"60%.";" ";"";"";"12.2";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"20–30%.";"600-1000";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"12.1";"";"";"";"";"";"";
"25.01.2017 17:30";"27.6";"";"";"";"43";"Wind blowing from the north-west";"1";"";"";"no clouds";" ";"";"";"";"30.2";"";"";"";"";"";"4.0";"13.9";"";"";"";"";"";"";
"25.01.2017 08:30";"17.0";"";"";"";"73";"Wind blowing from the north-east";"1";"";"";"no clouds";" ";"";"";"12.8";"";"";"";"";"";"";"4.0";"12.1";"";"";"";"";"";"";
"24.01.2017 17:30";"28.8";"";"";"";"31";"Wind blowing from the west";"1";"";"";"no clouds";" ";"";"";"";"31.6";"";"";"";"";"";"4.0";"10.0";"";"";"";"";"";"";
"24.01.2017 08:30";"16.6";"";"";"";"76";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"13.4";"";"";"";"";"";"";"4.0";"12.3";"";"";"";"";"";"";
"23.01.2017 17:30";"29.2";"";"";"";"31";"Wind blowing from the west";"1";"";"";"20–30%.";" ";"";"";"";"31.2";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"no clouds";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"4.0";"10.3";"";"";"";"";"";"";
"23.01.2017 08:30";"16.2";"";"";"";"73";"Wind blowing from the north";"1";"";"";"no clouds";" ";"";"";"13.2";"";"";"";"";"";"";"4.0";"11.4";"";"";"";"";"";"";
"22.01.2017 17:30";"29.6";"";"";"";"29";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"31.8";"";"";"";"";"";"4.0";"9.6";"";"";"";"";"";"";
"22.01.2017 08:30";"15.8";"";"";"";"81";"Wind blowing from the north-east";"1";"";"";"no clouds";" ";"";"";"13.4";"";"";"";"";"";"";"4.0";"12.5";"";"";"";"";"";"";
"21.01.2017 17:30";"28.2";"";"";"";"37";"Wind blowing from the north";"1";"";"";"no clouds";" ";"";"";"";"30.6";"";"";"";"";"";"4.0";"12.0";"";"";"";"";"";"";
"21.01.2017 08:30";"14.4";"";"";"";"87";"Wind blowing from the north";"1";"";"";"no clouds";" ";"";"";"12.8";"";"";"";"";"";"";"4.0";"12.2";"";"";"";"";"";"";
"20.01.2017 20:30";"19.8";"";"763.3";"";"67";"Calm, no wind";"0";"";"";"40%.";"Haze. ";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"10%  or less, but not 0";"2500 or more, or no clouds.";"Altocumulus translucidus at a single level.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"2.0";"13.5";"";"";"";"";"";"";
"20.01.2017 17:30";"28.4";"";"";"";"35";"Wind blowing from the west";"1";"";"";"40%.";" ";"";"";"";"31.2";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"no clouds";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"4.0";"11.4";"";"";"";"";"";"";
"20.01.2017 08:30";"14.8";"";"";"";"77";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"13.0";"";"";"";"";"";"";"4.0";"10.8";"";"";"";"";"";"";
"19.01.2017 17:30";"29.6";"";"";"";"31";"Wind blowing from the north-east";"1";"";"";"no clouds";" ";"";"";"";"31.8";"";"";"";"";"";"4.0";"10.5";"";"";"";"";"";"";
"19.01.2017 08:30";"14.6";"";"";"";"86";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"12.2";"";"";"";"";"";"";"4.0";"12.3";"";"";"";"";"";"";
"18.01.2017 17:30";"28.6";"";"";"";"37";"Wind blowing from the west";"1";"";"";"no clouds";" ";"";"";"";"31.4";"";"";"";"";"";"4.0";"12.6";"";"";"";"";"";"";
"18.01.2017 08:30";"14.8";"";"";"";"77";"Wind blowing from the north-west";"1";"";"";"no clouds";" ";"";"";"10.6";"";"";"";"";"";"";"2.0";"10.8";"";"";"";"";"";"";
"17.01.2017 17:30";"28.2";"";"";"";"37";"Wind blowing from the north-east";"1";"";"";"no clouds";" ";"";"";"";"30.8";"";"";"";"";"";"4.0";"12.0";"";"";"";"";"";"";
"17.01.2017 08:30";"14.2";"";"";"";"78";"Wind blowing from the north";"1";"";"";"20–30%.";" ";"";"";"10.2";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"no clouds";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"4.0";"10.4";"";"";"";"";"";"";
"16.01.2017 17:30";"28.4";"";"";"";"35";"Calm, no wind";"0";"";"";"60%.";" ";"";"";"";"31.2";"Stratocumulus other than Stratocumulus cumulogenitus.";"20–30%.";"600-1000";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"11.4";"";"";"";"";"";"";
"15.01.2017 17:30";"26.4";"";"";"";"34";"Wind blowing from the north";"1";"";"";"20–30%.";" ";"";"";"";"27.2";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"no clouds";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"4.0";"9.2";"";"";"";"";"";"";
"15.01.2017 08:30";"12.6";"";"";"";"72";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"8.6";"";"";"";"";"";"";"4.0";"7.7";"";"";"";"";"";"";
"14.01.2017 17:30";"23.2";"";"";"";"32";"Wind blowing from the north-east";"1";"";"";"no clouds";" ";"";"";"";"25.6";"";"";"";"";"";"4.0";"5.4";"";"";"";"";"";"";
"13.01.2017 08:30";"11.2";"";"";"";"78";"Wind blowing from the north";"1";"";"";"no clouds";"Haze. ";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"8.2";"";"";"";"";"";"";"2.0";"7.5";"";"";"";"";"";"";
"12.01.2017 17:30";"21.0";"";"";"";"43";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"24.6";"";"";"";"";"";"4.0";"8.0";"";"";"";"";"";"";
"12.01.2017 11:30";"22.4";"";"761.2";"";"55";"Wind blowing from the north-east";"3";"";"";"50%.";"Haze. ";"Cloud covering more than 1/2 of the sky during part of the appropriate period and covering 1/2 or less during part of the period.";"Cloud covering more than 1/2 of the sky during part of the appropriate period and covering 1/2 or less during part of the period.";"";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"50%.";"2500 or more, or no clouds.";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"2.0";"13.0";"";"";"";"";"";"";
"12.01.2017 08:30";"13.4";"";"";"";"67";"Calm, no wind";"0";"";"";"20–30%.";" ";"";"";"10.0";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"no clouds";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"2.0";"7.3";"";"";"";"";"";"";
"27.12.2016 02:30";"10.0";"735.2";"762.4";"";"72";"Calm, no wind";"0";"";"";"no clouds";"Haze. ";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"";"";"";"";"";"";"";"2.0";"5.2";"";"";"";"";"";"";
"23.12.2016 08:30";"12.8";"";"";"";"72";"Wind blowing from the north";"1";"";"";"no clouds";" ";"";"";"8.2";"";"";"";"";"";"";"4.0";"7.9";"";"";"";"";"";"";
"22.12.2016 17:30";"28.6";"";"";"";"32";"Wind blowing from the west";"1";"";"";"no clouds";" ";"";"";"";"31.0";"";"";"";"";"";"4.0";"10.2";"";"";"";"";"";"";
"22.12.2016 08:30";"15.0";"";"";"";"81";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"8.8";"";"";"";"";"";"";"2.0";"11.7";"";"";"";"";"";"";
"21.12.2016 17:30";"28.2";"";"";"";"23";"Wind blowing from the west";"1";"";"";"no clouds";" ";"";"";"";"30.8";"";"";"";"";"";"4.0";"5.0";"";"";"";"";"";"";
"21.12.2016 08:30";"13.4";"";"";"";"91";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"8.4";"";"";"";"";"";"";"2.0";"11.9";"";"";"";"";"";"";
"20.12.2016 17:30";"25.6";"";"";"";"42";"Wind blowing from the north";"1";"";"";"no clouds";" ";"";"";"";"28.6";"";"";"";"";"";"4.0";"11.6";"";"";"";"";"";"";
"20.12.2016 08:30";"13.6";"";"";"";"84";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"8.2";"";"";"";"";"";"";"4.0";"11.0";"";"";"";"";"";"";
"19.12.2016 17:30";"23.4";"";"";"";"36";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"28.0";"";"";"";"";"";"4.0";"7.4";"";"";"";"";"";"";
"19.12.2016 08:30";"12.6";"";"";"";"86";"Wind blowing from the north-east";"1";"";"";"no clouds";" ";"";"";"8.6";"";"";"";"";"";"";"4.0";"10.3";"";"";"";"";"";"";
"18.12.2016 08:30";"14.4";"";"";"";"76";"Wind blowing from the north";"1";"";"";"no clouds";" ";"";"";"9.4";"";"";"";"";"";"";"4.0";"10.2";"";"";"";"";"";"";
"16.12.2016 17:30";"24.6";"";"";"";"41";"Wind blowing from the north";"1";"";"";"no clouds";" ";"";"";"";"29.2";"";"";"";"";"";"4.0";"10.6";"";"";"";"";"";"";
"16.12.2016 08:30";"16.2";"";"";"";"71";"Wind blowing from the north-east";"1";"";"";"no clouds";" ";"";"";"11.4";"";"";"";"";"";"";"4.0";"11.0";"";"";"";"";"";"";
"15.12.2016 17:30";"25.4";"";"";"";"47";"Wind blowing from the north-west";"1";"";"";"no clouds";" ";"";"";"";"30.2";"";"";"";"";"";"4.0";"13.1";"";"";"";"";"";"";
"14.12.2016 17:30";"26.6";"";"";"";"43";"Wind blowing from the north-east";"1";"";"";"no clouds";" ";"";"";"";"31.2";"";"";"";"";"";"4.0";"13.0";"";"";"";"";"";"";
"14.12.2016 08:30";"17.4";"";"";"";"67";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"11.0";"";"";"";"";"";"";"4.0";"11.1";"";"";"";"";"";"";
"13.12.2016 17:30";"25.2";"";"";"";"51";"Wind blowing from the north";"1";"";"";"no clouds";" ";"";"";"";"30.2";"";"";"";"";"";"4.0";"14.2";"";"";"";"";"";"";
"13.12.2016 08:30";"17.2";"";"";"";"74";"Wind blowing from the north";"1";"";"";"no clouds";" ";"";"";"11.2";"";"";"";"";"";"";"4.0";"12.5";"";"";"";"";"";"";
"12.12.2016 17:30";"26.2";"";"";"";"49";"Wind blowing from the north";"1";"";"";"40%.";" ";"";"";"";"29.6";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"no clouds";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"4.0";"14.5";"";"";"";"";"";"";
"11.12.2016 17:30";"25.2";"";"";"";"51";"Wind blowing from the north";"1";"";"";"20–30%.";" ";"";"";"";"28.8";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"no clouds";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"4.0";"14.2";"";"";"";"";"";"";
"11.12.2016 08:30";"15.6";"";"";"";"75";"Wind blowing from the north";"1";"";"";"no clouds";" ";"";"";"11.2";"";"";"";"";"";"";"4.0";"11.1";"";"";"";"";"";"";
"10.12.2016 17:30";"24.0";"";"";"";"54";"Wind blowing from the north-east";"1";"";"";"no clouds";" ";"";"";"";"28.0";"";"";"";"";"";"4.0";"14.2";"";"";"";"";"";"";
"10.12.2016 08:30";"15.0";"";"";"";"79";"Wind blowing from the north";"1";"";"";"no clouds";" ";"";"";"10.6";"";"";"";"";"";"";"4.0";"11.3";"";"";"";"";"";"";
"09.12.2016 17:30";"24.6";"";"";"";"53";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"28.8";"";"";"";"";"";"4.0";"14.5";"";"";"";"";"";"";
"09.12.2016 08:30";"17.2";"";"";"";"74";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"11.6";"";"";"";"";"";"";"4.0";"12.5";"";"";"";"";"";"";
"08.12.2016 17:30";"26.6";"";"";"";"49";"Wind blowing from the north-east";"1";"";"";"20–30%.";" ";"";"";"";"30.6";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"no clouds";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"4.0";"15.1";"";"";"";"";"";"";
"08.12.2016 08:30";"17.0";"";"";"";"84";"Wind blowing from the north";"1";"";"";"no clouds";" ";"";"";"12.0";"";"";"";"";"";"";"4.0";"14.2";"";"";"";"";"";"";
"07.12.2016 08:30";"17.4";"";"";"";"78";"Wind blowing from the north-east";"1";"";"";"no clouds";" ";"";"";"12.9";"";"";"";"";"";"";"4.0";"13.5";"";"";"";"";"";"";
"06.12.2016 17:30";"27.6";"";"";"";"43";"Wind blowing from the north-east";"1";"";"";"no clouds";" ";"";"";"";"30.6";"";"";"";"";"";"4.0";"13.9";"";"";"";"";"";"";
"06.12.2016 08:30";"17.6";"";"";"";"77";"Wind blowing from the north";"1";"";"";"no clouds";" ";"";"";"13.0";"";"";"";"";"";"";"4.0";"13.4";"";"";"";"";"";"";
"05.12.2016 17:30";"26.2";"";"";"";"50";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"29.9";"";"";"";"";"";"4.0";"15.0";"";"";"";"";"";"";
"05.12.2016 08:30";"17.4";"";"";"";"80";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"13.6";"";"";"";"";"";"";"4.0";"13.9";"";"";"";"";"";"";
"04.12.2016 17:30";"28.2";"";"";"";"45";"Wind blowing from the north-east";"1";"";"";"no clouds";" ";"";"";"";"32.4";"";"";"";"";"";"4.0";"15.3";"";"";"";"";"";"";
"04.12.2016 08:30";"19.6";"";"";"";"79";"Wind blowing from the north";"1";"";"";"20–30%.";" ";"";"";"14.6";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"no clouds";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"4.0";"15.9";"";"";"";"";"";"";
"03.12.2016 17:30";"27.4";"";"";"";"49";"Wind blowing from the north";"1";"";"";"no clouds";" ";"";"";"";"31.4";"";"";"";"";"";"4.0";"15.7";"";"";"";"";"";"";
"03.12.2016 08:30";"19.2";"";"";"";"81";"Wind blowing from the north";"1";"";"";"no clouds";" ";"";"";"14.2";"";"";"";"";"";"";"4.0";"15.9";"";"";"";"";"";"";
"02.12.2016 17:30";"25.0";"";"";"";"62";"Calm, no wind";"0";"";"";"40%.";" ";"";"";"";"30.6";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"no clouds";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"4.0";"17.3";"";"";"";"";"";"";
"02.12.2016 08:30";"19.4";"";"";"";"79";"Wind blowing from the north-west";"1";"";"";"60%.";" ";"";"";"14.2";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"20–30%.";"600-1000";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"15.7";"";"";"";"";"";"";
"01.12.2016 17:30";"27.4";"";"";"";"48";"Wind blowing from the north-east";"1";"";"";"40%.";" ";"";"";"";"29.6";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"no clouds";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"4.0";"15.3";"";"";"";"";"";"";
"01.12.2016 08:30";"17.4";"";"";"";"75";"Wind blowing from the north-east";"1";"";"";"no clouds";" ";"";"";"12.2";"";"";"";"";"";"";"4.0";"12.8";"";"";"";"";"";"";
"30.11.2016 17:30";"27.2";"";"";"";"45";"Wind blowing from the west-southwest";"1";"";"";"no clouds";" ";"";"";"";"32.2";"";"";"";"";"";"4.0";"14.2";"";"";"";"";"";"";
"30.11.2016 08:30";"17.8";"";"";"";"77";"Wind blowing from the north";"1";"";"";"no clouds";" ";"";"";"12.0";"";"";"";"";"";"";"4.0";"13.6";"";"";"";"";"";"";
"29.11.2016 17:30";"28.6";"";"";"";"44";"Wind blowing from the north";"1";"";"";"no clouds";" ";"";"";"";"32.8";"";"";"";"";"";"4.0";"15.1";"";"";"";"";"";"";
"29.11.2016 08:30";"17.2";"";"";"";"80";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"11.9";"";"";"";"";"";"";"4.0";"13.7";"";"";"";"";"";"";
"28.11.2016 17:30";"28.0";"";"";"";"47";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"33.4";"";"";"";"";"";"4.0";"15.7";"";"";"";"";"";"";
"28.11.2016 08:30";"19.4";"";"";"";"72";"Wind blowing from the north";"1";"";"";"no clouds";" ";"";"";"11.6";"";"";"";"";"";"";"4.0";"14.2";"";"";"";"";"";"";
"27.11.2016 17:30";"29.0";"";"";"";"40";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"32.6";"";"";"";"";"";"4.0";"14.2";"";"";"";"";"";"";
"27.11.2016 08:30";"18.8";"";"";"";"75";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"12.0";"";"";"";"";"";"";"4.0";"14.3";"";"";"";"";"";"";
"26.11.2016 17:30";"28.8";"";"";"";"43";"Wind blowing from the north-east";"1";"";"";"no clouds";" ";"";"";"";"32.9";"";"";"";"";"";"4.0";"15.1";"";"";"";"";"";"";
"26.11.2016 08:30";"18.2";"";"";"";"75";"Wind blowing from the north";"1";"";"";"no clouds";" ";"";"";"11.6";"";"";"";"";"";"";"4.0";"13.6";"";"";"";"";"";"";
"25.11.2016 17:30";"27.8";"";"";"";"49";"Wind blowing from the north-east";"1";"";"";"no clouds";" ";"";"";"";"32.6";"";"";"";"";"";"4.0";"16.2";"";"";"";"";"";"";
"25.11.2016 08:30";"17.6";"";"";"";"77";"Wind blowing from the north";"1";"";"";"no clouds";" ";"";"";"11.0";"";"";"";"";"";"";"4.0";"13.4";"";"";"";"";"";"";
"24.11.2016 17:30";"26.4";"";"";"";"53";"Wind blowing from the north";"1";"";"";"no clouds";" ";"";"";"";"32.2";"";"";"";"";"";"4.0";"16.0";"";"";"";"";"";"";
"24.11.2016 08:30";"18.2";"";"";"";"71";"Wind blowing from the north-east";"1";"";"";"no clouds";" ";"";"";"11.6";"";"";"";"";"";"";"4.0";"12.9";"";"";"";"";"";"";
"23.11.2016 17:30";"27.2";"";"";"";"52";"Wind blowing from the north";"1";"";"";"no clouds";" ";"";"";"";"31.8";"";"";"";"";"";"4.0";"16.6";"";"";"";"";"";"";
"23.11.2016 08:30";"17.0";"";"";"";"93";"Wind blowing from the north-east";"1";"";"";"no clouds";" ";"";"";"11.0";"";"";"";"";"";"";"4.0";"15.8";"";"";"";"";"";"";
"22.11.2016 17:30";"27.2";"";"";"";"47";"Wind blowing from the north";"1";"";"";"no clouds";" ";"";"";"";"31.6";"";"";"";"";"";"4.0";"15.0";"";"";"";"";"";"";
"22.11.2016 08:30";"17.0";"";"";"";"84";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"10.8";"";"";"";"";"";"";"4.0";"14.2";"";"";"";"";"";"";
"21.11.2016 17:30";"26.8";"";"";"";"52";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"31.2";"";"";"";"";"";"4.0";"16.1";"";"";"";"";"";"";
"21.11.2016 08:30";"16.0";"";"";"";"90";"Wind blowing from the north-east";"1";"";"";"no clouds";" ";"";"";"11.0";"";"";"";"";"";"";"4.0";"14.3";"";"";"";"";"";"";
"20.11.2016 17:30";"28.6";"";"";"";"39";"Wind blowing from the north";"1";"";"";"no clouds";" ";"";"";"";"30.8";"";"";"";"";"";"4.0";"13.4";"";"";"";"";"";"";
"20.11.2016 08:30";"17.2";"";"";"";"76";"Wind blowing from the north";"1";"";"";"no clouds";" ";"";"";"12.6";"";"";"";"";"";"";"4.0";"12.8";"";"";"";"";"";"";
"19.11.2016 08:30";"16.2";"";"";"";"79";"Wind blowing from the north";"1";"";"";"no clouds";" ";"";"";"12.0";"";"";"";"";"";"";"4.0";"12.6";"";"";"";"";"";"";
"18.11.2016 17:30";"27.8";"";"";"";"42";"Wind blowing from the north";"1";"";"";"no clouds";" ";"";"";"";"30.2";"";"";"";"";"";"4.0";"13.6";"";"";"";"";"";"";
"18.11.2016 08:30";"16.6";"";"";"";"77";"Wind blowing from the north";"1";"";"";"no clouds";" ";"";"";"12.4";"";"";"";"";"";"";"4.0";"12.6";"";"";"";"";"";"";
"17.11.2016 17:30";"27.6";"";"";"";"42";"Wind blowing from the north";"1";"";"";"no clouds";" ";"";"";"";"29.6";"";"";"";"";"";"4.0";"13.5";"";"";"";"";"";"";
"17.11.2016 08:30";"18.0";"";"";"";"75";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"12.6";"";"";"";"";"";"";"4.0";"13.4";"";"";"";"";"";"";
"16.11.2016 17:30";"27.4";"";"";"";"44";"Wind blowing from the north";"1";"";"";"no clouds";" ";"";"";"";"30.4";"";"";"";"";"";"4.0";"14.0";"";"";"";"";"";"";
"15.11.2016 08:30";"18.0";"";"";"";"75";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"13.4";"";"";"";"";"";"";"4.0";"13.4";"";"";"";"";"";"";
"14.11.2016 17:30";"28.4";"";"";"";"44";"Wind blowing from the north";"1";"";"";"no clouds";" ";"";"";"";"30.2";"";"";"";"";"";"4.0";"14.9";"";"";"";"";"";"";
"14.11.2016 08:30";"18.0";"";"";"";"82";"Wind blowing from the north-east";"1";"";"";"no clouds";" ";"";"";"13.8";"";"";"";"";"";"";"4.0";"14.9";"";"";"";"";"";"";
"13.11.2016 17:30";"27.6";"";"";"";"43";"Wind blowing from the north";"1";"";"";"no clouds";" ";"";"";"";"29.8";"";"";"";"";"";"4.0";"14.0";"";"";"";"";"";"";
"13.11.2016 08:30";"17.2";"";"";"";"68";"Wind blowing from the north-east";"1";"";"";"no clouds";" ";"";"";"13.6";"";"";"";"";"";"";"4.0";"11.3";"";"";"";"";"";"";
"12.11.2016 17:30";"23.6";"";"";"";"43";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"28.6";"";"";"";"";"";"4.0";"10.2";"";"";"";"";"";"";
"12.11.2016 08:30";"18.0";"";"";"";"75";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"12.0";"";"";"";"";"";"";"4.0";"13.4";"";"";"";"";"";"";
"11.11.2016 17:30";"28.4";"";"";"";"39";"Wind blowing from the north-east";"1";"";"";"no clouds";" ";"";"";"";"30.6";"";"";"";"";"";"4.0";"13.2";"";"";"";"";"";"";
"11.11.2016 08:30";"17.0";"";"";"";"76";"Wind blowing from the north";"1";"";"";"no clouds";" ";"";"";"11.0";"";"";"";"";"";"";"4.0";"12.7";"";"";"";"";"";"";
"10.11.2016 08:30";"18.0";"";"";"";"74";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"12.6";"";"";"";"";"";"";"4.0";"13.2";"";"";"";"";"";"";
"09.11.2016 17:30";"28.2";"";"";"";"45";"Wind blowing from the north";"1";"";"";"no clouds";" ";"";"";"";"31.2";"";"";"";"";"";"4.0";"15.1";"";"";"";"";"";"";
"09.11.2016 08:30";"18.4";"";"";"";"71";"Wind blowing from the north";"1";"";"";"no clouds";" ";"";"";"12.6";"";"";"";"";"";"";"4.0";"13.1";"";"";"";"";"";"";
"08.11.2016 17:30";"28.6";"";"";"";"59";"Wind blowing from the north";"1";"";"";"no clouds";" ";"";"";"";"32.6";"";"";"";"";"";"4.0";"19.7";"";"";"";"";"";"";
"08.11.2016 08:30";"20.6";"";"";"";"78";"Wind blowing from the north-east";"1";"";"";"no clouds";" ";"";"";"13.4";"";"";"";"";"";"";"4.0";"16.7";"";"";"";"";"";"";
"07.11.2016 17:30";"25.2";"";"";"";"62";"Wind blowing from the north";"1";"";"";"no clouds";" ";"";"";"";"32.2";"";"";"";"";"";"4.0";"17.5";"";"";"";"";"";"";
"07.11.2016 08:30";"21.6";"";"";"";"69";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"14.2";"";"";"";"";"";"";"4.0";"15.6";"";"";"";"";"";"";
"06.11.2016 17:30";"28.6";"";"";"";"59";"Wind blowing from the north-east";"1";"";"";"no clouds";" ";"";"";"";"32.8";"";"";"";"";"";"4.0";"19.7";"";"";"";"";"";"";
"06.11.2016 08:30";"22.4";"";"";"";"76";"Wind blowing from the north";"1";"";"";"20–30%.";" ";"";"";"18.0";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"no clouds";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"4.0";"17.9";"";"";"";"";"";"";
"05.11.2016 17:30";"29.4";"";"";"";"52";"Wind blowing from the west";"1";"";"";"60%.";" ";"";"";"";"32.4";"Stratocumulus other than Stratocumulus cumulogenitus.";"20–30%.";"600-1000";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"18.6";"";"";"";"";"";"";
"05.11.2016 08:30";"24.4";"";"";"";"77";"Wind blowing from the north-east";"1";"";"";"20–30%.";" ";"";"";"19.2";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"no clouds";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"4.0";"20.1";"";"";"";"";"";"";
