# Weather station Mana, India, WMO_ID=42872,selection from 01.01.2012 till 31.12.2017, all days
# Encoding: UTF-8
# The data is provided by the website "Reliable Prognosis", rp5.ru 
# If you use the data, please indicate the name of the website.
# For meteorological parameters see the address http://rp5.ru/archive.php?wmo_id=42872&lang=en
#
"Local time in Mana";"T";"Po";"P";"Pa";"U";"DD";"Ff";"ff10";"ff3";"N";"WW";"W1";"W2";"Tn";"Tx";"Cl";"Nh";"H";"Cm";"Ch";"VV";"Td";"RRR";"tR";"E";"Tg";"E'";"sss"
"24.12.2017 08:30";"18.6";"734.4";"762.3";"1.8";"47";"Wind blowing from the east-southeast";"2";"";"";"no clouds";"Haze. ";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"13.7";"";"";"";"";"";"";"2.0";"7.1";"";"";"";"";"";"";
"24.12.2017 05:30";"16.0";"732.6";"760.6";"0.1";"56";"Wind blowing from the north-east";"3";"";"";"no clouds";"Haze. ";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"";"";"";"";"";"";"";"2.0";"7.2";"";"";"";"";"";"";
"24.12.2017 02:30";"15.6";"732.5";"760.6";"-0.6";"67";"Calm, no wind";"0";"";"";"no clouds";"Haze. ";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"";"";"";"";"";"";"";"2.0";"9.4";"";"";"";"";"";"";
"23.12.2017 23:30";"17.6";"733.1";"761.0";"";"56";"Calm, no wind";"0";"";"";"no clouds";"Haze. ";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"";"";"";"";"";"";"";"4.0";"8.7";"";"";"";"";"";"";
"23.12.2017 17:30";"25.4";"732.2";"759.3";"";"34";"Wind blowing from the north-east";"2";"";"";"10%  or less, but not 0";"Haze. ";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"";"28.6";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"no clouds";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"4.0";"8.3";"";"";"";"";"";"";
"23.12.2017 08:30";"18.6";"734.5";"762.4";"1.4";"63";"Wind blowing from the east";"2";"";"";"no clouds";"Haze. ";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"13.8";"";"";"";"";"";"";"2.0";"11.3";"";"";"";"";"";"";
"23.12.2017 05:30";"15.4";"733.1";"761.2";"0.0";"75";"Wind blowing from the north-east";"2";"";"";"no clouds";"Haze. ";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"";"";"";"";"";"";"";"2.0";"10.9";"";"";"";"";"";"";
"23.12.2017 02:30";"18.2";"733.1";"761.0";"-1.2";"61";"Wind blowing from the north-east";"1";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"4.0";"10.4";"";"";"";"";"";"";
"22.12.2017 23:30";"20.2";"734.3";"762.0";"";"50";"Wind blowing from the north-east";"2";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"4.0";"9.3";"";"";"";"";"";"";
"22.12.2017 17:30";"25.0";"733.9";"761.1";"";"43";"Wind blowing from the north-east";"1";"";"";"20–30%.";"Haze. ";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"";"28.7";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"no clouds";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"2.0";"11.7";"";"";"";"";"";"";
"22.12.2017 08:30";"17.4";"735.7";"763.7";"0.5";"73";"Calm, no wind";"0";"";"";"no clouds";"Haze. ";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"13.7";"";"";"";"";"";"";"2.0";"12.4";"";"";"";"";"";"";
"22.12.2017 05:30";"16.0";"735.2";"763.3";"0.8";"69";"Wind blowing from the north-east";"3";"";"";"no clouds";"Haze. ";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"";"";"";"";"";"";"";"2.0";"10.3";"";"";"";"";"";"";
"22.12.2017 02:30";"17.6";"734.4";"762.4";"-0.6";"63";"Wind blowing from the north-northeast";"3";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"4.0";"10.5";"";"";"";"";"";"";
"21.12.2017 23:30";"19.6";"735.0";"762.8";"";"52";"Wind blowing from the east";"2";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"4.0";"9.5";"";"";"";"";"";"";
"21.12.2017 17:30";"24.6";"734.5";"761.8";"";"38";"Wind blowing from the south-east";"1";"";"";"10%  or less, but not 0";"Haze. ";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"";"29.0";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"no clouds";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"4.0";"9.2";"";"";"";"";"";"";
"21.12.2017 08:30";"18.0";"737.5";"765.5";"";"57";"Wind blowing from the north-east";"3";"";"";"10%  or less, but not 0";"Haze. ";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"10%  or less, but not 0";"2500 or more, or no clouds.";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"2.0";"9.2";"";"";"";"";"";"";
"20.12.2017 23:30";"18.6";"736.3";"764.2";"";"49";"Wind blowing from the east-southeast";"1";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"4.0";"7.7";"";"";"";"";"";"";
"20.12.2017 17:30";"25.2";"734.7";"761.9";"";"31";"Wind blowing from the north-east";"3";"";"";"no clouds";"Haze. ";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"";"28.7";"";"";"";"";"";"4.0";"6.9";"";"";"";"";"";"";
"20.12.2017 08:30";"17.8";"737.3";"765.4";"";"50";"Wind blowing from the east";"3";"";"";"no clouds";"Haze. ";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"12.2";"";"";"";"";"";"";"2.0";"7.1";"";"";"";"";"";"";
"20.12.2017 02:30";"15.6";"735.4";"763.6";"-0.4";"48";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"4.0";"4.5";"";"";"";"";"";"";
"19.12.2017 23:30";"17.2";"735.8";"763.8";"";"42";"Wind blowing from the east-northeast";"1";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"4.0";"4.0";"";"";"";"";"";"";
"19.12.2017 17:30";"24.8";"734.0";"761.3";"";"24";"Wind blowing from the east";"1";"";"";"no clouds";" ";"";"";"";"28.0";"";"";"";"";"";"4.0";"3.1";"";"";"";"";"";"";
"19.12.2017 08:30";"19.6";"737.2";"765.1";"1.6";"32";"Wind blowing from the east-southeast";"1";"";"";"50%.";"Haze. ";"Cloud covering more than 1/2 of the sky during part of the appropriate period and covering 1/2 or less during part of the period.";"Cloud covering more than 1/2 of the sky during part of the appropriate period and covering 1/2 or less during part of the period.";"11.6";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"10%  or less, but not 0";"2500 or more, or no clouds.";"Altocumulus translucidus at a single level.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"4.0";"2.4";"";"";"";"";"";"";
"19.12.2017 05:30";"13.4";"735.6";"764.0";"0.1";"58";"Calm, no wind";"0";"";"";"20–30%.";"Haze. ";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"no clouds";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"2.0";"5.3";"";"";"";"";"";"";
"19.12.2017 02:30";"17.0";"735.5";"763.6";"-1.0";"47";"Wind blowing from the north-east";"1";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"4.0";"5.4";"";"";"";"";"";"";
"18.12.2017 23:30";"18.6";"736.5";"764.4";"";"38";"Wind blowing from the north-northeast";"1";"";"";"20–30%.";" ";"";"";"";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"no clouds";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"4.0";"3.8";"";"";"";"";"";"";
"18.12.2017 17:30";"23.4";"735.3";"762.7";"";"28";"Wind blowing from the north";"1";"";"";"40%.";" ";"";"";"";"27.8";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"no clouds";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"4.0";"3.8";"";"";"";"";"";"";
"18.12.2017 08:30";"18.4";"738.0";"766.0";"1.9";"54";"Wind blowing from the north-east";"3";"";"";"no clouds";"Haze. ";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"14.5";"";"";"";"";"";"";"2.0";"8.8";"";"";"";"";"";"";
"18.12.2017 05:30";"16.8";"736.1";"764.2";"0.4";"59";"Wind blowing from the north-east";"3";"";"";"no clouds";"Haze. ";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"";"";"";"";"";"";"";"2.0";"8.7";"";"";"";"";"";"";
