# Weather station Rajnandgaon, India, WMO_ID=42948,selection from 08.12.2015 till 31.12.2017, all days
# Encoding: UTF-8
# The data is provided by the website "Reliable Prognosis", rp5.ru 
# If you use the data, please indicate the name of the website.
# For meteorological parameters see the address http://rp5.ru/archive.php?wmo_id=42948&lang=en
#
"Local time in Rajnandgaon";"T";"Po";"P";"Pa";"U";"DD";"Ff";"ff10";"ff3";"N";"WW";"W1";"W2";"Tn";"Tx";"Cl";"Nh";"H";"Cm";"Ch";"VV";"Td";"RRR";"tR";"E";"Tg";"E'";"sss"
"25.07.2017 08:30";"26.0";"";"754.6";"";"85";"Calm, no wind";"0";"";"";"70 – 80%.";" ";"";"";"23.8";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"40%.";"600-1000";"Altocumulus translucidus or opacus in two or more layers, or Altocumulus opacus in a single layer, not progressively invading the sky, or Altocumulus with Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"23.2";"";"";"";"";"";"";
"24.07.2017 08:30";"26.8";"";"750.7";"";"82";"Calm, no wind";"0";"";"";"100%.";" ";"";"";"23.2";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"50%.";"600-1000";"Altostratus opacus or Nimbostratus.";"";"4.0";"23.4";"";"";"";"";"";"";
"23.07.2017 17:30";"29.8";"";"750.7";"";"64";"Calm, no wind";"0";"";"";"70 – 80%.";" ";"";"";"";"30.2";"Stratocumulus other than Stratocumulus cumulogenitus.";"40%.";"600-1000";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"22.2";"";"";"";"";"";"";
"23.07.2017 08:30";"26.0";"";"751.4";"";"86";"Calm, no wind";"0";"";"";"70 – 80%.";" ";"";"";"24.0";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"20–30%.";"600-1000";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"23.4";"";"";"";"";"";"";
"22.07.2017 08:30";"27.2";"";"750.5";"";"74";"Calm, no wind";"0";"";"";"50%.";" ";"";"";"25.2";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"20–30%.";"600-1000";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"22.2";"";"";"";"";"";"";
"21.07.2017 17:30";"29.2";"";"747.5";"";"67";"Calm, no wind";"0";"";"";"90  or more, but not 100%";" ";"";"";"";"30.0";"Stratocumulus other than Stratocumulus cumulogenitus.";"40%.";"600-1000";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"22.4";"";"";"";"";"";"";
"21.07.2017 08:30";"30.0";"";"750.0";"";"67";"Calm, no wind";"0";"";"";"50%.";" ";"";"";"26.8";"";"Stratus nebulosus or Stratus fractus other than of bad weather, or both.";"40%.";"600-1000";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"23.2";"";"";"";"";"";"";
"20.07.2017 17:30";"29.0";"";"750.1";"";"71";"Calm, no wind";"0";"";"";"100%.";" ";"";"";"";"29.8";"Stratus nebulosus or Stratus fractus other than of bad weather, or both.";"50%.";"600-1000";"Altostratus translucidus.";"";"4.0";"23.2";"";"";"";"";"";"";
"20.07.2017 08:30";"29.0";"";"750.1";"";"71";"Calm, no wind";"0";"";"";"100%.";" ";"";"";"26.0";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"50%.";"600-1000";"Altostratus opacus or Nimbostratus.";"";"4.0";"23.2";"";"";"";"";"";"";
"19.07.2017 17:30";"28.0";"";"748.6";"";"80";"Calm, no wind";"0";"";"";"100%.";"Rain (not freezing) not falling as shower(s). ";"Rain.";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"50%.";"600-1000";"Altostratus opacus or Nimbostratus.";"";"4.0";"24.2";"";"";"";"";"";"";
"19.07.2017 08:30";"28.2";"";"750.5";"";"65";"Calm, no wind";"0";"";"";"50%.";" ";"";"";"27.0";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"20–30%.";"600-1000";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"21.0";"";"";"";"";"";"";
"18.07.2017 08:30";"28.2";"";"750.5";"";"65";"Calm, no wind";"0";"";"";"50%.";" ";"";"";"26.0";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"20–30%.";"600-1000";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"21.0";"";"";"";"";"";"";
"17.07.2017 17:30";"29.8";"";"749.9";"";"68";"Calm, no wind";"0";"";"";"100%.";" ";"";"";"";"29.8";"Stratus fractus or Cumulus fractus of bad weather, or both (pannus), usually below Altostratus or Nimbostratus.";"40%.";"600-1000";"Altostratus opacus or Nimbostratus.";"";"4.0";"23.2";"";"";"";"";"";"";
"17.07.2017 08:30";"26.2";"";"749.9";"";"70";"Calm, no wind";"0";"";"";"70 – 80%.";" ";"";"";"23.2";"";"Stratus nebulosus or Stratus fractus other than of bad weather, or both.";"50%.";"600-1000";"Patches (often lenticular) of Altocumulus translucidus, continually changing and occurring at one or more levels.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"20.2";"";"";"";"";"";"";
"16.07.2017 08:30";"26.0";"";"750.1";"";"75";"Calm, no wind";"0";"";"";"70 – 80%.";" ";"";"";"23.8";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"40%.";"600-1000";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"21.2";"";"";"";"";"";"";
"15.07.2017 08:30";"26.0";"";"748.6";"";"79";"Calm, no wind";"0";"";"";"70 – 80%.";" ";"";"";"23.0";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"20–30%.";"600-1000";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"22.0";"";"";"";"";"";"";
"14.07.2017 08:30";"26.0";"";"749.9";"";"75";"Calm, no wind";"0";"";"";"70 – 80%.";" ";"";"";"24.0";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"40%.";"600-1000";"Altostratus opacus or Nimbostratus.";"";"4.0";"21.2";"";"";"";"";"";"";
"13.07.2017 08:30";"26.8";"";"754.7";"";"82";"Calm, no wind";"0";"";"";"100%.";" ";"";"";"25.2";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"20–30%.";"600-1000";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"23.4";"";"";"";"";"";"";
"12.07.2017 08:30";"27.0";"";"755.2";"";"71";"Calm, no wind";"0";"";"";"70 – 80%.";" ";"";"";"25.4";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"40%.";"600-1000";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"21.2";"";"";"";"";"";"";
"11.07.2017 08:30";"26.0";"729.4";"757.4";"";"82";"Calm, no wind";"0";"";"";"100%.";" ";"";"";"24.2";"";"Stratus fractus or Cumulus fractus of bad weather, or both (pannus), usually below Altostratus or Nimbostratus.";"40%.";"600-1000";"Altostratus opacus or Nimbostratus.";"";"4.0";"22.6";"";"";"";"";"";"";
"10.07.2017 17:30";"30.2";"722.5";"749.9";"";"62";"Calm, no wind";"0";"";"";"100%.";" ";"";"";"";"31.8";"Stratus fractus or Cumulus fractus of bad weather, or both (pannus), usually below Altostratus or Nimbostratus.";"40%.";"600-1000";"Altostratus opacus or Nimbostratus.";"";"4.0";"22.2";"";"";"";"";"";"";
"10.07.2017 08:30";"27.0";"727.2";"755.0";"";"77";"Calm, no wind";"0";"";"";"100%.";"Rain, not freezing, intermittent, slight at time of observation. ";"Rain.";"Rain.";"25.2";"";"Stratus fractus or Cumulus fractus of bad weather, or both (pannus), usually below Altostratus or Nimbostratus.";"60%.";"600-1000";"Altostratus opacus or Nimbostratus.";"";"4.0";"22.6";"";"";"";"";"";"";
"08.07.2017 17:30";"31.4";"724.1";"751.4";"";"52";"Calm, no wind";"0";"";"";"50%.";" ";"";"";"";"33.2";"Stratocumulus other than Stratocumulus cumulogenitus.";"20–30%.";"600-1000";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"20.4";"";"";"";"";"";"";
"08.07.2017 08:30";"32.0";"722.9";"750.1";"";"56";"Calm, no wind";"0";"";"";"20–30%.";" ";"";"";"28.8";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"no clouds";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"4.0";"22.2";"";"";"";"";"";"";
"07.07.2017 17:30";"31.2";"723.5";"750.8";"";"53";"Calm, no wind";"0";"";"";"20–30%.";" ";"";"";"";"32.0";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"no clouds";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"4.0";"20.4";"";"";"";"";"";"";
"06.07.2017 08:30";"29.0";"722.6";"750.1";"";"67";"Calm, no wind";"0";"";"";"20–30%.";" ";"";"";"28.2";"";"";"";"600-1000";"";"";"4.0";"22.2";"";"";"";"";"";"";
"05.07.2017 08:30";"25.8";"722.1";"749.9";"";"86";"Calm, no wind";"0";"";"";"70 – 80%.";" ";"";"";"23.8";"";"Stratus nebulosus or Stratus fractus other than of bad weather, or both.";"50%.";"600-1000";"Altostratus translucidus.";"";"4.0";"23.2";"";"";"";"";"";"";
"04.07.2017 08:30";"26.0";"722.4";"750.1";"";"80";"Calm, no wind";"0";"";"";"50%.";" ";"";"";"23.4";"";"Stratocumulus cumulogenitus.";"20–30%.";"600-1000";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"22.2";"";"";"";"";"";"";
"03.07.2017 08:30";"26.4";"723.6";"751.4";"";"83";"Calm, no wind";"0";"";"";"70 – 80%.";" ";"";"";"23.2";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"no clouds";"600-1000";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"4.0";"23.2";"";"";"";"";"";"";
"02.07.2017 08:30";"26.0";"721.7";"749.4";"";"84";"Calm, no wind";"0";"";"";"70 – 80%.";" ";"";"";"23.0";"";"Stratus nebulosus or Stratus fractus other than of bad weather, or both.";"50%.";"600-1000";"Altostratus translucidus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"23.0";"";"";"";"";"";"";
"01.07.2017 08:30";"26.0";"721.6";"749.3";"";"85";"Calm, no wind";"0";"";"";"70 – 80%.";" ";"";"";"23.0";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"20–30%.";"600-1000";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"23.2";"";"";"";"";"";"";
"30.06.2017 17:30";"32.2";"720.6";"747.7";"";"59";"Calm, no wind";"0";"";"";"70 – 80%.";" ";"";"";"";"33.0";"Stratus nebulosus or Stratus fractus other than of bad weather, or both.";"50%.";"600-1000";"Altostratus translucidus.";"";"4.0";"23.2";"";"";"";"";"";"";
"30.06.2017 08:30";"26.0";"720.9";"748.6";"";"79";"Calm, no wind";"0";"";"";"50%.";" ";"";"";"23.0";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"10%  or less, but not 0";"600-1000";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"22.0";"";"";"";"";"";"";
"29.06.2017 17:30";"26.2";"722.2";"749.9";"";"92";"Calm, no wind";"0";"";"";"100%.";"Thunderstorm, slight or moderate, without hail, but with rain and/or snow at time of observation. ";"Thunderstorm(s) with or without precipitation.";"Rain.";"";"27.2";"Cumulonimbus capillatus (often with an anvil), with or without Cumulonimbus calvus, Cumulus, Stratocumulus, Stratus or pannus.";"50%.";"600-1000";"Altostratus opacus or Nimbostratus.";"";"4.0";"24.8";"";"";"";"";"";"";
"29.06.2017 08:30";"26.2";"723.5";"751.3";"";"79";"Calm, no wind";"0";"";"";"50%.";" ";"";"";"23.0";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"20–30%.";"600-1000";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"22.2";"";"";"";"";"";"";
"28.06.2017 17:30";"26.2";"723.6";"751.4";"";"92";"Calm, no wind";"0";"";"";"100%.";" ";"";"";"";"27.2";"Stratocumulus other than Stratocumulus cumulogenitus.";"40%.";"600-1000";"Altostratus opacus or Nimbostratus.";"";"4.0";"24.8";"";"";"";"";"";"";
"28.06.2017 08:30";"26.2";"723.6";"751.4";"";"83";"Calm, no wind";"0";"";"";"70 – 80%.";" ";"";"";"23.0";"";"Stratus nebulosus or Stratus fractus other than of bad weather, or both.";"40%.";"600-1000";"Altostratus opacus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"23.0";"";"";"";"";"";"";
"27.06.2017 08:30";"30.0";"721.2";"748.5";"";"49";"Calm, no wind";"0";"";"";"50%.";" ";"";"";"26.2";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"40%.";"600-1000";"Altocumulus translucidus at a single level.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"4.0";"18.2";"";"";"";"";"";"";
"26.06.2017 17:30";"35.0";"721.2";"748.1";"";"37";"Calm, no wind";"0";"";"";"70 – 80%.";" ";"";"";"";"36.8";"Stratocumulus other than Stratocumulus cumulogenitus.";"50%.";"600-1000";"Altostratus opacus or Nimbostratus.";"";"4.0";"18.2";"";"";"";"";"";"";
"26.06.2017 08:30";"30.0";"722.7";"750.1";"";"59";"Calm, no wind";"0";"";"";"50%.";" ";"";"";"28.2";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"50%.";"600-1000";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"21.0";"";"";"";"";"";"";
"25.06.2017 08:30";"30.0";"722.7";"750.1";"";"59";"Calm, no wind";"0";"";"";"100%.";" ";"";"";"28.2";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"20–30%.";"600-1000";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"21.0";"";"";"";"";"";"";
"24.06.2017 17:30";"34.0";"720.1";"747.0";"";"47";"Calm, no wind";"0";"";"";"50%.";" ";"";"";"";"35.2";"Stratocumulus other than Stratocumulus cumulogenitus.";"20–30%.";"600-1000";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"21.0";"";"";"";"";"";"";
"24.06.2017 08:30";"30.0";"722.9";"750.3";"";"55";"Calm, no wind";"0";"";"";"20–30%.";" ";"";"";"28.2";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"no clouds";"600-1000";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"4.0";"20.0";"";"";"";"";"";"";
"23.06.2017 08:30";"30.0";"722.9";"750.3";"";"59";"Calm, no wind";"0";"";"";"50%.";" ";"";"";"28.0";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"20–30%.";"600-1000";"Altocumulus translucidus at a single level.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"4.0";"21.0";"";"";"";"";"";"";
"22.06.2017 17:30";"37.0";"721.4";"748.1";"";"39";"Calm, no wind";"0";"";"";"50%.";" ";"";"";"";"39.0";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"40%.";"600-1000";"Altocumulus translucidus at a single level.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"4.0";"20.8";"";"";"";"";"";"";
"22.06.2017 08:30";"30.0";"722.9";"750.3";"";"59";"Calm, no wind";"0";"";"";"50%.";" ";"";"";"28.0";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"20–30%.";"600-1000";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"21.2";"";"";"";"";"";"";
"21.06.2017 17:30";"37.0";"721.4";"748.1";"";"39";"Calm, no wind";"0";"";"";"50%.";" ";"";"";"";"38.2";"Stratocumulus other than Stratocumulus cumulogenitus.";"40%.";"600-1000";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"20.8";"";"";"";"";"";"";
"21.06.2017 08:30";"27.2";"723.0";"750.7";"";"74";"Calm, no wind";"0";"";"";"20–30%.";" ";"";"";"28.2";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"no clouds";"600-1000";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"4.0";"22.1";"";"";"";"";"";"";
"20.06.2017 17:30";"37.0";"728.1";"755.0";"";"37";"Calm, no wind";"0";"";"";"50%.";" ";"";"";"";"38.2";"Stratocumulus other than Stratocumulus cumulogenitus.";"20–30%.";"600-1000";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"20.2";"";"";"";"";"";"";
"20.06.2017 08:30";"30.0";"722.9";"750.3";"";"59";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"28.2";"";"";"";"";"";"";"4.0";"21.0";"";"";"";"";"";"";
"19.06.2017 17:30";"38.2";"725.5";"752.3";"";"33";"Calm, no wind";"0";"";"";"50%.";" ";"";"";"";"39.2";"Stratocumulus other than Stratocumulus cumulogenitus.";"20–30%.";"600-1000";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"19.2";"";"";"";"";"";"";
"19.06.2017 08:30";"30.0";"722.9";"750.3";"";"59";"Calm, no wind";"0";"";"";"20–30%.";" ";"";"";"28.0";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"no clouds";"600-1000";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"4.0";"21.0";"";"";"";"";"";"";
"18.06.2017 17:30";"39.0";"723.8";"750.4";"";"31";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"39.8";"";"";"";"";"";"4.0";"19.2";"";"";"";"";"";"";
"18.06.2017 08:30";"28.2";"723.8";"751.4";"";"62";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"27.2";"";"";"";"";"";"";"4.0";"20.2";"";"";"";"";"";"";
"17.06.2017 08:30";"29.2";"723.9";"751.4";"";"66";"Calm, no wind";"0";"";"";"20–30%.";" ";"";"";"26.2";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"no clouds";"600-1000";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"4.0";"22.2";"";"";"";"";"";"";
"16.06.2017 17:30";"36.2";"721.9";"748.7";"";"38";"Calm, no wind";"0";"";"";"50%.";" ";"";"";"";"38.8";"Stratocumulus other than Stratocumulus cumulogenitus.";"20–30%.";"600-1000";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"19.8";"";"";"";"";"";"";
"16.06.2017 08:30";"26.0";"723.2";"751.0";"";"84";"Calm, no wind";"0";"";"";"20–30%.";" ";"";"";"27.8";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"no clouds";"600-1000";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"4.0";"23.1";"";"";"";"";"";"";
"15.06.2017 17:30";"27.2";"721.1";"748.7";"";"66";"Calm, no wind";"0";"";"";"50%.";" ";"";"";"";"39.8";"Stratocumulus other than Stratocumulus cumulogenitus.";"40%.";"600-1000";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"20.2";"";"";"";"";"";"";
"15.06.2017 08:30";"27.2";"723.1";"750.8";"";"66";"Calm, no wind";"0";"";"";"50%.";" ";"";"";"26.0";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"20–30%.";"600-1000";"Altocumulus translucidus at a single level.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"4.0";"20.2";"";"";"";"";"";"";
"14.06.2017 08:30";"27.0";"723.3";"751.0";"";"70";"Calm, no wind";"0";"";"";"50%.";" ";"";"";"26.2";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"50%.";"600-1000";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"21.0";"";"";"";"";"";"";
"13.06.2017 08:30";"27.0";"721.6";"749.2";"";"66";"Calm, no wind";"0";"";"";"90  or more, but not 100%";" ";"";"";"26.4";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"40%.";"600-1000";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"20.2";"";"";"";"";"";"";
"12.06.2017 17:30";"36.2";"721.2";"748.0";"";"37";"Calm, no wind";"0";"";"";"50%.";" ";"";"";"";"36.2";"Stratocumulus other than Stratocumulus cumulogenitus.";"20–30%.";"600-1000";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"19.2";"";"";"";"";"";"";
"12.06.2017 08:30";"26.8";"722.5";"750.2";"";"71";"Calm, no wind";"0";"";"";"70 – 80%.";" ";"";"";"25.8";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"40%.";"600-1000";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"21.2";"";"";"";"";"";"";
"11.06.2017 17:30";"29.0";"721.8";"749.2";"";"72";"Calm, no wind";"0";"";"";"70 – 80%.";" ";"";"";"";"30.0";"Cumulonimbus capillatus (often with an anvil), with or without Cumulonimbus calvus, Cumulus, Stratocumulus, Stratus or pannus.";"40%.";"600-1000";"Altostratus opacus or Nimbostratus.";"";"4.0";"23.5";"";"";"";"";"";"";
"11.06.2017 08:30";"27.2";"723.1";"750.8";"";"74";"Calm, no wind";"0";"";"";"70 – 80%.";" ";"";"";"26.2";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"40%.";"600-1000";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"22.1";"";"";"";"";"";"";
"10.06.2017 17:30";"36.2";"";"";"";"38";"Calm, no wind";"0";"";"";"70 – 80%.";" ";"";"";"";"36.2";"Stratocumulus cumulogenitus.";"40%.";"600-1000";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"19.8";"";"";"";"";"";"";
"10.06.2017 08:30";"27.2";"723.1";"750.8";"";"76";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"26.4";"";"";"";"";"";"";"4.0";"22.5";"";"";"";"";"";"";
"09.06.2017 17:30";"36.2";"721.3";"748.1";"";"38";"Calm, no wind";"0";"";"";"90  or more, but not 100%";" ";"";"";"";"38.2";"Stratocumulus other than Stratocumulus cumulogenitus.";"50%.";"600-1000";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"19.8";"";"";"";"";"";"";
"09.06.2017 08:30";"27.8";"726.7";"754.4";"";"63";"Calm, no wind";"0";"";"";"40%.";" ";"";"";"26.8";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"no clouds";"600-1000";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"4.0";"20.2";"";"";"";"";"";"";
"08.06.2017 17:30";"27.2";"727.4";"755.2";"";"66";"Calm, no wind";"0";"";"";"50%.";" ";"";"";"";"36.6";"Stratocumulus other than Stratocumulus cumulogenitus.";"20–30%.";"600-1000";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"20.2";"";"";"";"";"";"";
"06.06.2017 08:30";"27.8";"726.6";"754.3";"";"72";"Calm, no wind";"0";"";"";"50%.";" ";"";"";"26.8";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"50%.";"600-1000";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"22.2";"";"";"";"";"";"";
"05.06.2017 17:30";"27.0";"722.7";"750.4";"";"64";"Wind blowing from the south-west";"2";"";"";"90  or more, but not 100%";"Rain (not freezing) not falling as shower(s). ";"Thunderstorm(s) with or without precipitation.";"Rain.";"";"39.2";"Cumulonimbus capillatus (often with an anvil), with or without Cumulonimbus calvus, Cumulus, Stratocumulus, Stratus or pannus.";"50%.";"600-1000";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"19.5";"";"";"";"";"";"";
"05.06.2017 08:30";"32.6";"726.1";"753.4";"";"37";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"29.2";"";"";"";"";"";"";"4.0";"16.2";"";"";"";"";"";"";
"04.06.2017 17:30";"40.2";"720.8";"747.2";"";"22";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"40.8";"";"";"";"";"";"4.0";"14.6";"";"";"";"";"";"";
"04.06.2017 08:30";"30.0";"725.0";"752.5";"";"43";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"29.2";"";"";"";"";"";"";"4.0";"16.2";"";"";"";"";"";"";
"03.06.2017 17:30";"38.0";"722.1";"748.7";"";"24";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"39.8";"";"";"";"";"";"4.0";"14.2";"";"";"";"";"";"";
"02.06.2017 08:30";"31.2";"727.4";"754.8";"";"54";"Calm, no wind";"0";"";"";"40%.";" ";"";"";"28.2";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"no clouds";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"4.0";"20.7";"";"";"";"";"";"";
"01.06.2017 17:30";"39.0";"721.3";"747.8";"";"33";"Calm, no wind";"0";"";"";"40%.";" ";"";"";"";"40.0";"Stratocumulus other than Stratocumulus cumulogenitus.";"10%  or less, but not 0";"2500 or more, or no clouds.";"Altostratus opacus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"20.1";"";"";"";"";"";"";
"01.06.2017 08:30";"30.0";"724.7";"752.2";"";"46";"Calm, no wind";"0";"";"";"10%  or less, but not 0";" ";"";"";"29.0";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"no clouds";"600-1000";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"4.0";"17.2";"";"";"";"";"";"";
"31.05.2017 17:30";"39.0";"722.0";"748.5";"";"33";"Calm, no wind";"0";"";"";"40%.";" ";"";"";"";"40.0";"Stratus nebulosus or Stratus fractus other than of bad weather, or both.";"10%  or less, but not 0";"600-1000";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"4.0";"20.1";"";"";"";"";"";"";
"31.05.2017 08:30";"30.0";"724.6";"752.1";"";"47";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"29.0";"";"";"";"";"";"";"4.0";"17.4";"";"";"";"";"";"";
