# Weather station Santiniketan, India, WMO_ID=42708,selection from 07.12.2015 till 31.12.2017, all days
# Encoding: UTF-8
# The data is provided by the website "Reliable Prognosis", rp5.ru 
# If you use the data, please indicate the name of the website.
# For meteorological parameters see the address http://rp5.ru/archive.php?wmo_id=42708&lang=en
#
"Local time in Santiniketan";"T";"Po";"P";"Pa";"U";"DD";"Ff";"ff10";"ff3";"N";"WW";"W1";"W2";"Tn";"Tx";"Cl";"Nh";"H";"Cm";"Ch";"VV";"Td";"RRR";"tR";"E";"Tg";"E'";"sss"
"04.02.2017 17:30";"25.2";"755.4";"760.5";"0.8";"67";"Calm, no wind";"0";"";"";"40%.";" ";"";"";"";"28.1";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"10%  or less, but not 0";"2000-2500";"Altocumulus translucidus at a single level.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"4.0";"18.6";"";"";"";"";"";"";
"04.02.2017 14:30";"27.8";"754.6";"759.7";"-2.3";"37";"Calm, no wind";"0";"";"";"70 – 80%.";" ";"";"";"";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"20–30%.";"600-1000";"Altocumulus translucidus at a single level.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"10.0";"11.9";"";"";"";"";"";"";
"04.02.2017 11:30";"23.6";"756.9";"762.1";"-1.2";"58";"Wind blowing from the north-east";"2";"";"";"40%.";" ";"";"";"";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"10%  or less, but not 0";"600-1000";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"14.9";"";"";"";"";"";"";
"04.02.2017 08:30";"18.0";"758.1";"763.4";"";"79";"Wind blowing from the north";"1";"";"";"no clouds";"Haze. ";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"11.8";"";"";"";"";"";"";"4.0";"14.2";"";"";"";"";"";"";
"03.02.2017 17:30";"24.4";"755.8";"760.9";"-0.3";"55";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"27.2";"";"";"";"";"";"4.0";"14.7";"";"";"";"";"";"";
"03.02.2017 14:30";"26.2";"756.1";"761.2";"-2.3";"45";"Wind blowing from the west-northwest";"1";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"10.0";"13.3";"";"";"";"";"";"";
"03.02.2017 11:30";"22.8";"758.4";"763.6";"-1.0";"59";"Wind blowing from the north-west";"2";"";"";"no clouds";"Haze. ";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"";"";"";"";"";"";"";"4.0";"14.3";"";"";"";"";"";"";
"03.02.2017 08:30";"16.0";"759.4";"764.7";"";"79";"Wind blowing from the north";"1";"";"";"no clouds";"Mist. ";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"10.9";"";"";"";"";"";"";"2.0";"12.4";"";"";"";"";"";"";
"02.02.2017 17:30";"23.4";"756.6";"761.8";"-1.1";"57";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"26.5";"";"";"";"";"";"10.0";"14.3";"";"";"";"";"";"";
"02.02.2017 14:30";"24.8";"757.7";"762.8";"-1.9";"43";"Wind blowing from the north-west";"1";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"4.0";"11.4";"";"";"";"";"";"";
"02.02.2017 11:30";"22.0";"759.6";"764.8";"-1.1";"64";"Wind blowing from the north-west";"1";"";"";"no clouds";"Haze. ";"Fog or ice fog or thick haze.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"";"";"";"";"";"";"";"2.0";"14.9";"";"";"";"";"";"";
"02.02.2017 08:30";"14.8";"760.7";"766.0";"";"92";"Calm, no wind";"0";"";"";"Sky obscured by fog and/or other meteorological phenomena.";"Fog or ice fog, sky invisible, no appreciable change during the preceding hour. ";"Fog or ice fog or thick haze.";"Fog or ice fog or thick haze.";"12.6";"";"";"";"";"";"";"0.2";"13.5";"";"";"";"";"";"";
"01.02.2017 17:30";"22.8";"756.5";"761.7";"0.3";"70";"Calm, no wind";"0";"";"";"no clouds";"Haze. ";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"";"26.8";"";"";"";"";"";"2.0";"17.0";"";"";"";"";"";"";
"01.02.2017 14:30";"26.6";"756.2";"761.3";"-1.5";"51";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"10.0";"15.5";"";"";"";"";"";"";
"01.02.2017 11:30";"24.8";"757.7";"762.8";"-0.6";"52";"Wind blowing from the north-west";"1";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"4.0";"14.4";"";"";"";"";"";"";
"01.02.2017 08:30";"17.2";"758.3";"763.6";"";"80";"Wind blowing from the north";"1";"";"";"no clouds";"Haze. ";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"11.3";"";"";"";"";"";"";"2.0";"13.7";"";"";"";"";"";"";
"31.01.2017 17:30";"24.0";"754.9";"760.0";"0.1";"63";"Calm, no wind";"0";"";"";"no clouds";"Haze. ";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"";"26.4";"";"";"";"";"";"4.0";"16.5";"";"";"";"";"";"";
"31.01.2017 14:30";"26.0";"754.8";"759.9";"-1.8";"49";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"10.0";"14.3";"";"";"";"";"";"";
"31.01.2017 11:30";"22.6";"756.6";"761.8";"-0.7";"57";"Wind blowing from the north-west";"1";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"10.0";"13.7";"";"";"";"";"";"";
"31.01.2017 08:30";"16.2";"757.3";"762.6";"";"79";"Wind blowing from the north";"1";"";"";"no clouds";" ";"";"";"11.2";"";"";"";"";"";"";"4.0";"12.6";"";"";"";"";"";"";
"30.01.2017 17:30";"23.4";"754.3";"759.4";"-0.2";"57";"Calm, no wind";"0";"";"";"no clouds";"Haze. ";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"";"27.1";"";"";"";"";"";"4.0";"14.3";"";"";"";"";"";"";
"30.01.2017 14:30";"26.6";"754.5";"759.6";"-2.6";"42";"Wind blowing from the north-west";"2";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"10.0";"12.5";"";"";"";"";"";"";
"30.01.2017 11:30";"24.4";"757.1";"762.2";"-1.0";"51";"Wind blowing from the north-northwest";"2";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"10.0";"13.5";"";"";"";"";"";"";
"30.01.2017 08:30";"18.0";"758.1";"763.4";"";"77";"Wind blowing from the north";"1";"";"";"no clouds";"Haze. ";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"11.7";"";"";"";"";"";"";"4.0";"13.8";"";"";"";"";"";"";
"29.01.2017 17:30";"23.0";"755.9";"761.1";"0.1";"56";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"26.8";"";"";"";"";"";"4.0";"13.8";"";"";"";"";"";"";
"29.01.2017 14:30";"26.8";"755.8";"760.9";"-2.7";"42";"Wind blowing from the west-northwest";"1";"";"";"10%  or less, but not 0";" ";"";"";"";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"10%  or less, but not 0";"600-1000";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"10.0";"12.8";"";"";"";"";"";"";
"29.01.2017 11:30";"23.2";"758.5";"763.7";"-0.5";"53";"Wind blowing from the north-west";"2";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"4.0";"13.2";"";"";"";"";"";"";
"29.01.2017 08:30";"17.0";"759.0";"764.3";"";"72";"Wind blowing from the north";"1";"";"";"no clouds";" ";"";"";"10.4";"";"";"";"";"";"";"4.0";"11.9";"";"";"";"";"";"";
"28.01.2017 17:30";"22.4";"755.2";"760.4";"0.1";"47";"Calm, no wind";"0";"";"";"20–30%.";" ";"";"";"";"27.0";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"20–30%.";"2000-2500";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"10.0";"10.4";"";"";"";"";"";"";
"28.01.2017 14:30";"27.0";"755.1";"760.2";"-2.8";"37";"Wind blowing from the west-northwest";"3";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"10.0";"11.2";"";"";"";"";"";"";
"28.01.2017 11:30";"23.6";"757.9";"763.1";"-0.4";"58";"Wind blowing from the west-northwest";"3";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"4.0";"14.9";"";"";"";"";"";"";
"28.01.2017 08:30";"18.8";"758.3";"763.6";"";"79";"Wind blowing from the west";"1";"";"";"50%.";"Haze. ";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"16.0";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"20–30%.";"600-1000";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"15.1";"";"";"";"";"";"";
"27.01.2017 17:30";"25.0";"755.2";"760.3";"0.0";"64";"Wind blowing from the east-northeast";"1";"";"";"40%.";" ";"";"";"";"29.7";"Stratocumulus other than Stratocumulus cumulogenitus.";"10%  or less, but not 0";"2500 or more, or no clouds.";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"6.0";"17.7";"";"";"";"";"";"";
"27.01.2017 14:30";"29.0";"755.2";"760.3";"-1.9";"43";"Calm, no wind";"0";"";"";"70 – 80%.";" ";"";"";"";"";"Stratocumulus cumulogenitus.";"50%.";"600-1000";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"10.0";"15.3";"";"";"";"";"";"";
"27.01.2017 11:30";"27.2";"757.1";"762.2";"-0.9";"42";"Wind blowing from the west";"1";"";"";"60%.";" ";"";"";"";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"40%.";"600-1000";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"10.0";"13.3";"";"";"";"";"";"";
"27.01.2017 08:30";"20.0";"758.0";"763.2";"";"80";"Calm, no wind";"0";"";"";"90  or more, but not 100%";"Haze. ";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"16.5";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"60%.";"600-1000";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"16.4";"";"";"";"";"";"";
"26.01.2017 17:30";"26.2";"756.3";"761.4";"-0.1";"58";"Calm, no wind";"0";"";"";"90  or more, but not 100%";" ";"";"";"";"29.7";"Stratocumulus other than Stratocumulus cumulogenitus.";"50%.";"600-1000";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"17.3";"";"";"";"";"";"";
"26.01.2017 14:30";"27.8";"756.4";"761.5";"-2.7";"44";"Wind blowing from the north-east";"1";"";"";"70 – 80%.";" ";"";"";"";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"40%.";"600-1000";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"10.0";"14.6";"";"";"";"";"";"";
"26.01.2017 11:30";"26.8";"759.1";"764.2";"-0.5";"49";"Wind blowing from the north-west";"1";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"4.0";"15.3";"";"";"";"";"";"";
"26.01.2017 08:30";"18.4";"759.6";"764.9";"";"77";"Wind blowing from the north";"1";"";"";"no clouds";"Haze. ";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"12.5";"";"";"";"";"";"";"2.0";"14.2";"";"";"";"";"";"";
"25.01.2017 17:30";"24.4";"757.5";"762.6";"0.2";"65";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"28.5";"";"";"";"";"";"4.0";"17.3";"";"";"";"";"";"";
"25.01.2017 14:30";"28.2";"757.3";"762.4";"-2.5";"43";"Wind blowing from the north-northeast";"1";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"10.0";"14.3";"";"";"";"";"";"";
"25.01.2017 11:30";"25.6";"759.8";"764.9";"-0.8";"55";"Wind blowing from the north-northeast";"2";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"4.0";"15.8";"";"";"";"";"";"";
"25.01.2017 08:30";"17.2";"760.6";"765.9";"";"78";"Wind blowing from the north-west";"1";"";"";"no clouds";"Haze. ";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"11.7";"";"";"";"";"";"";"4.0";"13.3";"";"";"";"";"";"";
"24.01.2017 17:30";"24.2";"757.2";"762.4";"-0.1";"62";"Calm, no wind";"0";"";"";"no clouds";"Haze. ";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"";"28.6";"";"";"";"";"";"4.0";"16.4";"";"";"";"";"";"";
"24.01.2017 14:30";"28.0";"757.3";"762.4";"-1.8";"40";"Wind blowing from the north-northwest";"2";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"10.0";"13.1";"";"";"";"";"";"";
"24.01.2017 11:30";"26.0";"759.1";"764.2";"-1.0";"50";"Wind blowing from the north-west";"2";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"4.0";"14.7";"";"";"";"";"";"";
"24.01.2017 08:30";"16.0";"760.1";"765.4";"";"80";"Wind blowing from the north-west";"1";"";"";"no clouds";" ";"";"";"11.3";"";"";"";"";"";"";"4.0";"12.6";"";"";"";"";"";"";
"23.01.2017 17:30";"23.6";"756.3";"761.5";"-0.4";"55";"Wind blowing from the north";"1";"";"";"no clouds";"Haze. ";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"";"28.4";"";"";"";"";"";"4.0";"14.1";"";"";"";"";"";"";
"23.01.2017 14:30";"27.8";"756.7";"761.8";"-2.1";"37";"Wind blowing from the north-northwest";"1";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"10.0";"11.9";"";"";"";"";"";"";
"23.01.2017 11:30";"25.8";"758.8";"763.9";"-1.4";"37";"Wind blowing from the north-northwest";"2";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"10.0";"10.0";"";"";"";"";"";"";
"23.01.2017 08:30";"16.6";"760.2";"765.5";"";"62";"Wind blowing from the north";"1";"";"";"no clouds";" ";"";"";"9.4";"";"";"";"";"";"";"4.0";"9.3";"";"";"";"";"";"";
"22.01.2017 17:30";"22.6";"756.9";"762.1";"-0.4";"51";"Wind blowing from the north";"1";"";"";"no clouds";" ";"";"";"";"27.5";"";"";"";"";"";"4.0";"12.0";"";"";"";"";"";"";
"22.01.2017 14:30";"27.4";"757.3";"762.4";"-2.8";"33";"Wind blowing from the north-northwest";"2";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"10.0";"9.9";"";"";"";"";"";"";
"22.01.2017 11:30";"24.8";"760.1";"765.3";"-1.2";"42";"Wind blowing from the north-west";"2";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"10.0";"10.9";"";"";"";"";"";"";
"22.01.2017 08:30";"15.4";"761.3";"766.6";"";"69";"Wind blowing from the north-west";"2";"";"";"no clouds";" ";"";"";"7.7";"";"";"";"";"";"";"4.0";"9.6";"";"";"";"";"";"";
"21.01.2017 17:30";"22.0";"758.1";"763.3";"0.3";"38";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"27.1";"";"";"";"";"";"4.0";"6.8";"";"";"";"";"";"";
"21.01.2017 14:30";"27.0";"757.8";"762.9";"-2.4";"26";"Wind blowing from the north-northwest";"2";"";"";"20–30%.";" ";"";"";"";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"no clouds";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"10.0";"5.9";"";"";"";"";"";"";
"21.01.2017 11:30";"25.0";"760.2";"765.4";"-0.1";"34";"Wind blowing from the north-northwest";"2";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"10.0";"8.2";"";"";"";"";"";"";
"21.01.2017 08:30";"15.4";"761.3";"766.6";"";"69";"Wind blowing from the north-west";"2";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"4.0";"9.6";"";"";"";"";"";"";
"20.01.2017 17:30";"23.4";"756.6";"761.8";"-0.4";"61";"Calm, no wind";"0";"";"";"60%.";"Haze. ";"Cloud covering more than 1/2 of the sky during part of the appropriate period and covering 1/2 or less during part of the period.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"";"28.5";"Stratocumulus other than Stratocumulus cumulogenitus.";"20–30%.";"600-1000";"Altocumulus translucidus at a single level.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"4.0";"15.4";"";"";"";"";"";"";
"20.01.2017 14:30";"27.8";"757.0";"762.1";"-2.2";"34";"Wind blowing from the west-northwest";"1";"";"";"70 – 80%.";" ";"";"";"";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"40%.";"600-1000";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"10.0";"10.5";"";"";"";"";"";"";
"20.01.2017 11:30";"25.4";"759.2";"764.3";"-1.3";"43";"Wind blowing from the north-west";"1";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"10.0";"11.8";"";"";"";"";"";"";
"20.01.2017 08:30";"17.0";"760.5";"765.8";"";"72";"Wind blowing from the north-west";"1";"";"";"no clouds";"Haze. ";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"10.5";"";"";"";"";"";"";"4.0";"11.9";"";"";"";"";"";"";
"19.01.2017 17:30";"21.6";"757.8";"763.0";"-0.4";"56";"Wind blowing from the north";"1";"";"";"10%  or less, but not 0";" ";"";"";"";"27.5";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"10%  or less, but not 0";"2000-2500";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"12.5";"";"";"";"";"";"";
"19.01.2017 14:30";"27.4";"758.2";"763.3";"-1.7";"35";"Wind blowing from the north-northwest";"1";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"10.0";"10.4";"";"";"";"";"";"";
"19.01.2017 11:30";"25.2";"759.9";"765.1";"-1.0";"44";"Wind blowing from the north-northwest";"2";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"4.0";"11.9";"";"";"";"";"";"";
"19.01.2017 08:30";"16.6";"760.9";"766.2";"";"74";"Calm, no wind";"0";"";"";"no clouds";"Haze. ";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"10.9";"";"";"";"";"";"";"2.0";"11.9";"";"";"";"";"";"";
"18.01.2017 17:30";"22.4";"758.1";"763.3";"0.1";"51";"Wind blowing from the north";"1";"";"";"no clouds";" ";"";"";"";"27.8";"";"";"";"";"";"4.0";"11.8";"";"";"";"";"";"";
"18.01.2017 14:30";"27.2";"758.0";"763.1";"-1.8";"34";"Wind blowing from the north-west";"3";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"10.0";"10.1";"";"";"";"";"";"";
"18.01.2017 11:30";"25.6";"759.8";"764.9";"-0.7";"40";"Wind blowing from the north-northwest";"2";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"10.0";"11.1";"";"";"";"";"";"";
"18.01.2017 08:30";"17.6";"760.5";"765.8";"";"71";"Wind blowing from the north";"1";"";"";"no clouds";"Haze. ";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"10.7";"";"";"";"";"";"";"4.0";"12.2";"";"";"";"";"";"";
"17.01.2017 17:30";"22.2";"755.9";"761.1";"0.2";"58";"Calm, no wind";"0";"";"";"no clouds";"Haze. ";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"";"27.1";"";"";"";"";"";"4.0";"13.6";"";"";"";"";"";"";
"17.01.2017 14:30";"27.0";"755.7";"760.8";"-2.2";"31";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"10.0";"8.2";"";"";"";"";"";"";
"17.01.2017 11:30";"25.2";"757.9";"763.0";"-0.3";"34";"Wind blowing from the north-west";"1";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"4.0";"8.0";"";"";"";"";"";"";
"17.01.2017 08:30";"15.6";"758.2";"763.5";"";"73";"Wind blowing from the north-west";"1";"";"";"no clouds";"Haze. ";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"8.5";"";"";"";"";"";"";"4.0";"10.7";"";"";"";"";"";"";
"16.01.2017 17:30";"20.2";"755.5";"760.7";"-0.1";"58";"Calm, no wind";"0";"";"";"no clouds";"Haze. ";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"";"24.8";"";"";"";"";"";"4.0";"11.6";"";"";"";"";"";"";
"16.01.2017 14:30";"23.6";"755.6";"760.7";"-2.1";"31";"Wind blowing from the north";"1";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"10.0";"5.4";"";"";"";"";"";"";
"16.01.2017 11:30";"22.4";"757.7";"762.9";"-1.3";"41";"Wind blowing from the north";"1";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"10.0";"8.5";"";"";"";"";"";"";
"16.01.2017 08:30";"14.0";"759.0";"764.3";"";"74";"Wind blowing from the north-west";"1";"";"";"no clouds";"Haze. ";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"7.0";"";"";"";"";"";"";"4.0";"9.3";"";"";"";"";"";"";
"15.01.2017 17:30";"19.0";"756.4";"761.6";"-0.4";"60";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"24.4";"";"";"";"";"";"4.0";"10.9";"";"";"";"";"";"";
"15.01.2017 14:30";"23.2";"756.8";"762.0";"-1.8";"30";"Wind blowing from the north";"2";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"10.0";"4.8";"";"";"";"";"";"";
"15.01.2017 11:30";"22.2";"758.6";"763.8";"-0.8";"42";"Wind blowing from the north-west";"1";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"4.0";"8.7";"";"";"";"";"";"";
"15.01.2017 08:30";"13.2";"759.4";"764.8";"";"65";"Wind blowing from the north-west";"1";"";"";"no clouds";"Haze. ";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"6.5";"";"";"";"";"";"";"4.0";"6.6";"";"";"";"";"";"";
"14.01.2017 17:30";"17.8";"756.6";"761.9";"-0.2";"48";"Wind blowing from the north-west";"1";"";"";"no clouds";" ";"";"";"";"22.3";"";"";"";"";"";"4.0";"6.6";"";"";"";"";"";"";
"14.01.2017 14:30";"22.0";"756.8";"762.0";"-1.9";"29";"Wind blowing from the north-northwest";"2";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"10.0";"3.3";"";"";"";"";"";"";
"14.01.2017 11:30";"20.0";"758.7";"763.9";"-0.3";"37";"Wind blowing from the north";"2";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"4.0";"4.9";"";"";"";"";"";"";
"14.01.2017 08:30";"13.0";"759.0";"764.4";"";"69";"Wind blowing from the north";"1";"";"";"no clouds";" ";"";"";"6.4";"";"";"";"";"";"";"4.0";"7.3";"";"";"";"";"";"";
"13.01.2017 17:30";"18.2";"756.0";"761.2";"0.2";"61";"Wind blowing from the north";"1";"";"";"no clouds";" ";"";"";"";"22.8";"";"";"";"";"";"4.0";"10.4";"";"";"";"";"";"";
"13.01.2017 14:30";"22.6";"755.8";"761.0";"-2.3";"34";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"10.0";"6.1";"";"";"";"";"";"";
"13.01.2017 11:30";"20.0";"758.1";"763.3";"-0.1";"39";"Wind blowing from the north-northeast";"2";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"10.0";"5.4";"";"";"";"";"";"";
"13.01.2017 08:30";"13.2";"758.2";"763.6";"";"75";"Wind blowing from the north";"1";"";"";"no clouds";"Haze. ";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"7.6";"";"";"";"";"";"";"4.0";"8.9";"";"";"";"";"";"";
"12.01.2017 17:30";"18.0";"755.0";"760.2";"0.0";"66";"Wind blowing from the north";"1";"";"";"no clouds";" ";"";"";"";"22.9";"";"";"";"";"";"10.0";"11.4";"";"";"";"";"";"";
"12.01.2017 14:30";"22.6";"755.0";"760.2";"-2.3";"41";"Wind blowing from the north";"1";"";"";"40%.";" ";"";"";"";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"20–30%.";"600-1000";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"10.0";"8.8";"";"";"";"";"";"";
"12.01.2017 11:30";"21.0";"757.3";"762.5";"-0.6";"42";"Wind blowing from the north-northwest";"2";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"4.0";"7.5";"";"";"";"";"";"";
"12.01.2017 08:30";"15.4";"757.9";"763.2";"";"65";"Wind blowing from the north-west";"2";"";"";"no clouds";"Haze. ";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"11.0";"";"";"";"";"";"";"4.0";"8.8";"";"";"";"";"";"";
"11.01.2017 17:30";"20.6";"754.5";"759.7";"-0.1";"68";"Calm, no wind";"0";"";"";"40%.";" ";"";"";"";"24.5";"Stratocumulus other than Stratocumulus cumulogenitus.";"20–30%.";"600-1000";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"14.5";"";"";"";"";"";"";
"11.01.2017 14:30";"24.4";"754.6";"759.7";"-1.7";"44";"Wind blowing from the north";"2";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"10.0";"11.3";"";"";"";"";"";"";
"11.01.2017 11:30";"22.2";"756.3";"761.5";"-0.8";"66";"Wind blowing from the north";"1";"";"";"no clouds";"Haze. ";"Fog or ice fog or thick haze.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"";"";"";"";"";"";"";"4.0";"15.5";"";"";"";"";"";"";
"11.01.2017 08:30";"15.0";"757.1";"762.4";"";"96";"Wind blowing from the north";"1";"";"";"no clouds";"Fog or ice fog. ";"Fog or ice fog or thick haze.";"Fog or ice fog or thick haze.";"11.6";"";"";"";"";"";"";"1.0";"14.3";"";"";"";"";"";"";
