# Weather station Malda, India, WMO_ID=42503,selection from 28.02.2012 till 31.12.2017, all days
# Encoding: UTF-8
# The data is provided by the website "Reliable Prognosis", rp5.ru 
# If you use the data, please indicate the name of the website.
# For meteorological parameters see the address http://rp5.ru/archive.php?wmo_id=42503&lang=en
#
"Local time in Malda";"T";"Po";"P";"Pa";"U";"DD";"Ff";"ff10";"ff3";"N";"WW";"W1";"W2";"Tn";"Tx";"Cl";"Nh";"H";"Cm";"Ch";"VV";"Td";"RRR";"tR";"E";"Tg";"E'";"sss"
"21.07.2017 05:30";"26.8";"748.2";"750.8";"";"92";"Wind blowing from the south";"1";"";"";"100%.";" ";"";"";"";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"70 – 80%.";"600-1000";"Altostratus opacus or Nimbostratus.";"";"4.0";"25.4";"";"";"";"";"";"";
"20.07.2017 23:30";"27.8";"748.1";"750.7";"0.6";"86";"Calm, no wind";"0";"";"";"100%.";" ";"";"";"";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"70 – 80%.";"600-1000";"Altostratus opacus or Nimbostratus.";"";"4.0";"25.2";"";"";"";"";"";"";
"20.07.2017 20:30";"28.4";"747.5";"750.1";"2.2";"85";"Wind blowing from the south";"1";"";"";"100%.";"Lightning visible, no thunder heard. ";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"";"";"Cumulonimbus calvus, with or without Cumulus, Stratocumulus or Stratus.";"70 – 80%.";"600-1000";"Altostratus opacus or Nimbostratus.";"";"4.0";"25.6";"";"";"";"";"";"";
"20.07.2017 17:30";"29.4";"745.3";"747.9";"-0.5";"81";"Wind blowing from the south";"1";"";"";"90  or more, but not 100%";"State of sky on the whole unchanged. ";"Rain.";"Rain.";"";"31.8";"Stratocumulus other than Stratocumulus cumulogenitus.";"50%.";"600-1000";"Altocumulus translucidus or opacus in two or more layers, or Altocumulus opacus in a single layer, not progressively invading the sky, or Altocumulus with Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"25.7";"";"";"";"";"";"";
"20.07.2017 14:30";"29.6";"745.8";"748.4";"-0.9";"78";"Wind blowing from the south-east";"2";"";"";"90  or more, but not 100%";"State of sky on the whole unchanged. ";"Rain.";"Rain.";"";"";"Stratocumulus cumulogenitus.";"50%.";"600-1000";"Altocumulus translucidus or opacus in two or more layers, or Altocumulus opacus in a single layer, not progressively invading the sky, or Altocumulus with Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"25.4";"";"";"";"";"";"";
"20.07.2017 11:30";"31.2";"746.7";"749.3";"-0.8";"73";"Wind blowing from the east";"2";"";"";"90  or more, but not 100%";"State of sky on the whole unchanged. ";"Rain.";"Rain.";"";"";"Stratocumulus cumulogenitus.";"50%.";"600-1000";"Altocumulus translucidus or opacus in two or more layers, or Altocumulus opacus in a single layer, not progressively invading the sky, or Altocumulus with Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"25.9";"";"";"";"";"";"";
"20.07.2017 08:30";"27.8";"747.5";"750.1";"0.6";"89";"Wind blowing from the east";"2";"";"";"100%.";"Rain (not freezing) not falling as shower(s). ";"Rain.";"Rain.";"25.8";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"60%.";"300-600";"Altostratus opacus or Nimbostratus.";"";"4.0";"25.8";"";"";"";"";"";"";
"20.07.2017 05:30";"26.8";"746.9";"749.5";"";"95";"Wind blowing from the east";"2";"";"";"100%.";"Rain, not freezing, continuous, moderate at time of observation. ";"Rain.";"Rain.";"";"";"Stratus fractus or Cumulus fractus of bad weather, or both (pannus), usually below Altostratus or Nimbostratus.";"90  or more, but not 100%";"300-600";"Altostratus opacus or Nimbostratus.";"";"1.0";"26.0";"";"";"";"";"";"";
"19.07.2017 23:30";"28.6";"747.8";"750.4";"0.3";"83";"Wind blowing from the north-east";"2";"";"";"100%.";" ";"";"";"";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"60%.";"300-600";"Altostratus opacus or Nimbostratus.";"";"4.0";"25.5";"";"";"";"";"";"";
"19.07.2017 20:30";"29.2";"747.5";"750.1";"1.8";"79";"Wind blowing from the east";"2";"";"";"100%.";" ";"";"";"";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"60%.";"300-600";"Altostratus opacus or Nimbostratus.";"";"4.0";"25.2";"";"";"";"";"";"";
"19.07.2017 17:30";"30.6";"745.7";"748.3";"-0.6";"73";"Wind blowing from the east";"2";"";"";"90  or more, but not 100%";" ";"";"";"";"33.3";"Cumulus and Stratocumulus other than Stratocumulus cumulogenitus, with bases at different levels.";"50%.";"600-1000";"Altocumulus translucidus or opacus in two or more layers, or Altocumulus opacus in a single layer, not progressively invading the sky, or Altocumulus with Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"4.0";"25.2";"";"";"";"";"";"";
"19.07.2017 14:30";"33.0";"746.3";"748.9";"-1.5";"63";"Wind blowing from the east";"2";"";"";"90  or more, but not 100%";" ";"";"";"";"";"Stratocumulus cumulogenitus.";"60%.";"600-1000";"Altocumulus translucidus or opacus in two or more layers, or Altocumulus opacus in a single layer, not progressively invading the sky, or Altocumulus with Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"25.1";"";"";"";"";"";"";
"19.07.2017 11:30";"31.6";"747.8";"750.4";"-0.7";"67";"Wind blowing from the south-east";"2";"";"";"90  or more, but not 100%";"State of sky on the whole unchanged. ";"Rain.";"Rain.";"";"";"Stratocumulus cumulogenitus.";"50%.";"600-1000";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"24.8";"";"";"";"";"";"";
"19.07.2017 08:30";"30.0";"748.5";"751.1";"1.0";"75";"Wind blowing from the south";"1";"";"";"90  or more, but not 100%";" ";"";"";"28.3";"";"Stratocumulus cumulogenitus.";"50%.";"600-1000";"Altocumulus translucidus or opacus in two or more layers, or Altocumulus opacus in a single layer, not progressively invading the sky, or Altocumulus with Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"25.2";"";"";"";"";"";"";
"19.07.2017 05:30";"28.8";"747.5";"750.1";"";"82";"Wind blowing from the south-east";"1";"";"";"70 – 80%.";" ";"";"";"";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"40%.";"600-1000";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"25.4";"";"";"";"";"";"";
"18.07.2017 23:30";"31.0";"748.4";"751.0";"0.6";"78";"Calm, no wind";"0";"";"";"60%.";" ";"";"";"";"";"";"";"600-1000";"";"";"4.0";"26.8";"";"";"";"";"";"";
"18.07.2017 20:30";"31.8";"747.8";"750.4";"2.1";"78";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"4.0";"27.4";"";"";"";"";"";"";
"18.07.2017 17:30";"34.6";"745.7";"748.3";"-0.2";"64";"Wind blowing from the south-east";"1";"";"";"90  or more, but not 100%";" ";"";"";"";"36.3";"Cumulonimbus calvus, with or without Cumulus, Stratocumulus or Stratus.";"60%.";"600-1000";"Altocumulus translucidus or opacus in two or more layers, or Altocumulus opacus in a single layer, not progressively invading the sky, or Altocumulus with Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"26.9";"";"";"";"";"";"";
"18.07.2017 14:30";"35.8";"745.9";"748.5";"-1.9";"60";"Wind blowing from the south";"1";"";"";"60%.";" ";"";"";"";"";"Stratocumulus cumulogenitus.";"50%.";"600-1000";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"27.0";"";"";"";"";"";"";
"18.07.2017 11:30";"34.8";"747.8";"750.4";"-0.3";"64";"Wind blowing from the south";"2";"";"";"50%.";"Clouds generally dissolving or becoming less developed. ";"Rain.";"Rain.";"";"";"Stratocumulus cumulogenitus.";"50%.";"600-1000";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"27.1";"";"";"";"";"";"";
"18.07.2017 08:30";"31.4";"748.1";"750.7";"0.3";"72";"Wind blowing from the south";"1";"";"";"20–30%.";" ";"";"";"27.3";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"10%  or less, but not 0";"600-1000";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"25.8";"";"";"";"";"";"";
"18.07.2017 05:30";"27.6";"747.8";"750.4";"";"86";"Calm, no wind";"0";"";"";"50%.";"Clouds generally dissolving or becoming less developed. ";"Rain.";"Rain.";"";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"20–30%.";"600-1000";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"25.0";"";"";"";"";"";"";
"17.07.2017 23:30";"29.2";"748.6";"751.2";"1.0";"90";"Calm, no wind";"0";"";"";"90  or more, but not 100%";"Lightning visible, no thunder heard. ";"Rain.";"Rain.";"";"";"Cumulonimbus calvus, with or without Cumulus, Stratocumulus or Stratus.";"50%.";"600-1000";"Altocumulus translucidus or opacus in two or more layers, or Altocumulus opacus in a single layer, not progressively invading the sky, or Altocumulus with Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"27.3";"";"";"";"";"";"";
"17.07.2017 20:30";"29.8";"747.6";"750.2";"1.9";"85";"Calm, no wind";"0";"";"";"20–30%.";" ";"";"";"";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"20–30%.";"2500 or more, or no clouds.";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"27.0";"";"";"";"";"";"";
"17.07.2017 17:30";"30.2";"745.7";"748.3";"-1.4";"76";"Wind blowing from the north";"1";"";"";"70 – 80%.";"State of sky on the whole unchanged. ";"Thunderstorm(s) with or without precipitation.";"Rain.";"";"35.4";"Stratocumulus cumulogenitus.";"20–30%.";"600-1000";"Altocumulus translucidus or opacus in two or more layers, or Altocumulus opacus in a single layer, not progressively invading the sky, or Altocumulus with Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"4.0";"25.4";"";"";"";"";"";"";
"17.07.2017 14:30";"28.8";"747.1";"749.7";"-0.8";"79";"Calm, no wind";"0";"";"";"100%.";"Thunderstorm, but no precipitation at the time of observation. ";"Thunderstorm(s) with or without precipitation.";"Rain.";"";"";"Cumulonimbus capillatus (often with an anvil), with or without Cumulonimbus calvus, Cumulus, Stratocumulus, Stratus or pannus.";"60%.";"600-1000";"Altostratus opacus or Nimbostratus.";"";"4.0";"24.8";"";"";"";"";"";"";
"17.07.2017 11:30";"34.8";"747.9";"750.5";"-0.4";"63";"Calm, no wind";"0";"";"";"60%.";" ";"";"";"";"";"Stratocumulus cumulogenitus.";"60%.";"600-1000";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"26.8";"";"";"";"";"";"";
"17.07.2017 08:30";"33.4";"748.3";"750.9";"1.1";"71";"Calm, no wind";"0";"";"";"20–30%.";" ";"";"";"28.7";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"10%  or less, but not 0";"2500 or more, or no clouds.";"Altocumulus translucidus at a single level.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"4.0";"27.4";"";"";"";"";"";"";
"17.07.2017 05:30";"29.0";"747.2";"749.8";"";"90";"Calm, no wind";"0";"";"";"20–30%.";" ";"";"";"";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"20–30%.";"600-1000";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"27.1";"";"";"";"";"";"";
"16.07.2017 23:30";"30.0";"748.2";"750.8";"0.5";"85";"Calm, no wind";"0";"";"";"100%.";"Clouds generally forming or developing. ";"Rain.";"Rain.";"";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"70 – 80%.";"600-1000";"Altostratus opacus or Nimbostratus.";"";"4.0";"27.2";"";"";"";"";"";"";
"16.07.2017 20:30";"30.4";"747.7";"750.3";"2.3";"83";"Calm, no wind";"0";"";"";"40%.";"Clouds generally dissolving or becoming less developed. ";"Rain.";"Rain.";"";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"40%.";"600-1000";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"27.1";"";"";"";"";"";"";
"16.07.2017 17:30";"32.8";"745.4";"748.0";"-1.5";"73";"Wind blowing from the south";"1";"";"";"60%.";"State of sky on the whole unchanged. ";"Thunderstorm(s) with or without precipitation.";"Rain.";"";"34.8";"Stratocumulus cumulogenitus.";"50%.";"600-1000";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"27.3";"";"";"";"";"";"";
"16.07.2017 14:30";"30.8";"746.9";"749.5";"-1.5";"80";"Wind blowing from the north-west";"1";"";"";"70 – 80%.";"Thunderstorm, but no precipitation at the time of observation. ";"Thunderstorm(s) with or without precipitation.";"Rain.";"";"";"Cumulonimbus capillatus (often with an anvil), with or without Cumulonimbus calvus, Cumulus, Stratocumulus, Stratus or pannus.";"50%.";"600-1000";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"26.9";"";"";"";"";"";"";
"16.07.2017 11:30";"33.8";"748.4";"751.0";"-0.7";"60";"Wind blowing from the south-east";"1";"";"";"90  or more, but not 100%";" ";"";"";"";"";"Stratocumulus cumulogenitus.";"50%.";"600-1000";"Altocumulus translucidus or opacus in two or more layers, or Altocumulus opacus in a single layer, not progressively invading the sky, or Altocumulus with Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"25.1";"";"";"";"";"";"";
"16.07.2017 08:30";"31.6";"749.1";"751.7";"0.4";"74";"Wind blowing from the south";"1";"";"";"70 – 80%.";" ";"";"";"28.6";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"20–30%.";"600-1000";"Altocumulus translucidus or opacus in two or more layers, or Altocumulus opacus in a single layer, not progressively invading the sky, or Altocumulus with Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"26.3";"";"";"";"";"";"";
"16.07.2017 05:30";"28.8";"748.7";"751.3";"";"88";"Calm, no wind";"0";"";"";"70 – 80%.";" ";"";"";"";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"20–30%.";"600-1000";"Altocumulus translucidus at a single level.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"4.0";"26.6";"";"";"";"";"";"";
"15.07.2017 23:30";"30.2";"748.8";"751.4";"0.0";"80";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"4.0";"26.3";"";"";"";"";"";"";
"15.07.2017 20:30";"31.0";"748.8";"751.4";"2.0";"72";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"4.0";"25.4";"";"";"";"";"";"";
"15.07.2017 17:30";"33.2";"746.8";"749.4";"-0.7";"60";"Wind blowing from the south-east";"1";"";"";"20–30%.";" ";"";"";"";"35.0";"Stratocumulus other than Stratocumulus cumulogenitus.";"10%  or less, but not 0";"600-1000";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"24.4";"";"";"";"";"";"";
"15.07.2017 14:30";"34.4";"747.5";"750.1";"-1.8";"58";"Wind blowing from the north-west";"1";"";"";"60%.";" ";"";"";"";"";"Stratocumulus cumulogenitus.";"50%.";"600-1000";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"25.1";"";"";"";"";"";"";
"15.07.2017 11:30";"33.2";"749.3";"751.9";"-0.8";"63";"Wind blowing from the north-west";"1";"";"";"70 – 80%.";" ";"";"";"";"";"Stratocumulus cumulogenitus.";"60%.";"600-1000";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"25.3";"";"";"";"";"";"";
"15.07.2017 08:30";"31.2";"750.1";"752.7";"0.6";"71";"Wind blowing from the south";"1";"";"";"60%.";" ";"";"";"27.6";"";"Stratocumulus cumulogenitus.";"60%.";"600-1000";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"25.3";"";"";"";"";"";"";
"15.07.2017 05:30";"27.8";"749.5";"752.1";"";"89";"Calm, no wind";"0";"";"";"40%.";" ";"";"";"";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"10%  or less, but not 0";"600-1000";"Altocumulus translucidus at a single level.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"4.0";"25.8";"";"";"";"";"";"";
"14.07.2017 23:30";"29.0";"750.0";"752.6";"0.8";"85";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"4.0";"26.2";"";"";"";"";"";"";
"14.07.2017 20:30";"29.8";"749.2";"751.8";"1.7";"83";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"4.0";"26.7";"";"";"";"";"";"";
"14.07.2017 17:30";"32.8";"747.5";"750.1";"-0.4";"67";"Wind blowing from the south";"1";"";"";"60%.";" ";"";"";"";"34.0";"Stratocumulus cumulogenitus.";"50%.";"600-1000";"Altocumulus translucidus or opacus in two or more layers, or Altocumulus opacus in a single layer, not progressively invading the sky, or Altocumulus with Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"25.8";"";"";"";"";"";"";
"14.07.2017 14:30";"33.6";"747.9";"750.5";"-1.7";"61";"Wind blowing from the south";"1";"";"";"60%.";" ";"";"";"";"";"Stratocumulus cumulogenitus.";"40%.";"600-1000";"Altocumulus translucidus or opacus in two or more layers, or Altocumulus opacus in a single layer, not progressively invading the sky, or Altocumulus with Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"25.2";"";"";"";"";"";"";
"14.07.2017 11:30";"32.4";"749.6";"752.2";"-0.6";"70";"Wind blowing from the east";"1";"";"";"90  or more, but not 100%";" ";"";"";"";"";"Stratocumulus cumulogenitus.";"60%.";"600-1000";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"26.3";"";"";"";"";"";"";
"14.07.2017 08:30";"29.4";"750.2";"752.8";"0.7";"81";"Wind blowing from the south";"1";"";"";"70 – 80%.";" ";"";"";"27.2";"";"Stratocumulus cumulogenitus.";"50%.";"600-1000";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"25.7";"";"";"";"";"";"";
"14.07.2017 05:30";"27.4";"749.5";"752.1";"";"90";"Calm, no wind";"0";"";"";"90  or more, but not 100%";" ";"";"";"";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"50%.";"600-1000";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"25.7";"";"";"";"";"";"";
"13.07.2017 23:30";"27.8";"750.2";"752.8";"0.6";"89";"Wind blowing from the south";"1";"";"";"90  or more, but not 100%";" ";"";"";"";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"40%.";"600-1000";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"25.8";"";"";"";"";"";"";
"13.07.2017 20:30";"29.6";"749.6";"752.2";"2.2";"81";"Calm, no wind";"0";"";"";"70 – 80%.";" ";"";"";"";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"40%.";"600-1000";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"26.0";"";"";"";"";"";"";
"13.07.2017 17:30";"31.8";"747.4";"750.0";"-0.4";"70";"Wind blowing from the south-east";"1";"";"";"50%.";" ";"";"";"";"33.2";"Stratocumulus cumulogenitus.";"40%.";"600-1000";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"25.6";"";"";"";"";"";"";
"13.07.2017 14:30";"32.8";"747.8";"750.4";"-2.3";"67";"Wind blowing from the east";"1";"";"";"70 – 80%.";" ";"";"";"";"";"Stratocumulus cumulogenitus.";"50%.";"600-1000";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"25.8";"";"";"";"";"";"";
"13.07.2017 11:30";"31.0";"750.1";"752.7";"-0.3";"76";"Wind blowing from the south";"1";"";"";"70 – 80%.";" ";"";"";"";"";"Stratocumulus cumulogenitus.";"50%.";"600-1000";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"26.3";"";"";"";"";"";"";
"13.07.2017 08:30";"28.8";"750.4";"753.0";"0.9";"89";"Calm, no wind";"0";"";"";"90  or more, but not 100%";" ";"";"";"25.6";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"50%.";"600-1000";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"26.9";"";"";"";"";"";"";
"13.07.2017 05:30";"26.6";"749.5";"752.2";"";"95";"Calm, no wind";"0";"";"";"70 – 80%.";" ";"";"";"";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"40%.";"600-1000";"Altocumulus translucidus or opacus in two or more layers, or Altocumulus opacus in a single layer, not progressively invading the sky, or Altocumulus with Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"25.7";"";"";"";"";"";"";
"12.07.2017 23:30";"26.6";"750.9";"753.6";"0.7";"95";"Calm, no wind";"0";"";"";"100%.";" ";"";"";"";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"70 – 80%.";"600-1000";"Altostratus opacus or Nimbostratus.";"";"4.0";"25.7";"";"";"";"";"";"";
"12.07.2017 20:30";"26.4";"750.2";"752.9";"1.2";"95";"Calm, no wind";"0";"";"";"100%.";" ";"";"";"";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"70 – 80%.";"600-1000";"Altostratus opacus or Nimbostratus.";"";"4.0";"25.5";"";"";"";"";"";"";
"12.07.2017 17:30";"26.4";"749.0";"751.7";"-0.7";"97";"Wind blowing from the south";"1";"";"";"90  or more, but not 100%";"Rain (not freezing) not falling as shower(s). ";"Rain.";"Rain.";"";"27.1";"Stratocumulus other than Stratocumulus cumulogenitus.";"50%.";"600-1000";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"25.8";"";"";"";"";"";"";
"12.07.2017 14:30";"26.4";"749.7";"752.4";"-0.7";"97";"Wind blowing from the south";"1";"";"";"100%.";"Rain, not freezing, continuous, slight at time of observation. ";"Rain.";"Rain.";"";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"70 – 80%.";"300-600";"Altostratus opacus or Nimbostratus.";"";"4.0";"25.8";"";"";"";"";"";"";
"12.07.2017 11:30";"26.8";"750.4";"753.1";"-0.1";"94";"Wind blowing from the north-east";"1";"";"";"100%.";"Rain, not freezing, continuous, moderate at time of observation. ";"Rain.";"Rain.";"";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"70 – 80%.";"300-600";"Altostratus opacus or Nimbostratus.";"";"2.0";"25.7";"";"";"";"";"";"";
"12.07.2017 08:30";"26.2";"750.5";"753.2";"1.0";"97";"Wind blowing from the north";"1";"";"";"100%.";"Rain, not freezing, continuous, moderate at time of observation. ";"Rain.";"Rain.";"25.7";"";"Stratus fractus or Cumulus fractus of bad weather, or both (pannus), usually below Altostratus or Nimbostratus.";"70 – 80%.";"300-600";"Altostratus opacus or Nimbostratus.";"";"1.0";"25.6";"";"";"";"";"";"";
"12.07.2017 05:30";"26.2";"749.5";"752.2";"";"94";"Wind blowing from the north";"2";"";"";"100%.";"Drizzle, not freezing, continuous, slight at time of observation. ";"Rain.";"Drizzle.";"";"";"Stratus fractus or Cumulus fractus of bad weather, or both (pannus), usually below Altostratus or Nimbostratus.";"70 – 80%.";"300-600";"Altostratus opacus or Nimbostratus.";"";"2.0";"25.1";"";"";"";"";"";"";
"11.07.2017 23:30";"26.8";"750.4";"753.1";"0.3";"90";"Wind blowing from the north";"1";"";"";"100%.";"State of sky on the whole unchanged. ";"Rain.";"Rain.";"";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"60%.";"300-600";"Altostratus opacus or Nimbostratus.";"";"4.0";"25.1";"";"";"";"";"";"";
"11.07.2017 20:30";"26.8";"750.1";"752.8";"1.3";"90";"Wind blowing from the north";"2";"";"";"100%.";"State of sky on the whole unchanged. ";"Rain.";"Rain.";"";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"70 – 80%.";"300-600";"Altostratus opacus or Nimbostratus.";"";"4.0";"25.1";"";"";"";"";"";"";
"11.07.2017 17:30";"27.0";"748.8";"751.4";"0.1";"92";"Wind blowing from the north-west";"1";"";"";"100%.";"Rain, not freezing, continuous, slight at time of observation. ";"Thunderstorm(s) with or without precipitation.";"Rain.";"";"30.3";"Stratocumulus other than Stratocumulus cumulogenitus.";"70 – 80%.";"300-600";"Altostratus opacus or Nimbostratus.";"";"2.0";"25.6";"";"";"";"";"";"";
"11.07.2017 14:30";"26.8";"748.7";"751.3";"-0.6";"90";"Wind blowing from the south-west";"2";"";"";"100%.";"Rain (not freezing) not falling as shower(s). ";"Thunderstorm(s) with or without precipitation.";"Rain.";"";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"70 – 80%.";"600-1000";"Altostratus opacus or Nimbostratus.";"";"4.0";"25.1";"";"";"";"";"";"";
"11.07.2017 11:30";"30.0";"749.3";"751.9";"-0.3";"81";"Wind blowing from the south";"1";"";"";"100%.";" ";"";"";"";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"70 – 80%.";"600-1000";"Altostratus opacus or Nimbostratus.";"";"4.0";"26.4";"";"";"";"";"";"";
"11.07.2017 08:30";"28.6";"749.6";"752.2";"0.5";"88";"Wind blowing from the north-west";"1";"";"";"100%.";" ";"";"";"26.5";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"70 – 80%.";"600-1000";"Altostratus opacus or Nimbostratus.";"";"4.0";"26.4";"";"";"";"";"";"";
"11.07.2017 05:30";"27.0";"749.1";"751.7";"";"95";"Wind blowing from the east";"1";"";"";"100%.";"State of sky on the whole unchanged. ";"Rain.";"Rain.";"";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"50%.";"600-1000";"Altostratus opacus or Nimbostratus.";"";"4.0";"26.2";"";"";"";"";"";"";
"10.07.2017 23:30";"27.4";"750.1";"752.7";"0.0";"97";"Calm, no wind";"0";"";"";"100%.";"State of sky on the whole unchanged. ";"Rain.";"Rain.";"";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"50%.";"600-1000";"Altostratus opacus or Nimbostratus.";"";"4.0";"26.8";"";"";"";"";"";"";
"10.07.2017 20:30";"27.6";"750.1";"752.7";"0.9";"90";"Calm, no wind";"0";"";"";"100%.";"Rain (not freezing) not falling as shower(s). ";"Rain.";"Rain.";"";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"60%.";"600-1000";"Altostratus opacus or Nimbostratus.";"";"4.0";"25.9";"";"";"";"";"";"";
