# Weather station Sikar, India, WMO_ID=42249,selection from 08.12.2015 till 31.12.2017, all days
# Encoding: UTF-8
# The data is provided by the website "Reliable Prognosis", rp5.ru 
# If you use the data, please indicate the name of the website.
# For meteorological parameters see the address http://rp5.ru/archive.php?wmo_id=42249&lang=en
#
"Local time in Sikar";"T";"Po";"P";"Pa";"U";"DD";"Ff";"ff10";"ff3";"N";"WW";"W1";"W2";"Tn";"Tx";"Cl";"Nh";"H";"Cm";"Ch";"VV";"Td";"RRR";"tR";"E";"Tg";"E'";"sss"
"20.11.2017 08:30";"11.6";"726.9";"765.3";"";"65";"Calm, no wind";"0";"";"";"no clouds";"Haze. ";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"7.0";"";"";"";"";"";"";"2.0";"5.1";"";"";"";"";"";"";
"19.11.2017 17:30";"21.0";"723.8";"760.8";"";"35";"Wind blowing from the north";"1";"";"";"no clouds";" ";"";"";"";"23.0";"";"";"";"";"";"4.0";"4.7";"";"";"";"";"";"";
"19.11.2017 08:30";"16.4";"725.5";"763.2";"";"77";"Wind blowing from the north";"1";"";"";"no clouds";" ";"";"";"11.0";"";"";"";"";"";"";"1.0";"12.3";"";"";"";"";"";"";
"18.11.2017 17:30";"20.4";"723.3";"760.3";"";"58";"Wind blowing from the north";"1";"";"";"no clouds";" ";"";"";"";"24.0";"";"";"";"";"";"1.0";"11.8";"";"";"";"";"";"";
"18.11.2017 08:30";"17.0";"724.8";"762.4";"";"74";"Wind blowing from the north";"1";"";"";"no clouds";" ";"";"";"11.0";"";"";"";"";"";"";"4.0";"12.3";"";"";"";"";"";"";
"17.11.2017 08:30";"15.8";"725.0";"762.7";"";"53";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"12.0";"";"";"";"";"";"";"4.0";"6.3";"";"";"";"";"";"";
"16.11.2017 17:30";"26.0";"722.2";"758.5";"";"31";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"29.5";"";"";"";"";"";"4.0";"7.7";"";"";"";"";"";"";
"16.11.2017 08:30";"16.2";"725.0";"762.7";"";"54";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"12.5";"";"";"";"";"";"";"4.0";"6.7";"";"";"";"";"";"";
"15.11.2017 17:30";"25.8";"722.8";"759.1";"";"33";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"29.5";"";"";"";"";"";"4.0";"8.3";"";"";"";"";"";"";
"15.11.2017 08:30";"16.0";"725.0";"762.7";"";"54";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"12.5";"";"";"";"";"";"";"4.0";"6.5";"";"";"";"";"";"";
