# Weather station Disa, India, WMO_ID=42539,selection from 01.01.2012 till 31.12.2017, all days
# Encoding: UTF-8
# The data is provided by the website "Reliable Prognosis", rp5.ru 
# If you use the data, please indicate the name of the website.
# For meteorological parameters see the address http://rp5.ru/archive.php?wmo_id=42539&lang=en
#
"Local time in Disa";"T";"Po";"P";"Pa";"U";"DD";"Ff";"ff10";"ff3";"N";"WW";"W1";"W2";"Tn";"Tx";"Cl";"Nh";"H";"Cm";"Ch";"VV";"Td";"RRR";"tR";"E";"Tg";"E'";"sss"
"19.12.2017 08:30";"14.0";"753.1";"765.4";"";"69";"Wind blowing from the north-northeast";"2";"";"";"60%.";" ";"";"";"12.6";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"no clouds";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"4.0";"8.4";"";"";"";"";"";"";
"18.12.2017 17:30";"28.2";"752.0";"763.7";"-0.6";"43";"Wind blowing from the west-northwest";"2";"";"";"50%.";" ";"";"";"";"30.6";"Cumulus humilis or Cumulus fractus other than of bad weather, or both.";"20–30%.";"600-1000";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"14.3";"";"";"";"";"";"";
"18.12.2017 14:30";"29.6";"752.6";"764.2";"-2.1";"25";"Wind blowing from the north-east";"2";"";"";"40%.";" ";"";"";"";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"no clouds";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"10.0";"7.5";"";"";"";"";"";"";
"18.12.2017 11:30";"24.8";"754.7";"766.6";"0.9";"37";"Wind blowing from the north-northeast";"1";"";"";"10%  or less, but not 0";" ";"";"";"";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"no clouds";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"4.0";"9.0";"";"";"";"";"";"";
"18.12.2017 08:30";"14.4";"753.8";"766.1";"";"72";"Wind blowing from the north-east";"1";"";"";"no clouds";" ";"";"";"13.0";"";"";"";"";"";"";"4.0";"9.4";"";"";"";"";"";"";
"17.12.2017 17:30";"26.0";"751.5";"763.3";"-0.8";"43";"Calm, no wind";"0";"";"";"50%.";" ";"";"";"";"27.7";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"no clouds";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"4.0";"12.6";"";"";"";"";"";"";
"17.12.2017 14:30";"27.0";"752.3";"764.0";"-2.1";"37";"Wind blowing from the north-northeast";"2";"";"";"40%.";" ";"";"";"";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"no clouds";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"10.0";"11.2";"";"";"";"";"";"";
"17.12.2017 11:30";"23.8";"754.4";"766.3";"0.4";"40";"Wind blowing from the north-east";"2";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"4.0";"9.5";"";"";"";"";"";"";
"17.12.2017 08:30";"14.0";"754.0";"766.3";"";"59";"Wind blowing from the north-east";"1";"";"";"no clouds";" ";"";"";"12.3";"";"";"";"";"";"";"4.0";"6.1";"";"";"";"";"";"";
"16.12.2017 17:30";"24.0";"751.2";"763.0";"-0.3";"43";"Wind blowing from the north-east";"3";"";"";"no clouds";" ";"";"";"";"26.0";"";"";"";"";"";"4.0";"10.7";"";"";"";"";"";"";
"16.12.2017 14:30";"25.6";"751.5";"763.3";"-2.2";"38";"Wind blowing from the north-east";"3";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"4.0";"10.2";"";"";"";"";"";"";
"16.12.2017 11:30";"21.4";"753.7";"765.7";"0.8";"43";"Wind blowing from the north-east";"3";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"4.0";"8.1";"";"";"";"";"";"";
"16.12.2017 08:30";"14.8";"752.9";"765.1";"";"62";"Wind blowing from the north-east";"3";"";"";"no clouds";" ";"";"";"13.4";"";"";"";"";"";"";"4.0";"7.6";"";"";"";"";"";"";
"15.12.2017 17:30";"23.6";"750.5";"762.3";"0.1";"55";"Wind blowing from the north-northwest";"2";"";"";"no clouds";" ";"";"";"";"26.2";"";"";"";"";"";"4.0";"14.1";"";"";"";"";"";"";
"15.12.2017 14:30";"25.8";"750.4";"762.2";"-1.8";"43";"Wind blowing from the north-northwest";"2";"";"";"20–30%.";" ";"";"";"";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"no clouds";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"10.0";"12.3";"";"";"";"";"";"";
