# Weather station Gandhinagar, India, WMO_ID=42654,selection from 07.12.2015 till 31.12.2017, all days
# Encoding: UTF-8
# The data is provided by the website "Reliable Prognosis", rp5.ru 
# If you use the data, please indicate the name of the website.
# For meteorological parameters see the address http://rp5.ru/archive.php?wmo_id=42654&lang=en
#
"Local time in Gandhinagar";"T";"Po";"P";"Pa";"U";"DD";"Ff";"ff10";"ff3";"N";"WW";"W1";"W2";"Tn";"Tx";"Cl";"Nh";"H";"Cm";"Ch";"VV";"Td";"RRR";"tR";"E";"Tg";"E'";"sss"
"11.11.2017 08:30";"20.4";"754.5";"761.7";"";"69";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"15.0";"";"";"";"";"";"";"10.0";"14.6";"";"";"";"";"";"";
"10.11.2017 17:30";"28.4";"752.4";"759.4";"";"68";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"33.5";"";"";"";"";"";"10.0";"21.9";"";"";"";"";"";"";
"10.11.2017 11:30";"21.0";"753.5";"760.7";"";"77";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"17.0";"";"";"";"";"";"";"";"16.7";"";"";"";"";"";"";
"10.11.2017 08:30";"21.0";"753.5";"760.7";"";"77";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"17.0";"";"";"";"";"";"";"10.0";"16.7";"";"";"";"";"";"";
"09.11.2017 17:30";"28.4";"751.6";"758.6";"";"51";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"33.8";"";"";"";"";"";"10.0";"17.3";"";"";"";"";"";"";
"09.11.2017 08:30";"21.0";"754.5";"761.7";"";"77";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"16.8";"";"";"";"";"";"";"10.0";"16.7";"";"";"";"";"";"";
"08.11.2017 17:30";"30.0";"752.4";"759.4";"";"47";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"34.2";"";"";"";"";"";"10.0";"17.4";"";"";"";"";"";"";
"08.11.2017 08:30";"22.0";"755.2";"762.4";"";"66";"Wind blowing from the south-southeast";"1";"";"";"no clouds";" ";"";"";"17.0";"";"";"";"";"";"";"10.0";"15.3";"";"";"";"";"";"";
"07.11.2017 17:30";"30.4";"752.4";"759.4";"";"47";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"34.5";"";"";"";"";"";"10.0";"17.9";"";"";"";"";"";"";
"07.11.2017 08:30";"21.4";"754.7";"761.9";"";"70";"Wind blowing from the south-southeast";"1";"";"";"no clouds";" ";"";"";"16.5";"";"";"";"";"";"";"10.0";"15.7";"";"";"";"";"";"";
"06.11.2017 17:30";"30.0";"752.4";"759.4";"";"47";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"34.0";"";"";"";"";"";"10.0";"17.4";"";"";"";"";"";"";
"06.11.2017 08:30";"22.4";"755.5";"762.7";"";"58";"Wind blowing from the north-northeast";"1";"";"";"no clouds";" ";"";"";"17.0";"";"";"";"";"";"";"10.0";"13.8";"";"";"";"";"";"";
"05.11.2017 17:30";"30.0";"751.1";"758.1";"";"49";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"34.0";"";"";"";"";"";"10.0";"18.2";"";"";"";"";"";"";
"05.11.2017 08:30";"22.0";"754.4";"761.6";"";"68";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"17.0";"";"";"";"";"";"";"10.0";"15.7";"";"";"";"";"";"";
"04.11.2017 17:30";"30.2";"751.2";"758.2";"";"58";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"35.0";"";"";"";"";"";"10.0";"20.9";"";"";"";"";"";"";
"04.11.2017 08:30";"21.0";"753.3";"760.5";"";"79";"Wind blowing from the south-southwest";"1";"";"";"no clouds";" ";"";"";"17.0";"";"";"";"";"";"";"10.0";"17.1";"";"";"";"";"";"";
"03.11.2017 17:30";"31.8";"750.6";"757.5";"";"70";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"36.0";"";"";"";"";"";"10.0";"25.6";"";"";"";"";"";"";
"03.11.2017 08:30";"21.0";"752.7";"759.9";"";"68";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"16.0";"";"";"";"";"";"";"10.0";"14.9";"";"";"";"";"";"";
"02.11.2017 17:30";"30.6";"751.2";"758.2";"";"74";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"37.0";"";"";"";"";"";"10.0";"25.5";"";"";"";"";"";"";
