# Weather station Madurai, India, WMO_ID=43359,selection from 08.04.2016 till 31.12.2017, all days
# Encoding: UTF-8
# The data is provided by the website "Reliable Prognosis", rp5.ru 
# If you use the data, please indicate the name of the website.
# For meteorological parameters see the address http://rp5.ru/archive.php?wmo_id=43359&lang=en
#
"Local time in Madurai";"T";"Po";"P";"Pa";"U";"DD";"Ff";"ff10";"ff3";"N";"WW";"W1";"W2";"Tn";"Tx";"Cl";"Nh";"H";"Cm";"Ch";"VV";"Td";"RRR";"tR";"E";"Tg";"E'";"sss"
"27.04.2017 08:30";"32.0";"747.0";"757.9";"";"66";"Wind blowing from the east";"2";"";"";"10%  or less, but not 0";" ";"";"";"27.0";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"no clouds";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"10.0";"24.9";"";"";"";"";"";"";
"26.04.2017 17:30";"38.0";"743.1";"753.7";"";"36";"Wind blowing from the east";"2";"";"";"50%.";" ";"";"";"";"39.0";"Stratocumulus cumulogenitus.";"20–30%.";"600-1000";"Altocumulus translucidus at a single level.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"10.0";"20.3";"";"";"";"";"";"";
"26.04.2017 08:30";"32.0";"746.5";"757.5";"";"60";"Wind blowing from the west";"2";"";"";"10%  or less, but not 0";" ";"";"";"27.5";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"no clouds";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"10.0";"23.3";"";"";"";"";"";"";
"25.04.2017 08:30";"32.0";"747.1";"758.0";"";"66";"Wind blowing from the north";"2";"";"";"10%  or less, but not 0";" ";"";"";"28.0";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"no clouds";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"10.0";"24.9";"";"";"";"";"";"";
"24.04.2017 17:30";"37.0";"743.5";"754.1";"";"34";"Wind blowing from the north";"3";"";"";"60%.";" ";"";"";"";"38.0";"Stratocumulus other than Stratocumulus cumulogenitus.";"20–30%.";"600-1000";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"10.0";"18.9";"";"";"";"";"";"";
"24.04.2017 08:30";"30.0";"745.6";"756.6";"";"72";"Wind blowing from the west";"3";"";"";"70 – 80%.";" ";"";"";"27.5";"";"Stratocumulus cumulogenitus.";"20–30%.";"600-1000";"Altocumulus translucidus at a single level.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"10.0";"24.3";"";"";"";"";"";"";
"23.04.2017 17:30";"39.0";"742.3";"753.0";"";"32";"Wind blowing from the east";"3";"";"";"60%.";" ";"";"";"";"39.5";"Stratocumulus cumulogenitus.";"20–30%.";"600-1000";"Altocumulus translucidus at a single level.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"10.0";"19.7";"";"";"";"";"";"";
"23.04.2017 08:30";"32.0";"746.4";"757.3";"";"54";"Wind blowing from the west";"2";"";"";"10%  or less, but not 0";" ";"";"";"28.0";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"no clouds";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"10.0";"21.7";"";"";"";"";"";"";
"22.04.2017 17:30";"39.0";"742.4";"753.1";"";"37";"Wind blowing from the north";"2";"";"";"50%.";" ";"";"";"";"40.0";"Stratocumulus other than Stratocumulus cumulogenitus.";"20–30%.";"600-1000";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"10.0";"21.6";"";"";"";"";"";"";
"22.04.2017 08:30";"33.0";"747.1";"757.9";"";"50";"Wind blowing from the west";"2";"";"";"10%  or less, but not 0";" ";"";"";"28.0";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"no clouds";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"10.0";"21.2";"";"";"";"";"";"";
"21.04.2017 17:30";"33.0";"744.2";"755.0";"";"45";"Wind blowing from the north";"2";"";"";"60%.";" ";"";"";"";"34.0";"Stratocumulus other than Stratocumulus cumulogenitus.";"20–30%.";"600-1000";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"10.0";"19.4";"";"";"";"";"";"";
"21.04.2017 08:30";"32.0";"748.0";"758.9";"";"54";"Wind blowing from the east";"2";"";"";"10%  or less, but not 0";" ";"";"";"27.0";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"no clouds";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"10.0";"21.7";"";"";"";"";"";"";
"20.04.2017 17:30";"38.0";"743.4";"754.0";"";"36";"Wind blowing from the south";"2";"";"";"20–30%.";" ";"";"";"";"39.0";"Stratocumulus other than Stratocumulus cumulogenitus.";"20–30%.";"600-1000";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"10.0";"20.3";"";"";"";"";"";"";
"20.04.2017 08:30";"32.0";"747.1";"758.0";"";"66";"Wind blowing from the east";"2";"";"";"10%  or less, but not 0";" ";"";"";"28.0";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"no clouds";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"10.0";"24.9";"";"";"";"";"";"";
"19.04.2017 17:30";"40.0";"743.5";"754.0";"";"34";"Wind blowing from the east";"2";"";"";"10%  or less, but not 0";" ";"";"";"";"41.0";"Stratocumulus other than Stratocumulus cumulogenitus.";"20–30%.";"600-1000";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"10.0";"21.1";"";"";"";"";"";"";
"19.04.2017 08:30";"31.0";"747.4";"758.3";"";"66";"Wind blowing from the north";"2";"";"";"10%  or less, but not 0";" ";"";"";"27.0";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"no clouds";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"10.0";"23.8";"";"";"";"";"";"";
"18.04.2017 17:30";"40.0";"743.2";"753.8";"";"30";"Wind blowing from the east";"2";"";"";"60%.";" ";"";"";"";"41.4";"Stratocumulus other than Stratocumulus cumulogenitus.";"20–30%.";"600-1000";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"10.0";"19.1";"";"";"";"";"";"";
"17.04.2017 17:30";"40.0";"742.2";"752.8";"";"37";"Wind blowing from the east";"2";"";"";"10%  or less, but not 0";" ";"";"";"";"41.0";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"no clouds";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"10.0";"22.5";"";"";"";"";"";"";
"17.04.2017 08:30";"33.0";"747.0";"757.7";"";"55";"Wind blowing from the west";"2";"";"";"10%  or less, but not 0";" ";"";"";"28.0";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"no clouds";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"10.0";"22.9";"";"";"";"";"";"";
"16.04.2017 17:30";"39.0";"742.8";"753.4";"";"37";"Wind blowing from the south";"3";"";"";"60%.";" ";"";"";"";"40.0";"Stratocumulus other than Stratocumulus cumulogenitus.";"20–30%.";"600-1000";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"10.0";"21.6";"";"";"";"";"";"";
"16.04.2017 08:30";"33.0";"745.8";"756.7";"";"61";"Wind blowing from the west";"2";"";"";"10%  or less, but not 0";" ";"";"";"27.5";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"no clouds";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"10.0";"24.5";"";"";"";"";"";"";
"15.04.2017 17:30";"41.0";"743.2";"753.8";"";"34";"Wind blowing from the south";"2";"";"";"50%.";" ";"";"";"";"42.0";"Stratocumulus other than Stratocumulus cumulogenitus.";"20–30%.";"600-1000";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"10.0";"22.0";"";"";"";"";"";"";
"15.04.2017 08:30";"32.0";"746.7";"757.6";"";"66";"Wind blowing from the west";"2";"";"";"20–30%.";" ";"";"";"27.5";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"20–30%.";"600-1000";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"10.0";"24.9";"";"";"";"";"";"";
"14.04.2017 17:30";"39.0";"744.1";"754.9";"";"37";"Wind blowing from the east";"2";"";"";"50%.";" ";"";"";"";"40.0";"Stratocumulus other than Stratocumulus cumulogenitus.";"20–30%.";"600-1000";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"10.0";"21.6";"";"";"";"";"";"";
"13.04.2017 08:30";"32.0";"747.1";"758.0";"";"54";"Wind blowing from the north";"2";"";"";"10%  or less, but not 0";" ";"";"";"28.0";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"no clouds";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"10.0";"21.7";"";"";"";"";"";"";
"12.04.2017 17:30";"38.0";"744.7";"755.5";"";"40";"Wind blowing from the south";"2";"";"";"10%  or less, but not 0";" ";"";"";"";"39.0";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"no clouds";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"10.0";"22.1";"";"";"";"";"";"";
"12.04.2017 08:30";"32.0";"746.9";"757.9";"";"60";"Wind blowing from the north";"2";"";"";"10%  or less, but not 0";" ";"";"";"27.0";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"no clouds";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"10.0";"23.3";"";"";"";"";"";"";
"11.04.2017 17:30";"39.0";"743.2";"753.9";"";"40";"Wind blowing from the south";"3";"";"";"60%.";" ";"";"";"";"39.8";"Stratocumulus other than Stratocumulus cumulogenitus.";"20–30%.";"600-1000";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"10.0";"23.0";"";"";"";"";"";"";
"11.04.2017 08:30";"32.0";"746.0";"757.0";"";"60";"Wind blowing from the north";"2";"";"";"10%  or less, but not 0";" ";"";"";"28.0";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"no clouds";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"10.0";"23.3";"";"";"";"";"";"";
"10.04.2017 17:30";"39.0";"743.6";"754.3";"";"40";"Wind blowing from the east";"2";"";"";"10%  or less, but not 0";" ";"";"";"";"40.0";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"no clouds";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"10.0";"23.0";"";"";"";"";"";"";
"10.04.2017 08:30";"30.0";"745.9";"756.9";"";"78";"Wind blowing from the north";"2";"";"";"10%  or less, but not 0";" ";"";"";"27.0";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"no clouds";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"10.0";"25.8";"";"";"";"";"";"";
"09.04.2017 17:30";"39.0";"744.1";"754.7";"";"40";"Wind blowing from the south";"2";"";"";"10%  or less, but not 0";" ";"";"";"";"40.0";"Stratocumulus other than Stratocumulus cumulogenitus.";"20–30%.";"600-1000";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"10.0";"23.0";"";"";"";"";"";"";
"09.04.2017 08:30";"31.0";"745.5";"756.5";"";"59";"Wind blowing from the east";"2";"";"";"10%  or less, but not 0";" ";"";"";"27.0";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"no clouds";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"10.0";"22.2";"";"";"";"";"";"";
"08.04.2017 17:30";"38.0";"744.3";"755.0";"";"43";"Wind blowing from the east";"2";"";"";"20–30%.";" ";"";"";"";"38.8";"Stratocumulus other than Stratocumulus cumulogenitus.";"20–30%.";"600-1000";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"10.0";"23.5";"";"";"";"";"";"";
"08.04.2017 08:30";"31.0";"745.6";"756.6";"";"72";"Wind blowing from the east";"2";"";"";"10%  or less, but not 0";" ";"";"";"27.0";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"no clouds";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"10.0";"25.4";"";"";"";"";"";"";
"07.04.2017 17:30";"39.0";"744.7";"755.4";"";"37";"Wind blowing from the east";"2";"";"";"40%.";" ";"";"";"";"40.0";"Stratocumulus other than Stratocumulus cumulogenitus.";"20–30%.";"600-1000";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"10.0";"21.6";"";"";"";"";"";"";
"07.04.2017 08:30";"32.0";"745.5";"756.4";"";"60";"Wind blowing from the north";"2";"";"";"10%  or less, but not 0";" ";"";"";"27.0";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"no clouds";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"10.0";"23.3";"";"";"";"";"";"";
"06.04.2017 17:30";"39.0";"745.0";"755.8";"";"32";"Wind blowing from the south";"2";"";"";"10%  or less, but not 0";" ";"";"";"";"39.8";"Stratocumulus other than Stratocumulus cumulogenitus.";"20–30%.";"600-1000";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"10.0";"19.7";"";"";"";"";"";"";
"06.04.2017 08:30";"31.0";"745.9";"756.8";"";"66";"Wind blowing from the east";"2";"";"";"10%  or less, but not 0";" ";"";"";"27.0";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"no clouds";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"10.0";"23.8";"";"";"";"";"";"";
"05.04.2017 17:30";"39.0";"744.9";"755.5";"";"37";"Wind blowing from the south";"2";"";"";"10%  or less, but not 0";" ";"";"";"";"39.5";"Stratocumulus other than Stratocumulus cumulogenitus.";"20–30%.";"600-1000";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"10.0";"21.6";"";"";"";"";"";"";
"05.04.2017 08:30";"30.0";"746.0";"757.0";"";"72";"Wind blowing from the east";"2";"";"";"10%  or less, but not 0";" ";"";"";"27.0";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"no clouds";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"10.0";"24.3";"";"";"";"";"";"";
"04.04.2017 17:30";"38.0";"745.0";"755.8";"";"40";"Wind blowing from the east";"2";"";"";"40%.";" ";"";"";"";"38.4";"Stratocumulus other than Stratocumulus cumulogenitus.";"20–30%.";"600-1000";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"10.0";"22.1";"";"";"";"";"";"";
"04.04.2017 08:30";"30.0";"746.3";"757.3";"";"72";"Wind blowing from the east";"2";"";"";"50%.";" ";"";"";"27.0";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"20–30%.";"600-1000";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"10.0";"24.3";"";"";"";"";"";"";
"03.04.2017 17:30";"38.0";"745.2";"755.9";"";"40";"Calm, no wind";"0";"";"";"60%.";" ";"";"";"";"38.5";"Stratocumulus other than Stratocumulus cumulogenitus.";"10%  or less, but not 0";"600-1000";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"10.0";"22.1";"";"";"";"";"";"";
"03.04.2017 08:30";"30.0";"745.7";"756.7";"";"65";"Wind blowing from the north";"2";"";"";"10%  or less, but not 0";" ";"";"";"26.0";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"no clouds";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"10.0";"22.7";"";"";"";"";"";"";
"02.04.2017 17:30";"37.0";"745.0";"755.7";"";"39";"Wind blowing from the south";"2";"";"";"10%  or less, but not 0";" ";"";"";"";"37.5";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"no clouds";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"10.0";"20.8";"";"";"";"";"";"";
"02.04.2017 08:30";"30.0";"745.3";"756.7";"";"65";"Calm, no wind";"0";"";"";"60%.";" ";"";"";"26.0";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"10%  or less, but not 0";"600-1000";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"10.0";"22.7";"";"";"";"";"";"";
"01.04.2017 17:30";"39.0";"745.7";"756.4";"";"41";"Wind blowing from the east";"2";"";"";"10%  or less, but not 0";" ";"";"";"";"39.5";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"no clouds";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"10.0";"23.4";"";"";"";"";"";"";
"01.04.2017 08:30";"30.0";"745.9";"751.5";"";"65";"Calm, no wind";"0";"";"";"60%.";" ";"";"";"25.0";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"10%  or less, but not 0";"600-1000";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"10.0";"22.7";"";"";"";"";"";"";
"31.03.2017 17:30";"36.0";"747.4";"758.2";"";"42";"Wind blowing from the east";"2";"";"";"20–30%.";" ";"";"";"";"37.0";"Stratocumulus other than Stratocumulus cumulogenitus.";"20–30%.";"600-1000";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"10.0";"21.3";"";"";"";"";"";"";
"31.03.2017 08:30";"30.0";"745.6";"756.5";"";"72";"Wind blowing from the east";"3";"";"";"60%.";" ";"";"";"27.0";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"20–30%.";"600-1000";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"10.0";"24.3";"";"";"";"";"";"";
"30.03.2017 17:30";"37.0";"745.7";"756.4";"";"39";"Wind blowing from the east";"2";"";"";"50%.";" ";"";"";"";"38.0";"Stratocumulus other than Stratocumulus cumulogenitus.";"20–30%.";"600-1000";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"10.0";"20.8";"";"";"";"";"";"";
"30.03.2017 08:30";"30.0";"746.0";"757.0";"";"72";"Wind blowing from the north";"2";"";"";"20–30%.";" ";"";"";"25.5";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"20–30%.";"600-1000";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"10.0";"24.3";"";"";"";"";"";"";
"29.03.2017 17:30";"35.0";"746.8";"757.6";"";"46";"Wind blowing from the north";"2";"";"";"50%.";" ";"";"";"";"35.4";"Stratocumulus other than Stratocumulus cumulogenitus.";"20–30%.";"600-1000";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"10.0";"21.9";"";"";"";"";"";"";
"29.03.2017 08:30";"28.0";"744.8";"755.8";"";"85";"Wind blowing from the north";"2";"";"";"50%.";" ";"";"";"25.5";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"20–30%.";"600-1000";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"10.0";"25.2";"";"";"";"";"";"";
"28.03.2017 17:30";"37.0";"746.8";"757.5";"";"39";"Wind blowing from the east";"2";"";"";"40%.";" ";"";"";"";"38.0";"Stratocumulus other than Stratocumulus cumulogenitus.";"20–30%.";"600-1000";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"10.0";"20.8";"";"";"";"";"";"";
"28.03.2017 08:30";"30.0";"742.3";"753.3";"";"72";"Wind blowing from the south";"2";"";"";"10%  or less, but not 0";" ";"";"";"24.0";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"no clouds";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"10.0";"24.3";"";"";"";"";"";"";
"27.03.2017 17:30";"36.0";"746.6";"757.4";"";"47";"Wind blowing from the south";"2";"";"";"10%  or less, but not 0";" ";"";"";"";"37.0";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"no clouds";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"10.0";"23.1";"";"";"";"";"";"";
"27.03.2017 08:30";"28.0";"750.7";"761.8";"";"85";"Wind blowing from the east";"2";"";"";"10%  or less, but not 0";" ";"";"";"23.0";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"no clouds";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"10.0";"25.2";"";"";"";"";"";"";
"26.03.2017 17:30";"36.0";"746.1";"756.9";"";"42";"Wind blowing from the east";"2";"";"";"10%  or less, but not 0";" ";"";"";"";"37.0";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"no clouds";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"10.0";"21.3";"";"";"";"";"";"";
"26.03.2017 08:30";"28.0";"743.2";"754.3";"";"85";"Wind blowing from the east";"2";"";"";"10%  or less, but not 0";" ";"";"";"23.0";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"no clouds";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"10.0";"25.2";"";"";"";"";"";"";
"25.03.2017 17:30";"36.0";"746.1";"756.9";"";"33";"Wind blowing from the east";"2";"";"";"10%  or less, but not 0";" ";"";"";"";"36.4";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"no clouds";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"10.0";"17.5";"";"";"";"";"";"";
"25.03.2017 08:30";"28.0";"743.0";"754.0";"";"85";"Wind blowing from the east";"2";"";"";"10%  or less, but not 0";" ";"";"";"22.5";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"no clouds";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"10.0";"25.2";"";"";"";"";"";"";
"24.03.2017 17:30";"35.0";"746.6";"757.4";"";"46";"Wind blowing from the east";"2";"";"";"10%  or less, but not 0";" ";"";"";"";"35.8";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"no clouds";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"10.0";"21.9";"";"";"";"";"";"";
"24.03.2017 08:30";"28.0";"743.4";"754.4";"";"70";"Wind blowing from the east";"2";"";"";"10%  or less, but not 0";" ";"";"";"24.0";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"no clouds";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"10.0";"22.1";"";"";"";"";"";"";
"23.03.2017 17:30";"35.0";"746.6";"757.4";"";"46";"Wind blowing from the east";"2";"";"";"10%  or less, but not 0";" ";"";"";"";"35.6";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"no clouds";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"10.0";"21.9";"";"";"";"";"";"";
"23.03.2017 08:30";"28.0";"745.3";"756.4";"";"85";"Wind blowing from the north";"2";"";"";"50%.";" ";"";"";"25.0";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"20–30%.";"600-1000";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"10.0";"25.2";"";"";"";"";"";"";
"22.03.2017 20:30";"35.0";"745.2";"756.0";"";"46";"Wind blowing from the east";"2";"";"";"10%  or less, but not 0";" ";"";"";"";"35.4";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"no clouds";"";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"";"21.9";"";"";"";"";"";"";
"22.03.2017 17:30";"35.0";"745.2";"756.0";"";"46";"Wind blowing from the east";"2";"";"";"10%  or less, but not 0";" ";"";"";"";"35.4";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"no clouds";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"10.0";"21.9";"";"";"";"";"";"";
"22.03.2017 08:30";"29.0";"745.4";"756.4";"";"78";"Wind blowing from the east";"2";"";"";"50%.";" ";"";"";"25.0";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"20–30%.";"600-1000";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"10.0";"24.7";"";"";"";"";"";"";
