# Weather station Nagapattinam, India, WMO_ID=43347,selection from 01.01.2012 till 31.12.2017, all days
# Encoding: UTF-8
# The data is provided by the website "Reliable Prognosis", rp5.ru 
# If you use the data, please indicate the name of the website.
# For meteorological parameters see the address http://rp5.ru/archive.php?wmo_id=43347&lang=en
#
"Local time in Nagapattinam";"T";"Po";"P";"Pa";"U";"DD";"Ff";"ff10";"ff3";"N";"WW";"W1";"W2";"Tn";"Tx";"Cl";"Nh";"H";"Cm";"Ch";"VV";"Td";"RRR";"tR";"E";"Tg";"E'";"sss"
"11.02.2017 23:30";"25.4";"759.7";"760.6";"0.4";"63";"Wind blowing from the north-east";"2";"";"";"40%.";" ";"";"";"";"";"Stratus nebulosus or Stratus fractus other than of bad weather, or both.";"40%.";"300-600";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"17.8";"";"";"";"";"";"";
"11.02.2017 20:30";"26.2";"759.3";"760.1";"1.3";"66";"Wind blowing from the north-east";"2";"";"";"20–30%.";" ";"";"";"";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"20–30%.";"600-1000";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"19.4";"";"";"";"";"";"";
"11.02.2017 17:30";"27.4";"758.0";"758.8";"0.1";"60";"Wind blowing from the north-east";"3";"";"";"20–30%.";" ";"";"";"";"30.8";"Stratocumulus other than Stratocumulus cumulogenitus.";"20–30%.";"600-1000";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"10.0";"19.0";"";"";"";"";"";"";
"11.02.2017 14:30";"30.0";"757.9";"758.7";"-1.8";"47";"Wind blowing from the north-east";"5";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"10.0";"17.4";"";"";"";"";"";"";
"11.02.2017 11:30";"29.8";"759.7";"760.6";"0.0";"52";"Wind blowing from the north-east";"2";"";"";"70 – 80%.";" ";"";"";"";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"20–30%.";"600-1000";"Altocumulus translucidus at a single level.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"10.0";"19.0";"";"";"";"";"";"";
"11.02.2017 08:30";"25.4";"759.7";"760.6";"1.8";"73";"variable wind direction";"1";"";"";"90  or more, but not 100%";" ";"";"";"22.6";"";"Stratus nebulosus or Stratus fractus other than of bad weather, or both.";"40%.";"300-600";"Altocumulus translucidus at a single level.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"10.0";"20.2";"";"";"";"";"";"";
"11.02.2017 05:30";"24.0";"757.9";"758.8";"0.4";"71";"Wind blowing from the east-northeast";"2";"";"";"60%.";" ";"";"";"";"";"Stratus nebulosus or Stratus fractus other than of bad weather, or both.";"40%.";"300-600";"Altocumulus translucidus at a single level.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"4.0";"18.3";"";"";"";"";"";"";
"11.02.2017 02:30";"25.2";"757.5";"758.3";"-1.0";"67";"Wind blowing from the east-northeast";"2";"";"";"60%.";" ";"";"";"";"";"Stratus nebulosus or Stratus fractus other than of bad weather, or both.";"40%.";"300-600";"Altocumulus translucidus at a single level.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"4.0";"18.6";"";"";"";"";"";"";
"10.02.2017 23:30";"25.4";"758.5";"759.3";"";"63";"Wind blowing from the east-northeast";"2";"";"";"70 – 80%.";" ";"";"";"";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"40%.";"600-1000";"Altocumulus translucidus at a single level.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"4.0";"17.8";"";"";"";"";"";"";
"10.02.2017 20:30";"25.8";"758.0";"758.8";"1.3";"70";"Wind blowing from the north-east";"2";"";"";"10%  or less, but not 0";" ";"";"";"";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"no clouds";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"4.0";"20.0";"";"";"";"";"";"";
"10.02.2017 17:30";"27.6";"756.7";"757.5";"0.0";"62";"Wind blowing from the east";"2";"";"";"10%  or less, but not 0";" ";"";"";"";"30.9";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"no clouds";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"10.0";"19.6";"";"";"";"";"";"";
"10.02.2017 14:30";"30.0";"756.7";"757.4";"-2.2";"51";"Wind blowing from the east-northeast";"2";"";"";"20–30%.";" ";"";"";"";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"10%  or less, but not 0";"600-1000";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"10.0";"18.9";"";"";"";"";"";"";
"10.02.2017 11:30";"30.0";"758.9";"759.7";"-0.4";"53";"Wind blowing from the north-east";"2";"";"";"50%.";" ";"";"";"";"";"Stratocumulus cumulogenitus.";"10%  or less, but not 0";"600-1000";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"10.0";"19.3";"";"";"";"";"";"";
"10.02.2017 08:30";"23.0";"759.3";"760.1";"1.5";"83";"Wind blowing from the north-west";"2";"";"";"no clouds";"Haze. ";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"20.8";"";"";"";"";"";"";"4.0";"19.9";"";"";"";"";"";"";
"10.02.2017 05:30";"21.4";"757.8";"758.6";"";"89";"Wind blowing from the north-west";"2";"";"";"40%.";"Haze. ";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"20–30%.";"600-1000";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"4.0";"19.5";"";"";"";"";"";"";
"10.02.2017 02:30";"24.0";"758.0";"758.8";"-1.0";"68";"Wind blowing from the north-west";"1";"";"";"20–30%.";" ";"";"";"";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"10%  or less, but not 0";"600-1000";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"4.0";"17.6";"";"";"";"";"";"";
"09.02.2017 23:30";"25.4";"759.0";"759.8";"0.4";"61";"Wind blowing from the north-east";"2";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"4.0";"17.4";"";"";"";"";"";"";
"09.02.2017 20:30";"26.0";"758.6";"759.4";"1.3";"62";"variable wind direction";"1";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"4.0";"18.1";"";"";"";"";"";"";
"09.02.2017 17:30";"28.0";"757.3";"758.2";"-0.1";"60";"Wind blowing from the north-northeast";"3";"";"";"10%  or less, but not 0";" ";"";"";"";"30.1";"Stratocumulus other than Stratocumulus cumulogenitus.";"10%  or less, but not 0";"600-1000";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"10.0";"19.4";"";"";"";"";"";"";
"09.02.2017 14:30";"29.8";"757.4";"758.2";"-2.1";"44";"Wind blowing from the north-east";"4";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"10.0";"16.4";"";"";"";"";"";"";
"09.02.2017 11:30";"29.0";"759.5";"760.3";"-0.2";"49";"Wind blowing from the east";"2";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"10.0";"17.3";"";"";"";"";"";"";
"09.02.2017 08:30";"23.4";"759.7";"760.6";"1.5";"80";"Wind blowing from the north-northwest";"1";"";"";"20–30%.";"Haze. ";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"21.3";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"10%  or less, but not 0";"600-1000";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"19.7";"";"";"";"";"";"";
"09.02.2017 05:30";"23.8";"758.2";"759.1";"-0.2";"70";"Wind blowing from the north-west";"1";"";"";"20–30%.";" ";"";"";"";"";"Stratus nebulosus or Stratus fractus other than of bad weather, or both.";"20–30%.";"300-600";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"17.9";"";"";"";"";"";"";
"09.02.2017 02:30";"24.8";"758.4";"759.2";"-1.1";"68";"Wind blowing from the north-east";"1";"";"";"40%.";" ";"";"";"";"";"Stratus nebulosus or Stratus fractus other than of bad weather, or both.";"40%.";"300-600";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"18.5";"";"";"";"";"";"";
"08.02.2017 23:30";"24.8";"759.5";"760.3";"0.3";"72";"Wind blowing from the north-east";"1";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"4.0";"19.5";"";"";"";"";"";"";
"08.02.2017 20:30";"25.2";"759.2";"760.0";"1.4";"71";"Wind blowing from the north-northeast";"1";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"4.0";"19.6";"";"";"";"";"";"";
"08.02.2017 17:30";"27.4";"757.8";"758.6";"-0.4";"60";"Wind blowing from the north-east";"2";"";"";"no clouds";" ";"";"";"";"30.1";"";"";"";"";"";"10.0";"19.0";"";"";"";"";"";"";
"08.02.2017 14:30";"29.4";"758.2";"759.0";"-2.4";"56";"Wind blowing from the north-east";"2";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"10.0";"19.6";"";"";"";"";"";"";
"08.02.2017 11:30";"29.4";"760.6";"761.4";"0.3";"52";"Wind blowing from the north-east";"1";"";"";"10%  or less, but not 0";" ";"";"";"";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"10%  or less, but not 0";"600-1000";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"10.0";"18.6";"";"";"";"";"";"";
"08.02.2017 08:30";"22.4";"760.3";"761.1";"1.8";"87";"Wind blowing from the north-west";"1";"";"";"no clouds";"Haze. ";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"19.4";"";"";"";"";"";"";"4.0";"20.2";"";"";"";"";"";"";
"08.02.2017 05:30";"20.4";"758.5";"759.3";"0.7";"91";"Wind blowing from the north-west";"1";"";"";"10%  or less, but not 0";"Haze. ";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"10%  or less, but not 0";"600-1000";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"18.8";"";"";"";"";"";"";
"08.02.2017 02:30";"23.0";"757.8";"758.6";"-1.3";"78";"Wind blowing from the north";"1";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"4.0";"18.9";"";"";"";"";"";"";
"07.02.2017 23:30";"23.0";"759.1";"759.9";"0.3";"78";"variable wind direction";"1";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"4.0";"18.9";"";"";"";"";"";"";
"07.02.2017 20:30";"25.0";"758.8";"759.6";"1.5";"68";"Wind blowing from the north-west";"1";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"4.0";"18.7";"";"";"";"";"";"";
"07.02.2017 17:30";"27.2";"757.3";"758.2";"-0.2";"63";"Wind blowing from the north-east";"1";"";"";"no clouds";" ";"";"";"";"30.0";"";"";"";"";"";"10.0";"19.5";"";"";"";"";"";"";
"07.02.2017 14:30";"29.0";"757.5";"758.3";"-2.3";"54";"variable wind direction";"2";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"10.0";"18.8";"";"";"";"";"";"";
"07.02.2017 11:30";"28.6";"759.8";"760.6";"-0.1";"54";"Wind blowing from the east-northeast";"2";"";"";"10%  or less, but not 0";" ";"";"";"";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"10%  or less, but not 0";"600-1000";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"10.0";"18.3";"";"";"";"";"";"";
"07.02.2017 08:30";"22.2";"759.9";"760.7";"1.7";"86";"Wind blowing from the north-northwest";"2";"";"";"no clouds";"Haze. ";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"19.0";"";"";"";"";"";"";"4.0";"19.7";"";"";"";"";"";"";
"07.02.2017 05:30";"19.8";"758.2";"759.0";"0.1";"92";"Wind blowing from the north-west";"2";"";"";"no clouds";"Haze. ";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"";"";"";"";"";"";"";"2.0";"18.5";"";"";"";"";"";"";
"07.02.2017 02:30";"22.0";"758.1";"758.9";"-0.7";"82";"Calm, no wind";"0";"";"";"no clouds";"Haze. ";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"";"";"";"";"";"";"";"2.0";"18.8";"";"";"";"";"";"";
"06.02.2017 23:30";"25.0";"758.8";"759.6";"-0.2";"68";"Wind blowing from the east-northeast";"3";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"4.0";"18.7";"";"";"";"";"";"";
"06.02.2017 20:30";"25.0";"759.0";"759.8";"1.6";"64";"Wind blowing from the north-northeast";"3";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"4.0";"17.7";"";"";"";"";"";"";
"06.02.2017 17:30";"27.6";"757.4";"758.2";"-0.2";"49";"Wind blowing from the east";"2";"";"";"no clouds";" ";"";"";"";"29.8";"";"";"";"";"";"10.0";"15.9";"";"";"";"";"";"";
"06.02.2017 14:30";"29.0";"757.6";"758.4";"-2.3";"52";"Wind blowing from the east-northeast";"3";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"10.0";"18.1";"";"";"";"";"";"";
"06.02.2017 11:30";"28.8";"759.9";"760.7";"-0.7";"62";"Wind blowing from the east";"2";"";"";"20–30%.";" ";"";"";"";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"10%  or less, but not 0";"600-1000";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"10.0";"20.7";"";"";"";"";"";"";
"06.02.2017 08:30";"23.2";"760.6";"761.4";"2.1";"88";"Wind blowing from the west-northwest";"1";"";"";"no clouds";"Haze. ";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"20.4";"";"";"";"";"";"";"4.0";"21.1";"";"";"";"";"";"";
"06.02.2017 05:30";"21.2";"758.5";"759.4";"0.4";"93";"Wind blowing from the north-west";"1";"";"";"20–30%.";"Haze. ";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"20–30%.";"600-1000";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"2.0";"20.0";"";"";"";"";"";"";
"06.02.2017 02:30";"23.6";"758.1";"758.9";"-1.1";"78";"variable wind direction";"1";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"4.0";"19.6";"";"";"";"";"";"";
"05.02.2017 23:30";"25.0";"759.2";"760.0";"0.1";"74";"Wind blowing from the north-northeast";"2";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"4.0";"20.1";"";"";"";"";"";"";
"05.02.2017 20:30";"25.4";"759.1";"760.0";"1.2";"69";"Wind blowing from the north";"4";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"4.0";"19.2";"";"";"";"";"";"";
"05.02.2017 17:30";"27.2";"757.9";"758.5";"0.3";"62";"Wind blowing from the north-northeast";"3";"";"";"20–30%.";" ";"";"";"";"30.0";"Stratocumulus other than Stratocumulus cumulogenitus.";"10%  or less, but not 0";"600-1000";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"10.0";"19.2";"";"";"";"";"";"";
"05.02.2017 14:30";"29.0";"757.6";"758.4";"-2.4";"58";"Wind blowing from the north-northeast";"3";"";"";"40%.";" ";"";"";"";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"20–30%.";"600-1000";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"10.0";"19.9";"";"";"";"";"";"";
"05.02.2017 11:30";"29.0";"760.0";"760.8";"-0.4";"64";"Wind blowing from the north-west";"3";"";"";"40%.";" ";"";"";"";"";"Stratocumulus cumulogenitus.";"20–30%.";"600-1000";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"10.0";"21.6";"";"";"";"";"";"";
"05.02.2017 08:30";"23.0";"760.4";"761.2";"1.9";"88";"Wind blowing from the north-west";"2";"";"";"90  or more, but not 100%";"Haze. ";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"21.8";"";"Stratus nebulosus or Stratus fractus other than of bad weather, or both.";"50%.";"300-600";"Altocumulus translucidus or opacus in two or more layers, or Altocumulus opacus in a single layer, not progressively invading the sky, or Altocumulus with Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"20.9";"";"";"";"";"";"";
"05.02.2017 05:30";"22.0";"758.5";"759.3";"0.1";"91";"Wind blowing from the north";"2";"";"";"90  or more, but not 100%";" ";"";"";"";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"70 – 80%.";"600-1000";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"4.0";"20.5";"";"";"";"";"";"";
"05.02.2017 02:30";"23.4";"758.4";"759.2";"-0.7";"86";"Wind blowing from the north";"1";"";"";"20–30%.";" ";"";"";"";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"10%  or less, but not 0";"600-1000";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"4.0";"21.0";"";"";"";"";"";"";
"04.02.2017 23:30";"25.4";"759.1";"760.0";"0.0";"73";"Wind blowing from the north-northeast";"2";"";"";"10%  or less, but not 0";" ";"";"";"";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"10%  or less, but not 0";"600-1000";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"20.2";"";"";"";"";"";"";
"04.02.2017 20:30";"26.4";"759.1";"760.0";"1.3";"68";"Wind blowing from the north";"1";"";"";"70 – 80%.";" ";"";"";"";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"70 – 80%.";"600-1000";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"20.0";"";"";"";"";"";"";
"04.02.2017 17:30";"27.2";"757.8";"758.6";"0.0";"64";"Wind blowing from the north-east";"1";"";"";"no clouds";" ";"";"";"";"30.0";"";"";"";"";"";"10.0";"19.9";"";"";"";"";"";"";
"04.02.2017 14:30";"29.2";"757.8";"758.6";"-2.1";"57";"Wind blowing from the north-east";"2";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"10.0";"19.8";"";"";"";"";"";"";
"04.02.2017 11:30";"28.8";"759.9";"760.7";"-0.4";"53";"Wind blowing from the north-east";"2";"";"";"20–30%.";" ";"";"";"";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"10%  or less, but not 0";"600-1000";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"10.0";"18.2";"";"";"";"";"";"";
"04.02.2017 08:30";"26.4";"760.3";"761.1";"1.6";"66";"Wind blowing from the north-east";"2";"";"";"70 – 80%.";" ";"";"";"24.7";"";"Stratus nebulosus or Stratus fractus other than of bad weather, or both.";"40%.";"300-600";"Altocumulus translucidus at a single level.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"10.0";"19.6";"";"";"";"";"";"";
"04.02.2017 05:30";"25.4";"758.7";"759.5";"0.2";"72";"Wind blowing from the north-east";"2";"";"";"50%.";" ";"";"";"";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"20–30%.";"600-1000";"Altocumulus translucidus at a single level.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"4.0";"19.9";"";"";"";"";"";"";
"04.02.2017 02:30";"25.6";"758.5";"759.3";"-1.0";"72";"Wind blowing from the east-northeast";"2";"";"";"20–30%.";" ";"";"";"";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"10%  or less, but not 0";"600-1000";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"4.0";"20.1";"";"";"";"";"";"";
"03.02.2017 23:30";"25.6";"759.5";"760.3";"-0.2";"72";"Wind blowing from the north-east";"2";"";"";"10%  or less, but not 0";" ";"";"";"";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"10%  or less, but not 0";"600-1000";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"20.1";"";"";"";"";"";"";
"03.02.2017 20:30";"25.8";"759.7";"760.5";"1.5";"72";"Wind blowing from the north-east";"2";"";"";"20–30%.";" ";"";"";"";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"10%  or less, but not 0";"600-1000";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"4.0";"20.3";"";"";"";"";"";"";
"03.02.2017 17:30";"26.8";"758.2";"759.0";"-0.4";"68";"Wind blowing from the east-northeast";"2";"";"";"40%.";" ";"";"";"";"30.0";"Stratocumulus other than Stratocumulus cumulogenitus.";"10%  or less, but not 0";"600-1000";"Altocumulus translucidus at a single level.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"10.0";"20.4";"";"";"";"";"";"";
"03.02.2017 14:30";"28.8";"758.6";"759.4";"-2.6";"64";"Wind blowing from the north-northeast";"2";"";"";"50%.";" ";"";"";"";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"20–30%.";"600-1000";"Altocumulus translucidus at a single level.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"10.0";"21.3";"";"";"";"";"";"";
"03.02.2017 11:30";"29.0";"761.2";"762.1";"-0.1";"61";"Wind blowing from the east-northeast";"2";"";"";"40%.";" ";"";"";"";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"20–30%.";"600-1000";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"10.0";"20.6";"";"";"";"";"";"";
"03.02.2017 08:30";"26.0";"761.3";"762.1";"1.6";"75";"Wind blowing from the north-northeast";"2";"";"";"20–30%.";" ";"";"";"";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"10%  or less, but not 0";"600-1000";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"10.0";"21.2";"";"";"";"";"";"";
"03.02.2017 05:30";"25.0";"759.7";"760.5";"0.3";"71";"Wind blowing from the east-northeast";"1";"";"";"10%  or less, but not 0";" ";"";"";"";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"no clouds";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"4.0";"19.4";"";"";"";"";"";"";
"03.02.2017 02:30";"25.0";"759.4";"760.3";"-1.3";"71";"Wind blowing from the north-east";"1";"";"";"40%.";" ";"";"";"";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"20–30%.";"600-1000";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"4.0";"19.4";"";"";"";"";"";"";
"02.02.2017 23:30";"25.4";"760.7";"761.5";"0.1";"69";"Wind blowing from the north-east";"2";"";"";"10%  or less, but not 0";" ";"";"";"";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"10%  or less, but not 0";"600-1000";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"19.2";"";"";"";"";"";"";
"02.02.2017 20:30";"25.4";"760.6";"761.5";"1.2";"69";"Wind blowing from the north-east";"2";"";"";"20–30%.";" ";"";"";"";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"10%  or less, but not 0";"600-1000";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"10.0";"19.2";"";"";"";"";"";"";
"02.02.2017 17:30";"27.0";"759.4";"760.3";"0.0";"64";"Wind blowing from the north-east";"2";"";"";"10%  or less, but not 0";" ";"";"";"";"29.8";"Stratocumulus other than Stratocumulus cumulogenitus.";"10%  or less, but not 0";"600-1000";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"10.0";"19.6";"";"";"";"";"";"";
"02.02.2017 14:30";"28.8";"759.4";"760.2";"-1.9";"59";"Wind blowing from the north-east";"2";"";"";"40%.";" ";"";"";"";"";"Stratocumulus cumulogenitus.";"20–30%.";"600-1000";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"10.0";"20.0";"";"";"";"";"";"";
"02.02.2017 11:30";"29.2";"761.3";"762.1";"-0.2";"59";"Wind blowing from the north-east";"2";"";"";"40%.";" ";"";"";"";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"40%.";"600-1000";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"10.0";"20.4";"";"";"";"";"";"";
"02.02.2017 08:30";"26.0";"761.5";"762.3";"1.8";"69";"Wind blowing from the north";"2";"";"";"10%  or less, but not 0";" ";"";"";"23.7";"";"Stratocumulus cumulogenitus.";"10%  or less, but not 0";"600-1000";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"10.0";"19.9";"";"";"";"";"";"";
"02.02.2017 05:30";"24.2";"759.7";"760.6";"0.8";"80";"variable wind direction";"1";"";"";"40%.";" ";"";"";"";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"40%.";"600-1000";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"20.5";"";"";"";"";"";"";
"02.02.2017 02:30";"24.4";"758.9";"759.7";"-0.8";"80";"Wind blowing from the north-east";"2";"";"";"40%.";" ";"";"";"";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"20–30%.";"600-1000";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"4.0";"20.7";"";"";"";"";"";"";
"01.02.2017 23:30";"25.0";"759.7";"760.6";"-0.1";"76";"Wind blowing from the north";"2";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"4.0";"20.4";"";"";"";"";"";"";
"01.02.2017 20:30";"25.4";"759.8";"760.6";"1.6";"76";"Wind blowing from the north-northeast";"1";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"4.0";"20.8";"";"";"";"";"";"";
