# Weather station Thanjavur, India, WMO_ID=43330,selection from 08.12.2015 till 31.12.2017, all days
# Encoding: UTF-8
# The data is provided by the website "Reliable Prognosis", rp5.ru 
# If you use the data, please indicate the name of the website.
# For meteorological parameters see the address http://rp5.ru/archive.php?wmo_id=43330&lang=en
#
"Local time in Thanjavur";"T";"Po";"P";"Pa";"U";"DD";"Ff";"ff10";"ff3";"N";"WW";"W1";"W2";"Tn";"Tx";"Cl";"Nh";"H";"Cm";"Ch";"VV";"Td";"RRR";"tR";"E";"Tg";"E'";"sss"
"17.02.2017 08:30";"23.2";"755.9";"762.1";"";"76";"Wind blowing from the north-east";"1";"";"";"50%.";" ";"";"";"22.4";"";"Stratocumulus cumulogenitus.";"50%.";"600-1000";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"18.8";"";"";"";"";"";"";
"16.02.2017 17:30";"29.0";"753.1";"759.3";"";"71";"Wind blowing from the south-east";"1";"";"";"50%.";" ";"";"";"";"32.0";"Stratocumulus cumulogenitus.";"50%.";"600-1000";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"23.2";"";"";"";"";"";"";
"16.02.2017 08:30";"24.2";"755.7";"761.9";"";"88";"Wind blowing from the north-east";"1";"";"";"50%.";" ";"";"";"23.2";"";"Stratocumulus cumulogenitus.";"50%.";"600-1000";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"22.1";"";"";"";"";"";"";
"15.02.2017 17:30";"29.8";"753.9";"760.0";"";"69";"Wind blowing from the south-east";"1";"";"";"50%.";" ";"";"";"";"32.5";"Stratocumulus cumulogenitus.";"50%.";"600-1000";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"23.4";"";"";"";"";"";"";
"15.02.2017 08:30";"25.2";"755.8";"762.1";"";"82";"Wind blowing from the north-east";"1";"";"";"50%.";" ";"";"";"24.6";"";"Stratocumulus cumulogenitus.";"50%.";"600-1000";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"21.9";"";"";"";"";"";"";
"14.02.2017 08:30";"26.4";"756.1";"762.2";"";"76";"Wind blowing from the north-east";"1";"";"";"50%.";" ";"";"";"25.0";"";"Stratocumulus cumulogenitus.";"50%.";"600-1000";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"21.9";"";"";"";"";"";"";
"13.02.2017 17:30";"30.4";"752.6";"758.6";"";"64";"Wind blowing from the south-east";"1";"";"";"50%.";" ";"";"";"";"32.5";"Stratocumulus cumulogenitus.";"50%.";"600-1000";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"22.8";"";"";"";"";"";"";
"13.02.2017 08:30";"24.6";"755.9";"762.1";"";"87";"Wind blowing from the north-east";"1";"";"";"50%.";" ";"";"";"23.6";"";"Stratocumulus cumulogenitus.";"50%.";"600-1000";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"22.2";"";"";"";"";"";"";
"12.02.2017 17:30";"30.2";"751.4";"757.6";"";"64";"Wind blowing from the south-east";"1";"";"";"50%.";" ";"";"";"";"32.0";"Stratocumulus cumulogenitus.";"50%.";"600-1000";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"22.6";"";"";"";"";"";"";
"12.02.2017 08:30";"32.6";"";"761.1";"";"82";"Wind blowing from the north-east";"1";"";"";"50%.";" ";"";"";"22.4";"";"Stratocumulus cumulogenitus.";"50%.";"600-1000";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"29.2";"";"";"";"";"";"";
"11.02.2017 17:30";"30.2";"751.9";"757.9";"";"64";"Wind blowing from the south-east";"1";"";"";"50%.";" ";"";"";"";"31.5";"Stratocumulus cumulogenitus.";"50%.";"600-1000";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"22.6";"";"";"";"";"";"";
"11.02.2017 08:30";"23.6";"754.7";"760.9";"";"76";"Wind blowing from the north-east";"1";"";"";"50%.";" ";"";"";"22.4";"";"Stratocumulus cumulogenitus.";"50%.";"600-1000";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"19.2";"";"";"";"";"";"";
"10.02.2017 17:30";"29.0";"751.6";"757.8";"";"67";"Wind blowing from the south-east";"1";"";"";"50%.";" ";"";"";"";"31.0";"Stratocumulus cumulogenitus.";"50%.";"600-1000";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"22.2";"";"";"";"";"";"";
"10.02.2017 08:30";"23.6";"754.6";"760.8";"";"75";"Wind blowing from the north-east";"1";"";"";"50%.";" ";"";"";"22.4";"";"Stratocumulus cumulogenitus.";"50%.";"600-1000";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"18.9";"";"";"";"";"";"";
"09.02.2017 17:30";"29.2";"751.8";"757.9";"";"66";"Wind blowing from the south-east";"1";"";"";"50%.";" ";"";"";"";"31.5";"Stratocumulus cumulogenitus.";"50%.";"600-1000";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"22.1";"";"";"";"";"";"";
"09.02.2017 08:30";"23.6";"755.2";"761.4";"";"75";"Wind blowing from the north-east";"1";"";"";"50%.";" ";"";"";"22.4";"";"Stratocumulus cumulogenitus.";"50%.";"600-1000";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"18.9";"";"";"";"";"";"";
"08.02.2017 17:30";"30.0";"752.5";"758.7";"";"64";"Wind blowing from the south-east";"1";"";"";"50%.";" ";"";"";"";"32.0";"Stratocumulus cumulogenitus.";"50%.";"600-1000";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"22.4";"";"";"";"";"";"";
"08.02.2017 08:30";"23.6";"755.3";"761.5";"";"76";"Wind blowing from the north-east";"1";"";"";"50%.";" ";"";"";"22.4";"";"Stratocumulus cumulogenitus.";"50%.";"600-1000";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"19.2";"";"";"";"";"";"";
"07.02.2017 17:30";"30.2";"752.4";"758.5";"";"64";"Wind blowing from the north-east";"1";"";"";"50%.";" ";"";"";"";"32.0";"Stratocumulus cumulogenitus.";"50%.";"600-1000";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"22.6";"";"";"";"";"";"";
"07.02.2017 08:30";"24.2";"755.2";"761.5";"";"74";"Wind blowing from the north-east";"1";"";"";"50%.";" ";"";"";"23.0";"";"Stratocumulus cumulogenitus.";"50%.";"600-1000";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"19.2";"";"";"";"";"";"";
"06.02.2017 17:30";"30.0";"752.2";"758.3";"";"66";"Wind blowing from the south-east";"1";"";"";"50%.";" ";"";"";"";"32.0";"Stratocumulus cumulogenitus.";"50%.";"600-1000";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"23.0";"";"";"";"";"";"";
"06.02.2017 08:30";"23.6";"755.4";"761.6";"";"78";"Wind blowing from the north-east";"1";"";"";"50%.";" ";"";"";"22.4";"";"Stratocumulus cumulogenitus.";"50%.";"600-1000";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"19.6";"";"";"";"";"";"";
"05.02.2017 17:30";"29.0";"752.5";"758.7";"";"70";"Wind blowing from the south-east";"1";"";"";"50%.";" ";"";"";"";"31.0";"Stratocumulus cumulogenitus.";"50%.";"600-1000";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"22.9";"";"";"";"";"";"";
"05.02.2017 08:30";"23.2";"755.6";"761.8";"";"80";"Wind blowing from the north-east";"1";"";"";"50%.";" ";"";"";"22.2";"";"Stratocumulus cumulogenitus.";"50%.";"600-1000";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"19.5";"";"";"";"";"";"";
"04.02.2017 17:30";"28.8";"752.9";"759.1";"";"68";"Wind blowing from the south-east";"2";"";"";"50%.";" ";"";"";"";"31.0";"Stratocumulus cumulogenitus.";"50%.";"600-1000";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"22.3";"";"";"";"";"";"";
"04.02.2017 08:30";"23.2";"756.2";"762.4";"";"83";"Wind blowing from the north-east";"1";"";"";"50%.";" ";"";"";"22.6";"";"Stratocumulus cumulogenitus.";"50%.";"600-1000";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"20.1";"";"";"";"";"";"";
"03.02.2017 17:30";"";"753.4";"759.5";"";"";"";"";"";"";"10%  or less, but not 0";" ";"";"";"";"30.5";"Stratocumulus cumulogenitus.";"50%.";"600-1000";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"22.6";"";"";"";"";"";"";
"03.02.2017 08:30";"24.2";"755.8";"762.0";"";"83";"Wind blowing from the north-east";"1";"";"";"50%.";" ";"";"";"23.0";"";"Stratocumulus cumulogenitus.";"50%.";"600-1000";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"21.2";"";"";"";"";"";"";
"02.02.2017 17:30";"28.6";"753.7";"759.8";"";"69";"Wind blowing from the south-east";"1";"";"";"50%.";" ";"";"";"";"30.5";"Stratocumulus cumulogenitus.";"50%.";"600-1000";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"22.4";"";"";"";"";"";"";
"02.02.2017 08:30";"24.2";"755.6";"761.8";"";"81";"Wind blowing from the north-east";"1";"";"";"50%.";" ";"";"";"23.0";"";"Stratocumulus cumulogenitus.";"50%.";"600-1000";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"20.8";"";"";"";"";"";"";
"01.02.2017 17:30";"29.0";"752.2";"758.4";"";"70";"Wind blowing from the south-east";"2";"";"";"50%.";" ";"";"";"";"31.0";"Stratocumulus cumulogenitus.";"50%.";"600-1000";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"22.9";"";"";"";"";"";"";
"01.02.2017 08:30";"24.6";"755.2";"761.5";"";"77";"Wind blowing from the north-east";"1";"";"";"50%.";" ";"";"";"22.6";"";"Stratocumulus cumulogenitus.";"50%.";"600-1000";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"20.3";"";"";"";"";"";"";
"31.01.2017 08:30";"24.2";"754.8";"761.0";"";"83";"Wind blowing from the north-east";"1";"";"";"50%.";" ";"";"";"23.0";"";"Stratocumulus cumulogenitus.";"50%.";"600-1000";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"21.2";"";"";"";"";"";"";
"30.01.2017 17:30";"28.6";"752.5";"758.7";"";"72";"Wind blowing from the south-east";"1";"";"";"50%.";" ";"";"";"";"31.0";"Stratocumulus cumulogenitus.";"50%.";"600-1000";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"23.1";"";"";"";"";"";"";
"30.01.2017 08:30";"24.6";"755.3";"761.5";"";"85";"Wind blowing from the north-east";"1";"";"";"50%.";" ";"";"";"23.6";"";"Stratocumulus cumulogenitus.";"50%.";"600-1000";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"21.9";"";"";"";"";"";"";
"29.01.2017 17:30";"27.6";"753.4";"759.6";"";"77";"Wind blowing from the south-east";"1";"";"";"60%.";" ";"";"";"";"29.5";"Stratocumulus cumulogenitus.";"60%.";"600-1000";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"23.2";"";"";"";"";"";"";
"29.01.2017 08:30";"24.6";"755.0";"761.2";"";"88";"Wind blowing from the north-east";"1";"";"";"50%.";" ";"";"";"23.6";"";"Stratocumulus cumulogenitus.";"50%.";"600-1000";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"22.5";"";"";"";"";"";"";
"28.01.2017 17:30";"28.2";"752.3";"758.5";"";"73";"Wind blowing from the south-east";"1";"";"";"50%.";" ";"";"";"";"30.0";"Stratocumulus cumulogenitus.";"50%.";"600-1000";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"23.0";"";"";"";"";"";"";
"28.01.2017 08:30";"24.2";"755.1";"761.6";"";"88";"Wind blowing from the west-southwest";"1";"";"";"60%.";" ";"";"";"23.0";"";"Stratocumulus cumulogenitus.";"60%.";"600-1000";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"22.1";"";"";"";"";"";"";
"27.01.2017 17:30";"24.8";"752.8";"759.0";"";"93";"Wind blowing from the north-east";"1";"";"";"60%.";" ";"";"";"";"26.0";"Stratocumulus cumulogenitus.";"60%.";"600-1000";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"23.6";"";"";"";"";"";"";
"27.01.2017 08:30";"24.2";"754.9";"761.1";"";"88";"Wind blowing from the north-east";"1";"";"";"50%.";" ";"";"";"23.2";"";"Stratocumulus cumulogenitus.";"50%.";"600-1000";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"22.1";"";"";"";"";"";"";
"26.01.2017 17:30";"24.4";"753.4";"759.7";"";"96";"Wind blowing from the north-east";"2";"";"";"70 – 80%.";" ";"";"";"";"25.0";"Stratocumulus cumulogenitus.";"70 – 80%.";"600-1000";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"23.8";"";"";"";"";"";"";
"26.01.2017 08:30";"23.6";"755.3";"761.5";"";"86";"Wind blowing from the north-east";"1";"";"";"60%.";" ";"";"";"22.4";"";"Stratocumulus cumulogenitus.";"60%.";"600-1000";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"21.2";"";"";"";"";"";"";
"25.01.2017 17:30";"28.0";"753.4";"759.5";"";"73";"Wind blowing from the north-east";"2";"";"";"60%.";" ";"";"";"";"30.0";"Stratocumulus cumulogenitus.";"60%.";"600-1000";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"22.7";"";"";"";"";"";"";
"25.01.2017 08:30";"24.2";"755.1";"761.3";"";"78";"Wind blowing from the north-east";"1";"";"";"50%.";" ";"";"";"23.2";"";"Stratocumulus cumulogenitus.";"50%.";"600-1000";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"20.2";"";"";"";"";"";"";
"24.01.2017 17:30";"27.2";"753.1";"759.4";"";"77";"Wind blowing from the north-east";"1";"";"";"50%.";" ";"";"";"";"30.0";"Stratocumulus cumulogenitus.";"50%.";"600-1000";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"22.8";"";"";"";"";"";"";
"24.01.2017 08:30";"23.2";"755.4";"761.6";"";"86";"Wind blowing from the north-east";"1";"";"";"50%.";" ";"";"";"22.0";"";"Stratocumulus cumulogenitus.";"50%.";"600-1000";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"20.8";"";"";"";"";"";"";
"23.01.2017 17:30";"29.0";"754.2";"760.3";"";"70";"Wind blowing from the south-east";"2";"";"";"50%.";" ";"";"";"";"31.0";"Stratocumulus cumulogenitus.";"50%.";"600-1000";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"22.9";"";"";"";"";"";"";
"23.01.2017 08:30";"24.2";"755.5";"761.7";"";"87";"Wind blowing from the north-east";"1";"";"";"50%.";" ";"";"";"23.2";"";"Stratocumulus cumulogenitus.";"50%.";"600-1000";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"21.8";"";"";"";"";"";"";
"22.01.2017 17:30";"27.8";"753.7";"759.8";"";"76";"Wind blowing from the north-east";"1";"";"";"50%.";" ";"";"";"";"30.0";"Stratocumulus cumulogenitus.";"50%.";"600-1000";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"23.1";"";"";"";"";"";"";
"22.01.2017 08:30";"24.2";"755.3";"761.5";"";"83";"Wind blowing from the north-east";"1";"";"";"50%.";" ";"";"";"23.2";"";"Stratocumulus cumulogenitus.";"50%.";"600-1000";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"21.2";"";"";"";"";"";"";
"21.01.2017 17:30";"25.0";"753.5";"759.7";"";"85";"Wind blowing from the north-east";"2";"";"";"70 – 80%.";" ";"";"";"";"";"Stratocumulus cumulogenitus.";"70 – 80%.";"600-1000";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"22.3";"";"";"";"";"";"";
"21.01.2017 08:30";"23.6";"755.5";"761.7";"";"86";"Wind blowing from the north-east";"1";"";"";"60%.";" ";"";"";"22.6";"";"Stratocumulus cumulogenitus.";"60%.";"600-1000";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"21.2";"";"";"";"";"";"";
"20.01.2017 17:30";"27.8";"752.9";"759.1";"";"74";"Wind blowing from the south-east";"2";"";"";"60%.";" ";"";"";"";"31.0";"Stratocumulus cumulogenitus.";"60%.";"600-1000";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"22.8";"";"";"";"";"";"";
"20.01.2017 08:30";"24.2";"755.3";"761.5";"";"85";"Wind blowing from the north-east";"1";"";"";"50%.";" ";"";"";"23.2";"";"Stratocumulus cumulogenitus.";"50%.";"600-1000";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"21.5";"";"";"";"";"";"";
"19.01.2017 17:30";"28.6";"753.1";"759.2";"";"74";"Wind blowing from the south-east";"2";"";"";"50%.";" ";"";"";"";"30.5";"Stratocumulus cumulogenitus.";"50%.";"600-1000";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"23.4";"";"";"";"";"";"";
"19.01.2017 08:30";"23.6";"755.8";"762.1";"";"90";"Wind blowing from the north-east";"1";"";"";"50%.";" ";"";"";"22.8";"";"Stratocumulus cumulogenitus.";"50%.";"600-1000";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"21.8";"";"";"";"";"";"";
"18.01.2017 17:30";"27.6";"753.5";"759.7";"";"76";"Wind blowing from the south-east";"2";"";"";"50%.";" ";"";"";"";"30.0";"Stratocumulus cumulogenitus.";"50%.";"600-1000";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"22.9";"";"";"";"";"";"";
"18.01.2017 08:30";"23.6";"755.2";"761.4";"";"76";"Wind blowing from the north-east";"1";"";"";"50%.";" ";"";"";"22.6";"";"Stratocumulus cumulogenitus.";"50%.";"600-1000";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"19.2";"";"";"";"";"";"";
"17.01.2017 17:30";"28.8";"752.5";"757.9";"";"72";"Wind blowing from the south-east";"1";"";"";"50%.";" ";"";"";"";"31.0";"Stratocumulus cumulogenitus.";"50%.";"600-1000";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"23.3";"";"";"";"";"";"";
"17.01.2017 08:30";"24.2";"754.9";"761.2";"";"83";"Wind blowing from the north-east";"1";"";"";"50%.";" ";"";"";"23.0";"";"Stratocumulus cumulogenitus.";"50%.";"600-1000";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"21.2";"";"";"";"";"";"";
"16.01.2017 17:30";"28.6";"751.7";"757.9";"";"72";"Wind blowing from the south-east";"1";"";"";"50%.";" ";"";"";"";"31.0";"Stratocumulus cumulogenitus.";"50%.";"600-1000";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"23.1";"";"";"";"";"";"";
"16.01.2017 08:30";"23.6";"755.2";"761.4";"";"86";"Wind blowing from the north-east";"1";"";"";"50%.";" ";"";"";"22.6";"";"Stratocumulus cumulogenitus.";"50%.";"600-1000";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"less than 0.05";"21.2";"";"";"";"";"";"";
"15.01.2017 17:30";"28.2";"751.6";"757.8";"";"74";"Wind blowing from the south-east";"1";"";"";"50%.";" ";"";"";"";"31.0";"Stratocumulus cumulogenitus.";"50%.";"600-1000";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"23.2";"";"";"";"";"";"";
"15.01.2017 08:30";"23.6";"755.3";"761.5";"";"86";"Wind blowing from the north-east";"1";"";"";"50%.";" ";"";"";"22.6";"";"Stratocumulus cumulogenitus.";"50%.";"600-1000";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"21.2";"";"";"";"";"";"";
"14.01.2017 17:30";"28.2";"751.8";"757.9";"";"74";"Wind blowing from the south-east";"1";"";"";"50%.";" ";"";"";"";"31.0";"Stratocumulus cumulogenitus.";"50%.";"600-1000";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"23.2";"";"";"";"";"";"";
"14.01.2017 08:30";"23.6";"754.8";"761.0";"";"86";"Wind blowing from the north-east";"1";"";"";"50%.";" ";"";"";"22.6";"";"Stratocumulus cumulogenitus.";"50%.";"600-1000";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"21.2";"";"";"";"";"";"";
"13.01.2017 08:30";"24.2";"754.5";"760.7";"";"81";"Wind blowing from the north-east";"1";"";"";"50%.";" ";"";"";"23.0";"";"Stratocumulus cumulogenitus.";"50%.";"600-1000";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"20.8";"";"";"";"";"";"";
"12.01.2017 17:30";"28.6";"751.0";"757.2";"";"74";"Wind blowing from the south-east";"1";"";"";"50%.";" ";"";"";"";"30.0";"Stratocumulus cumulogenitus.";"50%.";"600-1000";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"23.4";"";"";"";"";"";"";
"12.01.2017 08:30";"24.2";"754.3";"760.6";"";"81";"Wind blowing from the north-east";"1";"";"";"50%.";" ";"";"";"22.8";"";"Stratocumulus cumulogenitus.";"50%.";"600-1000";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"20.8";"";"";"";"";"";"";
"11.01.2017 17:30";"28.8";"751.4";"757.6";"";"74";"Wind blowing from the south-east";"1";"";"";"50%.";" ";"";"";"";"31.0";"Stratocumulus cumulogenitus.";"50%.";"600-1000";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"23.6";"";"";"";"";"";"";
"11.01.2017 08:30";"23.6";"754.5";"760.7";"";"81";"Wind blowing from the north-east";"1";"";"";"50%.";" ";"";"";"22.6";"";"Stratocumulus cumulogenitus.";"50%.";"600-1000";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"20.2";"";"";"";"";"";"";
"10.01.2017 17:30";"28.8";"751.3";"757.4";"";"75";"Wind blowing from the south-east";"1";"";"";"50%.";" ";"";"";"";"31.0";"Stratocumulus cumulogenitus.";"50%.";"600-1000";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"23.9";"";"";"";"";"";"";
"10.01.2017 08:30";"23.2";"754.3";"760.6";"";"83";"Wind blowing from the north-east";"1";"";"";"50%.";" ";"";"";"22.4";"";"Stratocumulus cumulogenitus.";"50%.";"600-1000";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"20.1";"";"";"";"";"";"";
"09.01.2017 17:30";"29.0";"751.0";"757.1";"";"72";"Wind blowing from the south-east";"1";"";"";"50%.";" ";"";"";"";"31.5";"Stratocumulus cumulogenitus.";"50%.";"600-1000";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"23.5";"";"";"";"";"";"";
"09.01.2017 08:30";"23.6";"754.1";"760.3";"";"83";"Wind blowing from the north-east";"1";"";"";"50%.";" ";"";"";"22.4";"";"Stratocumulus cumulogenitus.";"50%.";"600-1000";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"20.5";"";"";"";"";"";"";
"08.01.2017 17:30";"28.6";"751.2";"757.3";"";"72";"Wind blowing from the north-east";"1";"";"";"50%.";" ";"";"";"";"30.0";"Stratocumulus cumulogenitus.";"50%.";"600-1000";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"23.1";"";"";"";"";"";"";
"08.01.2017 11:30";"24.2";"754.3";"760.5";"0.0";"80";"Wind blowing from the north-east";"4";"";"";"50%.";" ";"";"";"22.8";"30.0";"Stratocumulus cumulogenitus.";"50%.";"600-1000";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"20.5";"";"";"";"";"";"";
"08.01.2017 08:30";"24.2";"754.3";"760.5";"";"80";"Wind blowing from the north-east";"4";"";"";"50%.";" ";"";"";"22.8";"";"Stratocumulus cumulogenitus.";"50%.";"600-1000";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"20.5";"";"";"";"";"";"";
