# Weather station Jalna, India, WMO_ID=43012,selection from 08.12.2015 till 31.12.2017, all days
# Encoding: UTF-8
# The data is provided by the website "Reliable Prognosis", rp5.ru 
# If you use the data, please indicate the name of the website.
# For meteorological parameters see the address http://rp5.ru/archive.php?wmo_id=43012&lang=en
#
"Local time in Jalna";"T";"Po";"P";"Pa";"U";"DD";"Ff";"ff10";"ff3";"N";"WW";"W1";"W2";"Tn";"Tx";"Cl";"Nh";"H";"Cm";"Ch";"VV";"Td";"RRR";"tR";"E";"Tg";"E'";"sss"
"01.11.2017 17:30";"29.2";"714.8";"758.8";"";"62";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"32.4";"";"";"";"";"";"10.0";"21.1";"";"";"";"";"";"";
"01.11.2017 08:30";"20.8";"716.9";"762.5";"";"55";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"18.0";"";"";"";"";"";"";"4.0";"11.5";"";"";"";"";"";"";
"31.10.2017 08:30";"20.0";"716.4";"762.1";"";"65";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"18.0";"";"";"";"";"";"";"10.0";"13.3";"";"";"";"";"";"";
"30.10.2017 17:30";"29.0";"715.2";"759.5";"";"59";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"32.6";"";"";"";"";"";"10.0";"20.1";"";"";"";"";"";"";
"30.10.2017 08:30";"21.4";"718.1";"763.6";"";"73";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"19.6";"";"";"";"";"";"";"10.0";"16.3";"";"";"";"";"";"";
"28.10.2017 08:30";"21.0";"716.6";"762.0";"";"74";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"19.6";"";"";"";"";"";"";"10.0";"16.2";"";"";"";"";"";"";
"27.10.2017 17:30";"30.0";"714.2";"758.2";"";"66";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"32.0";"";"";"";"";"";"10.0";"22.9";"";"";"";"";"";"";
"26.10.2017 17:30";"30.4";"715.0";"758.8";"";"55";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"32.6";"";"";"";"";"";"10.0";"20.5";"";"";"";"";"";"";
"26.10.2017 08:30";"21.0";"703.0";"763.0";"";"83";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"20.0";"";"";"";"";"";"";"4.0";"17.9";"";"";"";"";"";"";
"25.10.2017 17:30";"30.2";"715.1";"759.0";"";"55";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"32.6";"";"";"";"";"";"4.0";"20.3";"";"";"";"";"";"";
"25.10.2017 08:30";"22.0";"716.6";"762.0";"";"91";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"21.6";"";"";"";"";"";"";"10.0";"20.5";"";"";"";"";"";"";
"23.10.2017 17:30";"31.0";"713.9";"757.8";"";"55";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"33.0";"";"";"";"";"";"10.0";"20.9";"";"";"";"";"";"";
"23.10.2017 08:30";"24.0";"714.9";"759.8";"";"76";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"22.5";"";"";"";"";"";"";"4.0";"19.5";"";"";"";"";"";"";
"17.10.2017 17:30";"31.0";"712.3";"756.1";"";"66";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"32.0";"";"";"";"";"";"10.0";"24.0";"";"";"";"";"";"";
"17.10.2017 08:30";"27.0";"715.2";"757.9";"";"72";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"24.0";"";"";"";"";"";"";"10.0";"21.5";"";"";"";"";"";"";
"14.10.2017 17:30";"27.0";"709.3";"753.6";"";"85";"Calm, no wind";"0";"";"";"100%.";" ";"";"";"";"";"";"";"600-1000";"";"";"10.0";"24.2";"";"";"";"";"";"";
"14.10.2017 08:30";"26.0";"712.2";"756.7";"";"77";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"23.0";"";"";"";"";"";"";"10.0";"21.6";"";"";"";"";"";"";
"13.10.2017 17:30";"25.0";"710.2";"754.7";"";"84";"Calm, no wind";"0";"";"";"100%.";" ";"";"";"";"";"";"";"600-1000";"";"";"4.0";"22.1";"";"";"";"";"";"";
