# Weather station Nanded, India, WMO_ID=43021,selection from 28.05.2013 till 31.12.2017, all days
# Encoding: UTF-8
# The data is provided by the website "Reliable Prognosis", rp5.ru 
# If you use the data, please indicate the name of the website.
# For meteorological parameters see the address http://rp5.ru/archive.php?wmo_id=43021&lang=en
#
"Local time in Nanded";"T";"Po";"P";"Pa";"U";"DD";"Ff";"ff10";"ff3";"N";"WW";"W1";"W2";"Tn";"Tx";"Cl";"Nh";"H";"Cm";"Ch";"VV";"Td";"RRR";"tR";"E";"Tg";"E'";"sss"
"02.11.2017 17:30";"31.0";"727.5";"757.3";"";"78";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"34.0";"";"";"";"";"";"10.0";"26.8";"";"";"";"";"";"";
"02.11.2017 08:30";"22.0";"729.4";"760.3";"";"82";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"17.0";"";"";"";"";"";"";"10.0";"18.8";"";"";"";"";"";"";
"01.11.2017 17:30";"28.5";"724.3";"754.3";"";"58";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"32.0";"";"";"";"";"";"10.0";"19.5";"";"";"";"";"";"";
"01.11.2017 08:30";"22.5";"729.9";"760.7";"";"78";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"17.5";"";"";"";"";"";"";"10.0";"18.5";"";"";"";"";"";"";
"31.10.2017 17:30";"30.5";"726.8";"756.7";"";"72";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"33.5";"";"";"";"";"";"10.0";"24.9";"";"";"";"";"";"";
"31.10.2017 08:30";"23.0";"";"761.2";"";"83";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"17.0";"";"";"";"";"";"";"10.0";"19.9";"";"";"";"";"";"";
"30.10.2017 17:30";"28.5";"";"758.0";"";"63";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"33.5";"";"";"";"";"";"10.0";"20.7";"";"";"";"";"";"";
"30.10.2017 08:30";"22.0";"";"761.1";"";"87";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"17.5";"";"";"";"";"";"";"10.0";"19.8";"";"";"";"";"";"";
"29.10.2017 17:30";"30.0";"";"758.5";"";"72";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"33.0";"";"";"";"";"";"10.0";"24.3";"";"";"";"";"";"";
"29.10.2017 08:30";"22.5";"";"761.2";"";"86";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"18.0";"";"";"";"";"";"";"10.0";"20.1";"";"";"";"";"";"";
"28.10.2017 17:30";"31.5";"";"757.5";"";"73";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"34.5";"";"";"";"";"";"10.0";"26.0";"";"";"";"";"";"";
"28.10.2017 08:30";"31.5";"";"757.5";"";"73";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"10.0";"26.0";"";"";"";"";"";"";
"27.10.2017 17:30";"32.0";"";"756.3";"";"60";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"33.5";"";"";"";"";"";"10.0";"23.3";"";"";"";"";"";"";
"27.10.2017 08:30";"25.0";"";"756.6";"";"83";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"20.5";"";"";"";"";"";"";"10.0";"22.0";"";"";"";"";"";"";
"26.10.2017 17:30";"33.0";"";"757.2";"";"55";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"35.0";"";"";"";"";"";"10.0";"22.9";"";"";"";"";"";"";
"26.10.2017 08:30";"22.5";"";"755.4";"";"86";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"19.0";"";"";"";"";"";"";"10.0";"20.1";"";"";"";"";"";"";
"25.10.2017 17:30";"33.0";"";"758.2";"";"53";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"35.5";"";"";"";"";"";"10.0";"22.2";"";"";"";"";"";"";
"25.10.2017 08:30";"22.5";"";"756.8";"";"83";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"18.0";"";"";"";"";"";"";"10.0";"19.5";"";"";"";"";"";"";
"24.10.2017 08:30";"23.5";"";"758.7";"";"83";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"19.0";"";"";"";"";"";"";"10.0";"20.5";"";"";"";"";"";"";
"23.10.2017 08:30";"27.5";"";"757.6";"";"85";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"22.0";"";"";"";"";"";"";"10.0";"24.7";"";"";"";"";"";"";
"20.10.2017 08:30";"24.5";"";"756.4";"";"92";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"18.6";"";"";"";"";"";"";"10.0";"23.1";"";"";"";"";"";"";
"15.10.2017 08:30";"28.5";"";"756.0";"";"88";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"23.5";"";"";"";"";"";"";"10.0";"26.4";"";"";"";"";"";"";
"14.10.2017 08:30";"26.0";"";"756.5";"";"92";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"23.0";"";"";"";"";"";"";"10.0";"24.6";"";"";"";"";"";"";
"13.10.2017 08:30";"26.0";"";"756.1";"";"92";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"23.0";"";"";"";"";"";"";"10.0";"24.6";"";"";"";"";"";"";
"12.10.2017 08:30";"28.0";"";"756.0";"";"92";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"23.0";"";"";"";"";"";"";"10.0";"26.6";"";"";"";"";"";"";
"10.10.2017 08:30";"25.5";"";"754.5";"";"95";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"21.5";"";"";"";"";"";"";"10.0";"24.7";"";"";"";"";"";"";
"09.10.2017 08:30";"26.0";"";"756.4";"";"92";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"22.5";"";"";"";"";"";"";"10.0";"24.6";"";"";"";"";"";"";
"07.10.2017 08:30";"28.0";"";"756.2";"";"89";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"23.0";"";"";"";"";"";"";"10.0";"26.0";"";"";"";"";"";"";
"05.10.2017 08:30";"25.0";"";"756.1";"";"88";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"20.0";"";"";"";"";"";"";"10.0";"22.9";"";"";"";"";"";"";
"04.10.2017 08:30";"25.0";"";"757.2";"";"91";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"21.0";"";"";"";"";"";"";"10.0";"23.5";"";"";"";"";"";"";
"03.10.2017 08:30";"27.0";"";"756.1";"";"92";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"23.5";"";"";"";"";"";"";"10.0";"25.6";"";"";"";"";"";"";
"02.10.2017 08:30";"28.0";"";"755.8";"";"100";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"24.0";"";"";"";"";"";"";"10.0";"28.0";"";"";"";"";"";"";
"01.10.2017 08:30";"26.5";"";"756.2";"";"88";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"23.5";"";"";"";"";"";"";"10.0";"24.3";"";"";"";"";"";"";
"30.09.2017 08:30";"27.0";"";"756.6";"";"92";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"23.5";"";"";"";"";"";"";"10.0";"25.6";"";"";"";"";"";"";
"29.09.2017 08:30";"26.5";"";"756.0";"";"88";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"23.0";"";"";"";"";"";"";"10.0";"24.3";"";"";"";"";"";"";
"28.09.2017 08:30";"29.5";"";"756.9";"";"79";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"10.0";"25.4";"";"";"";"";"";"";
"27.09.2017 08:30";"28.0";"";"756.2";"";"92";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"23.0";"";"";"";"";"";"";"10.0";"26.6";"";"";"";"";"";"";
"26.09.2017 08:30";"27.0";"";"756.5";"";"92";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"23.0";"";"";"";"";"";"";"10.0";"25.6";"";"";"";"";"";"";
"25.09.2017 08:30";"27.0";"";"756.3";"";"92";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"22.5";"";"";"";"";"";"";"10.0";"25.6";"";"";"";"";"";"";
"24.09.2017 08:30";"28.0";"";"757.1";"";"89";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"22.5";"";"";"";"";"";"";"10.0";"26.0";"";"";"";"";"";"";
"23.09.2017 08:30";"";"";"756.6";"";"";"Wind blowing from the north-northeast";"24";"";"";"10%  or less, but not 0";" ";"";"";"";"";"";"";"2500 or more, or no clouds.";"";"";"10.0";"23.0";"";"";"";"";"";"";
"22.09.2017 08:30";"25.0";"";"763.0";"";"91";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"20.5";"";"";"";"";"";"";"10.0";"23.5";"";"";"";"";"";"";
"21.09.2017 08:30";"25.0";"";"755.4";"";"91";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"23.5";"";"";"";"";"";"";"10.0";"23.5";"";"";"";"";"";"";
"20.09.2017 17:30";"31.0";"";"753.0";"";"86";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"33.0";"";"";"";"";"";"10.0";"28.3";"";"";"";"";"";"";
"20.09.2017 08:30";"26.0";"";"756.1";"";"92";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"22.5";"";"";"";"";"";"";"10.0";"24.6";"";"";"";"";"";"";
"19.09.2017 08:30";"25.0";"";"754.0";"";"91";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"22.0";"";"";"";"";"";"";"10.0";"23.5";"";"";"";"";"";"";
"18.09.2017 17:30";"32.0";"";"753.4";"";"79";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"33.5";"";"";"";"";"";"10.0";"27.9";"";"";"";"";"";"";
"18.09.2017 08:30";"25.0";"";"761.5";"";"94";"";"";"";"";"";" ";"";"";"22.5";"";"";"";"2500 or more, or no clouds.";"";"";"10.0";"24.0";"";"";"";"";"";"";
"16.09.2017 08:30";"25.0";"";"756.1";"";"100";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"22.5";"";"";"";"";"";"";"10.0";"25.0";"";"";"";"";"";"";
"15.09.2017 08:30";"26.0";"";"757.6";"";"92";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"24.0";"";"";"";"";"";"";"10.0";"24.6";"";"";"";"";"";"";
