# Weather station Bramhapuri, India, WMO_ID=42946,selection from 01.01.2012 till 31.12.2017, all days
# Encoding: UTF-8
# The data is provided by the website "Reliable Prognosis", rp5.ru 
# If you use the data, please indicate the name of the website.
# For meteorological parameters see the address http://rp5.ru/archive.php?wmo_id=42946&lang=en
#
"Local time in Bramhapuri";"T";"Po";"P";"Pa";"U";"DD";"Ff";"ff10";"ff3";"N";"WW";"W1";"W2";"Tn";"Tx";"Cl";"Nh";"H";"Cm";"Ch";"VV";"Td";"RRR";"tR";"E";"Tg";"E'";"sss"
"21.10.2017 17:30";"31.2";"733.3";"752.8";"-0.1";"76";"Calm, no wind";"0";"";"";"40%.";" ";"";"";"";"35.0";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"no clouds";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"4.0";"26.5";"";"";"";"";"";"";
"21.10.2017 14:30";"33.2";"733.4";"752.8";"-2.0";"67";"Calm, no wind";"0";"";"";"50%.";" ";"";"";"";"";"Cumulus humilis or Cumulus fractus other than of bad weather, or both.";"20–30%.";"1000-1500";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"10.0";"26.3";"";"";"";"";"";"";
"21.10.2017 11:30";"32.2";"735.4";"754.9";"-0.4";"69";"Calm, no wind";"0";"";"";"60%.";" ";"";"";"";"";"Cumulus humilis or Cumulus fractus other than of bad weather, or both.";"40%.";"600-1000";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"25.8";"";"";"";"";"";"";
"21.10.2017 08:30";"27.4";"735.8";"755.6";"";"84";"Calm, no wind";"0";"";"";"50%.";" ";"";"";"21.8";"";"Cumulus humilis or Cumulus fractus other than of bad weather, or both.";"20–30%.";"600-1000";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"24.5";"";"";"";"";"";"";
"20.10.2017 17:30";"29.4";"733.3";"752.9";"1.0";"75";"Calm, no wind";"0";"";"";"60%.";" ";"";"";"";"34.5";"Cumulus humilis or Cumulus fractus other than of bad weather, or both.";"20–30%.";"600-1000";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"24.4";"";"";"";"";"";"";
"20.10.2017 14:30";"30.0";"732.3";"751.9";"-2.3";"75";"Calm, no wind";"0";"";"";"70 – 80%.";" ";"";"";"";"";"Cumulus humilis or Cumulus fractus other than of bad weather, or both.";"40%.";"600-1000";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"25.2";"";"";"";"";"";"";
"20.10.2017 11:30";"28.2";"734.6";"754.3";"-0.4";"87";"Calm, no wind";"0";"";"";"60%.";" ";"";"";"";"";"Cumulus humilis or Cumulus fractus other than of bad weather, or both.";"40%.";"1000-1500";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"25.9";"";"";"";"";"";"";
"20.10.2017 08:30";"27.0";"735.0";"754.8";"";"84";"Calm, no wind";"0";"";"";"40%.";" ";"";"";"22.3";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"no clouds";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"4.0";"24.1";"";"";"";"";"";"";
"19.10.2017 17:30";"29.4";"732.9";"752.5";"0.3";"81";"Calm, no wind";"0";"";"";"50%.";" ";"";"";"";"33.6";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"20–30%.";"2500 or more, or no clouds.";"Altocumulus translucidus at a single level.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"4.0";"25.7";"";"";"";"";"";"";
"19.10.2017 14:30";"32.4";"732.6";"752.0";"-2.0";"75";"Calm, no wind";"0";"";"";"60%.";" ";"";"";"";"";"Cumulus humilis or Cumulus fractus other than of bad weather, or both.";"20–30%.";"1000-1500";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"10.0";"27.5";"";"";"";"";"";"";
"19.10.2017 11:30";"31.2";"734.6";"754.2";"-0.6";"79";"Wind blowing from the east";"1";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"10.0";"27.1";"";"";"";"";"";"";
"19.10.2017 08:30";"24.4";"735.2";"755.2";"";"82";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"18.5";"";"";"";"";"";"";"4.0";"21.1";"";"";"";"";"";"";
"18.10.2017 17:30";"31.0";"733.5";"753.0";"-0.1";"75";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"34.1";"";"";"";"";"";"10.0";"26.0";"";"";"";"";"";"";
"18.10.2017 14:30";"33.2";"733.6";"753.0";"-1.8";"64";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"10.0";"25.6";"";"";"";"";"";"";
"18.10.2017 11:30";"31.6";"735.4";"754.9";"-0.5";"67";"Wind blowing from the south-east";"1";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"4.0";"24.8";"";"";"";"";"";"";
"18.10.2017 08:30";"24.6";"735.9";"755.9";"";"78";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"17.1";"";"";"";"";"";"";"4.0";"20.6";"";"";"";"";"";"";
"17.10.2017 17:30";"31.2";"733.2";"752.7";"0.0";"76";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"35.9";"";"";"";"";"";"4.0";"26.5";"";"";"";"";"";"";
"17.10.2017 14:30";"35.0";"733.2";"752.5";"-2.5";"58";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"10.0";"25.5";"";"";"";"";"";"";
"17.10.2017 11:30";"31.6";"735.7";"755.3";"-0.3";"62";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"4.0";"23.5";"";"";"";"";"";"";
"17.10.2017 08:30";"26.0";"736.0";"755.9";"";"87";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"20.5";"";"";"";"";"";"";"4.0";"23.7";"";"";"";"";"";"";
"16.10.2017 17:30";"30.4";"733.5";"753.1";"";"72";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"35.1";"";"";"";"";"";"4.0";"24.7";"";"";"";"";"";"";
"16.10.2017 11:30";"33.8";"734.5";"753.9";"-1.7";"57";"Wind blowing from the north-west";"1";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"10.0";"24.1";"";"";"";"";"";"";
"16.10.2017 08:30";"26.8";"736.2";"756.1";"";"87";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"21.4";"";"";"";"";"";"";"4.0";"24.5";"";"";"";"";"";"";
"15.10.2017 17:30";"31.6";"733.1";"752.6";"";"70";"Calm, no wind";"0";"";"";"40%.";" ";"";"";"";"35.0";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"no clouds";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"4.0";"25.4";"";"";"";"";"";"";
"15.10.2017 08:30";"26.6";"735.7";"755.6";"";"86";"Calm, no wind";"0";"";"";"90  or more, but not 100%";" ";"";"";"21.2";"";"Cumulus humilis or Cumulus fractus other than of bad weather, or both.";"40%.";"1000-1500";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"2.0";"24.0";"";"";"";"";"";"";
"14.10.2017 17:30";"28.2";"732.7";"752.4";"";"83";"Calm, no wind";"0";"";"";"50%.";" ";"";"";"";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"10%  or less, but not 0";"2500 or more, or no clouds.";"Altocumulus translucidus at a single level.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"4.0";"25.1";"";"";"";"";"";"";
"14.10.2017 08:30";"27.4";"735.8";"755.6";"";"84";"Calm, no wind";"0";"";"";"20–30%.";" ";"";"";"21.7";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"20–30%.";"2500 or more, or no clouds.";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"24.5";"";"";"";"";"";"";
"13.10.2017 17:30";"30.0";"732.4";"752.0";"";"75";"Calm, no wind";"0";"";"";"60%.";" ";"";"";"";"34.8";"Cumulus humilis or Cumulus fractus other than of bad weather, or both.";"20–30%.";"1000-1500";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"4.0";"25.2";"";"";"";"";"";"";
"13.10.2017 08:30";"28.0";"735.6";"755.4";"";"83";"Calm, no wind";"0";"";"";"50%.";" ";"";"";"21.4";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"20–30%.";"2500 or more, or no clouds.";"Altocumulus translucidus at a single level.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"4.0";"24.9";"";"";"";"";"";"";
"12.10.2017 17:30";"27.2";"733.5";"753.3";"";"87";"Calm, no wind";"0";"";"";"70 – 80%.";" ";"";"";"";"33.3";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"40%.";"2500 or more, or no clouds.";"Altocumulus translucidus at a single level.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"4.0";"24.9";"";"";"";"";"";"";
"12.10.2017 08:30";"27.2";"736.0";"755.8";"";"86";"Calm, no wind";"0";"";"";"20–30%.";" ";"";"";"22.3";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"no clouds";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"4.0";"24.6";"";"";"";"";"";"";
"11.10.2017 17:30";"29.2";"733.3";"752.9";"";"80";"Calm, no wind";"0";"";"";"90  or more, but not 100%";" ";"";"";"";"33.4";"Cumulus humilis or Cumulus fractus other than of bad weather, or both.";"40%.";"1000-1500";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"25.5";"";"";"";"";"";"";
"11.10.2017 08:30";"26.2";"735.4";"755.3";"";"89";"Calm, no wind";"0";"";"";"50%.";" ";"";"";"21.3";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"no clouds";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"4.0";"24.3";"";"";"";"";"";"";
"10.10.2017 17:30";"25.2";"732.8";"752.7";"";"91";"Calm, no wind";"0";"";"";"90  or more, but not 100%";" ";"";"";"";"";"Cumulus humilis or Cumulus fractus other than of bad weather, or both.";"40%.";"1000-1500";"Altostratus opacus or Nimbostratus.";"";"4.0";"23.7";"";"";"";"";"";"";
"10.10.2017 08:30";"25.6";"735.8";"755.8";"";"90";"Calm, no wind";"0";"";"";"100%.";" ";"";"";"21.4";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"70 – 80%.";"600-1000";"Altostratus opacus or Nimbostratus.";"";"2.0";"23.9";"";"";"";"";"";"";
"09.10.2017 17:30";"26.4";"734.2";"754.1";"";"87";"Calm, no wind";"0";"";"";"100%.";" ";"";"";"";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"70 – 80%.";"600-1000";"Altostratus opacus or Nimbostratus.";"";"2.0";"24.0";"";"";"";"";"";"";
"09.10.2017 08:30";"25.8";"735.7";"755.6";"";"92";"Calm, no wind";"0";"";"";"100%.";" ";"";"";"21.6";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"70 – 80%.";"600-1000";"Altostratus opacus or Nimbostratus.";"";"2.0";"24.4";"";"";"";"";"";"";
"08.10.2017 17:30";"28.0";"733.0";"752.7";"";"89";"Calm, no wind";"0";"";"";"90  or more, but not 100%";" ";"";"";"";"";"Cumulus humilis or Cumulus fractus other than of bad weather, or both.";"40%.";"1000-1500";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"26.0";"";"";"";"";"";"";
"08.10.2017 08:30";"26.8";"735.6";"755.5";"";"87";"Calm, no wind";"0";"";"";"100%.";" ";"";"";"22.2";"";"Cumulus humilis or Cumulus fractus other than of bad weather, or both.";"50%.";"1000-1500";"Altostratus opacus or Nimbostratus.";"";"2.0";"24.5";"";"";"";"";"";"";
"07.10.2017 17:30";"28.0";"733.4";"753.1";"";"74";"Calm, no wind";"0";"";"";"90  or more, but not 100%";" ";"";"";"";"30.1";"Cumulus humilis or Cumulus fractus other than of bad weather, or both.";"40%.";"1000-1500";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"23.0";"";"";"";"";"";"";
"07.10.2017 08:30";"26.6";"736.2";"756.1";"";"83";"Calm, no wind";"0";"";"";"70 – 80%.";" ";"";"";"22.0";"";"Cumulus humilis or Cumulus fractus other than of bad weather, or both.";"40%.";"1000-1500";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"23.4";"";"";"";"";"";"";
"06.10.2017 17:30";"31.6";"733.0";"752.5";"";"74";"Calm, no wind";"0";"";"";"40%.";" ";"";"";"";"34.8";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"no clouds";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"4.0";"26.3";"";"";"";"";"";"";
"06.10.2017 08:30";"28.2";"736.3";"756.1";"";"80";"Wind blowing from the north-east";"1";"";"";"no clouds";" ";"";"";"22.5";"";"";"";"";"";"";"4.0";"24.5";"";"";"";"";"";"";
"05.10.2017 17:30";"31.0";"733.6";"753.1";"";"73";"Calm, no wind";"0";"";"";"50%.";" ";"";"";"";"35.4";"Cumulus humilis or Cumulus fractus other than of bad weather, or both.";"20–30%.";"1000-1500";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"25.7";"";"";"";"";"";"";
"05.10.2017 08:30";"27.4";"736.1";"755.9";"";"86";"Calm, no wind";"0";"";"";"70 – 80%.";" ";"";"";"22.4";"";"Cumulus humilis or Cumulus fractus other than of bad weather, or both.";"40%.";"600-1000";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"24.8";"";"";"";"";"";"";
"04.10.2017 08:30";"27.2";"736.8";"756.7";"";"77";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"20.9";"";"";"";"";"";"";"4.0";"22.8";"";"";"";"";"";"";
"03.10.2017 17:30";"32.4";"733.4";"752.8";"";"67";"Calm, no wind";"0";"";"";"20–30%.";" ";"";"";"";"35.0";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"no clouds";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"10.0";"25.4";"";"";"";"";"";"";
"03.10.2017 08:30";"27.4";"736.0";"755.8";"";"84";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"22.5";"";"";"";"";"";"";"4.0";"24.5";"";"";"";"";"";"";
"02.10.2017 17:30";"30.4";"732.7";"752.2";"";"74";"Calm, no wind";"0";"";"";"50%.";" ";"";"";"";"34.0";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"no clouds";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"4.0";"25.3";"";"";"";"";"";"";
"02.10.2017 08:30";"26.0";"736.5";"756.4";"";"87";"Calm, no wind";"0";"";"";"100%.";" ";"";"";"22.2";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"70 – 80%.";"600-1000";"Altostratus opacus or Nimbostratus.";"";"2.0";"23.7";"";"";"";"";"";"";
"01.10.2017 17:30";"27.6";"733.6";"753.4";"";"83";"Calm, no wind";"0";"";"";"90  or more, but not 100%";" ";"";"";"";"";"Cumulus humilis or Cumulus fractus other than of bad weather, or both.";"40%.";"1000-1500";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"24.4";"";"";"";"";"";"";
"01.10.2017 08:30";"27.4";"737.1";"757.0";"";"77";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"22.4";"";"";"";"";"";"";"4.0";"23.0";"";"";"";"";"";"";
"30.09.2017 17:30";"31.0";"734.1";"753.7";"";"73";"Calm, no wind";"0";"";"";"20–30%.";" ";"";"";"";"34.3";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"no clouds";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"10.0";"25.7";"";"";"";"";"";"";
"30.09.2017 08:30";"27.4";"736.1";"755.9";"";"74";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"22.0";"";"";"";"";"";"";"4.0";"22.4";"";"";"";"";"";"";
"29.09.2017 17:30";"29.8";"733.1";"752.7";"";"69";"Calm, no wind";"0";"";"";"40%.";" ";"";"";"";"32.9";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"no clouds";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"4.0";"23.4";"";"";"";"";"";"";
"29.09.2017 08:30";"26.0";"735.0";"754.9";"";"81";"Calm, no wind";"0";"";"";"90  or more, but not 100%";" ";"";"";"21.9";"";"Cumulus humilis or Cumulus fractus other than of bad weather, or both.";"40%.";"1000-1500";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"2.0";"22.4";"";"";"";"";"";"";
"28.09.2017 17:30";"26.8";"732.7";"752.5";"";"90";"Calm, no wind";"0";"";"";"100%.";" ";"";"";"";"33.3";"Stratocumulus other than Stratocumulus cumulogenitus.";"70 – 80%.";"600-1000";"Altostratus opacus or Nimbostratus.";"";"2.0";"25.0";"";"";"";"";"";"";
"28.09.2017 08:30";"29.8";"735.0";"754.7";"";"63";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"22.7";"";"";"";"";"";"";"4.0";"22.1";"";"";"";"";"";"";
"27.09.2017 17:30";"32.2";"733.1";"752.5";"";"74";"Calm, no wind";"0";"";"";"40%.";" ";"";"";"";"35.1";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"no clouds";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"10.0";"27.0";"";"";"";"";"";"";
"27.09.2017 08:30";"27.6";"735.4";"755.2";"";"78";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"21.8";"";"";"";"";"";"";"4.0";"23.4";"";"";"";"";"";"";
"26.09.2017 17:30";"31.4";"733.3";"752.8";"";"72";"Calm, no wind";"0";"";"";"50%.";" ";"";"";"";"35.1";"Cumulus humilis or Cumulus fractus other than of bad weather, or both.";"10%  or less, but not 0";"600-1000";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"25.8";"";"";"";"";"";"";
"26.09.2017 08:30";"27.4";"735.6";"755.4";"";"78";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"21.6";"";"";"";"";"";"";"4.0";"23.3";"";"";"";"";"";"";
"25.09.2017 17:30";"30.4";"735.0";"754.6";"";"77";"Calm, no wind";"0";"";"";"40%.";" ";"";"";"";"34.2";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"no clouds";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"10.0";"25.9";"";"";"";"";"";"";
"25.09.2017 08:30";"27.4";"736.3";"756.1";"";"80";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"21.7";"";"";"";"";"";"";"4.0";"23.6";"";"";"";"";"";"";
"23.09.2017 17:30";"30.0";"735.3";"754.9";"";"78";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"32.9";"";"";"";"";"";"10.0";"25.8";"";"";"";"";"";"";
"23.09.2017 08:30";"25.4";"737.0";"757.0";"";"87";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"20.1";"";"";"";"";"";"";"4.0";"23.0";"";"";"";"";"";"";
"22.09.2017 17:30";"29.2";"733.1";"752.7";"";"80";"Calm, no wind";"0";"";"";"50%.";" ";"";"";"";"31.1";"Cumulus humilis or Cumulus fractus other than of bad weather, or both.";"10%  or less, but not 0";"1000-1500";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"25.5";"";"";"";"";"";"";
"22.09.2017 08:30";"25.4";"734.3";"754.2";"";"87";"Wind blowing from the south-west";"1";"";"";"50%.";" ";"";"";"20.8";"";"Cumulus humilis or Cumulus fractus other than of bad weather, or both.";"10%  or less, but not 0";"600-1000";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"23.0";"";"";"";"";"";"";
"21.09.2017 17:30";"27.4";"730.6";"750.3";"";"86";"Calm, no wind";"0";"";"";"60%.";" ";"";"";"";"30.3";"Cumulus humilis or Cumulus fractus other than of bad weather, or both.";"20–30%.";"1000-1500";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"24.8";"";"";"";"";"";"";
"21.09.2017 08:30";"26.2";"732.4";"752.2";"";"92";"Calm, no wind";"0";"";"";"100%.";" ";"";"";"21.8";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"70 – 80%.";"600-1000";"Altostratus opacus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"2.0";"24.8";"";"";"";"";"";"";
"20.09.2017 08:30";"25.6";"732.9";"752.8";"";"";"Calm, no wind";"0";"";"";"100%.";" ";"";"";"22.2";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"70 – 80%.";"600-1000";"Altostratus opacus or Nimbostratus.";"";"2.0";"";"";"";"";"";"";"";
"19.09.2017 08:30";"27.8";"733.6";"753.3";"";"84";"Calm, no wind";"0";"";"";"40%.";" ";"";"";"23.8";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"10%  or less, but not 0";"2500 or more, or no clouds.";"Altocumulus translucidus at a single level.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"4.0";"24.9";"";"";"";"";"";"";
"18.09.2017 17:30";"30.6";"731.4";"750.9";"";"73";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"32.5";"";"";"";"";"";"10.0";"25.2";"";"";"";"";"";"";
"18.09.2017 08:30";"25.6";"734.7";"754.6";"";"90";"Calm, no wind";"0";"";"";"100%.";" ";"";"";"21.5";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"70 – 80%.";"600-1000";"Altostratus opacus or Nimbostratus.";"";"2.0";"23.9";"";"";"";"";"";"";
"17.09.2017 17:30";"33.2";"731.2";"750.5";"";"62";"Calm, no wind";"0";"";"";"50%.";" ";"";"";"";"35.8";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"no clouds";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"10.0";"25.0";"";"";"";"";"";"";
"17.09.2017 08:30";"28.0";"733.8";"753.5";"";"86";"Calm, no wind";"0";"";"";"40%.";" ";"";"";"23.6";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"no clouds";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"4.0";"25.4";"";"";"";"";"";"";
"16.09.2017 17:30";"30.8";"731.6";"751.1";"";"74";"Calm, no wind";"0";"";"";"50%.";" ";"";"";"";"32.9";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"no clouds";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"4.0";"25.7";"";"";"";"";"";"";
"16.09.2017 08:30";"27.2";"734.6";"754.4";"";"89";"Calm, no wind";"0";"";"";"100%.";" ";"";"";"22.9";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"70 – 80%.";"600-1000";"Altostratus opacus or Nimbostratus.";"";"2.0";"25.2";"";"";"";"";"";"";
"15.09.2017 17:30";"29.6";"732.4";"752.0";"";"72";"Calm, no wind";"0";"";"";"60%.";" ";"";"";"";"32.5";"Cumulus humilis or Cumulus fractus other than of bad weather, or both.";"20–30%.";"1000-1500";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"24.1";"";"";"";"";"";"";
"15.09.2017 08:30";"27.2";"735.7";"755.5";"";"87";"Calm, no wind";"0";"";"";"100%.";" ";"";"";"22.0";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"70 – 80%.";"600-1000";"Altostratus opacus or Nimbostratus.";"";"2.0";"24.9";"";"";"";"";"";"";
"14.09.2017 17:30";"26.6";"733.2";"753.0";"";"83";"Calm, no wind";"0";"";"";"90  or more, but not 100%";" ";"";"";"";"";"Cumulus humilis or Cumulus fractus other than of bad weather, or both.";"50%.";"600-1000";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"23.4";"";"";"";"";"";"";
"14.09.2017 08:30";"26.4";"736.7";"756.6";"";"94";"Calm, no wind";"0";"";"";"100%.";" ";"";"";"21.7";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"70 – 80%.";"600-1000";"Altostratus opacus or Nimbostratus.";"";"2.0";"25.3";"";"";"";"";"";"";
"13.09.2017 17:30";"26.6";"735.3";"755.2";"";"89";"Calm, no wind";"0";"";"";"100%.";" ";"";"";"";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"70 – 80%.";"600-1000";"Altostratus opacus or Nimbostratus.";"";"2.0";"24.6";"";"";"";"";"";"";
"13.09.2017 08:30";"27.4";"737.1";"757.0";"";"87";"Calm, no wind";"0";"";"";"90  or more, but not 100%";" ";"";"";"22.4";"";"Cumulus humilis or Cumulus fractus other than of bad weather, or both.";"50%.";"1000-1500";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"2.0";"25.1";"";"";"";"";"";"";
"12.09.2017 17:30";"29.8";"734.7";"754.3";"";"82";"Calm, no wind";"0";"";"";"70 – 80%.";" ";"";"";"";"31.6";"Cumulus humilis or Cumulus fractus other than of bad weather, or both.";"40%.";"1000-1500";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"26.5";"";"";"";"";"";"";
"12.09.2017 08:30";"25.8";"737.9";"757.9";"";"82";"Calm, no wind";"0";"";"";"90  or more, but not 100%";" ";"";"";"22.2";"";"Cumulus humilis or Cumulus fractus other than of bad weather, or both.";"40%.";"1000-1500";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"2.0";"22.5";"";"";"";"";"";"";
"11.09.2017 17:30";"30.8";"735.0";"754.6";"";"77";"Calm, no wind";"0";"";"";"60%.";" ";"";"";"";"35.5";"Cumulus humilis or Cumulus fractus other than of bad weather, or both.";"40%.";"1000-1500";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"26.3";"";"";"";"";"";"";
