# Weather station Satara, India, WMO_ID=43113,selection from 01.01.2012 till 31.12.2017, all days
# Encoding: UTF-8
# The data is provided by the website "Reliable Prognosis", rp5.ru 
# If you use the data, please indicate the name of the website.
# For meteorological parameters see the address http://rp5.ru/archive.php?wmo_id=43113&lang=en
#
"Local time in Satara";"T";"Po";"P";"Pa";"U";"DD";"Ff";"ff10";"ff3";"N";"WW";"W1";"W2";"Tn";"Tx";"Cl";"Nh";"H";"Cm";"Ch";"VV";"Td";"RRR";"tR";"E";"Tg";"E'";"sss"
"23.09.2016 17:30";"24.4";"695.5";"752.9";"";"84";"Wind blowing from the south-east";"2";"";"";"100%.";"Thunderstorm, slight or moderate, without hail, but with rain and/or snow at time of observation. ";"Thunderstorm(s) with or without precipitation.";"Rain.";"";"";"Cumulonimbus capillatus (often with an anvil), with or without Cumulonimbus calvus, Cumulus, Stratocumulus, Stratus or pannus.";"60%.";"600-1000";"Altocumulus translucidus or opacus in two or more layers, or Altocumulus opacus in a single layer, not progressively invading the sky, or Altocumulus with Altostratus or Nimbostratus.";"";"10.0";"21.5";"";"";"";"";"";"";
"23.09.2016 08:30";"23.0";"697.7";"755.7";"";"93";"Calm, no wind";"0";"";"";"90  or more, but not 100%";" ";"";"";"21.5";"";"Cumulus humilis or Cumulus fractus other than of bad weather, or both.";"20–30%.";"600-1000";"Altocumulus translucidus at a single level.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"10.0";"21.8";"";"";"";"";"";"";
"22.09.2016 17:30";"24.0";"697.2";"755.0";"";"80";"Wind blowing from the south-east";"1";"";"";"90  or more, but not 100%";" ";"";"";"";"26.5";"Stratus fractus or Cumulus fractus of bad weather, or both (pannus), usually below Altostratus or Nimbostratus.";"50%.";"600-1000";"Altocumulus translucidus at a single level.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"10.0";"20.4";"";"";"";"";"";"";
"22.09.2016 08:30";"22.0";"699.4";"757.7";"";"95";"Calm, no wind";"0";"";"";"90  or more, but not 100%";" ";"";"";"20.0";"";"Stratus fractus or Cumulus fractus of bad weather, or both (pannus), usually below Altostratus or Nimbostratus.";"50%.";"600-1000";"Altocumulus translucidus at a single level.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"10.0";"21.1";"";"";"";"";"";"";
"21.09.2016 17:30";"23.0";"697.2";"755.2";"";"93";"Calm, no wind";"0";"";"";"100%.";"Rain, not freezing, continuous, slight at time of observation. ";"Rain.";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"";"";"Stratus fractus or Cumulus fractus of bad weather, or both (pannus), usually below Altostratus or Nimbostratus.";"60%.";"600-1000";"Altocumulus translucidus or opacus in two or more layers, or Altocumulus opacus in a single layer, not progressively invading the sky, or Altocumulus with Altostratus or Nimbostratus.";"";"4.0";"21.8";"";"";"";"";"";"";
"21.09.2016 08:30";"22.6";"698.7";"756.8";"";"93";"Wind blowing from the south-east";"1";"";"";"90  or more, but not 100%";"State of sky on the whole unchanged. ";"Rain.";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"20.9";"";"Stratus fractus or Cumulus fractus of bad weather, or both (pannus), usually below Altostratus or Nimbostratus.";"50%.";"600-1000";"Altocumulus translucidus at a single level.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"10.0";"21.4";"";"";"";"";"";"";
"20.09.2016 17:30";"24.0";"697.3";"755.1";"";"76";"Calm, no wind";"0";"";"";"90  or more, but not 100%";" ";"";"";"";"25.7";"Stratus fractus or Cumulus fractus of bad weather, or both (pannus), usually below Altostratus or Nimbostratus.";"50%.";"600-1000";"Altocumulus translucidus at a single level.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"10.0";"19.5";"";"";"";"";"";"";
"20.09.2016 08:30";"23.0";"698.7";"756.8";"";"79";"Wind blowing from the south-east";"1";"";"";"70 – 80%.";" ";"";"";"21.0";"";"Stratocumulus cumulogenitus.";"50%.";"600-1000";"Altocumulus translucidus at a single level.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"10.0";"19.1";"";"";"";"";"";"";
"19.09.2016 17:30";"23.4";"697.5";"755.3";"";"90";"Calm, no wind";"0";"";"";"90  or more, but not 100%";"Drizzle, not freezing, intermittent, slight at time of observation. ";"Rain.";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"";"25.6";"Stratus fractus or Cumulus fractus of bad weather, or both (pannus), usually below Altostratus or Nimbostratus.";"50%.";"600-1000";"Altocumulus translucidus at a single level.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"10.0";"21.6";"";"";"";"";"";"";
"19.09.2016 08:30";"22.4";"699.1";"757.2";"";"90";"Calm, no wind";"0";"";"";"90  or more, but not 100%";" ";"";"";"20.7";"";"Stratus fractus or Cumulus fractus of bad weather, or both (pannus), usually below Altostratus or Nimbostratus.";"50%.";"600-1000";"Altocumulus translucidus at a single level.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"10.0";"20.6";"";"";"";"";"";"";
"18.09.2016 17:30";"22.4";"697.0";"755.0";"";"91";"Wind blowing from the south-east";"2";"";"";"100%.";"Rain, not freezing, continuous, slight at time of observation. ";"Rain.";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"";"25.6";"Stratus fractus or Cumulus fractus of bad weather, or both (pannus), usually below Altostratus or Nimbostratus.";"50%.";"600-1000";"Altocumulus translucidus or opacus in two or more layers, or Altocumulus opacus in a single layer, not progressively invading the sky, or Altocumulus with Altostratus or Nimbostratus.";"";"4.0";"20.9";"";"";"";"";"";"";
"18.09.2016 08:30";"23.6";"697.6";"755.4";"";"83";"Wind blowing from the south-east";"1";"";"";"90  or more, but not 100%";"State of sky on the whole unchanged. ";"Rain.";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"21.4";"";"Stratus fractus or Cumulus fractus of bad weather, or both (pannus), usually below Altostratus or Nimbostratus.";"50%.";"600-1000";"Altocumulus translucidus at a single level.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"10.0";"20.6";"";"";"";"";"";"";
"17.09.2016 17:30";"22.4";"695.2";"753.0";"";"98";"Calm, no wind";"0";"";"";"100%.";"Rain, not freezing, continuous, slight at time of observation. ";"Rain.";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"";"";"Stratus fractus or Cumulus fractus of bad weather, or both (pannus), usually below Altostratus or Nimbostratus.";"50%.";"600-1000";"Altocumulus translucidus or opacus in two or more layers, or Altocumulus opacus in a single layer, not progressively invading the sky, or Altocumulus with Altostratus or Nimbostratus.";"";"4.0";"22.1";"";"";"";"";"";"";
"17.09.2016 08:30";"22.6";"696.5";"754.4";"";"95";"Calm, no wind";"0";"";"";"100%.";"Drizzle (not freezing) or snow grains not falling as shower(s). ";"Rain.";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"21.1";"";"Stratus fractus or Cumulus fractus of bad weather, or both (pannus), usually below Altostratus or Nimbostratus.";"50%.";"600-1000";"Altocumulus translucidus or opacus in two or more layers, or Altocumulus opacus in a single layer, not progressively invading the sky, or Altocumulus with Altostratus or Nimbostratus.";"";"10.0";"21.7";"";"";"";"";"";"";
"16.09.2016 17:30";"24.2";"695.3";"752.7";"";"95";"Calm, no wind";"0";"";"";"90  or more, but not 100%";"Thunderstorm, but no precipitation at the time of observation. ";"Thunderstorm(s) with or without precipitation.";"Rain.";"";"28.6";"Cumulonimbus capillatus (often with an anvil), with or without Cumulonimbus calvus, Cumulus, Stratocumulus, Stratus or pannus.";"50%.";"600-1000";"Altocumulus translucidus at a single level.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"10.0";"23.3";"";"";"";"";"";"";
"16.09.2016 08:30";"24.2";"697.3";"754.9";"";"85";"Calm, no wind";"0";"";"";"90  or more, but not 100%";" ";"";"";"22.1";"";"Stratocumulus cumulogenitus.";"50%.";"600-1000";"Altocumulus translucidus at a single level.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"4.0";"21.6";"";"";"";"";"";"";
"15.09.2016 17:30";"24.4";"696.0";"753.4";"";"78";"Wind blowing from the south";"2";"";"";"100%.";"State of sky on the whole unchanged. ";"Rain.";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"";"26.5";"Stratus fractus or Cumulus fractus of bad weather, or both (pannus), usually below Altostratus or Nimbostratus.";"50%.";"600-1000";"Altocumulus translucidus or opacus in two or more layers, or Altocumulus opacus in a single layer, not progressively invading the sky, or Altocumulus with Altostratus or Nimbostratus.";"";"10.0";"20.2";"";"";"";"";"";"";
"15.09.2016 08:30";"22.0";"698.5";"756.9";"";"95";"Wind blowing from the south-east";"1";"";"";"100%.";"Rain, not freezing, intermittent, slight at time of observation. ";"Rain.";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"21.0";"";"Stratus fractus or Cumulus fractus of bad weather, or both (pannus), usually below Altostratus or Nimbostratus.";"60%.";"600-1000";"Altocumulus translucidus or opacus in two or more layers, or Altocumulus opacus in a single layer, not progressively invading the sky, or Altocumulus with Altostratus or Nimbostratus.";"";"4.0";"21.1";"";"";"";"";"";"";
"14.09.2016 17:30";"26.4";"697.0";"754.2";"";"71";"Calm, no wind";"0";"";"";"90  or more, but not 100%";" ";"";"";"";"27.1";"Stratus fractus or Cumulus fractus of bad weather, or both (pannus), usually below Altostratus or Nimbostratus.";"60%.";"600-1000";"Altocumulus translucidus at a single level.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"10.0";"20.8";"";"";"";"";"";"";
"14.09.2016 08:30";"23.4";"699.2";"757.1";"";"82";"Calm, no wind";"0";"";"";"90  or more, but not 100%";" ";"";"";"21.7";"";"Stratus fractus or Cumulus fractus of bad weather, or both (pannus), usually below Altostratus or Nimbostratus.";"50%.";"600-1000";"Altocumulus translucidus at a single level.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"10.0";"20.1";"";"";"";"";"";"";
"13.09.2016 08:30";"23.0";"699.4";"757.5";"";"80";"Calm, no wind";"0";"";"";"50%.";" ";"";"";"20.7";"";"Cumulus humilis or Cumulus fractus other than of bad weather, or both.";"20–30%.";"600-1000";"Altocumulus translucidus at a single level.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"10.0";"19.4";"";"";"";"";"";"";
"12.09.2016 08:30";"23.4";"699.1";"757.0";"";"77";"Wind blowing from the south-southeast";"1";"";"";"90  or more, but not 100%";" ";"";"";"21.0";"";"Cumulus humilis or Cumulus fractus other than of bad weather, or both.";"20–30%.";"600-1000";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"10.0";"19.2";"";"";"";"";"";"";
"11.09.2016 17:30";"26.6";"697.2";"754.4";"";"57";"Wind blowing from the south-east";"1";"";"";"90  or more, but not 100%";" ";"";"";"";"29.8";"Cumulus humilis or Cumulus fractus other than of bad weather, or both.";"20–30%.";"600-1000";"Altocumulus translucidus at a single level.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"10.0";"17.4";"";"";"";"";"";"";
"11.09.2016 08:30";"23.4";"699.6";"757.5";"";"79";"Wind blowing from the south-east";"1";"";"";"50%.";" ";"";"";"20.7";"";"Cumulus humilis or Cumulus fractus other than of bad weather, or both.";"20–30%.";"600-1000";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"10.0";"19.5";"";"";"";"";"";"";
"10.09.2016 17:30";"27.4";"698.2";"755.2";"";"64";"Wind blowing from the south-east";"1";"";"";"90  or more, but not 100%";" ";"";"";"";"30.6";"Stratocumulus cumulogenitus.";"50%.";"600-1000";"Altocumulus translucidus at a single level.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"10.0";"20.0";"";"";"";"";"";"";
"10.09.2016 08:30";"22.0";"699.9";"759.0";"";"83";"Calm, no wind";"0";"";"";"50%.";" ";"";"";"19.7";"";"Cumulus humilis or Cumulus fractus other than of bad weather, or both.";"20–30%.";"600-1000";"Altocumulus translucidus at a single level.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"10.0";"19.0";"";"";"";"";"";"";
"09.09.2016 17:30";"28.4";"698.5";"755.5";"";"61";"Wind blowing from the south-east";"1";"";"";"40%.";" ";"";"";"";"31.2";"Cumulus humilis or Cumulus fractus other than of bad weather, or both.";"20–30%.";"600-1000";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"10.0";"20.2";"";"";"";"";"";"";
"09.09.2016 08:30";"22.4";"701.0";"759.3";"";"82";"Wind blowing from the south-east";"1";"";"";"40%.";" ";"";"";"18.8";"";"Cumulus humilis or Cumulus fractus other than of bad weather, or both.";"20–30%.";"600-1000";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"10.0";"19.1";"";"";"";"";"";"";
"08.09.2016 17:30";"26.4";"698.6";"755.9";"";"60";"Wind blowing from the south-east";"1";"";"";"50%.";" ";"";"";"";"30.3";"Cumulus mediocris or congestus, with or without Cumulus of species fractus or humilis or Stratocumulus, all having their bases at the same level.";"20–30%.";"600-1000";"Altocumulus translucidus at a single level.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"10.0";"17.9";"";"";"";"";"";"";
"08.09.2016 08:30";"21.8";"700.1";"758.5";"";"83";"Calm, no wind";"0";"";"";"50%.";" ";"";"";"18.6";"";"Cumulus humilis or Cumulus fractus other than of bad weather, or both.";"20–30%.";"600-1000";"Altocumulus translucidus at a single level.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"10.0";"18.7";"";"";"";"";"";"";
"07.09.2016 17:30";"26.8";"698.2";"755.4";"";"62";"Wind blowing from the south-east";"1";"";"";"50%.";" ";"";"";"";"29.6";"Stratocumulus cumulogenitus.";"40%.";"600-1000";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"10.0";"19.0";"";"";"";"";"";"";
"07.09.2016 08:30";"22.2";"700.1";"758.4";"";"85";"Calm, no wind";"0";"";"";"50%.";" ";"";"";"19.4";"";"Stratocumulus cumulogenitus.";"40%.";"600-1000";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"10.0";"19.5";"";"";"";"";"";"";
"06.09.2016 17:30";"26.4";"699.0";"756.3";"";"62";"Wind blowing from the south-east";"1";"";"";"50%.";" ";"";"";"";"29.1";"Cumulus mediocris or congestus, with or without Cumulus of species fractus or humilis or Stratocumulus, all having their bases at the same level.";"40%.";"600-1000";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"10.0";"18.5";"";"";"";"";"";"";
"06.09.2016 08:30";"23.0";"700.8";"759.1";"";"80";"Calm, no wind";"0";"";"";"70 – 80%.";" ";"";"";"20.0";"";"Stratocumulus cumulogenitus.";"50%.";"600-1000";"Altocumulus translucidus at a single level.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"10.0";"19.4";"";"";"";"";"";"";
"05.09.2016 17:30";"27.0";"699.2";"756.5";"";"63";"Wind blowing from the south-southeast";"2";"";"";"60%.";" ";"";"";"";"29.4";"Stratocumulus cumulogenitus.";"40%.";"600-1000";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"10.0";"19.3";"";"";"";"";"";"";
"05.09.2016 08:30";"23.0";"700.4";"758.7";"";"79";"Calm, no wind";"0";"";"";"60%.";" ";"";"";"20.0";"";"Stratocumulus cumulogenitus.";"50%.";"600-1000";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"10.0";"19.1";"";"";"";"";"";"";
"04.09.2016 17:30";"26.0";"699.1";"756.7";"";"67";"Wind blowing from the south-east";"1";"";"";"60%.";" ";"";"";"";"29.0";"Cumulus humilis or Cumulus fractus other than of bad weather, or both.";"40%.";"600-1000";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"10.0";"19.4";"";"";"";"";"";"";
"04.09.2016 08:30";"22.6";"699.8";"757.9";"";"80";"Calm, no wind";"0";"";"";"50%.";" ";"";"";"20.0";"";"Cumulus humilis or Cumulus fractus other than of bad weather, or both.";"40%.";"600-1000";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"10.0";"19.0";"";"";"";"";"";"";
"03.09.2016 17:30";"24.8";"697.3";"754.9";"";"77";"Wind blowing from the south-east";"1";"";"";"90  or more, but not 100%";"State of sky on the whole unchanged. ";"Drizzle.";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"";"28.0";"Stratus fractus or Cumulus fractus of bad weather, or both (pannus), usually below Altostratus or Nimbostratus.";"50%.";"600-1000";"Altocumulus translucidus at a single level.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"10.0";"20.4";"";"";"";"";"";"";
"03.09.2016 08:30";"22.4";"698.6";"756.7";"";"90";"Calm, no wind";"0";"";"";"90  or more, but not 100%";"Drizzle, not freezing, intermittent, slight at time of observation. ";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"21.0";"";"Stratus fractus or Cumulus fractus of bad weather, or both (pannus), usually below Altostratus or Nimbostratus.";"60%.";"600-1000";"Altocumulus translucidus at a single level.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"10.0";"20.6";"";"";"";"";"";"";
"02.09.2016 17:30";"25.4";"696.8";"754.1";"";"75";"Wind blowing from the south-east";"1";"";"";"90  or more, but not 100%";" ";"";"";"";"27.9";"Stratocumulus cumulogenitus.";"50%.";"600-1000";"Altocumulus translucidus at a single level.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"10.0";"20.7";"";"";"";"";"";"";
"02.09.2016 08:30";"23.4";"698.5";"756.4";"";"86";"Calm, no wind";"0";"";"";"90  or more, but not 100%";" ";"";"";"21.6";"";"Stratus fractus or Cumulus fractus of bad weather, or both (pannus), usually below Altostratus or Nimbostratus.";"50%.";"600-1000";"Altocumulus translucidus at a single level.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"10.0";"21.0";"";"";"";"";"";"";
"01.09.2016 17:30";"24.8";"696.7";"754.2";"";"78";"Wind blowing from the south-east";"1";"";"";"90  or more, but not 100%";"State of sky on the whole unchanged. ";"Drizzle.";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"";"26.6";"Stratus fractus or Cumulus fractus of bad weather, or both (pannus), usually below Altostratus or Nimbostratus.";"50%.";"600-1000";"Altocumulus translucidus at a single level.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"10.0";"20.7";"";"";"";"";"";"";
"31.08.2016 17:30";"27.0";"695.8";"752.9";"";"71";"Wind blowing from the east";"1";"";"";"90  or more, but not 100%";" ";"";"";"";"29.4";"Stratocumulus cumulogenitus.";"60%.";"600-1000";"Altocumulus translucidus at a single level.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"10.0";"21.2";"";"";"";"";"";"";
"31.08.2016 08:30";"23.2";"697.6";"755.5";"";"88";"Wind blowing from the east-southeast";"1";"";"";"90  or more, but not 100%";" ";"";"";"21.6";"";"Stratus fractus or Cumulus fractus of bad weather, or both (pannus), usually below Altostratus or Nimbostratus.";"60%.";"600-1000";"Altocumulus translucidus at a single level.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"10.0";"21.1";"";"";"";"";"";"";
"30.08.2016 17:30";"24.2";"695.5";"753.0";"";"89";"Wind blowing from the south-east";"1";"";"";"90  or more, but not 100%";"Rain (not freezing) not falling as shower(s). ";"Rain.";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"";"";"Stratus fractus or Cumulus fractus of bad weather, or both (pannus), usually below Altostratus or Nimbostratus.";"60%.";"600-1000";"Altocumulus translucidus at a single level.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"10.0";"22.2";"";"";"";"";"";"";
"30.08.2016 08:30";"23.8";"697.5";"755.3";"";"89";"Wind blowing from the south-southeast";"1";"";"";"90  or more, but not 100%";" ";"";"";"22.2";"";"Stratus fractus or Cumulus fractus of bad weather, or both (pannus), usually below Altostratus or Nimbostratus.";"50%.";"600-1000";"Altocumulus translucidus at a single level.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"10.0";"21.8";"";"";"";"";"";"";
"29.08.2016 17:30";"26.8";"695.7";"752.8";"";"73";"Wind blowing from the south-southeast";"2";"";"";"90  or more, but not 100%";" ";"";"";"";"29.8";"Stratocumulus cumulogenitus.";"50%.";"600-1000";"Altocumulus translucidus at a single level.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"10.0";"21.6";"";"";"";"";"";"";
"29.08.2016 08:30";"23.4";"698.2";"756.0";"";"90";"Calm, no wind";"0";"";"";"100%.";" ";"";"";"22.1";"";"Stratus fractus or Cumulus fractus of bad weather, or both (pannus), usually below Altostratus or Nimbostratus.";"60%.";"600-1000";"Altocumulus translucidus or opacus in two or more layers, or Altocumulus opacus in a single layer, not progressively invading the sky, or Altocumulus with Altostratus or Nimbostratus.";"";"10.0";"21.6";"";"";"";"";"";"";
"28.08.2016 17:30";"25.4";"696.7";"754.0";"";"80";"Wind blowing from the south-east";"1";"";"";"90  or more, but not 100%";" ";"";"";"";"27.1";"Stratus fractus or Cumulus fractus of bad weather, or both (pannus), usually below Altostratus or Nimbostratus.";"60%.";"600-1000";"Altocumulus translucidus at a single level.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"10.0";"21.6";"";"";"";"";"";"";
"28.08.2016 08:30";"23.2";"698.0";"755.8";"";"93";"Calm, no wind";"0";"";"";"90  or more, but not 100%";" ";"";"";"21.3";"";"Stratus fractus or Cumulus fractus of bad weather, or both (pannus), usually below Altostratus or Nimbostratus.";"60%.";"600-1000";"Altocumulus translucidus at a single level.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"10.0";"22.0";"";"";"";"";"";"";
"27.08.2016 17:30";"25.2";"696.1";"753.4";"";"78";"Calm, no wind";"0";"";"";"90  or more, but not 100%";" ";"";"";"";"28.1";"Stratus fractus or Cumulus fractus of bad weather, or both (pannus), usually below Altostratus or Nimbostratus.";"60%.";"600-1000";"Altocumulus translucidus at a single level.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"10.0";"21.1";"";"";"";"";"";"";
"27.08.2016 08:30";"23.2";"698.0";"755.8";"";"85";"Calm, no wind";"0";"";"";"90  or more, but not 100%";" ";"";"";"20.8";"";"Stratocumulus cumulogenitus.";"50%.";"600-1000";"Altocumulus translucidus at a single level.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"10.0";"20.5";"";"";"";"";"";"";
"26.08.2016 17:30";"26.2";"696.3";"753.4";"";"74";"Wind blowing from the east-southeast";"1";"";"";"90  or more, but not 100%";" ";"";"";"";"27.6";"Stratus fractus or Cumulus fractus of bad weather, or both (pannus), usually below Altostratus or Nimbostratus.";"60%.";"600-1000";"Altocumulus translucidus at a single level.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"10.0";"21.2";"";"";"";"";"";"";
"26.08.2016 08:30";"23.2";"697.9";"755.8";"";"90";"Calm, no wind";"0";"";"";"90  or more, but not 100%";" ";"";"";"20.5";"";"Stratus fractus or Cumulus fractus of bad weather, or both (pannus), usually below Altostratus or Nimbostratus.";"60%.";"600-1000";"Altocumulus translucidus at a single level.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"10.0";"21.4";"";"";"";"";"";"";
"25.08.2016 17:30";"25.4";"696.8";"754.1";"";"74";"Wind blowing from the south-east";"1";"";"";"90  or more, but not 100%";" ";"";"";"";"28.3";"Stratus fractus or Cumulus fractus of bad weather, or both (pannus), usually below Altostratus or Nimbostratus.";"60%.";"600-1000";"Altocumulus translucidus at a single level.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"10.0";"20.4";"";"";"";"";"";"";
"25.08.2016 08:30";"23.2";"698.2";"756.0";"";"91";"Calm, no wind";"0";"";"";"90  or more, but not 100%";" ";"";"";"21.7";"";"Stratus fractus or Cumulus fractus of bad weather, or both (pannus), usually below Altostratus or Nimbostratus.";"60%.";"600-1000";"Altocumulus translucidus at a single level.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"10.0";"21.7";"";"";"";"";"";"";
"24.08.2016 17:30";"24.8";"696.0";"753.4";"";"89";"Calm, no wind";"0";"";"";"90  or more, but not 100%";"State of sky on the whole unchanged. ";"Rain.";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"";"28.0";"Stratus fractus or Cumulus fractus of bad weather, or both (pannus), usually below Altostratus or Nimbostratus.";"50%.";"600-1000";"Altocumulus translucidus at a single level.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"10.0";"22.8";"";"";"";"";"";"";
"24.08.2016 08:30";"23.4";"697.6";"755.4";"";"93";"Calm, no wind";"0";"";"";"90  or more, but not 100%";"Drizzle (not freezing) or snow grains not falling as shower(s). ";"Rain.";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"21.2";"";"Stratus fractus or Cumulus fractus of bad weather, or both (pannus), usually below Altostratus or Nimbostratus.";"50%.";"600-1000";"Altocumulus translucidus at a single level.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"10.0";"22.2";"";"";"";"";"";"";
"23.08.2016 17:30";"24.4";"696.1";"753.6";"";"82";"Wind blowing from the south-east";"1";"";"";"90  or more, but not 100%";"State of sky on the whole unchanged. ";"Rain.";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"";"26.9";"Stratus fractus or Cumulus fractus of bad weather, or both (pannus), usually below Altostratus or Nimbostratus.";"50%.";"600-1000";"Altocumulus translucidus at a single level.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"10.0";"21.2";"";"";"";"";"";"";
"23.08.2016 08:30";"22.4";"697.9";"755.9";"";"91";"Wind blowing from the south-east";"1";"";"";"90  or more, but not 100%";"State of sky on the whole unchanged. ";"Rain.";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"21.1";"";"Stratus fractus or Cumulus fractus of bad weather, or both (pannus), usually below Altostratus or Nimbostratus.";"60%.";"600-1000";"Altocumulus translucidus at a single level.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"10.0";"20.9";"";"";"";"";"";"";
"22.08.2016 17:30";"23.8";"697.0";"754.9";"";"80";"Wind blowing from the south-east";"1";"";"";"100%.";"State of sky on the whole unchanged. ";"Rain.";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"";"";"Stratus fractus or Cumulus fractus of bad weather, or both (pannus), usually below Altostratus or Nimbostratus.";"60%.";"600-1000";"Altocumulus translucidus or opacus in two or more layers, or Altocumulus opacus in a single layer, not progressively invading the sky, or Altocumulus with Altostratus or Nimbostratus.";"";"10.0";"20.2";"";"";"";"";"";"";
"22.08.2016 08:30";"23.4";"697.9";"755.7";"";"85";"Calm, no wind";"0";"";"";"70 – 80%.";" ";"";"";"21.3";"";"Stratus fractus or Cumulus fractus of bad weather, or both (pannus), usually below Altostratus or Nimbostratus.";"50%.";"600-1000";"Altocumulus translucidus at a single level.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"10.0";"20.7";"";"";"";"";"";"";
