# Weather station Yavatmal, India, WMO_ID=42943,selection from 07.12.2015 till 31.12.2017, all days
# Encoding: UTF-8
# The data is provided by the website "Reliable Prognosis", rp5.ru 
# If you use the data, please indicate the name of the website.
# For meteorological parameters see the address http://rp5.ru/archive.php?wmo_id=42943&lang=en
#
"Local time in Yavatmal";"T";"Po";"P";"Pa";"U";"DD";"Ff";"ff10";"ff3";"N";"WW";"W1";"W2";"Tn";"Tx";"Cl";"Nh";"H";"Cm";"Ch";"VV";"Td";"RRR";"tR";"E";"Tg";"E'";"sss"
"05.12.2017 17:30";"26.4";"718.5";"756.4";"";"40";"Wind blowing from the north";"1";"";"";"50%.";" ";"";"";"";"30.0";"Stratocumulus other than Stratocumulus cumulogenitus.";"50%.";"600-1000";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"11.8";"";"";"";"";"";"";
"05.12.2017 08:30";"20.4";"722.2";"761.1";"";"58";"Wind blowing from the east";"1";"";"";"no clouds";" ";"";"";"17.0";"";"";"";"";"";"";"4.0";"11.7";"";"";"";"";"";"";
"04.12.2017 17:30";"25.0";"720.9";"759.1";"";"38";"Wind blowing from the east";"1";"";"";"20–30%.";" ";"";"";"";"30.5";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"no clouds";"600-1000";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"4.0";"9.5";"";"";"";"";"";"";
"04.12.2017 08:30";"20.4";"722.8";"761.7";"";"53";"Wind blowing from the east";"1";"";"";"no clouds";" ";"";"";"13.4";"";"";"";"";"";"";"4.0";"10.5";"";"";"";"";"";"";
"03.12.2017 17:30";"24.4";"720.1";"758.4";"";"49";"Wind blowing from the east";"1";"";"";"no clouds";" ";"";"";"";"29.5";"";"";"";"";"";"4.0";"13.1";"";"";"";"";"";"";
"03.12.2017 08:30";"21.0";"723.5";"762.4";"";"42";"Wind blowing from the east";"1";"";"";"no clouds";" ";"";"";"13.8";"";"";"";"";"";"";"4.0";"7.5";"";"";"";"";"";"";
"02.12.2017 17:30";"26.0";"720.8";"758.9";"";"32";"Wind blowing from the east";"1";"";"";"no clouds";" ";"";"";"";"29.5";"";"";"";"";"";"4.0";"8.2";"";"";"";"";"";"";
"02.12.2017 08:30";"21.0";"723.5";"762.4";"";"45";"Wind blowing from the east";"1";"";"";"no clouds";" ";"";"";"13.4";"";"";"";"";"";"";"4.0";"8.5";"";"";"";"";"";"";
"01.12.2017 17:30";"24.0";"719.4";"757.7";"";"46";"Wind blowing from the east";"1";"";"";"20–30%.";" ";"";"";"";"28.5";"Stratocumulus other than Stratocumulus cumulogenitus.";"20–30%.";"600-1000";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"11.7";"";"";"";"";"";"";
"01.12.2017 08:30";"22.0";"722.7";"761.4";"";"39";"Wind blowing from the east";"1";"";"";"50%.";" ";"";"";"14.0";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"50%.";"2500 or more, or no clouds.";"Altocumulus translucidus at a single level.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"4.0";"7.4";"";"";"";"";"";"";
