# Weather station Rohtak, India, WMO_ID=42176,selection from 31.07.2017 till 31.12.2017, all days
# Encoding: UTF-8
# The data is provided by the website "Reliable Prognosis", rp5.ru 
# If you use the data, please indicate the name of the website.
# For meteorological parameters see the address http://rp5.ru/archive.php?wmo_id=42176&lang=en
#
"Local time in Rohtak";"T";"Po";"P";"Pa";"U";"DD";"Ff";"ff10";"ff3";"N";"WW";"W1";"W2";"Tn";"Tx";"Cl";"Nh";"H";"Cm";"Ch";"VV";"Td";"RRR";"tR";"E";"Tg";"E'";"sss"
"09.09.2017 08:30";"29.8";"";"";"";"82";"Wind blowing from the west";"1";"";"";"no clouds";" ";"";"";"25.4";"";"";"";"";"";"";"4.0";"26.5";"";"";"";"";"";"";
"08.09.2017 17:30";"31.8";"";"";"";"86";"Wind blowing from the north";"1";"";"";"no clouds";" ";"";"";"";"32.4";"";"";"";"";"";"4.0";"29.1";"";"";"";"";"";"";
"07.09.2017 17:30";"31.8";"";"";"";"84";"Wind blowing from the west";"1";"";"";"40%.";" ";"";"";"";"32.4";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"60%.";"2500 or more, or no clouds.";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"28.8";"";"";"";"";"";"";
"07.09.2017 08:30";"27.0";"";"";"";"87";"Wind blowing from the west";"1";"";"";"90  or more, but not 100%";" ";"";"";"24.2";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"50%.";"2500 or more, or no clouds.";"Altocumulus translucidus at a single level.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"4.0";"24.7";"";"";"";"";"";"";
"06.09.2017 17:30";"31.8";"";"";"";"83";"Wind blowing from the west";"1";"";"";"10%  or less, but not 0";" ";"";"";"";"33.8";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"10%  or less, but not 0";"2500 or more, or no clouds.";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"28.5";"";"";"";"";"";"";
"06.09.2017 08:30";"29.8";"";"";"";"74";"Wind blowing from the west";"1";"";"";"10%  or less, but not 0";" ";"";"";"25.2";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"no clouds";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"4.0";"24.7";"";"";"";"";"";"";
"05.09.2017 17:30";"31.8";"";"";"";"86";"Wind blowing from the west";"1";"";"";"100%.";" ";"";"";"";"33.0";"Stratocumulus other than Stratocumulus cumulogenitus.";"20–30%.";"600-1000";"Altocumulus translucidus at a single level.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"4.0";"29.1";"";"";"";"";"";"";
"04.09.2017 17:30";"31.8";"";"";"";"86";"Wind blowing from the west";"2";"";"";"40%.";" ";"";"";"";"32.8";"Stratocumulus cumulogenitus.";"40%.";"1000-1500";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"29.1";"";"";"";"";"";"";
"04.09.2017 08:30";"29.4";"";"";"";"81";"Wind blowing from the south";"1";"";"";"no clouds";" ";"";"";"25.7";"";"";"";"";"";"";"4.0";"25.7";"";"";"";"";"";"";
"03.09.2017 17:30";"31.8";"";"";"";"76";"Wind blowing from the west";"1";"";"";"10%  or less, but not 0";" ";"";"";"";"33.6";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"10%  or less, but not 0";"2000-2500";"Altostratus translucidus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"27.1";"";"";"";"";"";"";
"03.09.2017 08:30";"27.8";"";"";"";"86";"Wind blowing from the west";"1";"";"";"no clouds";" ";"";"";"24.2";"";"";"";"";"";"";"4.0";"25.2";"";"";"";"";"";"";
"02.09.2017 17:30";"30.4";"";"";"";"78";"Wind blowing from the west";"1";"";"";"70 – 80%.";" ";"";"";"";"30.4";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"60%.";"2000-2500";"Altocumulus translucidus at a single level.";"Cirrus spissatus, in patches or entangled sheaves, which usually do not increase and sometimes seem to be the remains of the upper part of a Cumulonimbus; or Cirrus castellanus or floccus.";"4.0";"26.2";"";"";"";"";"";"";
"02.09.2017 08:30";"27.8";"";"";"";"84";"Wind blowing from the south";"1";"";"";"70 – 80%.";" ";"";"";"24.5";"";"Cumulus mediocris or congestus, with or without Cumulus of species fractus or humilis or Stratocumulus, all having their bases at the same level.";"50%.";"1000-1500";"Altocumulus translucidus at a single level.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"4.0";"24.9";"";"";"";"";"";"";
"01.09.2017 17:30";"29.8";"";"";"";"78";"Wind blowing from the south";"1";"";"";"70 – 80%.";" ";"";"";"";"30.0";"Cumulus mediocris or congestus, with or without Cumulus of species fractus or humilis or Stratocumulus, all having their bases at the same level.";"70 – 80%.";"1000-1500";"Altocumulus translucidus at a single level.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"4.0";"25.6";"";"";"";"";"";"";
"01.09.2017 08:30";"26.8";"";"";"";"92";"Wind blowing from the south";"1";"";"";"60%.";" ";"";"";"24.2";"";"Cumulonimbus calvus, with or without Cumulus, Stratocumulus or Stratus.";"60%.";"1000-1500";"Altostratus opacus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"25.4";"";"";"";"";"";"";
"31.08.2017 17:30";"25.4";"";"";"";"89";"Wind blowing from the east";"1";"";"";"60%.";" ";"";"";"";"28.5";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"60%.";"2500 or more, or no clouds.";"Altocumulus translucidus at a single level.";"Cirrus spissatus, in patches or entangled sheaves, which usually do not increase and sometimes seem to be the remains of the upper part of a Cumulonimbus; or Cirrus castellanus or floccus.";"4.0";"23.4";"";"";"";"";"";"";
"31.08.2017 08:30";"28.0";"";"";"";"89";"Wind blowing from the north";"1";"";"";"60%.";" ";"";"";"25.4";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"40%.";"2500 or more, or no clouds.";"Altocumulus translucidus at a single level.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"4.0";"26.0";"";"";"";"";"";"";
"30.08.2017 17:30";"31.8";"";"";"";"80";"Wind blowing from the north";"1";"";"";"60%.";" ";"";"";"";"33.0";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"60%.";"2500 or more, or no clouds.";"Altocumulus translucidus at a single level.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"4.0";"28.0";"";"";"";"";"";"";
"29.08.2017 17:30";"31.8";"";"";"";"84";"Wind blowing from the east";"2";"";"";"60%.";" ";"";"";"";"33.4";"Stratocumulus other than Stratocumulus cumulogenitus.";"40%.";"1000-1500";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"28.8";"";"";"";"";"";"";
"28.08.2017 17:30";"31.8";"";"";"";"86";"Wind blowing from the north";"2";"";"";"70 – 80%.";" ";"";"";"";"32.8";"Stratocumulus other than Stratocumulus cumulogenitus.";"70 – 80%.";"1000-1500";"Altostratus translucidus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"29.1";"";"";"";"";"";"";
"28.08.2017 08:30";"29.0";"";"";"";"92";"Wind blowing from the north";"1";"";"";"60%.";" ";"";"";"24.7";"";"Cumulonimbus calvus, with or without Cumulus, Stratocumulus or Stratus.";"60%.";"1000-1500";"Altostratus opacus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"27.6";"";"";"";"";"";"";
"27.08.2017 17:30";"31.8";"";"";"";"86";"Wind blowing from the west";"1";"";"";"40%.";" ";"";"";"";"34.0";"Cumulus mediocris or congestus, with or without Cumulus of species fractus or humilis or Stratocumulus, all having their bases at the same level.";"40%.";"2000-2500";"Altostratus translucidus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"29.1";"";"";"";"";"";"";
"26.08.2017 08:30";"29.4";"";"";"";"82";"Wind blowing from the east";"1";"";"";"no clouds";" ";"";"";"24.2";"";"";"";"";"";"";"4.0";"26.0";"";"";"";"";"";"";
"25.08.2017 17:30";"28.2";"";"";"";"97";"Wind blowing from the north";"1";"";"";"60%.";" ";"";"";"";"29.8";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"60%.";"2500 or more, or no clouds.";"Patches (often lenticular) of Altocumulus translucidus, continually changing and occurring at one or more levels.";"";"4.0";"27.6";"";"";"";"";"";"";
"25.08.2017 08:30";"30.4";"";"";"";"86";"Wind blowing from the east";"1";"";"";"60%.";" ";"";"";"26.7";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"60%.";"2500 or more, or no clouds.";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"27.7";"";"";"";"";"";"";
"24.08.2017 17:30";"31.8";"";"";"";"86";"Wind blowing from the north";"1";"";"";"90  or more, but not 100%";" ";"";"";"";"34.0";"Stratocumulus other than Stratocumulus cumulogenitus.";"20–30%.";"2500 or more, or no clouds.";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"29.1";"";"";"";"";"";"";
"24.08.2017 08:30";"28.2";"";"";"";"87";"Wind blowing from the north";"1";"";"";"60%.";" ";"";"";"24.6";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"20–30%.";"600-1000";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"25.9";"";"";"";"";"";"";
"23.08.2017 17:30";"28.0";"";"";"";"95";"Wind blowing from the west";"1";"";"";"90  or more, but not 100%";" ";"";"";"";"29.8";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"90  or more, but not 100%";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrostratus covering the whole sky.";"4.0";"27.1";"";"";"";"";"";"";
"23.08.2017 08:30";"29.0";"";"";"";"94";"Wind blowing from the east";"1";"";"";"60%.";" ";"";"";"26.7";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"60%.";"2500 or more, or no clouds.";"Altocumulus translucidus at a single level.";"Cirrus spissatus, in patches or entangled sheaves, which usually do not increase and sometimes seem to be the remains of the upper part of a Cumulonimbus; or Cirrus castellanus or floccus.";"4.0";"28.0";"";"";"";"";"";"";
"22.08.2017 17:30";"29.4";"";"";"";"90";"Wind blowing from the north";"1";"";"";"90  or more, but not 100%";" ";"";"";"";"29.6";"Stratocumulus other than Stratocumulus cumulogenitus.";"40%.";"600-1000";"Altocumulus translucidus at a single level.";"";"4.0";"27.5";"";"";"";"";"";"";
"22.08.2017 08:30";"31.8";"";"";"";"82";"Wind blowing from the east";"1";"";"";"60%.";" ";"";"";"27.2";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"60%.";"2500 or more, or no clouds.";"Altocumulus translucidus at a single level.";"Cirrus spissatus, in patches or entangled sheaves, which usually do not increase and sometimes seem to be the remains of the upper part of a Cumulonimbus; or Cirrus castellanus or floccus.";"4.0";"28.3";"";"";"";"";"";"";
"21.08.2017 17:30";"31.8";"";"";"";"86";"Wind blowing from the north";"1";"";"";"70 – 80%.";" ";"";"";"";"32.4";"Cumulus mediocris or congestus, with or without Cumulus of species fractus or humilis or Stratocumulus, all having their bases at the same level.";"70 – 80%.";"1000-1500";"Altocumulus translucidus at a single level.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"4.0";"29.1";"";"";"";"";"";"";
"20.08.2017 17:30";"31.6";"";"";"";"86";"Wind blowing from the east";"1";"";"";"60%.";" ";"";"";"";"35.0";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"40%.";"2000-2500";"Altocumulus translucidus at a single level.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"4.0";"28.9";"";"";"";"";"";"";
"19.08.2017 17:30";"28.8";"";"";"";"92";"Wind blowing from the east";"1";"";"";"60%.";" ";"";"";"";"29.4";"Stratocumulus other than Stratocumulus cumulogenitus.";"20–30%.";"600-1000";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"27.3";"";"";"";"";"";"";
"19.08.2017 08:30";"30.8";"";"";"";"87";"Wind blowing from the east";"1";"";"";"100%.";" ";"";"";"27.7";"";"Cumulonimbus calvus, with or without Cumulus, Stratocumulus or Stratus.";"60%.";"600-1000";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"28.3";"";"";"";"";"";"";
"18.08.2017 17:30";"31.8";"";"";"";"89";"Wind blowing from the west";"1";"";"";"50%.";" ";"";"";"";"35.8";"";"";"2500 or more, or no clouds.";"";"";"4.0";"29.8";"";"";"";"";"";"";
"17.08.2017 17:30";"31.8";"";"";"";"86";"Wind blowing from the west";"1";"";"";"20–30%.";" ";"";"";"";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"20–30%.";"2000-2500";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"29.1";"";"";"";"";"";"";
"17.08.2017 08:30";"30.4";"";"";"";"80";"Wind blowing from the south";"1";"";"";"20–30%.";" ";"";"";"26.8";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"40%.";"2500 or more, or no clouds.";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"26.5";"";"";"";"";"";"";
"16.08.2017 17:30";"31.8";"";"";"";"86";"Wind blowing from the west";"1";"";"";"10%  or less, but not 0";" ";"";"";"";"35.0";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"no clouds";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"4.0";"29.1";"";"";"";"";"";"";
"16.08.2017 08:30";"30.4";"";"";"";"80";"Wind blowing from the west";"1";"";"";"70 – 80%.";" ";"";"";"26.2";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"40%.";"600-1000";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"26.5";"";"";"";"";"";"";
"15.08.2017 17:30";"31.8";"";"";"";"85";"Wind blowing from the west";"1";"";"";"70 – 80%.";" ";"";"";"";"34.0";"Stratocumulus other than Stratocumulus cumulogenitus.";"50%.";"600-1000";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"29.0";"";"";"";"";"";"";
"15.08.2017 08:30";"30.2";"";"";"";"77";"Wind blowing from the south";"1";"";"";"90  or more, but not 100%";" ";"";"";"26.7";"";"Cumulus mediocris or congestus, with or without Cumulus of species fractus or humilis or Stratocumulus, all having their bases at the same level.";"60%.";"1000-1500";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"25.7";"";"";"";"";"";"";
"14.08.2017 17:30";"34.4";"";"";"";"76";"Wind blowing from the east";"1";"";"";"60%.";" ";"";"";"";"35.0";"Stratocumulus other than Stratocumulus cumulogenitus.";"40%.";"1000-1500";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"29.6";"";"";"";"";"";"";
"14.08.2017 08:30";"30.0";"";"";"";"74";"Wind blowing from the south";"1";"";"";"90  or more, but not 100%";" ";"";"";"25.7";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"50%.";"2500 or more, or no clouds.";"Altocumulus translucidus at a single level.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"4.0";"24.9";"";"";"";"";"";"";
"13.08.2017 17:30";"31.8";"";"";"";"86";"Wind blowing from the south";"1";"";"";"50%.";" ";"";"";"";"34.4";"Stratocumulus other than Stratocumulus cumulogenitus.";"20–30%.";"600-1000";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"29.1";"";"";"";"";"";"";
"13.08.2017 08:30";"30.0";"";"";"";"83";"Wind blowing from the south";"1";"";"";"60%.";" ";"";"";"26.2";"";"Stratocumulus cumulogenitus.";"40%.";"600-1000";"Altostratus opacus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"26.9";"";"";"";"";"";"";
"12.08.2017 17:30";"31.8";"";"";"";"85";"Wind blowing from the west";"1";"";"";"60%.";" ";"";"";"";"35.0";"Stratocumulus other than Stratocumulus cumulogenitus.";"20–30%.";"1000-1500";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"29.0";"";"";"";"";"";"";
"12.08.2017 08:30";"30.0";"";"";"";"78";"Wind blowing from the west";"2";"";"";"90  or more, but not 100%";" ";"";"";"26.7";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"20–30%.";"600-1000";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"25.8";"";"";"";"";"";"";
"11.08.2017 17:30";"31.8";"";"";"";"80";"Wind blowing from the west";"1";"";"";"60%.";" ";"";"";"";"35.0";"Stratocumulus other than Stratocumulus cumulogenitus.";"20–30%.";"600-1000";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"28.0";"";"";"";"";"";"";
"11.08.2017 08:30";"29.8";"";"";"";"80";"Wind blowing from the west";"2";"";"";"90  or more, but not 100%";" ";"";"";"26.9";"";"Cumulus mediocris or congestus, with or without Cumulus of species fractus or humilis or Stratocumulus, all having their bases at the same level.";"60%.";"600-1000";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"25.9";"";"";"";"";"";"";
"10.08.2017 17:30";"31.8";"";"";"";"56";"Wind blowing from the west";"1";"";"";"70 – 80%.";" ";"";"";"";"35.0";"Cumulus and Stratocumulus other than Stratocumulus cumulogenitus, with bases at different levels.";"20–30%.";"600-1000";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"21.9";"";"";"";"";"";"";
"10.08.2017 08:30";"29.0";"";"";"";"88";"Wind blowing from the west";"1";"";"";"90  or more, but not 100%";" ";"";"";"26.2";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"40%.";"600-1000";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"26.8";"";"";"";"";"";"";
"09.08.2017 17:30";"28.4";"";"";"";"97";"Wind blowing from the west";"1";"";"";"70 – 80%.";" ";"";"";"";"34.0";"Stratocumulus cumulogenitus.";"60%.";"600-1000";"Altocumulus translucidus at a single level.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"4.0";"27.9";"";"";"";"";"";"";
"08.08.2017 17:30";"29.2";"";"";"";"98";"Wind blowing from the west";"1";"";"";"70 – 80%.";"Rain, not freezing, intermittent, slight at time of observation. ";"Rain.";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"";"34.0";"Stratocumulus other than Stratocumulus cumulogenitus.";"20–30%.";"600-1000";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"28.9";"";"";"";"";"";"";
"07.08.2017 17:30";"31.4";"";"";"";"86";"Wind blowing from the west";"1";"";"";"100%.";" ";"";"";"";"35.0";"Cumulonimbus calvus, with or without Cumulus, Stratocumulus or Stratus.";"90  or more, but not 100%";"600-1000";"Altocumulus translucidus at a single level.";"";"4.0";"28.7";"";"";"";"";"";"";
"06.08.2017 17:30";"34.0";"";"";"";"60";"Wind blowing from the west";"2";"";"";"100%.";" ";"";"";"";"36.0";"Stratocumulus cumulogenitus.";"70 – 80%.";"600-1000";"Altostratus opacus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"25.3";"";"";"";"";"";"";
"05.08.2017 17:30";"35.0";"";"";"";"56";"Wind blowing from the west";"1";"";"";"60%.";" ";"";"";"";"35.0";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"40%.";"2500 or more, or no clouds.";"Altocumulus translucidus at a single level.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"4.0";"24.9";"";"";"";"";"";"";
"05.08.2017 08:30";"30.0";"";"";"";"74";"Wind blowing from the west";"2";"";"";"90  or more, but not 100%";" ";"";"";"25.7";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"20–30%.";"2000-2500";"Altocumulus translucidus at a single level.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"4.0";"24.9";"";"";"";"";"";"";
"04.08.2017 17:30";"32.8";"";"";"";"64";"Wind blowing from the west";"1";"";"";"100%.";" ";"";"";"";"34.4";"Stratocumulus other than Stratocumulus cumulogenitus.";"40%.";"600-1000";"Altostratus opacus or Nimbostratus.";"";"4.0";"25.0";"";"";"";"";"";"";
"04.08.2017 08:30";"28.0";"";"";"";"82";"Wind blowing from the west";"2";"";"";"90  or more, but not 100%";" ";"";"";"25.4";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"50%.";"1000-1500";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"24.6";"";"";"";"";"";"";
"03.08.2017 17:30";"31.8";"";"";"";"76";"Wind blowing from the west";"2";"";"";"40%.";" ";"";"";"";"34.3";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"40%.";"2500 or more, or no clouds.";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"27.1";"";"";"";"";"";"";
"03.08.2017 08:30";"28.6";"";"";"";"83";"Wind blowing from the west";"2";"";"";"90  or more, but not 100%";"Haze. ";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"25.7";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"20–30%.";"1000-1500";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"25.5";"";"";"";"";"";"";
"02.08.2017 17:30";"30.8";"";"";"";"72";"Wind blowing from the south";"1";"";"";"90  or more, but not 100%";" ";"";"";"";"31.2";"Stratocumulus other than Stratocumulus cumulogenitus.";"20–30%.";"1000-1500";"Altocumulus translucidus at a single level.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"4.0";"25.1";"";"";"";"";"";"";
"02.08.2017 08:30";"27.0";"";"";"";"95";"Wind blowing from the south";"1";"";"";"70 – 80%.";"Rain, not freezing, intermittent, slight at time of observation. ";"Rain.";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"25.8";"";"Stratocumulus cumulogenitus.";"40%.";"600-1000";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"26.2";"";"";"";"";"";"";
"01.08.2017 17:30";"28.8";"";"";"";"86";"Wind blowing from the west";"2";"";"";"70 – 80%.";" ";"";"";"";"30.6";"Stratocumulus other than Stratocumulus cumulogenitus.";"50%.";"600-1000";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"26.3";"";"";"";"";"";"";
"01.08.2017 08:30";"26.8";"";"";"";"97";"Wind blowing from the south";"1";"";"";"100%.";"Rain, not freezing, intermittent, slight at time of observation. ";"Rain.";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"25.2";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"60%.";"600-1000";"Altostratus opacus or Nimbostratus.";"";"2.0";"26.2";"";"";"";"";"";"";
"31.07.2017 17:30";"27.2";"";"";"";"98";"Wind blowing from the north";"2";"";"";"90  or more, but not 100%";"Rain, not freezing, intermittent, slight at time of observation. ";"Rain.";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"50%.";"600-1000";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"1.0";"26.9";"";"";"";"";"";"";
"31.07.2017 08:30";"27.8";"";"";"";"94";"Wind blowing from the west";"2";"";"";"90  or more, but not 100%";" ";"";"";"26.4";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"70 – 80%.";"600-1000";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"2.0";"26.7";"";"";"";"";"";"";
