# Weather station Najibabad, India, WMO_ID=42143,selection from 07.12.2015 till 31.12.2017, all days
# Encoding: UTF-8
# The data is provided by the website "Reliable Prognosis", rp5.ru 
# If you use the data, please indicate the name of the website.
# For meteorological parameters see the address http://rp5.ru/archive.php?wmo_id=42143&lang=en
#
"Local time in Najibabad";"T";"Po";"P";"Pa";"U";"DD";"Ff";"ff10";"ff3";"N";"WW";"W1";"W2";"Tn";"Tx";"Cl";"Nh";"H";"Cm";"Ch";"VV";"Td";"RRR";"tR";"E";"Tg";"E'";"sss"
"03.01.2017 17:30";"17.6";"738.6";"762.4";"";"69";"Wind blowing from the north-west";"1";"";"";"50%.";" ";"";"";"";"24.5";"";"";"2500 or more, or no clouds.";"";"";"4.0";"11.8";"";"";"";"";"";"";
"03.01.2017 08:30";"12.4";"740.6";"764.9";"";"86";"Wind blowing from the north-west";"1";"";"";"no clouds";" ";"";"";"7.2";"";"";"";"";"";"";"4.0";"10.1";"";"";"";"";"";"";
"02.01.2017 17:30";"17.6";"738.6";"762.4";"";"67";"Wind blowing from the north-west";"1";"";"";"no clouds";" ";"";"";"";"24.0";"";"";"";"";"";"4.0";"11.4";"";"";"";"";"";"";
"02.01.2017 08:30";"12.4";"739.6";"763.9";"";"88";"Wind blowing from the north-west";"1";"";"";"50%.";" ";"";"";"7.6";"";"";"";"2500 or more, or no clouds.";"";"";"4.0";"10.5";"";"";"";"";"";"";
"01.01.2017 17:30";"16.8";"738.0";"761.9";"";"68";"Wind blowing from the north-west";"1";"";"";"20–30%.";" ";"";"";"";"23.5";"";"";"2500 or more, or no clouds.";"";"";"4.0";"10.8";"";"";"";"";"";"";
"29.12.2016 17:30";"16.6";"738.6";"762.5";"";"77";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"22.5";"";"";"";"";"";"4.0";"12.6";"";"";"";"";"";"";
"29.12.2016 08:30";"10.4";"739.6";"764.1";"";"92";"Wind blowing from the east-northeast";"1";"";"";"Sky obscured by fog and/or other meteorological phenomena.";"Fog or ice fog, sky invisible, no appreciable change during the preceding hour. ";"Fog or ice fog or thick haze.";"Fog or ice fog or thick haze.";"7.6";"";"";"Sky obscured by fog and/or other meteorological phenomena.";"";"";"";"0.5";"9.2";"";"";"";"";"";"";
"28.12.2016 08:30";"10.6";"740.2";"764.7";"";"85";"Wind blowing from the east-northeast";"1";"";"";"no clouds";" ";"";"";"6.8";"";"";"";"";"";"";"4.0";"8.1";"";"";"";"";"";"";
"27.12.2016 17:30";"17.2";"737.8";"761.6";"";"82";"Wind blowing from the north-west";"1";"";"";"no clouds";" ";"";"";"";"23.0";"";"";"";"";"";"4.0";"14.0";"";"";"";"";"";"";
"27.12.2016 08:30";"10.2";"";"764.1";"";"90";"Wind blowing from the north-west";"1";"";"";"no clouds";" ";"";"";"6.4";"";"";"";"";"";"";"4.0";"8.6";"";"";"";"";"";"";
"26.12.2016 17:30";"17.2";"";"761.3";"";"76";"Wind blowing from the east-northeast";"1";"";"";"no clouds";" ";"";"";"";"24.0";"";"";"";"";"";"4.0";"12.9";"";"";"";"";"";"";
"26.12.2016 08:30";"10.6";"";"763.9";"";"85";"Wind blowing from the north-west";"1";"";"";"no clouds";" ";"";"";"7.8";"";"";"";"";"";"";"4.0";"8.1";"";"";"";"";"";"";
"25.12.2016 17:30";"16.6";"";"760.6";"";"77";"Wind blowing from the north-west";"1";"";"";"70 – 80%.";" ";"";"";"";"";"";"";"2500 or more, or no clouds.";"";"";"4.0";"12.6";"";"";"";"";"";"";
"25.12.2016 08:30";"16.4";"";"764.4";"";"85";"Wind blowing from the north-west";"1";"";"";"60%.";" ";"";"";"9.0";"";"";"";"2500 or more, or no clouds.";"";"";"4.0";"13.9";"";"";"";"";"";"";
"24.12.2016 17:30";"17.2";"";"762.7";"";"65";"Wind blowing from the north-west";"1";"";"";"no clouds";" ";"";"";"";"22.0";"";"";"";"";"";"4.0";"10.5";"";"";"";"";"";"";
"24.12.2016 08:30";"10.4";"";"764.4";"";"88";"Wind blowing from the north-west";"1";"";"";"no clouds";" ";"";"";"6.2";"";"";"";"";"";"";"4.0";"8.4";"";"";"";"";"";"";
"23.12.2016 17:30";"17.6";"";"761.1";"";"78";"Wind blowing from the north-west";"1";"";"";"no clouds";" ";"";"";"";"24.5";"";"";"";"";"";"4.0";"13.7";"";"";"";"";"";"";
"23.12.2016 08:30";"10.2";"";"764.8";"";"90";"Wind blowing from the north-west";"1";"";"";"no clouds";" ";"";"";"5.5";"";"";"";"";"";"";"4.0";"8.6";"";"";"";"";"";"";
"22.12.2016 17:30";"17.6";"";"762.4";"";"77";"Wind blowing from the north-west";"1";"";"";"no clouds";" ";"";"";"";"22.5";"";"";"";"";"";"4.0";"13.4";"";"";"";"";"";"";
"22.12.2016 08:30";"10.4";"";"764.1";"";"88";"Wind blowing from the north-west";"1";"";"";"no clouds";" ";"";"";"5.4";"";"";"";"";"";"";"4.0";"8.4";"";"";"";"";"";"";
"21.12.2016 17:30";"17.6";"";"761.0";"";"78";"Wind blowing from the north-west";"1";"";"";"no clouds";" ";"";"";"";"22.6";"";"";"";"";"";"4.0";"13.7";"";"";"";"";"";"";
"21.12.2016 08:30";"10.2";"";"763.9";"";"90";"Wind blowing from the north-west";"1";"";"";"no clouds";" ";"";"";"5.8";"";"";"";"";"";"";"4.0";"8.6";"";"";"";"";"";"";
"20.12.2016 17:30";"17.6";"";"760.3";"";"78";"Wind blowing from the north-west";"1";"";"";"no clouds";" ";"";"";"";"23.5";"";"";"";"";"";"4.0";"13.7";"";"";"";"";"";"";
"19.12.2016 08:30";"11.2";"739.8";"764.2";"";"89";"Wind blowing from the north-west";"1";"";"";"no clouds";" ";"";"";"7.0";"";"";"";"";"";"";"4.0";"9.4";"";"";"";"";"";"";
"18.12.2016 08:30";"11.2";"738.9";"763.3";"";"85";"Wind blowing from the east-northeast";"1";"";"";"no clouds";" ";"";"";"7.8";"";"";"";"";"";"";"4.0";"8.8";"";"";"";"";"";"";
"17.12.2016 17:30";"18.6";"738.2";"761.9";"";"87";"Wind blowing from the north-west";"1";"";"";"no clouds";" ";"";"";"";"24.5";"";"";"";"";"";"4.0";"16.3";"";"";"";"";"";"";
"15.12.2016 17:30";"25.0";"738.9";"762.1";"";"49";"Wind blowing from the north-west";"1";"";"";"no clouds";" ";"";"";"";"18.0";"";"";"";"";"";"4.0";"13.5";"";"";"";"";"";"";
"14.12.2016 17:30";"18.6";"737.9";"761.6";"";"77";"Wind blowing from the north-west";"1";"";"";"no clouds";" ";"";"";"";"24.0";"";"";"";"";"";"4.0";"14.5";"";"";"";"";"";"";
"13.12.2016 17:30";"19.6";"736.5";"760.1";"";"81";"Wind blowing from the north-west";"1";"";"";"no clouds";" ";"";"";"";"24.5";"";"";"";"";"";"4.0";"16.3";"";"";"";"";"";"";
"12.12.2016 17:30";"20.2";"736.2";"759.7";"";"80";"Wind blowing from the north-west";"1";"";"";"no clouds";" ";"";"";"";"24.8";"";"";"";"";"";"4.0";"16.6";"";"";"";"";"";"";
"11.12.2016 08:30";"13.4";"740.1";"764.3";"";"92";"Wind blowing from the north-west";"1";"";"";"Sky obscured by fog and/or other meteorological phenomena.";"Fog or ice fog, sky invisible, no appreciable change during the preceding hour. ";"Fog or ice fog or thick haze.";"Fog or ice fog or thick haze.";"9.6";"";"";"";"";"";"";"0.5";"12.1";"";"";"";"";"";"";
"10.12.2016 17:30";"15.8";"738.7";"762.7";"";"85";"Wind blowing from the north-west";"1";"";"";"no clouds";"Fog or ice fog, sky visible, has begun or has become thicker during the preceding hour. ";"Fog or ice fog or thick haze.";"Fog or ice fog or thick haze.";"";"20.5";"";"";"";"";"";"0.2";"13.3";"";"";"";"";"";"";
"10.12.2016 08:30";"13.2";"739.4";"763.6";"";"88";"Wind blowing from the north-west";"1";"";"";"Sky obscured by fog and/or other meteorological phenomena.";"Fog or ice fog, sky invisible, no appreciable change during the preceding hour. ";"Fog or ice fog or thick haze.";"Fog or ice fog or thick haze.";"9.5";"";"";"Sky obscured by fog and/or other meteorological phenomena.";"";"";"";"0.5";"11.3";"";"";"";"";"";"";
"09.12.2016 17:30";"20.4";"736.2";"759.7";"";"76";"Wind blowing from the north-west";"1";"";"";"no clouds";" ";"";"";"";"25.0";"";"";"";"";"";"4.0";"16.0";"";"";"";"";"";"";
"09.12.2016 08:30";"13.2";"";"";"";"75";"Wind blowing from the east-northeast";"1";"";"";"no clouds";"Fog or ice fog, sky invisible, no appreciable change during the preceding hour. ";"Fog or ice fog or thick haze.";"Fog or ice fog or thick haze.";"9.4";"";"";"";"";"";"";"0.5";"8.9";"";"";"";"";"";"";
"08.12.2016 17:30";"21.6";"738.3";"761.8";"";"71";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"26.2";"";"";"";"";"";"4.0";"16.0";"";"";"";"";"";"";
"08.12.2016 08:30";"13.0";"740.1";"764.3";"";"77";"Wind blowing from the north-west";"1";"";"";"no clouds";" ";"";"";"8.6";"";"";"";"";"";"";"4.0";"9.1";"";"";"";"";"";"";
"07.12.2016 17:30";"21.6";"737.7";"761.1";"";"71";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"26.5";"";"";"";"";"";"4.0";"16.0";"";"";"";"";"";"";
"07.12.2016 08:30";"13.0";"739.5";"763.7";"";"77";"Wind blowing from the east-northeast";"1";"";"";"no clouds";"Fog or ice fog, sky invisible, no appreciable change during the preceding hour. ";"Fog or ice fog or thick haze.";"Fog or ice fog or thick haze.";"9.6";"";"";"";"";"";"";"0.5";"9.1";"";"";"";"";"";"";
"06.12.2016 17:30";"20.0";"738.4";"762.0";"";"83";"Wind blowing from the east-northeast";"1";"";"";"no clouds";" ";"";"";"";"26.5";"";"";"";"";"";"4.0";"17.1";"";"";"";"";"";"";
"05.12.2016 17:30";"21.0";"736.6";"760.1";"";"62";"Wind blowing from the north-west";"1";"";"";"no clouds";" ";"";"";"";"25.5";"";"";"";"";"";"4.0";"13.4";"";"";"";"";"";"";
"05.12.2016 08:30";"13.6";"740.0";"764.2";"";"82";"Wind blowing from the north-west";"1";"";"";"no clouds";" ";"";"";"7.8";"";"";"";"";"";"";"0.5";"10.5";"";"";"";"";"";"";
"04.12.2016 17:30";"21.2";"738.3";"761.8";"";"78";"Wind blowing from the north-west";"1";"";"";"no clouds";" ";"";"";"";"26.5";"";"";"";"";"";"4.0";"17.2";"";"";"";"";"";"";
"04.12.2016 08:30";"14.6";"739.5";"763.6";"";"76";"Wind blowing from the south-west";"1";"";"";"no clouds";"Fog or ice fog, sky invisible, no appreciable change during the preceding hour. ";"Fog or ice fog or thick haze.";"Fog or ice fog or thick haze.";"8.2";"";"";"";"";"";"";"0.5";"10.4";"";"";"";"";"";"";
"03.12.2016 17:30";"24.6";"738.4";"761.6";"";"56";"Wind blowing from the north-west";"1";"";"";"no clouds";" ";"";"";"";"27.0";"";"";"";"";"";"4.0";"15.3";"";"";"";"";"";"";
"03.12.2016 08:30";"15.2";"739.5";"763.5";"";"75";"Wind blowing from the north-west";"1";"";"";"no clouds";"Fog or ice fog, sky visible (has become thinner during the preceding hour). ";"Fog or ice fog or thick haze.";"Fog or ice fog or thick haze.";"8.5";"";"";"";"";"";"";"0.5";"10.7";"";"";"";"";"";"";
"02.12.2016 17:30";"22.6";"736.7";"760.0";"";"66";"Wind blowing from the north-west";"1";"";"";"no clouds";" ";"";"";"";"27.0";"";"";"";"";"";"4.0";"16.0";"";"";"";"";"";"";
"02.12.2016 08:30";"15.6";"739.3";"763.3";"";"73";"Wind blowing from the north-west";"1";"";"";"no clouds";" ";"";"";"8.8";"";"";"";"";"";"";"4.0";"10.7";"";"";"";"";"";"";
"01.12.2016 17:30";"22.6";"736.7";"760.0";"";"60";"Wind blowing from the north-west";"1";"";"";"no clouds";" ";"";"";"";"26.6";"";"";"";"";"";"4.0";"14.5";"";"";"";"";"";"";
"01.12.2016 08:30";"14.6";"738.7";"762.8";"";"76";"Wind blowing from the north-west";"1";"";"";"no clouds";" ";"";"";"8.0";"";"";"";"";"";"";"4.0";"10.4";"";"";"";"";"";"";
"30.11.2016 17:30";"23.2";"735.3";"758.5";"";"64";"Wind blowing from the north-west";"1";"";"";"no clouds";" ";"";"";"";"26.2";"";"";"";"";"";"4.0";"16.0";"";"";"";"";"";"";
"30.11.2016 08:30";"15.6";"738.7";"762.7";"";"73";"Wind blowing from the north-west";"1";"";"";"no clouds";" ";"";"";"8.2";"";"";"";"";"";"";"4.0";"10.7";"";"";"";"";"";"";
"29.11.2016 17:30";"24.0";"735.3";"758.5";"";"62";"Wind blowing from the north-west";"1";"";"";"no clouds";" ";"";"";"";"26.6";"";"";"";"";"";"4.0";"16.2";"";"";"";"";"";"";
"29.11.2016 08:30";"14.8";"738.7";"762.7";"";"81";"Wind blowing from the north-west";"1";"";"";"no clouds";" ";"";"";"8.5";"";"";"";"";"";"";"4.0";"11.5";"";"";"";"";"";"";
"28.11.2016 17:30";"21.2";"735.4";"758.8";"";"81";"Wind blowing from the north-west";"1";"";"";"70 – 80%.";" ";"";"";"";"26.0";"";"";"2500 or more, or no clouds.";"";"";"4.0";"17.7";"";"";"";"";"";"";
"28.11.2016 08:30";"15.0";"738.7";"762.7";"";"79";"Wind blowing from the north-west";"1";"";"";"no clouds";" ";"";"";"8.6";"";"";"";"";"";"";"4.0";"11.3";"";"";"";"";"";"";
"27.11.2016 08:30";"15.2";"738.4";"762.4";"";"75";"Wind blowing from the north-west";"1";"";"";"no clouds";" ";"";"";"9.0";"";"";"";"";"";"";"4.0";"10.7";"";"";"";"";"";"";
"26.11.2016 17:30";"23.2";"734.7";"757.9";"";"62";"Wind blowing from the north-west";"1";"";"";"no clouds";" ";"";"";"";"27.0";"";"";"";"";"";"4.0";"15.6";"";"";"";"";"";"";
"26.11.2016 08:30";"15.6";"738.0";"762.0";"";"73";"Wind blowing from the north-west";"1";"";"";"no clouds";" ";"";"";"9.0";"";"";"";"";"";"";"4.0";"10.7";"";"";"";"";"";"";
"25.11.2016 17:30";"23.6";"734.6";"757.8";"";"63";"Wind blowing from the north-west";"1";"";"";"no clouds";" ";"";"";"";"26.5";"";"";"";"";"";"4.0";"16.0";"";"";"";"";"";"";
"25.11.2016 08:30";"15.6";"738.6";"762.6";"";"73";"Wind blowing from the north-west";"1";"";"";"no clouds";" ";"";"";"9.2";"";"";"";"";"";"";"4.0";"10.7";"";"";"";"";"";"";
"24.11.2016 17:30";"24.0";"735.3";"758.5";"";"62";"Wind blowing from the north-west";"1";"";"";"no clouds";" ";"";"";"";"26.5";"";"";"";"";"";"4.0";"16.2";"";"";"";"";"";"";
"24.11.2016 08:30";"15.8";"737.9";"761.8";"";"71";"Wind blowing from the north-west";"1";"";"";"no clouds";" ";"";"";"9.6";"";"";"";"";"";"";"4.0";"10.5";"";"";"";"";"";"";
"23.11.2016 17:30";"24.0";"734.7";"757.9";"";"61";"Wind blowing from the south-west";"1";"";"";"no clouds";" ";"";"";"";"26.6";"";"";"";"";"";"4.0";"16.1";"";"";"";"";"";"";
"23.11.2016 08:30";"17.2";"737.8";"761.6";"";"78";"Wind blowing from the north-west";"1";"";"";"no clouds";" ";"";"";"10.2";"";"";"";"";"";"";"4.0";"13.3";"";"";"";"";"";"";
"22.11.2016 17:30";"24.2";"734.5";"757.6";"";"51";"Wind blowing from the north-west";"1";"";"";"no clouds";" ";"";"";"";"26.2";"";"";"";"";"";"16.0";"13.4";"";"";"";"";"";"";
"21.11.2016 17:30";"24.2";"736.0";"759.2";"";"62";"Wind blowing from the north-west";"1";"";"";"no clouds";" ";"";"";"";"26.5";"";"";"";"";"";"4.0";"16.4";"";"";"";"";"";"";
"21.11.2016 08:30";"15.6";"738.7";"762.7";"";"73";"Wind blowing from the north-west";"1";"";"";"no clouds";" ";"";"";"11.6";"";"";"";"";"";"";"4.0";"10.7";"";"";"";"";"";"";
"20.11.2016 17:30";"24.6";"736.2";"759.4";"";"59";"Wind blowing from the north-west";"1";"";"";"no clouds";" ";"";"";"";"26.8";"";"";"";"";"";"4.0";"16.1";"";"";"";"";"";"";
"20.11.2016 08:30";"15.4";"738.6";"762.6";"";"75";"Wind blowing from the north-west";"1";"";"";"no clouds";" ";"";"";"12.2";"";"";"";"";"";"";"4.0";"10.9";"";"";"";"";"";"";
"19.11.2016 17:30";"24.4";"734.5";"757.6";"";"60";"Wind blowing from the north-west";"1";"";"";"no clouds";" ";"";"";"";"27.0";"";"";"";"";"";"4.0";"16.0";"";"";"";"";"";"";
"19.11.2016 08:30";"16.6";"737.4";"761.2";"";"84";"Wind blowing from the north-west";"1";"";"";"no clouds";" ";"";"";"11.2";"";"";"";"";"";"";"4.0";"13.8";"";"";"";"";"";"";
"18.11.2016 17:30";"24.4";"735.3";"758.5";"";"60";"Wind blowing from the north-west";"1";"";"";"no clouds";" ";"";"";"";"27.5";"";"";"";"";"";"2.0";"16.0";"";"";"";"";"";"";
"18.11.2016 08:30";"17.0";"738.4";"762.3";"";"80";"Wind blowing from the north-west";"1";"";"";"no clouds";" ";"";"";"10.0";"";"";"";"";"";"";"4.0";"13.5";"";"";"";"";"";"";
"17.11.2016 17:30";"24.6";"736.0";"759.2";"";"62";"Wind blowing from the north-west";"1";"";"";"no clouds";" ";"";"";"";"28.0";"";"";"";"";"";"4.0";"16.9";"";"";"";"";"";"";
"16.11.2016 08:30";"19.4";"738.4";"762.1";"";"65";"Wind blowing from the north-west";"1";"";"";"no clouds";" ";"";"";"9.8";"";"";"";"";"";"";"4.0";"12.7";"";"";"";"";"";"";
"15.11.2016 17:30";"25.6";"736.7";"759.8";"";"53";"Wind blowing from the north-west";"1";"";"";"no clouds";" ";"";"";"";"28.5";"";"";"";"";"";"4.0";"15.2";"";"";"";"";"";"";
"15.11.2016 08:30";"29.2";"739.8";"762.7";"";"35";"Wind blowing from the north-west";"1";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"4.0";"12.0";"";"";"";"";"";"";
"14.11.2016 17:30";"26.0";"735.0";"758.0";"";"59";"Wind blowing from the north-west";"1";"";"";"no clouds";" ";"";"";"";"28.6";"";"";"";"";"";"4.0";"17.4";"";"";"";"";"";"";
"14.11.2016 08:30";"19.6";"738.1";"761.7";"";"65";"Wind blowing from the north-west";"1";"";"";"no clouds";" ";"";"";"10.0";"";"";"";"";"";"";"4.0";"12.9";"";"";"";"";"";"";
"13.11.2016 17:30";"26.2";"734.1";"757.1";"";"63";"Wind blowing from the north-west";"1";"";"";"no clouds";" ";"";"";"";"29.0";"";"";"";"";"";"4.0";"18.7";"";"";"";"";"";"";
"13.11.2016 08:30";"21.2";"738.0";"761.5";"";"68";"Wind blowing from the north-west";"1";"";"";"no clouds";" ";"";"";"11.2";"";"";"";"";"";"";"4.0";"15.0";"";"";"";"";"";"";
"12.11.2016 17:30";"26.4";"735.1";"758.1";"";"61";"Wind blowing from the north-west";"1";"";"";"no clouds";" ";"";"";"";"29.2";"";"";"";"";"";"4.0";"18.2";"";"";"";"";"";"";
"12.11.2016 08:30";"21.2";"738.1";"761.6";"";"65";"Wind blowing from the north-west";"1";"";"";"no clouds";" ";"";"";"12.2";"";"";"";"";"";"";"4.0";"14.4";"";"";"";"";"";"";
"11.11.2016 17:30";"26.4";"736.4";"759.4";"";"62";"Wind blowing from the north-west";"1";"";"";"no clouds";" ";"";"";"";"29.0";"";"";"";"";"";"4.0";"18.6";"";"";"";"";"";"";
"11.11.2016 08:30";"21.4";"738.2";"761.7";"";"62";"Wind blowing from the north-west";"1";"";"";"no clouds";" ";"";"";"11.5";"";"";"";"";"";"";"4.0";"13.8";"";"";"";"";"";"";
"10.11.2016 17:30";"26.4";"734.8";"757.8";"";"44";"Wind blowing from the north-west";"1";"";"";"no clouds";" ";"";"";"";"29.4";"";"";"";"";"";"4.0";"13.0";"";"";"";"";"";"";
"10.11.2016 08:30";"21.0";"738.3";"761.8";"";"67";"Wind blowing from the north-west";"1";"";"";"no clouds";" ";"";"";"12.4";"";"";"";"";"";"";"4.0";"14.5";"";"";"";"";"";"";
"09.11.2016 17:30";"26.2";"734.1";"757.1";"";"63";"Wind blowing from the north-west";"1";"";"";"no clouds";" ";"";"";"";"29.0";"";"";"";"";"";"4.0";"18.7";"";"";"";"";"";"";
"09.11.2016 08:30";"19.4";"738.2";"761.8";"";"70";"Wind blowing from the north-west";"1";"";"";"no clouds";" ";"";"";"11.0";"";"";"";"";"";"";"4.0";"13.8";"";"";"";"";"";"";
"08.11.2016 17:30";"26.4";"734.2";"757.2";"";"62";"Wind blowing from the north-west";"1";"";"";"no clouds";" ";"";"";"";"29.2";"";"";"";"";"";"4.0";"18.6";"";"";"";"";"";"";
"08.11.2016 08:30";"18.6";"737.5";"761.2";"";"70";"Wind blowing from the north-west";"1";"";"";"no clouds";" ";"";"";"10.6";"";"";"";"";"";"";"4.0";"12.9";"";"";"";"";"";"";
"07.11.2016 17:30";"26.6";"733.8";"756.7";"";"60";"Wind blowing from the north-west";"1";"";"";"no clouds";" ";"";"";"";"30.0";"";"";"";"";"";"4.0";"18.1";"";"";"";"";"";"";
"07.11.2016 08:30";"19.6";"737.6";"761.2";"";"64";"Wind blowing from the north-west";"1";"";"";"no clouds";" ";"";"";"10.6";"";"";"";"";"";"";"4.0";"12.5";"";"";"";"";"";"";
"06.11.2016 17:30";"27.4";"734.9";"757.8";"";"62";"Wind blowing from the north-west";"1";"";"";"no clouds";" ";"";"";"";"31.4";"";"";"";"";"";"4.0";"19.4";"";"";"";"";"";"";
"06.11.2016 08:30";"21.2";"735.9";"759.3";"";"68";"Wind blowing from the north-west";"1";"";"";"no clouds";" ";"";"";"12.0";"";"";"";"";"";"";"4.0";"15.0";"";"";"";"";"";"";
"05.11.2016 17:30";"27.4";"732.7";"755.5";"";"60";"Wind blowing from the north-west";"1";"";"";"no clouds";" ";"";"";"";"31.2";"";"";"";"";"";"4.0";"19.0";"";"";"";"";"";"";
"05.11.2016 08:30";"21.4";"736.2";"759.6";"";"70";"Wind blowing from the north-west";"1";"";"";"no clouds";" ";"";"";"12.2";"";"";"";"";"";"";"4.0";"15.7";"";"";"";"";"";"";
"04.11.2016 17:30";"27.6";"734.9";"757.8";"";"49";"Wind blowing from the north-west";"1";"";"";"no clouds";" ";"";"";"";"31.8";"";"";"";"";"";"4.0";"15.8";"";"";"";"";"";"";
"04.11.2016 08:30";"20.2";"738.3";"761.9";"";"63";"Wind blowing from the north-west";"1";"";"";"no clouds";" ";"";"";"11.8";"";"";"";"";"";"";"4.0";"12.9";"";"";"";"";"";"";
"03.11.2016 17:30";"27.4";"734.9";"757.8";"";"62";"Wind blowing from the north-west";"1";"";"";"no clouds";" ";"";"";"";"31.6";"";"";"";"";"";"4.0";"19.4";"";"";"";"";"";"";
"03.11.2016 08:30";"21.2";"739.6";"763.1";"";"59";"Wind blowing from the north-west";"1";"";"";"no clouds";" ";"";"";"12.2";"";"";"";"";"";"";"4.0";"12.8";"";"";"";"";"";"";
"02.11.2016 08:30";"19.4";"738.4";"762.1";"";"65";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"12.2";"";"";"";"";"";"";"4.0";"12.7";"";"";"";"";"";"";
"01.11.2016 17:30";"27.2";"733.2";"756.1";"";"58";"Wind blowing from the north-west";"1";"";"";"no clouds";" ";"";"";"";"31.5";"";"";"";"";"";"4.0";"18.1";"";"";"";"";"";"";
"01.11.2016 08:30";"19.6";"737.9";"761.5";"";"65";"Wind blowing from the north-west";"1";"";"";"no clouds";" ";"";"";"12.0";"";"";"";"";"";"";"4.0";"12.9";"";"";"";"";"";"";
"31.10.2016 17:30";"28.4";"733.3";"756.1";"";"57";"Wind blowing from the south-west";"1";"";"";"no clouds";" ";"";"";"";"32.0";"";"";"";"";"";"4.0";"19.2";"";"";"";"";"";"";
"31.10.2016 08:30";"21.2";"737.9";"761.4";"";"67";"Wind blowing from the north-west";"1";"";"";"no clouds";" ";"";"";"12.0";"";"";"";"";"";"";"4.0";"14.8";"";"";"";"";"";"";
"30.10.2016 17:30";"28.2";"733.5";"756.3";"";"60";"Wind blowing from the north-west";"1";"";"";"no clouds";" ";"";"";"";"31.4";"";"";"";"";"";"4.0";"19.6";"";"";"";"";"";"";
"30.10.2016 08:30";"21.4";"737.2";"760.6";"";"67";"Wind blowing from the north-west";"1";"";"";"no clouds";" ";"";"";"12.2";"";"";"";"";"";"";"4.0";"15.0";"";"";"";"";"";"";
"29.10.2016 17:30";"28.4";"733.3";"756.1";"";"61";"Wind blowing from the north-west";"1";"";"";"no clouds";" ";"";"";"";"31.5";"";"";"";"";"";"4.0";"20.2";"";"";"";"";"";"";
"28.10.2016 17:30";"28.6";"733.3";"756.1";"";"52";"Wind blowing from the north-west";"1";"";"";"no clouds";" ";"";"";"";"32.0";"";"";"";"";"";"4.0";"17.8";"";"";"";"";"";"";
"28.10.2016 08:30";"21.6";"737.4";"760.8";"";"67";"Wind blowing from the north-west";"1";"";"";"no clouds";" ";"";"";"12.2";"";"";"";"";"";"";"4.0";"15.2";"";"";"";"";"";"";
"27.10.2016 17:30";"28.0";"735.5";"758.4";"";"51";"Wind blowing from the east-northeast";"1";"";"";"no clouds";" ";"";"";"";"32.2";"";"";"";"";"";"4.0";"16.8";"";"";"";"";"";"";
"26.10.2016 17:30";"28.4";"732.5";"755.2";"";"61";"Wind blowing from the north-west";"1";"";"";"no clouds";" ";"";"";"";"31.6";"";"";"";"";"";"4.0";"20.2";"";"";"";"";"";"";
"26.10.2016 08:30";"23.0";"735.2";"758.5";"";"61";"Wind blowing from the north-west";"1";"";"";"no clouds";" ";"";"";"12.0";"";"";"";"";"";"";"4.0";"15.0";"";"";"";"";"";"";
"25.10.2016 17:30";"28.4";"732.5";"755.2";"";"65";"Wind blowing from the north-west";"1";"";"";"no clouds";" ";"";"";"";"31.5";"";"";"";"";"";"4.0";"21.2";"";"";"";"";"";"";
"25.10.2016 08:30";"23.2";"735.5";"758.8";"";"73";"Wind blowing from the north-west";"1";"";"";"no clouds";" ";"";"";"12.0";"";"";"";"";"";"";"4.0";"18.1";"";"";"";"";"";"";
"24.10.2016 17:30";"28.6";"731.9";"754.6";"";"61";"Wind blowing from the north-west";"1";"";"";"no clouds";" ";"";"";"";"31.8";"";"";"";"";"";"4.0";"20.4";"";"";"";"";"";"";
"24.10.2016 08:30";"23.6";"734.7";"757.9";"";"63";"Wind blowing from the north-west";"1";"";"";"no clouds";" ";"";"";"12.4";"";"";"";"";"";"";"4.0";"16.0";"";"";"";"";"";"";
"23.10.2016 17:30";"29.2";"732.3";"755.0";"";"61";"Wind blowing from the north-west";"1";"";"";"no clouds";" ";"";"";"";"32.2";"";"";"";"";"";"4.0";"20.8";"";"";"";"";"";"";
"23.10.2016 08:30";"23.6";"734.7";"757.9";"";"72";"Wind blowing from the north-west";"1";"";"";"no clouds";"Haze. ";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"14.0";"";"";"";"";"";"";"4.0";"18.2";"";"";"";"";"";"";
"22.10.2016 17:30";"29.0";"732.2";"754.9";"";"64";"Wind blowing from the north-west";"1";"";"";"no clouds";" ";"";"";"";"32.0";"";"";"";"";"";"4.0";"21.4";"";"";"";"";"";"";
"22.10.2016 08:30";"24.2";"735.5";"758.7";"";"66";"Wind blowing from the north-west";"1";"";"";"no clouds";" ";"";"";"14.4";"";"";"";"";"";"";"4.0";"17.5";"";"";"";"";"";"";
"21.10.2016 17:30";"29.2";"732.2";"754.9";"";"59";"Wind blowing from the north-west";"1";"";"";"no clouds";" ";"";"";"";"32.6";"";"";"";"";"";"4.0";"20.4";"";"";"";"";"";"";
