# Weather station Banda, India, WMO_ID=42473,selection from 07.12.2015 till 31.12.2017, all days
# Encoding: UTF-8
# The data is provided by the website "Reliable Prognosis", rp5.ru 
# If you use the data, please indicate the name of the website.
# For meteorological parameters see the address http://rp5.ru/archive.php?wmo_id=42473&lang=en
#
"Local time in Banda";"T";"Po";"P";"Pa";"U";"DD";"Ff";"ff10";"ff3";"N";"WW";"W1";"W2";"Tn";"Tx";"Cl";"Nh";"H";"Cm";"Ch";"VV";"Td";"RRR";"tR";"E";"Tg";"E'";"sss"
"10.11.2016 17:30";"24.6";"747.8";"758.3";"";"61";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"31.0";"";"";"";"";"";"4.0";"16.5";"";"";"";"";"";"";
"10.11.2016 08:30";"17.2";"751.1";"761.9";"";"65";"Calm, no wind";"0";"";"";"no clouds";"Haze. ";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"13.6";"";"";"";"";"";"";"4.0";"10.5";"";"";"";"";"";"";
"09.11.2016 17:30";"25.0";"748.9";"759.4";"";"60";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"30.0";"";"";"";"";"";"4.0";"16.6";"";"";"";"";"";"";
"09.11.2016 08:30";"17.2";"749.9";"760.7";"";"59";"Calm, no wind";"0";"";"";"no clouds";"Haze. ";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"14.2";"";"";"";"";"";"";"4.0";"9.1";"";"";"";"";"";"";
"08.11.2016 17:30";"25.4";"748.7";"759.1";"";"53";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"29.6";"";"";"";"";"";"4.0";"15.1";"";"";"";"";"";"";
"08.11.2016 08:30";"17.6";"751.0";"761.8";"";"71";"Calm, no wind";"0";"";"";"no clouds";"Haze. ";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"15.4";"";"";"";"";"";"";"2.0";"12.2";"";"";"";"";"";"";
"07.11.2016 17:30";"26.4";"747.0";"757.4";"";"43";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"34.0";"";"";"";"";"";"4.0";"12.7";"";"";"";"";"";"";
"07.11.2016 08:30";"18.2";"750.2";"760.9";"";"61";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"15.6";"";"";"";"";"";"";"4.0";"10.4";"";"";"";"";"";"";
"06.11.2016 17:30";"24.4";"746.9";"757.3";"";"62";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"31.0";"";"";"";"";"";"4.0";"16.7";"";"";"";"";"";"";
"06.11.2016 08:30";"19.2";"748.7";"759.4";"";"68";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"16.4";"";"";"";"";"";"";"4.0";"13.2";"";"";"";"";"";"";
"05.11.2016 17:30";"25.0";"745.7";"756.1";"";"61";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"33.2";"";"";"";"";"";"4.0";"17.0";"";"";"";"";"";"";
"05.11.2016 08:30";"20.2";"748.5";"759.1";"";"66";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"17.2";"";"";"";"";"";"";"4.0";"13.6";"";"";"";"";"";"";
"04.11.2016 17:30";"26.2";"746.6";"757.0";"";"63";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"33.2";"";"";"";"";"";"4.0";"18.7";"";"";"";"";"";"";
"04.11.2016 08:30";"20.0";"750.5";"761.2";"";"69";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"17.0";"";"";"";"";"";"";"4.0";"14.1";"";"";"";"";"";"";
"03.11.2016 17:30";"27.8";"749.4";"759.8";"";"61";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"33.2";"";"";"";"";"";"4.0";"19.5";"";"";"";"";"";"";
"02.11.2016 08:30";"20.4";"752.1";"762.8";"";"73";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"16.4";"";"";"";"";"";"";"4.0";"15.4";"";"";"";"";"";"";
"01.11.2016 17:30";"27.4";"749.4";"759.8";"";"57";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"33.0";"";"";"";"";"";"4.0";"18.0";"";"";"";"";"";"";
"01.11.2016 08:30";"20.2";"752.6";"763.3";"";"71";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"16.6";"";"";"";"";"";"";"4.0";"14.8";"";"";"";"";"";"";
"31.10.2016 08:30";"21.0";"753.5";"764.2";"";"73";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"17.0";"";"";"";"";"";"";"4.0";"16.0";"";"";"";"";"";"";
"30.10.2016 17:30";"28.6";"748.9";"759.2";"";"52";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"33.4";"";"";"";"";"";"4.0";"17.9";"";"";"";"";"";"";
"30.10.2016 08:30";"20.6";"751.4";"762.0";"";"65";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"16.0";"";"";"";"";"";"";"4.0";"13.7";"";"";"";"";"";"";
"29.10.2016 17:30";"27.6";"747.9";"758.2";"";"55";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"34.4";"";"";"";"";"";"4.0";"17.8";"";"";"";"";"";"";
"29.10.2016 08:30";"21.0";"750.1";"760.7";"";"67";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"16.4";"";"";"";"";"";"";"4.0";"14.5";"";"";"";"";"";"";
"28.10.2016 17:30";"27.4";"747.3";"757.6";"";"57";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"34.2";"";"";"";"";"";"4.0";"18.0";"";"";"";"";"";"";
"28.10.2016 08:30";"21.2";"750.7";"761.3";"";"65";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"16.8";"";"";"";"";"";"";"4.0";"14.4";"";"";"";"";"";"";
"27.10.2016 17:30";"28.0";"748.5";"758.8";"";"60";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"34.0";"";"";"";"";"";"4.0";"19.4";"";"";"";"";"";"";
"27.10.2016 08:30";"21.6";"750.8";"761.4";"";"74";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"18.0";"";"";"";"";"";"";"4.0";"16.7";"";"";"";"";"";"";
"26.10.2016 17:30";"29.0";"746.7";"757.0";"";"52";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"35.8";"";"";"";"";"";"4.0";"18.1";"";"";"";"";"";"";
"26.10.2016 08:30";"23.8";"748.3";"758.8";"";"61";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"19.6";"";"";"";"";"";"";"4.0";"15.9";"";"";"";"";"";"";
"25.10.2016 17:30";"30.6";"744.8";"755.0";"";"47";"Calm, no wind";"0";"";"";"10%  or less, but not 0";" ";"";"";"";"36.2";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"no clouds";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"4.0";"18.2";"";"";"";"";"";"";
"25.10.2016 08:30";"23.4";"746.8";"757.3";"";"53";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"19.6";"";"";"";"";"";"";"4.0";"13.2";"";"";"";"";"";"";
"24.10.2016 17:30";"29.6";"744.6";"754.8";"";"51";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"34.8";"";"";"";"";"";"4.0";"18.4";"";"";"";"";"";"";
"24.10.2016 08:30";"23.0";"747.0";"757.5";"";"62";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"19.4";"";"";"";"";"";"";"4.0";"15.3";"";"";"";"";"";"";
"23.10.2016 17:30";"31.4";"745.0";"755.2";"";"41";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"35.8";"";"";"";"";"";"4.0";"16.5";"";"";"";"";"";"";
"23.10.2016 08:30";"24.6";"747.6";"758.0";"";"56";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"19.6";"";"";"";"";"";"";"4.0";"15.3";"";"";"";"";"";"";
"22.10.2016 17:30";"31.8";"745.2";"755.4";"";"49";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"36.8";"";"";"";"";"";"4.0";"19.7";"";"";"";"";"";"";
"22.10.2016 08:30";"23.8";"747.7";"758.2";"";"61";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"19.4";"";"";"";"";"";"";"4.0";"15.9";"";"";"";"";"";"";
"21.10.2016 17:30";"30.6";"744.4";"754.6";"";"50";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"36.2";"";"";"";"";"";"4.0";"18.9";"";"";"";"";"";"";
"21.10.2016 08:30";"23.2";"746.7";"757.2";"";"67";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"19.4";"";"";"";"";"";"";"4.0";"16.7";"";"";"";"";"";"";
"20.10.2016 17:30";"30.4";"744.4";"754.6";"";"50";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"35.2";"";"";"";"";"";"4.0";"18.7";"";"";"";"";"";"";
"20.10.2016 08:30";"22.8";"746.5";"757.0";"";"68";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"19.4";"";"";"";"";"";"";"4.0";"16.6";"";"";"";"";"";"";
"19.10.2016 17:30";"30.2";"744.2";"754.4";"";"53";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"34.8";"";"";"";"";"";"4.0";"19.5";"";"";"";"";"";"";
"19.10.2016 08:30";"22.6";"747.3";"757.8";"";"64";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"18.6";"";"";"";"";"";"";"4.0";"15.3";"";"";"";"";"";"";
"18.10.2016 17:30";"30.2";"744.5";"754.7";"";"46";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"35.4";"";"";"";"";"";"4.0";"17.3";"";"";"";"";"";"";
"17.10.2016 17:30";"30.0";"746.0";"756.2";"";"46";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"35.2";"";"";"";"";"";"4.0";"17.0";"";"";"";"";"";"";
"17.10.2016 08:30";"22.6";"748.3";"758.8";"";"73";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"19.4";"";"";"";"";"";"";"4.0";"17.5";"";"";"";"";"";"";
"16.10.2016 08:30";"23.6";"748.7";"759.2";"";"75";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"19.6";"";"";"";"";"";"";"4.0";"18.9";"";"";"";"";"";"";
"15.10.2016 17:30";"31.8";"745.5";"755.7";"";"47";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"37.0";"";"";"";"";"";"4.0";"19.3";"";"";"";"";"";"";
"15.10.2016 08:30";"24.0";"748.0";"758.5";"";"72";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"21.0";"";"";"";"";"";"";"4.0";"18.7";"";"";"";"";"";"";
"14.10.2016 17:30";"";"";"754.9";"";"";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"4.0";"19.7";"";"";"";"";"";"";
"13.10.2016 17:30";"31.0";"744.4";"754.6";"";"54";"Calm, no wind";"0";"";"";"10%  or less, but not 0";" ";"";"";"";"36.4";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"no clouds";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"4.0";"20.5";"";"";"";"";"";"";
"13.10.2016 08:30";"24.4";"747.1";"757.6";"";"69";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"21.0";"";"";"";"";"";"";"4.0";"18.4";"";"";"";"";"";"";
"12.10.2016 17:30";"29.0";"743.2";"753.4";"";"59";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"36.0";"";"";"";"";"";"4.0";"20.2";"";"";"";"";"";"";
"12.10.2016 08:30";"25.0";"745.0";"755.4";"";"76";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"22.4";"";"";"";"";"";"";"4.0";"20.4";"";"";"";"";"";"";
"11.10.2016 08:30";"26.0";"745.4";"755.8";"";"89";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"25.0";"";"";"";"";"";"";"4.0";"24.0";"";"";"";"";"";"";
"10.10.2016 17:30";"30.8";"742.6";"752.8";"";"76";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"35.8";"";"";"";"";"";"4.0";"26.0";"";"";"";"";"";"";
"10.10.2016 08:30";"27.0";"745.2";"755.5";"";"87";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"24.4";"";"";"";"";"";"";"4.0";"24.7";"";"";"";"";"";"";
"09.10.2016 17:30";"30.4";"742.2";"752.4";"";"77";"Calm, no wind";"0";"";"";"10%  or less, but not 0";" ";"";"";"";"33.8";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"no clouds";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"4.0";"25.9";"";"";"";"";"";"";
"09.10.2016 08:30";"27.0";"745.7";"756.0";"";"84";"Calm, no wind";"0";"";"";"10%  or less, but not 0";" ";"";"";"24.2";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"no clouds";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"4.0";"24.1";"";"";"";"";"";"";
"08.10.2016 17:30";"28.2";"743.1";"753.4";"";"80";"Calm, no wind";"0";"";"";"40%.";" ";"";"";"";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"40%.";"2500 or more, or no clouds.";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"24.5";"";"";"";"";"";"";
"08.10.2016 08:30";"28.0";"745.6";"755.9";"";"91";"Calm, no wind";"0";"";"";"10%  or less, but not 0";" ";"";"";"25.4";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"no clouds";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"4.0";"26.3";"";"";"";"";"";"";
"07.10.2016 17:30";"32.0";"741.2";"751.3";"";"69";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"33.2";"";"";"";"";"";"4.0";"25.5";"";"";"";"";"";"";
"07.10.2016 08:30";"28.2";"745.9";"756.2";"";"85";"Calm, no wind";"0";"";"";"40%.";" ";"";"";"26.4";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"40%.";"2500 or more, or no clouds.";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"25.4";"";"";"";"";"";"";
"06.10.2016 17:30";"29.4";"743.2";"753.4";"";"82";"Calm, no wind";"0";"";"";"40%.";" ";"";"";"";"34.0";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"40%.";"2500 or more, or no clouds.";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"26.0";"";"";"";"";"";"";
"06.10.2016 08:30";"26.6";"746.1";"756.5";"";"87";"Wind blowing from the north-east";"1";"";"";"40%.";" ";"";"";"25.2";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"40%.";"2500 or more, or no clouds.";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"24.3";"";"";"";"";"";"";
"05.10.2016 17:30";"34.0";"740.5";"750.5";"";"65";"Calm, no wind";"0";"";"";"10%  or less, but not 0";" ";"";"";"";"36.6";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"no clouds";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"4.0";"26.5";"";"";"";"";"";"";
"05.10.2016 08:30";"30.0";"744.1";"754.3";"";"75";"Calm, no wind";"0";"";"";"10%  or less, but not 0";" ";"";"";"27.4";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"no clouds";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"2.0";"25.2";"";"";"";"";"";"";
"04.10.2016 17:30";"32.0";"741.8";"751.9";"";"75";"Calm, no wind";"0";"";"";"10%  or less, but not 0";" ";"";"";"";"37.2";"";"";"2500 or more, or no clouds.";"";"";"4.0";"27.0";"";"";"";"";"";"";
"04.10.2016 08:30";"29.6";"745.0";"755.2";"";"81";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"27.4";"";"";"";"";"";"";"4.0";"26.0";"";"";"";"";"";"";
"03.10.2016 17:30";"34.6";"742.8";"752.8";"";"59";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"38.0";"";"";"";"";"";"4.0";"25.4";"";"";"";"";"";"";
"02.10.2016 17:30";"33.2";"743.3";"753.4";"";"60";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"37.0";"";"";"";"";"";"4.0";"24.4";"";"";"";"";"";"";
"02.10.2016 08:30";"29.0";"747.3";"757.6";"";"88";"Wind blowing from the south-east";"1";"";"";"10%  or less, but not 0";" ";"";"";"26.8";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"no clouds";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"4.0";"26.8";"";"";"";"";"";"";
"01.10.2016 17:30";"34.0";"742.7";"752.8";"";"62";"Calm, no wind";"0";"";"";"10%  or less, but not 0";" ";"";"";"";"36.4";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"no clouds";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"4.0";"25.6";"";"";"";"";"";"";
"01.10.2016 08:30";"29.0";"745.3";"755.6";"";"90";"Calm, no wind";"0";"";"";"40%.";" ";"";"";"26.4";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"40%.";"2500 or more, or no clouds.";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"27.1";"";"";"";"";"";"";
"30.09.2016 17:30";"32.2";"741.6";"751.7";"";"66";"Calm, no wind";"0";"";"";"40%.";" ";"";"";"";"35.0";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"40%.";"2500 or more, or no clouds.";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"25.1";"";"";"";"";"";"";
"30.09.2016 08:30";"27.2";"744.2";"754.5";"";"94";"Calm, no wind";"0";"";"";"40%.";" ";"";"";"25.2";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"40%.";"2500 or more, or no clouds.";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"26.1";"";"";"";"";"";"";
"29.09.2016 08:30";"27.2";"744.0";"754.3";"";"86";"Calm, no wind";"0";"";"";"40%.";" ";"";"";"25.6";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"40%.";"2500 or more, or no clouds.";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"24.6";"";"";"";"";"";"";
"28.09.2016 17:30";"31.4";"742.1";"752.2";"";"66";"Calm, no wind";"0";"";"";"10%  or less, but not 0";" ";"";"";"";"33.6";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"no clouds";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"4.0";"24.3";"";"";"";"";"";"";
"28.09.2016 08:30";"28.0";"744.3";"754.6";"";"86";"Calm, no wind";"0";"";"";"10%  or less, but not 0";" ";"";"";"25.6";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"no clouds";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"4.0";"25.4";"";"";"";"";"";"";
"27.09.2016 17:30";"31.4";"742.3";"752.4";"";"67";"Calm, no wind";"0";"";"";"10%  or less, but not 0";" ";"";"";"";"33.6";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"no clouds";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"4.0";"24.6";"";"";"";"";"";"";
"27.09.2016 08:30";"26.8";"746.0";"756.4";"";"90";"Calm, no wind";"0";"";"";"40%.";" ";"";"";"25.4";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"40%.";"2500 or more, or no clouds.";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"25.1";"";"";"";"";"";"";
"26.09.2016 17:30";"30.6";"742.5";"752.7";"";"72";"Calm, no wind";"0";"";"";"10%  or less, but not 0";" ";"";"";"";"34.0";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"no clouds";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"4.0";"24.9";"";"";"";"";"";"";
"26.09.2016 08:30";"27.2";"744.9";"755.2";"";"87";"Calm, no wind";"0";"";"";"40%.";" ";"";"";"25.6";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"40%.";"2500 or more, or no clouds.";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"24.9";"";"";"";"";"";"";
"25.09.2016 17:30";"31.0";"741.2";"751.3";"";"71";"Calm, no wind";"0";"";"";"40%.";" ";"";"";"";"34.0";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"40%.";"2500 or more, or no clouds.";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"25.1";"";"";"";"";"";"";
"25.09.2016 08:30";"27.6";"743.7";"754.0";"";"83";"Calm, no wind";"0";"";"";"40%.";" ";"";"";"25.0";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"40%.";"2500 or more, or no clouds.";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"24.4";"";"";"";"";"";"";
"24.09.2016 08:30";"26.4";"743.6";"753.9";"";"89";"Calm, no wind";"0";"";"";"40%.";" ";"";"";"24.8";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"40%.";"2500 or more, or no clouds.";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"24.4";"";"";"";"";"";"";
"23.09.2016 08:30";"28.0";"744.7";"755.0";"";"89";"Calm, no wind";"0";"";"";"40%.";" ";"";"";"26.2";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"40%.";"2500 or more, or no clouds.";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"26.0";"";"";"";"";"";"";
"22.09.2016 17:30";"30.8";"743.2";"753.4";"";"77";"Calm, no wind";"0";"";"";"10%  or less, but not 0";" ";"";"";"";"33.0";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"no clouds";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"4.0";"26.3";"";"";"";"";"";"";
"22.09.2016 08:30";"27.4";"746.8";"757.1";"";"89";"Calm, no wind";"0";"";"";"40%.";" ";"";"";"25.4";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"40%.";"2500 or more, or no clouds.";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"25.4";"";"";"";"";"";"";
"21.09.2016 17:30";"27.8";"743.6";"753.9";"";"90";"Calm, no wind";"0";"";"";"40%.";" ";"";"";"";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"40%.";"2500 or more, or no clouds.";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"26.1";"";"";"";"";"";"";
"21.09.2016 08:30";"29.6";"744.2";"754.4";"";"81";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"26.8";"";"";"";"";"";"";"4.0";"26.0";"";"";"";"";"";"";
"20.09.2016 17:30";"33.6";"740.6";"750.6";"";"67";"Calm, no wind";"0";"";"";"10%  or less, but not 0";" ";"";"";"";"36.6";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"no clouds";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"4.0";"26.7";"";"";"";"";"";"";
"20.09.2016 08:30";"28.8";"743.4";"753.6";"";"86";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"26.6";"";"";"";"";"";"";"4.0";"26.3";"";"";"";"";"";"";
"19.09.2016 17:30";"28.0";"741.1";"751.3";"";"86";"Calm, no wind";"0";"";"";"40%.";" ";"";"";"";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"40%.";"2500 or more, or no clouds.";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"25.4";"";"";"";"";"";"";
"19.09.2016 08:30";"28.2";"744.0";"754.3";"";"86";"Calm, no wind";"0";"";"";"10%  or less, but not 0";" ";"";"";"26.0";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"no clouds";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"4.0";"25.7";"";"";"";"";"";"";
"18.09.2016 17:30";"29.0";"742.7";"752.9";"";"78";"Calm, no wind";"0";"";"";"40%.";" ";"";"";"";"34.6";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"40%.";"2500 or more, or no clouds.";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"24.7";"";"";"";"";"";"";
"17.09.2016 08:30";"28.6";"743.4";"753.7";"";"86";"Calm, no wind";"0";"";"";"10%  or less, but not 0";" ";"";"";"26.0";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"no clouds";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"4.0";"26.1";"";"";"";"";"";"";
"16.09.2016 17:30";"29.4";"741.8";"752.0";"";"81";"Calm, no wind";"0";"";"";"70 – 80%.";" ";"";"";"";"";"Stratus nebulosus or Stratus fractus other than of bad weather, or both.";"70 – 80%.";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"25.7";"";"";"";"";"";"";
"16.09.2016 08:30";"28.6";"744.6";"754.9";"";"88";"Calm, no wind";"0";"";"";"10%  or less, but not 0";" ";"";"";"26.2";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"no clouds";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"4.0";"26.4";"";"";"";"";"";"";
