# Weather station Agra, India, WMO_ID=42260,selection from 01.01.2012 till 25.06.2018, all days
# Encoding: UTF-8
# The data is provided by the website "Reliable Prognosis", rp5.ru 
# If you use the data, please indicate the name of the website.
# For meteorological parameters see the address http://rp5.ru/archive.php?wmo_id=42260&lang=en
#
"Local time in Agra";"T";"Po";"P";"Pa";"U";"DD";"Ff";"ff10";"ff3";"N";"WW";"W1";"W2";"Tn";"Tx";"Cl";"Nh";"H";"Cm";"Ch";"VV";"Td";"RRR";"tR";"E";"Tg";"E'";"sss"
"27.07.2014 17:30";"30.9";"735.5";"749.5";"";"75";"Wind blowing from the west";"2";"";"";"70 – 80%.";"Thunderstorm (with or without precipitation). ";"Thunderstorm(s) with or without precipitation.";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"";"36.8";"Cumulonimbus capillatus (often with an anvil), with or without Cumulonimbus calvus, Cumulus, Stratocumulus, Stratus or pannus.";"40%.";"600-1000";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"25.9";"";"";"";"";"";"";
"27.07.2014 11:30";"35.3";"738.1";"752.0";"-0.8";"56";"Wind blowing from the east-northeast";"2";"";"";"60%.";" ";"";"";"";"";"Stratus nebulosus or Stratus fractus other than of bad weather, or both.";"50%.";"600-1000";"Altocumulus translucidus at a single level.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"4.0";"25.3";"";"";"";"";"";"";
"27.07.2014 08:30";"29.6";"738.9";"753.0";"1.0";"93";"Wind blowing from the east";"2";"";"";"90  or more, but not 100%";"Mist. ";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"";"";"Stratus nebulosus or Stratus fractus other than of bad weather, or both.";"50%.";"600-1000";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"28.4";"";"";"";"";"";"";
"27.07.2014 05:30";"28.3";"737.9";"752.1";"";"95";"variable wind direction";"1";"";"";"90  or more, but not 100%";" ";"";"";"";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"20–30%.";"600-1000";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"27.4";"";"";"";"";"";"";
"26.07.2014 17:30";"34.1";"735.7";"749.6";"";"54";"Wind blowing from the east-southeast";"2";"";"";"60%.";" ";"";"";"";"36.1";"Stratocumulus other than Stratocumulus cumulogenitus.";"20–30%.";"300-600";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"23.6";"";"";"";"";"";"";
"26.07.2014 08:30";"29.8";"738.6";"752.7";"1.3";"86";"Wind blowing from the east-northeast";"3";"";"";"40%.";" ";"";"";"26.6";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"20–30%.";"600-1000";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"27.2";"";"";"";"";"";"";
"26.07.2014 05:30";"26.9";"737.3";"751.5";"";"100";"variable wind direction";"1";"";"";"60%.";"Mist. ";"Cloud covering more than 1/2 of the sky during part of the appropriate period and covering 1/2 or less during part of the period.";"Cloud covering more than 1/2 of the sky during part of the appropriate period and covering 1/2 or less during part of the period.";"";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"20–30%.";"600-1000";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"26.9";"";"";"";"";"";"";
"25.07.2014 17:30";"32.6";"734.9";"748.8";"";"61";"variable wind direction";"1";"";"";"50%.";"Clouds generally dissolving or becoming less developed. ";"Rain.";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"";"32.7";"Stratocumulus other than Stratocumulus cumulogenitus.";"20–30%.";"600-1000";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"24.1";"";"";"";"";"";"";
"25.07.2014 11:30";"30.9";"737.0";"751.0";"0.0";"73";"Wind blowing from the east";"4";"";"";"90  or more, but not 100%";" ";"";"";"";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"60%.";"300-600";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"25.4";"";"";"";"";"";"";
"25.07.2014 08:30";"26.6";"737.0";"751.2";"1.2";"93";"Wind blowing from the east";"3";"";"";"90  or more, but not 100%";" ";"";"";"25.4";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"60%.";"300-600";"Altocumulus translucidus or opacus in two or more layers, or Altocumulus opacus in a single layer, not progressively invading the sky, or Altocumulus with Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"25.4";"";"";"";"";"";"";
"25.07.2014 05:30";"25.5";"735.8";"750.1";"";"97";"Wind blowing from the east";"3";"";"";"70 – 80%.";" ";"";"";"";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"40%.";"600-1000";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"25.0";"";"";"";"";"";"";
"24.07.2014 17:30";"29.3";"734.1";"748.2";"";"69";"Wind blowing from the east";"3";"";"";"90  or more, but not 100%";"State of sky on the whole unchanged. ";"Rain.";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"";"29.3";"Stratocumulus other than Stratocumulus cumulogenitus.";"60%.";"300-600";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"23.0";"";"";"";"";"";"";
"24.07.2014 11:30";"27.9";"735.2";"749.4";"0.8";"80";"Wind blowing from the east-northeast";"3";"";"";"90  or more, but not 100%";" ";"";"";"";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"40%.";"300-600";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"24.1";"";"";"";"";"";"";
"24.07.2014 08:30";"29.6";"734.4";"748.5";"";"83";"Wind blowing from the east-northeast";"4";"";"";"70 – 80%.";" ";"";"";"28.4";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"40%.";"300-600";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"26.4";"";"";"";"";"";"";
"24.07.2014 05:30";"26.3";"733.7";"747.9";"";"96";"Wind blowing from the north-east";"3";"";"";"60%.";"Mist. ";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"40%.";"300-600";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"25.6";"";"";"";"";"";"";
"23.07.2014 17:30";"32.3";"732.4";"746.3";"";"61";"Wind blowing from the east";"4";"";"";"90  or more, but not 100%";"Rain, not freezing, intermittent, slight at time of observation. ";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"";"33.3";"Stratocumulus other than Stratocumulus cumulogenitus.";"60%.";"600-1000";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"23.9";"";"";"";"";"";"";
"23.07.2014 11:30";"31.3";"734.2";"748.2";"-0.2";"71";"Wind blowing from the east-northeast";"4";"";"";"90  or more, but not 100%";"Precipitation within sight, reaching the ground or the surface of the sea, but distant, i.e. estimated to be more than 5 km from the station. ";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"";"";"Cumulus and Stratocumulus other than Stratocumulus cumulogenitus, with bases at different levels.";"50%.";"300-600";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"25.5";"";"";"";"";"";"";
"23.07.2014 08:30";"29.6";"734.4";"748.5";"1.5";"83";"Wind blowing from the east-northeast";"4";"";"";"70 – 80%.";" ";"";"";"28.4";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"40%.";"300-600";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"26.4";"";"";"";"";"";"";
"23.07.2014 05:30";"28.5";"732.9";"747.0";"";"89";"Wind blowing from the north-east";"3";"";"";"60%.";" ";"";"";"";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"40%.";"600-1000";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"4.0";"26.6";"";"";"";"";"";"";
"22.07.2014 17:30";"33.8";"732.5";"746.3";"";"60";"Wind blowing from the north-east";"5";"";"";"50%.";" ";"";"";"";"35.1";"Stratocumulus other than Stratocumulus cumulogenitus.";"50%.";"600-1000";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"25.0";"";"";"";"";"";"";
"22.07.2014 11:30";"32.8";"734.5";"748.4";"";"78";"Wind blowing from the west-northwest";"3";"";"";"70 – 80%.";"State of sky on the whole unchanged. ";"Rain.";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"";"";"Stratus nebulosus or Stratus fractus other than of bad weather, or both.";"40%.";"600-1000";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"28.5";"";"";"";"";"";"";
"22.07.2014 08:30";"29.8";"734.9";"749.0";"";"91";"Wind blowing from the south";"2";"";"";"100%.";" ";"";"";"27.6";"";"Stratus nebulosus or Stratus fractus other than of bad weather, or both.";"50%.";"300-600";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"28.2";"";"";"";"";"";"";
"22.07.2014 05:30";"27.7";"733.2";"747.3";"";"100";"Wind blowing from the west-northwest";"2";"";"";"90  or more, but not 100%";" ";"";"";"";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"50%.";"600-1000";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"27.7";"";"";"";"";"";"";
"21.07.2014 17:30";"32.8";"731.9";"745.8";"";"64";"Wind blowing from the north-northwest";"4";"";"";"70 – 80%.";" ";"";"";"";"33.7";"Stratocumulus cumulogenitus.";"20–30%.";"600-1000";"Altocumulus translucidus at a single level.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"4.0";"25.1";"";"";"";"";"";"";
"21.07.2014 11:30";"32.8";"734.2";"748.1";"0.0";"62";"Wind blowing from the west-northwest";"4";"";"";"70 – 80%.";" ";"";"";"";"";"Cumulonimbus capillatus (often with an anvil), with or without Cumulonimbus calvus, Cumulus, Stratocumulus, Stratus or pannus.";"40%.";"600-1000";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"24.6";"";"";"";"";"";"";
"21.07.2014 08:30";"28.2";"734.2";"748.3";"";"81";"Wind blowing from the west";"3";"";"";"90  or more, but not 100%";" ";"";"";"26.2";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"40%.";"600-1000";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"24.7";"";"";"";"";"";"";
"21.07.2014 05:30";"26.2";"733.5";"747.7";"";"100";"Wind blowing from the west-southwest";"2";"";"";"90  or more, but not 100%";"Mist. ";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"20–30%.";"300-600";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"26.2";"";"";"";"";"";"";
"20.07.2014 17:30";"33.0";"732.5";"746.4";"";"65";"Wind blowing from the north-northwest";"2";"";"";"90  or more, but not 100%";" ";"";"";"";"33.6";"Stratocumulus other than Stratocumulus cumulogenitus.";"40%.";"600-1000";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"25.7";"";"";"";"";"";"";
"20.07.2014 11:30";"32.2";"734.4";"748.3";"0.6";"71";"Wind blowing from the west-northwest";"5";"";"";"90  or more, but not 100%";"Haze. ";"Rain.";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"50%.";"600-1000";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"26.2";"";"";"";"";"";"";
"20.07.2014 08:30";"28.6";"733.8";"747.9";"1.1";"100";"Wind blowing from the west-northwest";"4";"";"";"100%.";"Mist. ";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"27.1";"";"Stratus fractus or Cumulus fractus of bad weather, or both (pannus), usually below Altostratus or Nimbostratus.";"70 – 80%.";"200-300";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"1.0";"28.6";"";"";"";"";"";"";
"20.07.2014 05:30";"27.3";"732.7";"746.8";"";"100";"Wind blowing from the west";"2";"";"";"70 – 80%.";"Mist. ";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"40%.";"600-1000";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"27.3";"";"";"";"";"";"";
"19.07.2014 17:30";"28.4";"731.4";"745.5";"";"100";"Wind blowing from the east";"2";"";"";"100%.";"Mist. ";"Thunderstorm(s) with or without precipitation.";"Rain.";"";"33.8";"Stratus fractus or Cumulus fractus of bad weather, or both (pannus), usually below Altostratus or Nimbostratus.";"50%.";"300-600";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"28.4";"";"";"";"";"";"";
"19.07.2014 11:30";"32.2";"733.2";"747.1";"0.2";"78";"Wind blowing from the north-northeast";"7";"";"";"70 – 80%.";"State of sky on the whole unchanged. ";"Rain.";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"";"";"Stratus nebulosus or Stratus fractus other than of bad weather, or both.";"40%.";"600-1000";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"27.8";"";"";"";"";"";"";
"19.07.2014 08:30";"29.1";"733.0";"747.0";"1.1";"100";"Wind blowing from the south";"2";"";"";"90  or more, but not 100%";"Rain, not freezing, intermittent, slight at time of observation. ";"Rain.";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"27.0";"";"Stratus nebulosus or Stratus fractus other than of bad weather, or both.";"20–30%.";"300-600";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"29.1";"";"";"";"";"";"";
"19.07.2014 05:30";"27.2";"731.9";"746.0";"";"100";"Calm, no wind";"0";"";"";"70 – 80%.";"Mist. ";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"40%.";"600-1000";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"27.2";"";"";"";"";"";"";
"18.07.2014 17:30";"30.0";"730.8";"744.8";"";"92";"Wind blowing from the west-northwest";"2";"";"";"100%.";"Rain, not freezing, intermittent, slight at time of observation. ";"Rain.";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"";"31.5";"Stratocumulus other than Stratocumulus cumulogenitus.";"60%.";"300-600";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"28.5";"";"";"";"";"";"";
"18.07.2014 11:30";"29.6";"732.8";"746.8";"0.1";"97";"Wind blowing from the south-west";"2";"";"";"100%.";"State of sky on the whole unchanged. ";"Rain.";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"";"";"Cumulus and Stratocumulus other than Stratocumulus cumulogenitus, with bases at different levels.";"60%.";"200-300";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"29.0";"";"";"";"";"";"";
"18.07.2014 08:30";"27.1";"732.7";"746.8";"0.9";"100";"Wind blowing from the south-southwest";"2";"";"";"100%.";"Mist. ";"Rain.";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"24.8";"";"Stratus nebulosus or Stratus fractus other than of bad weather, or both.";"40%.";"100-200";"Altocumulus translucidus or opacus in two or more layers, or Altocumulus opacus in a single layer, not progressively invading the sky, or Altocumulus with Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"2.0";"27.1";"";"";"";"";"";"";
"18.07.2014 05:30";"25.7";"731.8";"746.0";"";"100";"variable wind direction";"1";"";"";"100%.";"Rain, not freezing, continuous, slight at time of observation. ";"Thunderstorm(s) with or without precipitation.";"Rain.";"";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"60%.";"200-300";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"25.7";"";"";"";"";"";"";
"17.07.2014 17:30";"28.2";"731.5";"745.6";"";"100";"Wind blowing from the east-southeast";"4";"";"";"100%.";"Thunderstorm, slight or moderate, without hail, but with rain and/or snow at time of observation. ";"Thunderstorm(s) with or without precipitation.";"Rain.";"";"36.9";"Cumulonimbus capillatus (often with an anvil), with or without Cumulonimbus calvus, Cumulus, Stratocumulus, Stratus or pannus.";"40%.";"300-600";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"28.2";"";"";"";"";"";"";
"17.07.2014 11:30";"35.2";"733.3";"747.1";"-0.4";"56";"Wind blowing from the east-northeast";"4";"";"";"70 – 80%.";"Precipitation within sight, reaching the ground or the surface of the sea, but distant, i.e. estimated to be more than 5 km from the station. ";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"";"";"Cumulonimbus capillatus (often with an anvil), with or without Cumulonimbus calvus, Cumulus, Stratocumulus, Stratus or pannus.";"60%.";"300-600";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"25.1";"";"";"";"";"";"";
"17.07.2014 08:30";"30.8";"733.7";"747.7";"0.5";"80";"Wind blowing from the north-east";"3";"";"";"90  or more, but not 100%";" ";"";"";"29.1";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"60%.";"300-600";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"26.9";"";"";"";"";"";"";
"17.07.2014 05:30";"29.2";"733.2";"747.2";"";"93";"Wind blowing from the east-northeast";"3";"";"";"90  or more, but not 100%";" ";"";"";"";"";"Stratus nebulosus or Stratus fractus other than of bad weather, or both.";"50%.";"600-1000";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"28.0";"";"";"";"";"";"";
"16.07.2014 17:30";"36.7";"731.9";"745.6";"";"46";"Wind blowing from the east-northeast";"4";"";"";"70 – 80%.";" ";"";"";"";"37.8";"Stratocumulus cumulogenitus.";"40%.";"600-1000";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"23.2";"";"";"";"";"";"";
"16.07.2014 11:30";"33.1";"734.6";"748.5";"0.0";"70";"Wind blowing from the north-northeast";"4";"";"";"70 – 80%.";"Rain, not freezing, intermittent, slight at time of observation. ";"Cloud covering more than 1/2 of the sky during part of the appropriate period and covering 1/2 or less during part of the period.";"Cloud covering more than 1/2 of the sky during part of the appropriate period and covering 1/2 or less during part of the period.";"";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"40%.";"300-600";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"26.8";"";"";"";"";"";"";
"16.07.2014 08:30";"31.0";"734.6";"748.6";"";"85";"Wind blowing from the east";"5";"";"";"70 – 80%.";"Mist. ";"Cloud covering more than 1/2 of the sky during part of the appropriate period and covering 1/2 or less during part of the period.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"28.4";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"20–30%.";"300-600";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"28.2";"";"";"";"";"";"";
"16.07.2014 05:30";"28.5";"733.6";"747.7";"";"100";"Wind blowing from the north-east";"3";"";"";"40%.";"Mist. ";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"10%  or less, but not 0";"2500 or more, or no clouds.";"Altocumulus translucidus at a single level.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"4.0";"28.5";"";"";"";"";"";"";
"15.07.2014 17:30";"31.7";"732.0";"745.9";"";"68";"Wind blowing from the east";"6";"";"";"100%.";"State of sky on the whole unchanged. ";"Rain.";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"";"37.5";"Stratocumulus other than Stratocumulus cumulogenitus.";"40%.";"600-1000";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"25.1";"";"";"";"";"";"";
"15.07.2014 11:30";"31.7";"734.1";"748.0";"0.0";"75";"Wind blowing from the east-southeast";"2";"";"";"70 – 80%.";"Mist. ";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"28.7";"";"Stratus nebulosus or Stratus fractus other than of bad weather, or both.";"20–30%.";"600-1000";"Altocumulus translucidus at a single level.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"4.0";"26.7";"";"";"";"";"";"";
"15.07.2014 08:30";"31.7";"734.1";"748.0";"0.5";"75";"Wind blowing from the east-southeast";"2";"";"";"70 – 80%.";"Mist. ";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"28.7";"";"Stratus nebulosus or Stratus fractus other than of bad weather, or both.";"40%.";"600-1000";"Altocumulus translucidus at a single level.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"4.0";"26.7";"";"";"";"";"";"";
"15.07.2014 05:30";"28.9";"733.6";"747.7";"";"100";"variable wind direction";"1";"";"";"70 – 80%.";"Mist. ";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"40%.";"600-1000";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"28.9";"";"";"";"";"";"";
"14.07.2014 17:30";"32.7";"732.6";"746.5";"";"69";"Wind blowing from the north-northwest";"3";"";"";"90  or more, but not 100%";" ";"";"";"";"33.9";"Stratocumulus other than Stratocumulus cumulogenitus.";"10%  or less, but not 0";"600-1000";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"26.4";"";"";"";"";"";"";
"14.07.2014 11:30";"29.2";"735.5";"749.6";"-0.1";"86";"Wind blowing from the east-southeast";"3";"";"";"100%.";"Mist. ";"Rain.";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"50%.";"600-1000";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"26.6";"";"";"";"";"";"";
"14.07.2014 08:30";"28.6";"735.6";"749.7";"1.3";"100";"Wind blowing from the north-east";"2";"";"";"100%.";"Mist. ";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"Cloud covering more than 1/2 of the sky during part of the appropriate period and covering 1/2 or less during part of the period.";"";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"50%.";"600-1000";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"2.0";"28.6";"";"";"";"";"";"";
"14.07.2014 05:30";"28.5";"734.3";"748.4";"";"95";"Wind blowing from the north";"2";"";"";"50%.";"Mist. ";"Cloud covering more than 1/2 of the sky during part of the appropriate period and covering 1/2 or less during part of the period.";"Cloud covering more than 1/2 of the sky during part of the appropriate period and covering 1/2 or less during part of the period.";"";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"20–30%.";"2500 or more, or no clouds.";"Altocumulus translucidus at a single level.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"4.0";"27.6";"";"";"";"";"";"";
"13.07.2014 17:30";"29.5";"733.1";"747.1";"";"72";"Wind blowing from the north-northeast";"5";"";"";"90  or more, but not 100%";"State of sky on the whole unchanged. ";"Thunderstorm(s) with or without precipitation.";"Rain.";"";"40.5";"Stratocumulus other than Stratocumulus cumulogenitus.";"50%.";"600-1000";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"24.0";"";"";"";"";"";"";
"13.07.2014 08:30";"34.7";"735.1";"748.9";"";"55";"Wind blowing from the south";"2";"";"";"60%.";" ";"";"";"31.9";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"40%.";"600-1000";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus spissatus, in patches or entangled sheaves, which usually do not increase and sometimes seem to be the remains of the upper part of a Cumulonimbus; or Cirrus castellanus or floccus.";"4.0";"24.5";"";"";"";"";"";"";
"12.07.2014 17:30";"41.6";"730.8";"744.2";"";"26";"Wind blowing from the north";"4";"";"";"60%.";" ";"";"";"";"42.8";"Stratocumulus other than Stratocumulus cumulogenitus.";"20–30%.";"600-1000";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus spissatus, in patches or entangled sheaves, which usually do not increase and sometimes seem to be the remains of the upper part of a Cumulonimbus; or Cirrus castellanus or floccus.";"4.0";"18.4";"";"";"";"";"";"";
"12.07.2014 11:30";"39.9";"734.2";"747.8";"-0.2";"37";"Wind blowing from the north";"4";"";"";"10%  or less, but not 0";" ";"";"";"";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"10%  or less, but not 0";"600-1000";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"22.5";"";"";"";"";"";"";
"12.07.2014 08:30";"35.0";"734.4";"748.2";"";"47";"Wind blowing from the south-west";"3";"";"";"20–30%.";" ";"";"";"30.8";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"20–30%.";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"4.0";"22.0";"";"";"";"";"";"";
"11.07.2014 17:30";"42.1";"731.7";"745.1";"";"20";"Wind blowing from the north-west";"7";"";"";"20–30%.";" ";"";"";"";"43.6";"Stratocumulus other than Stratocumulus cumulogenitus.";"20–30%.";"600-1000";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"14.5";"";"";"";"";"";"";
"11.07.2014 11:30";"40.7";"734.7";"748.3";"";"32";"Wind blowing from the west";"5";"";"";"10%  or less, but not 0";" ";"";"";"";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"10%  or less, but not 0";"600-1000";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"20.9";"";"";"";"";"";"";
