# Weather station Lal Bahadur Shastri / Varanasi (airport), India, WMO_ID=42479,selection from 01.01.2012 till 31.12.2017, all days
# Encoding: UTF-8
# The data is provided by the website "Reliable Prognosis", rp5.ru 
# If you use the data, please indicate the name of the website.
# For meteorological parameters see the address http://rp5.ru/archive.php?wmo_id=42479&lang=en
#
"Local time in Lal Bahadur Shastri / Varanasi (airport)";"T";"Po";"P";"Pa";"U";"DD";"Ff";"ff10";"ff3";"N";"WW";"W1";"W2";"Tn";"Tx";"Cl";"Nh";"H";"Cm";"Ch";"VV";"Td";"RRR";"tR";"E";"Tg";"E'";"sss"
"22.12.2017 11:30";"20.0";"756.5";"763.9";"-0.2";"76";"Wind blowing from the north-west";"2";"";"";"no clouds";"Mist. ";"Fog or ice fog or thick haze.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"";"";"";"";"";"";"";"1.0";"15.6";"";"";"";"";"";"";
"22.12.2017 08:30";"13.6";"756.7";"764.2";"1.2";"93";"Wind blowing from the west-southwest";"1";"";"";"no clouds";"Fog or ice fog, sky invisible, no appreciable change during the preceding hour. ";"Fog or ice fog or thick haze.";"Fog or ice fog or thick haze.";"12.1";"";"";"";"";"";"";"0.2";"12.5";"";"";"";"";"";"";
"22.12.2017 05:30";"13.2";"755.5";"763.0";"";"96";"Wind blowing from the west-southwest";"2";"";"";"no clouds";"Fog or ice fog, sky invisible, no appreciable change during the preceding hour. ";"Fog or ice fog or thick haze.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"";"";"";"";"";"";"";"0.2";"12.5";"";"";"";"";"";"";
"21.12.2017 23:30";"15.6";"755.9";"763.4";"";"96";"Wind blowing from the south-west";"2";"";"";"no clouds";"Fog or ice fog, sky visible, no appreciable change during the preceding hour. ";"Fog or ice fog or thick haze.";"Fog or ice fog or thick haze.";"";"";"";"";"";"";"";"0.5";"14.9";"";"";"";"";"";"";
"21.12.2017 17:30";"20.6";"755.9";"763.2";"";"75";"Wind blowing from the west-northwest";"1";"";"";"no clouds";"Mist. ";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"";"22.8";"";"";"";"";"";"1.0";"15.9";"";"";"";"";"";"";
"21.12.2017 11:30";"18.6";"758.5";"765.9";"-0.4";"81";"Calm, no wind";"0";"";"";"no clouds";"Mist. ";"Fog or ice fog or thick haze.";"Fog or ice fog or thick haze.";"";"";"";"";"";"";"";"0.5";"15.2";"";"";"";"";"";"";
"21.12.2017 08:30";"12.8";"758.9";"766.5";"2.2";"97";"Calm, no wind";"0";"";"";"Sky obscured by fog and/or other meteorological phenomena.";"Fog or ice fog, sky invisible, no appreciable change during the preceding hour. ";"Fog or ice fog or thick haze.";"Fog or ice fog or thick haze.";"10.6";"";"";"Sky obscured by fog and/or other meteorological phenomena.";"";"";"";"less than 0.05";"12.4";"";"";"";"";"";"";
"21.12.2017 05:30";"13.2";"756.7";"764.2";"";"96";"Calm, no wind";"0";"";"";"no clouds";"Fog or ice fog, sky visible, no appreciable change during the preceding hour. ";"Fog or ice fog or thick haze.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"";"";"";"";"";"";"";"0.2";"12.5";"";"";"";"";"";"";
"20.12.2017 23:30";"16.0";"757.3";"764.8";"";"87";"Calm, no wind";"0";"";"";"no clouds";"Fog or ice fog, sky visible, no appreciable change during the preceding hour. ";"Fog or ice fog or thick haze.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"";"";"";"";"";"";"";"0.5";"13.9";"";"";"";"";"";"";
"20.12.2017 17:30";"19.4";"756.2";"763.6";"";"81";"Wind blowing from the north-northeast";"2";"";"";"40%.";"Mist. ";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"";"20.4";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"40%.";"2500 or more, or no clouds.";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"1.0";"16.1";"";"";"";"";"";"";
"20.12.2017 11:30";"15.6";"758.5";"766.0";"-0.2";"87";"Wind blowing from the north-northeast";"1";"";"";"no clouds";"Fog or ice fog, sky visible (has become thinner during the preceding hour). ";"Fog or ice fog or thick haze.";"Fog or ice fog or thick haze.";"";"";"";"";"";"";"";"0.5";"13.5";"";"";"";"";"";"";
"20.12.2017 08:30";"11.4";"758.7";"766.3";"2.1";"95";"Wind blowing from the north-northeast";"1";"";"";"Sky obscured by fog and/or other meteorological phenomena.";"Fog or ice fog, sky invisible, no appreciable change during the preceding hour. ";"Fog or ice fog or thick haze.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"10.6";"";"";"Sky obscured by fog and/or other meteorological phenomena.";"";"";"";"less than 0.05";"10.6";"";"";"";"";"";"";
"20.12.2017 05:30";"11.8";"756.6";"764.2";"";"92";"Wind blowing from the north-east";"2";"";"";"no clouds";"Fog or ice fog, sky invisible, no appreciable change during the preceding hour. ";"Fog or ice fog or thick haze.";"Fog or ice fog or thick haze.";"";"";"";"";"";"";"";"less than 0.05";"10.6";"";"";"";"";"";"";
"19.12.2017 23:30";"14.2";"757.2";"764.7";"";"74";"Wind blowing from the north-east";"1";"";"";"50%.";"Mist. ";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"50%.";"2500 or more, or no clouds.";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"1.0";"9.6";"";"";"";"";"";"";
"19.12.2017 17:30";"20.0";"755.5";"762.8";"";"74";"Wind blowing from the north-northeast";"1";"";"";"50%.";"Haze. ";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"";"22.8";"Stratocumulus other than Stratocumulus cumulogenitus.";"20–30%.";"600-1000";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"1.0";"15.3";"";"";"";"";"";"";
