# Weather station Shahjahanpur, India, WMO_ID=42266,selection from 07.12.2015 till 31.12.2017, all days
# Encoding: UTF-8
# The data is provided by the website "Reliable Prognosis", rp5.ru 
# If you use the data, please indicate the name of the website.
# For meteorological parameters see the address http://rp5.ru/archive.php?wmo_id=42266&lang=en
#
"Local time in Shahjahanpur";"T";"Po";"P";"Pa";"U";"DD";"Ff";"ff10";"ff3";"N";"WW";"W1";"W2";"Tn";"Tx";"Cl";"Nh";"H";"Cm";"Ch";"VV";"Td";"RRR";"tR";"E";"Tg";"E'";"sss"
"03.03.2017 17:30";"27.0";"742.2";"755.4";"";"34";"Wind blowing from the west";"1";"";"";"no clouds";" ";"";"";"";"29.0";"";"";"";"";"";"4.0";"9.8";"";"";"";"";"";"";
"03.03.2017 08:30";"16.6";"743.6";"757.3";"";"77";"Wind blowing from the west";"1";"";"";"20–30%.";"Mist. ";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"14.5";"";"";"";"2500 or more, or no clouds.";"";"";"2.0";"12.6";"";"";"";"";"";"";
"02.03.2017 17:30";"24.0";"742.6";"755.9";"";"63";"Calm, no wind";"0";"";"";"100%.";"Clouds generally forming or developing. ";"Drizzle.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"";"25.6";"Stratocumulus other than Stratocumulus cumulogenitus.";"100%.";"2000-2500";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"16.5";"";"";"";"";"";"";
"02.03.2017 08:30";"19.0";"745.9";"759.5";"";"65";"Wind blowing from the west";"1";"";"";"50%.";"Mist. ";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"15.8";"";"";"";"2500 or more, or no clouds.";"";"";"2.0";"12.2";"";"";"";"";"";"";
"01.03.2017 17:30";"29.0";"743.2";"756.3";"";"40";"Calm, no wind";"0";"";"";"70 – 80%.";" ";"";"";"";"30.2";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"no clouds";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus spissatus, in patches or entangled sheaves, which usually do not increase and sometimes seem to be the remains of the upper part of a Cumulonimbus; or Cirrus castellanus or floccus.";"4.0";"14.1";"";"";"";"";"";"";
"28.02.2017 08:30";"14.2";"";"759.9";"";"66";"Wind blowing from the west";"1";"";"";"no clouds";" ";"";"";"10.6";"";"";"";"";"";"";"4.0";"7.8";"";"";"";"";"";"";
"27.02.2017 17:30";"26.0";"";"758.1";"";"30";"Wind blowing from the west";"1";"";"";"no clouds";" ";"";"";"";"27.8";"";"";"";"";"";"4.0";"7.1";"";"";"";"";"";"";
"27.02.2017 08:30";"14.0";"";"759.7";"";"69";"Wind blowing from the south-west";"1";"";"";"no clouds";"Mist. ";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"10.2";"";"";"";"";"";"";"2.0";"8.4";"";"";"";"";"";"";
"26.02.2017 17:30";"15.6";"";"755.5";"";"66";"Wind blowing from the west";"2";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"4.0";"9.2";"";"";"";"";"";"";
"26.02.2017 08:30";"14.0";"";"758.5";"";"69";"Wind blowing from the west";"2";"";"";"no clouds";"Mist. ";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"11.9";"";"";"";"";"";"";"2.0";"8.4";"";"";"";"";"";"";
"25.02.2017 17:30";"25.4";"";"756.7";"";"35";"Wind blowing from the west";"1";"";"";"no clouds";" ";"";"";"";"26.2";"";"";"";"";"";"4.0";"8.9";"";"";"";"";"";"";
"25.02.2017 08:30";"12.4";"";"760.3";"";"70";"Wind blowing from the west";"2";"";"";"no clouds";"Mist. ";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"10.5";"";"";"";"";"";"";"2.0";"7.0";"";"";"";"";"";"";
"24.02.2017 17:30";"23.6";"";"758.5";"";"31";"Wind blowing from the west";"2";"";"";"no clouds";" ";"";"";"";"25.1";"";"";"";"";"";"4.0";"5.4";"";"";"";"";"";"";
"24.02.2017 08:30";"12.4";"";"760.5";"";"59";"Wind blowing from the west";"2";"";"";"no clouds";"Mist. ";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"10.4";"";"";"";"";"";"";"2.0";"4.6";"";"";"";"";"";"";
"23.02.2017 08:30";"14.0";"";"759.4";"";"57";"Wind blowing from the west";"2";"";"";"no clouds";"Mist. ";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"12.1";"";"";"";"";"";"";"2.0";"5.6";"";"";"";"";"";"";
"22.02.2017 17:30";"25.4";"";"756.1";"";"39";"Wind blowing from the west";"1";"";"";"no clouds";" ";"";"";"";"27.0";"";"";"";"";"";"4.0";"10.4";"";"";"";"";"";"";
"22.02.2017 08:30";"16.0";"";"756.7";"";"90";"Wind blowing from the west";"1";"";"";"no clouds";"Mist. ";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"14.7";"";"";"";"";"";"";"2.0";"14.3";"";"";"";"";"";"";
"21.02.2017 17:30";"24.0";"";"753.1";"";"46";"Wind blowing from the west";"1";"";"";"no clouds";" ";"";"";"";"28.0";"";"";"";"";"";"4.0";"11.7";"";"";"";"";"";"";
"21.02.2017 08:30";"19.0";"740.1";"753.6";"";"81";"Wind blowing from the west";"1";"";"";"no clouds";"Mist. ";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"15.7";"";"";"";"";"";"";"2.0";"15.6";"";"";"";"";"";"";
"20.02.2017 17:30";"29.4";"738.3";"751.3";"";"50";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"31.8";"";"";"";"";"";"4.0";"17.8";"";"";"";"";"";"";
"19.02.2017 17:30";"27.0";"744.5";"757.7";"";"59";"Wind blowing from the west";"1";"";"";"no clouds";" ";"";"";"";"28.5";"";"";"";"";"";"4.0";"18.2";"";"";"";"";"";"";
"19.02.2017 08:30";"15.6";"747.3";"761.1";"";"94";"Wind blowing from the south";"2";"";"";"20–30%.";"Mist. ";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"13.4";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"no clouds";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"1.0";"14.6";"";"";"";"";"";"";
"18.02.2017 08:30";"13.2";"748.0";"762.0";"";"93";"Wind blowing from the north-east";"1";"";"";"no clouds";"Mist. ";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"12.1";"";"";"";"";"";"";"1.0";"12.1";"";"";"";"";"";"";
"17.02.2017 17:30";"24.4";"745.1";"758.5";"";"65";"Calm, no wind";"0";"";"";"70 – 80%.";" ";"";"";"";"25.6";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"70 – 80%.";"2500 or more, or no clouds.";"Altostratus opacus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"17.3";"";"";"";"";"";"";
"17.02.2017 08:30";"14.2";"748.5";"762.4";"";"87";"Wind blowing from the west";"1";"";"";"no clouds";"Mist. ";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"12.0";"";"";"";"";"";"";"2.0";"12.0";"";"";"";"";"";"";
"16.02.2017 17:30";"23.0";"746.5";"760.0";"";"59";"Wind blowing from the west";"2";"";"";"70 – 80%.";" ";"";"";"";"26.3";"";"";"2500 or more, or no clouds.";"";"";"4.0";"14.6";"";"";"";"";"";"";
"14.02.2017 08:30";"11.6";"751.3";"765.4";"";"90";"Wind blowing from the west";"2";"";"";"no clouds";"Mist. ";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"9.9";"";"";"";"";"";"";"2.0";"10.0";"";"";"";"";"";"";
"13.02.2017 17:30";"24.0";"748.4";"761.9";"";"53";"Wind blowing from the west";"1";"";"";"no clouds";" ";"";"";"";"26.0";"";"";"";"";"";"4.0";"13.8";"";"";"";"";"";"";
"12.02.2017 17:30";"23.8";"748.5";"762.0";"";"46";"Wind blowing from the north";"2";"";"";"no clouds";" ";"";"";"";"24.9";"";"";"";"";"";"4.0";"11.4";"";"";"";"";"";"";
"12.02.2017 08:30";"10.4";"750.4";"764.5";"";"72";"Wind blowing from the east";"1";"";"";"no clouds";"Mist. ";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"7.4";"";"";"";"";"";"";"4.0";"5.6";"";"";"";"";"";"";
"11.02.2017 17:30";"23.2";"746.9";"760.4";"";"42";"Wind blowing from the east";"1";"";"";"20–30%.";" ";"";"";"";"24.8";"";"";"2500 or more, or no clouds.";"";"";"4.0";"9.6";"";"";"";"";"";"";
"11.02.2017 08:30";"10.6";"747.9";"762.0";"";"90";"Wind blowing from the north";"1";"";"";"no clouds";"Mist. ";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"8.7";"";"";"";"";"";"";"2.0";"9.0";"";"";"";"";"";"";
"10.02.2017 17:30";"21.0";"744.1";"757.6";"";"57";"Wind blowing from the west";"1";"";"";"no clouds";" ";"";"";"";"22.6";"";"";"";"";"";"4.0";"12.1";"";"";"";"";"";"";
"10.02.2017 08:30";"10.8";"746.9";"761.0";"";"88";"Wind blowing from the west";"2";"";"";"no clouds";"Mist. ";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"9.5";"";"";"";"";"";"";"2.0";"8.8";"";"";"";"";"";"";
"09.02.2017 17:30";"22.0";"744.8";"758.3";"";"43";"Wind blowing from the west";"1";"";"";"no clouds";" ";"";"";"";"24.5";"";"";"";"";"";"4.0";"8.9";"";"";"";"";"";"";
"09.02.2017 08:30";"13.8";"746.8";"760.7";"";"80";"Wind blowing from the west";"1";"";"";"50%.";"Mist. ";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"8.6";"";"";"";"2500 or more, or no clouds.";"";"";"2.0";"10.4";"";"";"";"";"";"";
"08.02.2017 17:30";"22.4";"745.1";"758.6";"";"51";"Wind blowing from the west";"1";"";"";"no clouds";" ";"";"";"";"24.0";"";"";"";"";"";"4.0";"11.8";"";"";"";"";"";"";
"08.02.2017 08:30";"13.4";"747.3";"761.2";"";"77";"Wind blowing from the west";"2";"";"";"50%.";"Mist. ";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"9.6";"";"";"";"2500 or more, or no clouds.";"";"";"2.0";"9.5";"";"";"";"";"";"";
"07.02.2017 17:30";"22.0";"744.7";"758.2";"";"46";"Wind blowing from the west";"1";"";"";"no clouds";" ";"";"";"";"23.2";"";"";"";"";"";"4.0";"9.9";"";"";"";"";"";"";
"07.02.2017 08:30";"12.4";"746.6";"760.6";"";"77";"Wind blowing from the west";"2";"";"";"20–30%.";"Mist. ";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"10.7";"";"";"";"2500 or more, or no clouds.";"";"";"2.0";"8.4";"";"";"";"";"";"";
"06.02.2017 17:30";"24.0";"744.1";"757.5";"";"42";"Wind blowing from the west";"1";"";"";"no clouds";" ";"";"";"";"25.8";"";"";"";"";"";"4.0";"10.3";"";"";"";"";"";"";
"06.02.2017 08:30";"14.4";"745.8";"759.7";"";"96";"Wind blowing from the north-west";"1";"";"";"50%.";"Mist. ";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"12.8";"";"";"";"2500 or more, or no clouds.";"";"";"2.0";"13.7";"";"";"";"";"";"";
"05.02.2017 17:30";"23.6";"745.0";"758.4";"";"61";"Wind blowing from the north-east";"1";"";"";"70 – 80%.";"Mist. ";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"";"24.8";"";"";"2500 or more, or no clouds.";"";"";"4.0";"15.7";"";"";"";"";"";"";
"05.02.2017 08:30";"13.4";"747.1";"761.0";"";"86";"Wind blowing from the north-east";"1";"";"";"50%.";"Mist. ";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"10.2";"";"";"";"2500 or more, or no clouds.";"";"";"2.0";"11.1";"";"";"";"";"";"";
"04.02.2017 17:30";"22.4";"744.9";"758.4";"";"51";"Calm, no wind";"0";"";"";"70 – 80%.";" ";"";"";"";"23.5";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"70 – 80%.";"2500 or more, or no clouds.";"Altostratus opacus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"11.8";"";"";"";"";"";"";
"04.02.2017 08:30";"10.0";"748.2";"762.3";"";"53";"Wind blowing from the north-east";"1";"";"";"70 – 80%.";"Mist. ";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"8.9";"";"";"";"2500 or more, or no clouds.";"";"";"2.0";"0.8";"";"";"";"";"";"";
"03.02.2017 08:30";"10.2";"749.4";"763.5";"";"90";"Wind blowing from the south";"1";"";"";"50%.";"Mist. ";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"9.3";"";"";"";"2500 or more, or no clouds.";"";"";"2.0";"8.6";"";"";"";"";"";"";
"02.02.2017 17:30";"22.0";"747.5";"761.0";"";"54";"Wind blowing from the west";"1";"";"";"no clouds";" ";"";"";"";"24.0";"";"";"";"";"";"4.0";"12.1";"";"";"";"";"";"";
"02.02.2017 08:30";"8.8";"750.1";"764.3";"";"87";"Wind blowing from the north";"1";"";"";"20–30%.";"Mist. ";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"7.4";"";"";"";"2500 or more, or no clouds.";"";"";"2.0";"6.7";"";"";"";"";"";"";
"01.02.2017 17:30";"21.4";"747.0";"760.6";"";"44";"Wind blowing from the west";"2";"";"";"20–30%.";" ";"";"";"";"23.7";"";"";"2500 or more, or no clouds.";"";"";"4.0";"8.5";"";"";"";"";"";"";
"01.02.2017 08:30";"11.0";"747.5";"761.6";"";"89";"Wind blowing from the east";"1";"";"";"no clouds";"Fog or ice fog at a distance at the time of observation, but not at the station during the preceding hour, the fog or ice fog extending to a level above that of the observer. ";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"9.0";"";"";"";"";"";"";"1.0";"9.2";"";"";"";"";"";"";
"31.01.2017 17:30";"21.0";"745.2";"758.7";"";"60";"Wind blowing from the west";"1";"";"";"no clouds";" ";"";"";"";"22.5";"";"";"";"";"";"4.0";"12.9";"";"";"";"";"";"";
"30.01.2017 17:30";"19.4";"745.8";"759.4";"";"81";"Wind blowing from the west";"1";"";"";"no clouds";" ";"";"";"";"21.4";"";"";"";"";"";"4.0";"16.1";"";"";"";"";"";"";
"30.01.2017 08:30";"11.4";"747.2";"761.2";"";"95";"Wind blowing from the south-west";"1";"";"";"100%.";"Fog or ice fog, sky invisible, has begun or has become thicker during the preceding hour. ";"Fog or ice fog or thick haze.";"Fog or ice fog or thick haze.";"10.0";"";"";"Sky obscured by fog and/or other meteorological phenomena.";"2500 or more, or no clouds.";"";"";"less than 0.05";"10.6";"";"";"";"";"";"";
"29.01.2017 17:30";"19.0";"747.2";"760.9";"";"70";"Wind blowing from the west";"1";"";"";"70 – 80%.";" ";"";"";"";"20.0";"";"";"2500 or more, or no clouds.";"";"";"4.0";"13.4";"";"";"";"";"";"";
"29.01.2017 08:30";"13.0";"748.3";"762.3";"";"93";"Wind blowing from the west";"2";"";"";"100%.";"Mist. ";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"12.5";"";"";"Sky obscured by fog and/or other meteorological phenomena.";"2500 or more, or no clouds.";"";"";"2.0";"11.9";"";"";"";"";"";"";
"28.01.2017 17:30";"19.0";"746.9";"760.6";"";"72";"Wind blowing from the west";"1";"";"";"no clouds";" ";"";"";"";"21.4";"";"";"";"";"";"4.0";"13.8";"";"";"";"";"";"";
"28.01.2017 08:30";"12.4";"749.4";"763.4";"";"88";"Calm, no wind";"0";"";"";"no clouds";"Fog or ice fog, sky invisible (has become thinner during the preceding hour). ";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"Fog or ice fog or thick haze.";"10.5";"";"";"";"";"";"";"0.2";"10.5";"";"";"";"";"";"";
"27.01.2017 17:30";"16.0";"747.1";"760.9";"";"83";"Wind blowing from the east";"1";"";"";"100%.";"Haze. ";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"";"19.0";"Cumulonimbus calvus, with or without Cumulus, Stratocumulus or Stratus.";"60%.";"2500 or more, or no clouds.";"Altostratus opacus or Nimbostratus.";"";"4.0";"13.1";"";"";"";"";"";"";
"27.01.2017 08:30";"14.0";"748.2";"762.1";"";"97";"Wind blowing from the east";"2";"";"";"70 – 80%.";"Mist. ";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"12.9";"";"Cumulonimbus calvus, with or without Cumulus, Stratocumulus or Stratus.";"100%.";"2500 or more, or no clouds.";"Altostratus opacus or Nimbostratus.";"";"2.0";"13.6";"";"";"";"";"";"";
"26.01.2017 08:30";"9.4";"749.2";"763.4";"";"97";"Wind blowing from the east";"1";"";"";"no clouds";"Mist. ";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"8.6";"";"";"";"";"";"";"1.0";"9.0";"";"";"";"";"";"";
"25.01.2017 17:30";"23.4";"747.9";"761.4";"";"52";"Wind blowing from the west";"1";"";"";"no clouds";" ";"";"";"";"24.6";"";"";"";"";"";"4.0";"13.0";"";"";"";"";"";"";
"25.01.2017 08:30";"10.0";"751.0";"765.2";"";"100";"Wind blowing from the north-east";"1";"";"";"no clouds";"Fog or ice fog, sky invisible, no appreciable change during the preceding hour. ";"Fog or ice fog or thick haze.";"Fog or ice fog or thick haze.";"9.2";"";"";"";"";"";"";"0.05";"10.0";"";"";"";"";"";"";
"24.01.2017 17:30";"24.0";"747.5";"760.9";"";"67";"Wind blowing from the west";"1";"";"";"no clouds";" ";"";"";"";"25.5";"";"";"";"";"";"4.0";"17.4";"";"";"";"";"";"";
"24.01.2017 08:30";"11.0";"";"762.5";"";"88";"Wind blowing from the west";"1";"";"";"no clouds";" ";"";"";"10.5";"";"";"";"";"";"";"4.0";"9.0";"";"";"";"";"";"";
"23.01.2017 17:30";"24.0";"";"760.6";"";"63";"Wind blowing from the west";"1";"";"";"no clouds";" ";"";"";"";"25.6";"";"";"";"";"";"4.0";"16.5";"";"";"";"";"";"";
"23.01.2017 08:30";"12.8";"";"764.2";"";"91";"Wind blowing from the west";"2";"";"";"no clouds";"Mist. ";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"11.4";"";"";"";"";"";"";"1.0";"11.3";"";"";"";"";"";"";
"22.01.2017 17:30";"22.8";"";"762.4";"";"53";"Wind blowing from the west";"2";"";"";"no clouds";" ";"";"";"";"24.4";"";"";"";"";"";"4.0";"12.7";"";"";"";"";"";"";
"22.01.2017 08:30";"9.0";"";"766.0";"";"92";"Wind blowing from the west";"1";"";"";"20–30%.";"Mist. ";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"7.9";"";"";"";"2500 or more, or no clouds.";"";"";"0.5";"7.7";"";"";"";"";"";"";
"21.01.2017 17:30";"19.4";"";"762.1";"";"64";"Calm, no wind";"0";"";"";"70 – 80%.";" ";"";"";"";"21.0";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"70 – 80%.";"2500 or more, or no clouds.";"Altostratus opacus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"12.3";"";"";"";"";"";"";
"20.01.2017 17:30";"18.4";"";"762.2";"";"54";"Wind blowing from the west";"1";"";"";"70 – 80%.";" ";"";"";"";"22.4";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"70 – 80%.";"2500 or more, or no clouds.";"Altostratus opacus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"8.8";"";"";"";"";"";"";
"20.01.2017 08:30";"8.2";"";"765.4";"";"89";"Wind blowing from the north-west";"1";"";"";"20–30%.";"Mist. ";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"7.2";"";"";"";"2500 or more, or no clouds.";"";"";"1.0";"6.5";"";"";"";"";"";"";
"19.01.2017 17:30";"20.4";"";"762.2";"";"61";"Wind blowing from the west";"1";"";"";"no clouds";" ";"";"";"";"22.5";"";"";"";"";"";"4.0";"12.6";"";"";"";"";"";"";
"19.01.2017 08:30";"7.2";"";"766.4";"";"97";"Wind blowing from the west";"1";"";"";"Sky obscured by fog and/or other meteorological phenomena.";"Fog or ice fog, sky invisible, no appreciable change during the preceding hour. ";"Fog or ice fog or thick haze.";"Fog or ice fog or thick haze.";"6.3";"";"";"Sky obscured by fog and/or other meteorological phenomena.";"2500 or more, or no clouds.";"";"";"less than 0.05";"6.8";"";"";"";"";"";"";
"18.01.2017 17:30";"15.4";"";"763.1";"";"79";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"16.6";"";"";"";"";"";"4.0";"11.7";"";"";"";"";"";"";
"18.01.2017 08:30";"8.2";"";"765.3";"";"92";"Wind blowing from the west";"2";"";"";"Sky obscured by fog and/or other meteorological phenomena.";"Mist. ";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"7.0";"";"";"Sky obscured by fog and/or other meteorological phenomena.";"";"";"";"0.2";"6.9";"";"";"";"";"";"";
"17.01.2017 17:30";"14.0";"";"760.0";"";"82";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"15.6";"";"";"";"";"";"4.0";"11.0";"";"";"";"";"";"";
"16.01.2017 17:30";"21.0";"";"759.4";"";"52";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"22.5";"";"";"";"";"";"4.0";"10.8";"";"";"";"";"";"";
"16.01.2017 08:30";"7.0";"";"762.5";"";"89";"Wind blowing from the north";"2";"";"";"20–30%.";"Mist. ";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"5.3";"";"";"";"2500 or more, or no clouds.";"";"";"0.5";"5.3";"";"";"";"";"";"";
"15.01.2017 17:30";"20.0";"";"761.8";"";"59";"Wind blowing from the west";"2";"";"";"no clouds";"Mist. ";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"";"21.3";"";"";"";"";"";"2.0";"11.7";"";"";"";"";"";"";
"15.01.2017 08:30";"7.4";"";"763.6";"";"80";"Wind blowing from the south";"1";"";"";"20–30%.";"Mist. ";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"5.4";"";"";"";"2500 or more, or no clouds.";"";"";"1.0";"4.2";"";"";"";"";"";"";
"14.01.2017 08:30";"5.6";"";"763.0";"";"91";"Wind blowing from the south";"1";"";"";"no clouds";"Mist. ";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"2.8";"";"";"";"";"";"";"0.5";"4.2";"";"";"";"";"";"";
"13.01.2017 17:30";"17.0";"";"760.6";"";"47";"Wind blowing from the west";"1";"";"";"no clouds";" ";"";"";"";"18.6";"";"";"";"";"";"4.0";"5.4";"";"";"";"";"";"";
"13.01.2017 08:30";"6.0";"";"761.9";"";"76";"Wind blowing from the west";"1";"";"";"no clouds";" ";"";"";"4.0";"";"";"";"";"";"";"4.0";"2.1";"";"";"";"";"";"";
"12.01.2017 17:30";"16.4";"";"760.3";"";"47";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"18.0";"";"";"";"";"";"4.0";"5.1";"";"";"";"";"";"";
"10.01.2017 08:30";"11.2";"746.9";"760.9";"";"90";"Wind blowing from the west";"1";"";"";"no clouds";" ";"";"";"10.0";"";"";"";"";"";"";"4.0";"9.6";"";"";"";"";"";"";
"09.01.2017 08:30";"12.8";"746.4";"760.3";"";"82";"Wind blowing from the north-west";"1";"";"";"50%.";"Mist. ";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"9.7";"";"";"";"2500 or more, or no clouds.";"";"";"2.0";"9.7";"";"";"";"";"";"";
"07.01.2017 08:30";"10.0";"748.3";"762.4";"";"92";"Wind blowing from the east";"1";"";"";"no clouds";"Fog or ice fog, sky invisible (has become thinner during the preceding hour). ";"Fog or ice fog or thick haze.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"8.2";"";"";"";"";"";"";"0.5";"8.8";"";"";"";"";"";"";
"06.01.2017 17:30";"14.4";"744.1";"757.9";"";"96";"Calm, no wind";"0";"";"";"100%.";"Rain and snow or ice pellets not falling as shower(s). ";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"Fog or ice fog or thick haze.";"";"15.0";"Stratocumulus other than Stratocumulus cumulogenitus.";"100%.";"2000-2500";"Altostratus opacus or Nimbostratus.";"";"2.0";"13.7";"";"";"";"";"";"";
"06.01.2017 08:30";"11.0";"746.4";"760.4";"";"100";"Wind blowing from the east";"1";"";"";"no clouds";"Fog or ice fog, sky invisible, has begun or has become thicker during the preceding hour. ";"Fog or ice fog or thick haze.";"Fog or ice fog or thick haze.";"9.7";"";"";"";"";"";"";"0.05";"11.0";"";"";"";"";"";"";
"05.01.2017 17:30";"18.4";"744.3";"757.9";"";"86";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"19.6";"";"";"";"";"";"4.0";"16.0";"";"";"";"";"";"";
"05.01.2017 08:30";"10.4";"747.2";"761.3";"";"100";"Wind blowing from the west";"1";"";"";"no clouds";"Fog or ice fog, sky invisible, has begun or has become thicker during the preceding hour. ";"Fog or ice fog or thick haze.";"Fog or ice fog or thick haze.";"8.5";"";"";"";"";"";"";"0.5";"10.4";"";"";"";"";"";"";
"04.01.2017 17:30";"18.0";"745.9";"759.6";"";"84";"Wind blowing from the west";"1";"";"";"no clouds";" ";"";"";"";"19.0";"";"";"";"";"";"4.0";"15.3";"";"";"";"";"";"";
