# Weather station Varanasi, India, WMO_ID=42483,selection from 17.11.2015 till 31.12.2017, all days
# Encoding: UTF-8
# The data is provided by the website "Reliable Prognosis", rp5.ru 
# If you use the data, please indicate the name of the website.
# For meteorological parameters see the address http://rp5.ru/archive.php?wmo_id=42483&lang=en
#
"Local time in Varanasi";"T";"Po";"P";"Pa";"U";"DD";"Ff";"ff10";"ff3";"N";"WW";"W1";"W2";"Tn";"Tx";"Cl";"Nh";"H";"Cm";"Ch";"VV";"Td";"RRR";"tR";"E";"Tg";"E'";"sss"
"15.02.2017 08:30";"14.0";"759.6";"767.8";"";"89";"Calm, no wind";"0";"";"";"50%.";"Mist. ";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"10.7";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"no clouds";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"2.0";"12.2";"";"";"";"";"";"";
"14.02.2017 17:30";"26.4";"757.6";"765.4";"";"40";"Wind blowing from the west";"1";"";"";"no clouds";"Haze. ";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"";"28.4";"";"";"";"";"";"2.0";"11.8";"";"";"";"";"";"";
"14.02.2017 08:30";"16.8";"760.0";"768.1";"";"86";"Wind blowing from the north-northwest";"1";"";"";"no clouds";"Mist. ";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"13.6";"";"";"";"";"";"";"1.0";"14.4";"";"";"";"";"";"";
"13.02.2017 17:30";"26.0";"756.5";"764.3";"";"52";"Wind blowing from the west";"1";"";"";"no clouds";"Haze. ";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"";"28.9";"";"";"";"";"";"2.0";"15.5";"";"";"";"";"";"";
"13.02.2017 08:30";"15.4";"759.0";"767.1";"";"91";"Calm, no wind";"0";"";"";"no clouds";"Mist. ";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"13.6";"";"";"";"";"";"";"1.0";"14.0";"";"";"";"";"";"";
"12.02.2017 17:30";"24.6";"755.6";"763.4";"";"49";"Wind blowing from the west";"1";"";"";"no clouds";"Haze. ";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"";"26.9";"";"";"";"";"";"2.0";"13.3";"";"";"";"";"";"";
"12.02.2017 08:30";"17.0";"757.9";"766.0";"";"64";"Wind blowing from the north-east";"1";"";"";"50%.";"Haze. ";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"14.2";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"40%.";"2500 or more, or no clouds.";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"2.0";"10.2";"";"";"";"";"";"";
"11.02.2017 17:30";"22.8";"754.4";"762.3";"";"50";"Calm, no wind";"0";"";"";"40%.";"Haze. ";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"";"27.0";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"no clouds";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"2.0";"11.8";"";"";"";"";"";"";
"11.02.2017 08:30";"11.4";"756.3";"764.5";"";"80";"Calm, no wind";"0";"";"";"40%.";"Mist. ";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"8.3";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"20–30%.";"2500 or more, or no clouds.";"Altocumulus translucidus at a single level.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"1.0";"8.1";"";"";"";"";"";"";
"10.02.2017 17:30";"23.6";"752.7";"760.5";"";"31";"Wind blowing from the west";"1";"";"";"no clouds";"Haze. ";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"";"25.8";"";"";"";"";"";"2.0";"5.4";"";"";"";"";"";"";
"10.02.2017 08:30";"15.0";"755.5";"763.6";"";"75";"Wind blowing from the west";"2";"";"";"no clouds";"Mist. ";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"12.0";"";"";"";"";"";"";"1.0";"10.5";"";"";"";"";"";"";
"09.02.2017 17:30";"26.2";"752.2";"760.0";"";"39";"Wind blowing from the west";"1";"";"";"no clouds";"Haze. ";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"";"";"";"";"";"";"";"2.0";"11.0";"";"";"";"";"";"";
"09.02.2017 08:30";"13.8";"754.6";"762.7";"";"84";"Calm, no wind";"0";"";"";"no clouds";"Mist. ";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"10.0";"";"";"";"";"";"";"1.0";"11.2";"";"";"";"";"";"";
"08.02.2017 17:30";"24.6";"753.1";"760.9";"";"41";"Wind blowing from the west";"1";"";"";"40%.";"Haze. ";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"";"26.9";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"no clouds";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"2.0";"10.6";"";"";"";"";"";"";
"08.02.2017 08:30";"14.2";"756.0";"764.1";"";"72";"Wind blowing from the west-northwest";"2";"";"";"20–30%.";"Haze. ";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"10.6";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"20–30%.";"2500 or more, or no clouds.";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"2.0";"9.1";"";"";"";"";"";"";
"07.02.2017 17:30";"23.6";"753.1";"760.9";"";"43";"Wind blowing from the south-west";"2";"";"";"10%  or less, but not 0";"Haze. ";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"";"26.0";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"no clouds";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"2.0";"10.2";"";"";"";"";"";"";
"07.02.2017 08:30";"16.4";"754.4";"762.5";"";"85";"Wind blowing from the west";"2";"";"";"no clouds";"Mist. ";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"15.0";"";"";"";"";"";"";"1.0";"13.9";"";"";"";"";"";"";
"06.02.2017 17:30";"25.8";"751.5";"759.3";"";"66";"Calm, no wind";"0";"";"";"no clouds";"Haze. ";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"";"30.0";"";"";"";"";"";"2.0";"18.9";"";"";"";"";"";"";
"06.02.2017 08:30";"16.2";"753.5";"761.5";"";"94";"Calm, no wind";"0";"";"";"no clouds";"Mist. ";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"13.5";"";"";"";"";"";"";"1.0";"15.2";"";"";"";"";"";"";
"05.02.2017 17:30";"25.4";"752.1";"759.9";"";"48";"Wind blowing from the north-east";"1";"";"";"no clouds";"Haze. ";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"";"27.8";"";"";"";"";"";"2.0";"13.5";"";"";"";"";"";"";
"05.02.2017 08:30";"14.2";"755.7";"763.8";"";"96";"Calm, no wind";"0";"";"";"no clouds";"Mist. ";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"11.7";"";"";"";"";"";"";"1.0";"13.5";"";"";"";"";"";"";
"04.02.2017 17:30";"22.4";"753.4";"761.3";"";"55";"Calm, no wind";"0";"";"";"60%.";"Haze. ";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"";"25.7";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"no clouds";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"2.0";"13.0";"";"";"";"";"";"";
"04.02.2017 08:30";"13.2";"756.6";"764.8";"";"96";"Calm, no wind";"0";"";"";"40%.";"Fog or ice fog, sky visible (has become thinner during the preceding hour). ";"Fog or ice fog or thick haze.";"Fog or ice fog or thick haze.";"10.7";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"20–30%.";"2500 or more, or no clouds.";"Altocumulus translucidus at a single level.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"0.5";"12.5";"";"";"";"";"";"";
"03.02.2017 17:30";"23.0";"755.2";"763.1";"";"59";"Calm, no wind";"0";"";"";"60%.";"Haze. ";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"";"23.8";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"no clouds";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"2.0";"14.6";"";"";"";"";"";"";
"03.02.2017 08:30";"14.2";"758.1";"766.3";"";"97";"Wind blowing from the west";"1";"";"";"Sky obscured by fog and/or other meteorological phenomena.";"Fog or ice fog, sky invisible, no appreciable change during the preceding hour. ";"Fog or ice fog or thick haze.";"Fog or ice fog or thick haze.";"12.5";"";"";"Sky obscured by fog and/or other meteorological phenomena.";"";"";"";"less than 0.05";"13.8";"";"";"";"";"";"";
"02.02.2017 17:30";"20.6";"755.9";"763.9";"";"71";"Wind blowing from the north-east";"1";"";"";"20–30%.";"Haze. ";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"";"22.0";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"no clouds";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"2.0";"15.2";"";"";"";"";"";"";
"02.02.2017 08:30";"14.6";"758.5";"766.6";"";"98";"Calm, no wind";"0";"";"";"Sky obscured by fog and/or other meteorological phenomena.";"Fog or ice fog, sky invisible (has become thinner during the preceding hour). ";"Fog or ice fog or thick haze.";"Fog or ice fog or thick haze.";"13.6";"";"";"Sky obscured by fog and/or other meteorological phenomena.";"";"";"";"0.05";"14.3";"";"";"";"";"";"";
"01.02.2017 17:30";"23.2";"754.8";"762.7";"";"58";"Calm, no wind";"0";"";"";"no clouds";"Haze. ";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"";"24.7";"";"";"";"";"";"2.0";"14.4";"";"";"";"";"";"";
"01.02.2017 08:30";"13.2";"756.1";"764.3";"";"97";"Calm, no wind";"0";"";"";"Sky obscured by fog and/or other meteorological phenomena.";"Fog or ice fog, sky invisible, no appreciable change during the preceding hour. ";"Fog or ice fog or thick haze.";"Fog or ice fog or thick haze.";"12.4";"";"";"Sky obscured by fog and/or other meteorological phenomena.";"";"";"";"less than 0.05";"12.8";"";"";"";"";"";"";
"31.01.2017 17:30";"21.8";"753.5";"761.4";"";"68";"Calm, no wind";"0";"";"";"no clouds";"Haze. ";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"";"23.4";"";"";"";"";"";"2.0";"15.5";"";"";"";"";"";"";
"31.01.2017 08:30";"12.4";"755.1";"763.3";"";"97";"Calm, no wind";"0";"";"";"Sky obscured by fog and/or other meteorological phenomena.";"Fog or ice fog, sky invisible, no appreciable change during the preceding hour. ";"Fog or ice fog or thick haze.";"Fog or ice fog or thick haze.";"11.3";"";"";"Sky obscured by fog and/or other meteorological phenomena.";"";"";"";"0.2";"12.0";"";"";"";"";"";"";
"30.01.2017 17:30";"20.8";"753.5";"761.4";"";"66";"Calm, no wind";"0";"";"";"no clouds";"Haze. ";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"";"22.2";"";"";"";"";"";"2.0";"14.3";"";"";"";"";"";"";
"30.01.2017 08:30";"12.8";"756.6";"764.8";"";"96";"Wind blowing from the south";"1";"";"";"no clouds";"Mist. ";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"11.1";"";"";"";"";"";"";"0.5";"12.1";"";"";"";"";"";"";
"29.01.2017 17:30";"21.4";"754.9";"762.8";"";"62";"Calm, no wind";"0";"";"";"no clouds";"Haze. ";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"";"23.0";"";"";"";"";"";"2.0";"13.8";"";"";"";"";"";"";
"29.01.2017 08:30";"13.6";"756.9";"765.1";"";"93";"Wind blowing from the west-southwest";"1";"";"";"no clouds";"Mist. ";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"12.0";"";"";"";"";"";"";"1.0";"12.5";"";"";"";"";"";"";
"28.01.2017 17:30";"20.6";"755.1";"763.0";"";"60";"Wind blowing from the north-northeast";"1";"";"";"no clouds";"Haze. ";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"";"22.3";"";"";"";"";"";"2.0";"12.5";"";"";"";"";"";"";
"28.01.2017 08:30";"13.4";"757.9";"766.1";"";"96";"Wind blowing from the west";"2";"";"";"no clouds";"Mist. ";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"11.7";"";"";"";"";"";"";"1.0";"12.7";"";"";"";"";"";"";
"27.01.2017 17:30";"18.0";"755.5";"763.5";"";"86";"Wind blowing from the west";"2";"";"";"100%.";"Haze. ";"Thunderstorm(s) with or without precipitation.";"Rain.";"";"23.1";"Stratocumulus other than Stratocumulus cumulogenitus.";"40%.";"600-1000";"Altostratus opacus or Nimbostratus.";"";"2.0";"15.6";"";"";"";"";"";"";
"27.01.2017 08:30";"18.0";"756.5";"764.5";"";"84";"Wind blowing from the north-northwest";"2";"";"";"100%.";"Rain, not freezing, intermittent, slight at time of observation. ";"Rain.";"Rain.";"16.8";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"50%.";"600-1000";"Altostratus opacus or Nimbostratus.";"";"1.0";"15.3";"";"";"";"";"";"";
"26.01.2017 17:30";"22.8";"754.0";"761.9";"";"86";"Wind blowing from the north-east";"1";"";"";"90  or more, but not 100%";"Haze. ";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"";"27.0";"Stratocumulus other than Stratocumulus cumulogenitus.";"60%.";"600-1000";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"2.0";"20.3";"";"";"";"";"";"";
"26.01.2017 08:30";"13.8";"757.4";"765.6";"";"96";"Calm, no wind";"0";"";"";"no clouds";"Mist. ";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"11.5";"";"";"";"";"";"";"1.0";"13.1";"";"";"";"";"";"";
"25.01.2017 17:30";"23.4";"755.8";"763.7";"";"62";"Calm, no wind";"0";"";"";"no clouds";"Haze. ";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"";"26.6";"";"";"";"";"";"2.0";"15.7";"";"";"";"";"";"";
"24.01.2017 17:30";"24.6";"756.1";"763.9";"";"59";"Calm, no wind";"0";"";"";"no clouds";"Haze. ";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"";"27.0";"";"";"";"";"";"2.0";"16.1";"";"";"";"";"";"";
"24.01.2017 08:30";"14.4";"758.2";"766.3";"";"91";"Wind blowing from the south-southwest";"1";"";"";"no clouds";"Mist. ";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"12.3";"";"";"";"";"";"";"1.0";"12.9";"";"";"";"";"";"";
"23.01.2017 17:30";"23.4";"755.1";"763.0";"";"60";"Calm, no wind";"0";"";"";"no clouds";"Haze. ";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"";"25.5";"";"";"";"";"";"2.0";"15.1";"";"";"";"";"";"";
"23.01.2017 08:30";"14.8";"758.8";"766.9";"";"81";"Calm, no wind";"0";"";"";"no clouds";"Mist. ";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"12.5";"";"";"";"";"";"";"1.0";"11.5";"";"";"";"";"";"";
"22.01.2017 17:30";"22.8";"756.4";"764.3";"";"53";"Calm, no wind";"0";"";"";"no clouds";"Haze. ";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"";"24.2";"";"";"";"";"";"2.0";"12.7";"";"";"";"";"";"";
"22.01.2017 08:30";"11.4";"760.2";"768.5";"";"90";"Calm, no wind";"0";"";"";"no clouds";"Mist. ";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"9.3";"";"";"";"";"";"";"1.0";"9.8";"";"";"";"";"";"";
"21.01.2017 17:30";"21.2";"756.9";"764.8";"";"56";"Calm, no wind";"0";"";"";"40%.";"Haze. ";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"";"23.4";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"no clouds";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"2.0";"12.0";"";"";"";"";"";"";
"21.01.2017 08:30";"11.4";"759.2";"767.4";"";"83";"Calm, no wind";"0";"";"";"no clouds";"Haze. ";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"10.5";"";"";"";"";"";"";"2.0";"8.6";"";"";"";"";"";"";
"20.01.2017 17:30";"21.6";"755.8";"763.7";"";"50";"Wind blowing from the west";"1";"";"";"no clouds";"Haze. ";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"";"24.0";"";"";"";"";"";"2.0";"10.7";"";"";"";"";"";"";
"20.01.2017 08:30";"13.6";"759.2";"767.4";"";"75";"Wind blowing from the west";"2";"";"";"no clouds";"Mist. ";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"11.5";"";"";"";"";"";"";"1.0";"9.3";"";"";"";"";"";"";
"19.01.2017 17:30";"19.8";"756.8";"764.8";"";"61";"Calm, no wind";"0";"";"";"no clouds";"Haze. ";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"";"22.6";"";"";"";"";"";"2.0";"11.9";"";"";"";"";"";"";
"19.01.2017 08:30";"12.0";"759.9";"768.1";"";"95";"Calm, no wind";"0";"";"";"no clouds";"Mist. ";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"10.3";"";"";"";"";"";"";"0.5";"11.2";"";"";"";"";"";"";
"18.01.2017 17:30";"18.8";"757.1";"765.1";"";"75";"Calm, no wind";"0";"";"";"no clouds";"Haze. ";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"";"22.2";"";"";"";"";"";"2.0";"14.3";"";"";"";"";"";"";
"18.01.2017 08:30";"11.6";"759.2";"767.4";"";"92";"Calm, no wind";"0";"";"";"no clouds";"Mist. ";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"10.6";"";"";"";"";"";"";"0.5";"10.4";"";"";"";"";"";"";
"17.01.2017 17:30";"22.0";"754.5";"762.4";"";"61";"Calm, no wind";"0";"";"";"no clouds";"Haze. ";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"";"24.3";"";"";"";"";"";"2.0";"14.2";"";"";"";"";"";"";
"17.01.2017 08:30";"12.8";"756.3";"764.5";"";"91";"Calm, no wind";"0";"";"";"no clouds";"Fog or ice fog, sky visible (has become thinner during the preceding hour). ";"Fog or ice fog or thick haze.";"Fog or ice fog or thick haze.";"11.1";"";"";"";"";"";"";"0.5";"11.3";"";"";"";"";"";"";
"16.01.2017 17:30";"21.0";"753.9";"761.8";"";"63";"Calm, no wind";"0";"";"";"no clouds";"Haze. ";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"";"23.6";"";"";"";"";"";"2.0";"13.7";"";"";"";"";"";"";
"16.01.2017 08:30";"9.2";"756.8";"765.1";"";"97";"Calm, no wind";"0";"";"";"no clouds";"Fog or ice fog, sky visible (has become thinner during the preceding hour). ";"Fog or ice fog or thick haze.";"Fog or ice fog or thick haze.";"7.5";"";"";"";"";"";"";"0.5";"8.8";"";"";"";"";"";"";
"15.01.2017 17:30";"18.0";"755.9";"763.9";"";"62";"Calm, no wind";"0";"";"";"10%  or less, but not 0";"Haze. ";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"";"21.5";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"10%  or less, but not 0";"2500 or more, or no clouds.";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"2.0";"10.6";"";"";"";"";"";"";
"15.01.2017 08:30";"9.2";"758.6";"766.9";"";"87";"Calm, no wind";"0";"";"";"no clouds";"Mist. ";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"6.1";"";"";"";"";"";"";"1.0";"7.1";"";"";"";"";"";"";
"14.01.2017 17:30";"16.8";"756.1";"764.2";"";"57";"Calm, no wind";"0";"";"";"10%  or less, but not 0";"Haze. ";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"";"19.2";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"10%  or less, but not 0";"2500 or more, or no clouds.";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"2.0";"8.2";"";"";"";"";"";"";
"14.01.2017 08:30";"7.0";"757.3";"765.7";"";"88";"Calm, no wind";"0";"";"";"no clouds";"Mist. ";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"5.1";"";"";"";"";"";"";"1.0";"5.2";"";"";"";"";"";"";
"13.01.2017 17:30";"20.0";"755.0";"763.0";"";"41";"Wind blowing from the north-west";"1";"";"";"no clouds";" ";"";"";"";"20.0";"";"";"";"";"";"4.0";"6.4";"";"";"";"";"";"";
"13.01.2017 08:30";"7.2";"756.8";"765.1";"";"88";"Calm, no wind";"0";"";"";"no clouds";"Mist. ";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"5.0";"";"";"";"";"";"";"1.0";"5.4";"";"";"";"";"";"";
"12.01.2017 17:30";"16.8";"754.2";"762.2";"";"38";"Wind blowing from the west";"1";"";"";"no clouds";" ";"";"";"";"19.4";"";"";"";"";"";"4.0";"2.5";"";"";"";"";"";"";
"12.01.2017 08:30";"8.0";"756.6";"764.9";"";"78";"Wind blowing from the west-northwest";"1";"";"";"no clouds";"Mist. ";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"5.5";"";"";"";"";"";"";"1.0";"4.4";"";"";"";"";"";"";
"11.01.2017 17:30";"17.0";"754.3";"762.3";"";"41";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"19.7";"";"";"";"";"";"4.0";"3.7";"";"";"";"";"";"";
"11.01.2017 08:30";"11.2";"756.1";"764.3";"";"76";"Wind blowing from the west";"1";"";"";"no clouds";"Haze. ";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"8.2";"";"";"";"";"";"";"2.0";"7.0";"";"";"";"";"";"";
"10.01.2017 17:30";"20.2";"752.7";"760.6";"";"56";"Calm, no wind";"0";"";"";"40%.";"Haze. ";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"";"22.6";"Cumulus and Stratocumulus other than Stratocumulus cumulogenitus, with bases at different levels.";"20–30%.";"600-1000";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"2.0";"11.1";"";"";"";"";"";"";
"10.01.2017 08:30";"14.2";"754.0";"762.1";"";"89";"Wind blowing from the west";"1";"";"";"no clouds";"Mist. ";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"12.0";"";"";"";"";"";"";"1.0";"12.4";"";"";"";"";"";"";
"09.01.2017 20:30";"21.0";"751.5";"759.4";"0.0";"73";"Calm, no wind";"0";"";"";"50%.";"Haze. ";"Rain.";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"";"23.3";"Stratocumulus other than Stratocumulus cumulogenitus.";"20–30%.";"600-1000";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"2.0";"16.0";"";"";"";"";"";"";
"09.01.2017 17:30";"21.0";"751.5";"759.4";"";"73";"Calm, no wind";"0";"";"";"50%.";"Haze. ";"Rain.";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"";"23.3";"Stratocumulus other than Stratocumulus cumulogenitus.";"20–30%.";"600-1000";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"0.5";"16.0";"";"";"";"";"";"";
"09.01.2017 08:30";"13.6";"754.1";"762.2";"";"97";"Calm, no wind";"0";"";"";"20–30%.";"Fog or ice fog, sky visible (has become thinner during the preceding hour). ";"Fog or ice fog or thick haze.";"Fog or ice fog or thick haze.";"12.0";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"20–30%.";"2500 or more, or no clouds.";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"0.2";"13.2";"";"";"";"";"";"";
