# Weather station Hamirpur, India, WMO_ID=42469,selection from 07.12.2015 till 31.12.2017, all days
# Encoding: UTF-8
# The data is provided by the website "Reliable Prognosis", rp5.ru 
# If you use the data, please indicate the name of the website.
# For meteorological parameters see the address http://rp5.ru/archive.php?wmo_id=42469&lang=en
#
"Local time in Hamirpur";"T";"Po";"P";"Pa";"U";"DD";"Ff";"ff10";"ff3";"N";"WW";"W1";"W2";"Tn";"Tx";"Cl";"Nh";"H";"Cm";"Ch";"VV";"Td";"RRR";"tR";"E";"Tg";"E'";"sss"
"26.08.2017 08:30";"28.2";"742.4";"751.6";"";"83";"Wind blowing from the north-west";"1";"";"";"100%.";" ";"";"";"26.2";"";"";"";"2500 or more, or no clouds.";"";"";"4.0";"25.1";"";"";"";"";"";"";
"25.08.2017 17:30";"32.2";"738.8";"747.9";"";"59";"Wind blowing from the north-east";"1";"";"";"100%.";" ";"";"";"";"34.6";"";"";"2500 or more, or no clouds.";"";"";"4.0";"23.2";"";"";"";"";"";"";
"24.08.2017 17:30";"34.2";"739.8";"748.8";"";"55";"Wind blowing from the east";"1";"";"";"20–30%.";" ";"";"";"";"35.2";"";"";"2500 or more, or no clouds.";"";"";"4.0";"23.9";"";"";"";"";"";"";
"24.08.2017 08:30";"30.2";"743.9";"753.1";"";"84";"Wind blowing from the north-east";"1";"";"";"100%.";" ";"";"";"26.2";"";"";"";"2500 or more, or no clouds.";"";"";"4.0";"27.2";"";"";"";"";"";"";
"23.08.2017 17:30";"30.2";"741.4";"750.6";"";"84";"Wind blowing from the north-east";"1";"";"";"100%.";" ";"";"";"";"31.2";"";"";"600-1000";"";"";"2.0";"27.2";"";"";"";"";"";"";
"23.08.2017 08:30";"29.2";"743.5";"752.7";"";"83";"Wind blowing from the south-east";"1";"";"";"100%.";"Rain, not freezing, intermittent, slight at time of observation. ";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"27.2";"";"";"";"600-1000";"";"";"2.0";"26.1";"";"";"";"";"";"";
"22.08.2017 17:30";"34.2";"739.3";"748.3";"";"55";"Wind blowing from the north-west";"1";"";"";"70 – 80%.";" ";"";"";"";"35.6";"";"";"2500 or more, or no clouds.";"";"";"4.0";"23.9";"";"";"";"";"";"";
"22.08.2017 08:30";"30.2";"742.4";"751.6";"";"77";"Wind blowing from the north-east";"1";"";"";"70 – 80%.";" ";"";"";"28.2";"";"";"";"2500 or more, or no clouds.";"";"";"4.0";"25.7";"";"";"";"";"";"";
"21.08.2017 08:30";"31.2";"742.1";"751.2";"";"84";"Wind blowing from the north-west";"1";"";"";"50%.";" ";"";"";"28.2";"";"";"";"2500 or more, or no clouds.";"";"";"4.0";"28.2";"";"";"";"";"";"";
"20.08.2017 17:30";"34.2";"739.8";"748.8";"";"50";"Wind blowing from the north-east";"1";"";"";"20–30%.";" ";"";"";"";"35.2";"";"";"2500 or more, or no clouds.";"";"";"4.0";"22.3";"";"";"";"";"";"";
"20.08.2017 08:30";"30.2";"743.1";"752.3";"";"84";"Wind blowing from the north-west";"1";"";"";"50%.";" ";"";"";"27.2";"";"";"";"2500 or more, or no clouds.";"";"";"4.0";"27.2";"";"";"";"";"";"";
"19.08.2017 17:30";"32.2";"740.1";"749.2";"";"71";"Wind blowing from the north-northeast";"2";"";"";"50%.";" ";"";"";"";"35.2";"";"";"2500 or more, or no clouds.";"";"";"4.0";"26.4";"";"";"";"";"";"";
"19.08.2017 08:30";"30.2";"742.5";"751.7";"";"84";"Wind blowing from the north-west";"1";"";"";"100%.";" ";"";"";"27.2";"";"";"";"2500 or more, or no clouds.";"";"";"4.0";"27.2";"";"";"";"";"";"";
"18.08.2017 17:30";"30.2";"738.6";"747.7";"";"77";"Wind blowing from the south-east";"1";"";"";"70 – 80%.";" ";"";"";"";"";"";"";"2500 or more, or no clouds.";"";"";"4.0";"25.7";"";"";"";"";"";"";
"18.08.2017 08:30";"31.2";"741.8";"750.9";"";"77";"Wind blowing from the north-east";"1";"";"";"70 – 80%.";" ";"";"";"28.2";"";"";"";"2500 or more, or no clouds.";"";"";"4.0";"26.8";"";"";"";"";"";"";
"17.08.2017 17:30";"33.2";"738.2";"747.2";"";"60";"Wind blowing from the north-west";"1";"";"";"no clouds";" ";"";"";"";"35.2";"";"";"";"";"";"4.0";"24.4";"";"";"";"";"";"";
"17.08.2017 08:30";"31.2";"742.9";"752.0";"";"77";"Wind blowing from the north-west";"1";"";"";"70 – 80%.";" ";"";"";"28.2";"";"";"";"2500 or more, or no clouds.";"";"";"4.0";"26.8";"";"";"";"";"";"";
"16.08.2017 17:30";"34.2";"738.0";"747.0";"";"58";"Wind blowing from the north-west";"1";"";"";"20–30%.";" ";"";"";"";"35.2";"";"";"2500 or more, or no clouds.";"";"";"4.0";"24.8";"";"";"";"";"";"";
"16.08.2017 08:30";"30.2";"743.9";"753.1";"";"84";"Wind blowing from the north-east";"1";"";"";"100%.";" ";"";"";"27.2";"";"";"";"2500 or more, or no clouds.";"";"";"4.0";"27.2";"";"";"";"";"";"";
"15.08.2017 17:30";"34.2";"740.5";"749.5";"";"62";"Wind blowing from the north-west";"1";"";"";"50%.";" ";"";"";"";"35.2";"";"";"2500 or more, or no clouds.";"";"";"4.0";"26.0";"";"";"";"";"";"";
"15.08.2017 08:30";"30.2";"743.0";"752.2";"";"84";"Wind blowing from the north-west";"1";"";"";"no clouds";" ";"";"";"27.2";"";"";"";"";"";"";"4.0";"27.2";"";"";"";"";"";"";
"14.08.2017 17:30";"31.2";"742.3";"751.4";"";"77";"Wind blowing from the north-east";"1";"";"";"100%.";" ";"";"";"";"32.2";"";"";"2500 or more, or no clouds.";"";"";"4.0";"26.8";"";"";"";"";"";"";
"14.08.2017 08:30";"29.2";"741.6";"750.8";"";"83";"Wind blowing from the north-east";"1";"";"";"70 – 80%.";" ";"";"";"26.2";"";"";"";"2500 or more, or no clouds.";"";"";"4.0";"26.1";"";"";"";"";"";"";
"13.08.2017 17:30";"32.2";"741.3";"750.4";"";"70";"Wind blowing from the north-east";"1";"";"";"100%.";" ";"";"";"";"33.2";"";"";"2500 or more, or no clouds.";"";"";"4.0";"26.0";"";"";"";"";"";"";
"13.08.2017 08:30";"29.2";"741.2";"750.4";"";"83";"Wind blowing from the north-east";"2";"";"";"70 – 80%.";" ";"";"";"26.2";"";"";"";"2500 or more, or no clouds.";"";"";"4.0";"26.1";"";"";"";"";"";"";
"12.08.2017 17:30";"31.2";"739.1";"748.2";"";"71";"Wind blowing from the north-west";"1";"";"";"100%.";" ";"";"";"";"32.6";"";"";"2500 or more, or no clouds.";"";"";"4.0";"25.3";"";"";"";"";"";"";
"12.08.2017 08:30";"28.2";"740.7";"749.9";"";"85";"Wind blowing from the north-west";"1";"";"";"100%.";" ";"";"";"25.2";"";"";"";"2500 or more, or no clouds.";"";"";"4.0";"25.5";"";"";"";"";"";"";
"11.08.2017 17:30";"31.2";"738.5";"747.6";"";"84";"Wind blowing from the north-east";"1";"";"";"100%.";" ";"";"";"";"31.6";"";"";"2500 or more, or no clouds.";"";"";"4.0";"28.2";"";"";"";"";"";"";
"11.08.2017 08:30";"28.2";"740.4";"749.6";"";"91";"Wind blowing from the north-west";"1";"";"";"100%.";" ";"";"";"26.2";"";"";"";"2500 or more, or no clouds.";"";"";"4.0";"26.5";"";"";"";"";"";"";
"10.08.2017 17:30";"28.2";"739.0";"748.2";"";"91";"Wind blowing from the north-east";"1";"";"";"100%.";" ";"";"";"";"30.2";"";"";"2500 or more, or no clouds.";"";"";"4.0";"26.5";"";"";"";"";"";"";
"09.08.2017 17:30";"30.2";"739.4";"748.5";"-2.1";"84";"Wind blowing from the north-east";"1";"";"";"100%.";" ";"";"";"";"";"";"";"2500 or more, or no clouds.";"";"";"4.0";"27.2";"";"";"";"";"";"";
"09.08.2017 14:30";"29.0";"741.5";"750.7";"";"90";"variable wind direction";"1";"";"";"100%.";"Mist. ";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"";"";"Cumulonimbus calvus, with or without Cumulus, Stratocumulus or Stratus.";"60%.";"300-600";"Altostratus opacus or Nimbostratus.";"";"2.0";"27.1";"";"";"";"";"";"";
"09.08.2017 08:30";"29.2";"742.1";"751.3";"";"91";"Wind blowing from the south-east";"1";"";"";"100%.";" ";"";"";"27.2";"";"";"";"2500 or more, or no clouds.";"";"";"4.0";"27.5";"";"";"";"";"";"";
"08.08.2017 17:30";"30.2";"739.0";"748.1";"";"91";"Wind blowing from the north-east";"1";"";"";"100%.";" ";"";"";"";"35.2";"";"";"600-1000";"";"";"4.0";"28.6";"";"";"";"";"";"";
"08.08.2017 08:30";"28.2";"742.4";"751.6";"";"91";"Wind blowing from the south-east";"1";"";"";"100%.";" ";"";"";"26.2";"";"";"";"2500 or more, or no clouds.";"";"";"4.0";"26.5";"";"";"";"";"";"";
"07.08.2017 17:30";"32.2";"739.3";"748.4";"";"78";"Wind blowing from the west";"1";"";"";"100%.";" ";"";"";"";"33.6";"";"";"600-1000";"";"";"4.0";"27.8";"";"";"";"";"";"";
"06.08.2017 17:30";"30.2";"740.0";"749.1";"";"84";"Wind blowing from the south-west";"1";"";"";"100%.";" ";"";"";"";"33.2";"";"";"600-1000";"";"";"4.0";"27.2";"";"";"";"";"";"";
"06.08.2017 08:30";"30.2";"741.2";"750.4";"";"84";"Wind blowing from the north-east";"1";"";"";"100%.";" ";"";"";"28.2";"";"";"";"2500 or more, or no clouds.";"";"";"4.0";"27.2";"";"";"";"";"";"";
"05.08.2017 17:30";"33.2";"739.0";"748.0";"";"72";"Wind blowing from the north-east";"1";"";"";"100%.";" ";"";"";"";"35.6";"";"";"2500 or more, or no clouds.";"";"";"4.0";"27.4";"";"";"";"";"";"";
"05.08.2017 08:30";"30.2";"740.3";"749.4";"";"77";"Wind blowing from the north-west";"1";"";"";"70 – 80%.";" ";"";"";"27.2";"";"";"";"2500 or more, or no clouds.";"";"";"4.0";"25.7";"";"";"";"";"";"";
"04.08.2017 17:30";"32.2";"";"";"";"65";"Wind blowing from the north-east";"1";"";"";"100%.";" ";"";"";"";"34.6";"";"";"2500 or more, or no clouds.";"";"";"4.0";"24.8";"";"";"";"";"";"";
"04.08.2017 08:30";"29.2";"740.9";"750.1";"";"76";"Wind blowing from the north-east";"1";"";"";"100%.";" ";"";"";"26.6";"";"";"";"2500 or more, or no clouds.";"";"";"4.0";"24.6";"";"";"";"";"";"";
"03.08.2017 17:30";"31.2";"737.7";"746.8";"";"77";"Wind blowing from the north-east";"1";"";"";"100%.";" ";"";"";"";"32.6";"";"";"600-1000";"";"";"2.0";"26.8";"";"";"";"";"";"";
"02.08.2017 17:30";"32.2";"739.3";"748.4";"";"71";"Wind blowing from the north-west";"1";"";"";"70 – 80%.";" ";"";"";"";"33.6";"";"";"2500 or more, or no clouds.";"";"";"4.0";"26.4";"";"";"";"";"";"";
"02.08.2017 08:30";"30.2";"743.0";"752.2";"";"77";"Wind blowing from the north-west";"1";"";"";"70 – 80%.";" ";"";"";"27.2";"";"";"";"2500 or more, or no clouds.";"";"";"4.0";"25.7";"";"";"";"";"";"";
"01.08.2017 17:30";"31.6";"741.0";"750.1";"";"76";"Wind blowing from the west";"1";"";"";"70 – 80%.";" ";"";"";"";"32.6";"";"";"2500 or more, or no clouds.";"";"";"4.0";"26.8";"";"";"";"";"";"";
"01.08.2017 08:30";"29.2";"742.7";"751.9";"";"83";"Wind blowing from the north-east";"1";"";"";"100%.";" ";"";"";"28.2";"";"";"";"2500 or more, or no clouds.";"";"";"4.0";"26.1";"";"";"";"";"";"";
"31.07.2017 17:30";"32.2";"741.3";"750.4";"";"71";"Wind blowing from the north-west";"1";"";"";"20–30%.";" ";"";"";"";"33.6";"";"";"2500 or more, or no clouds.";"";"";"4.0";"26.4";"";"";"";"";"";"";
"31.07.2017 08:30";"29.2";"742.0";"751.2";"";"83";"Wind blowing from the north-west";"1";"";"";"70 – 80%.";" ";"";"";"27.2";"";"";"";"2500 or more, or no clouds.";"";"";"4.0";"26.1";"";"";"";"";"";"";
"30.07.2017 17:30";"33.2";"741.1";"750.2";"";"66";"Wind blowing from the north-west";"1";"";"";"100%.";" ";"";"";"";"34.2";"";"";"2500 or more, or no clouds.";"";"";"4.0";"26.0";"";"";"";"";"";"";
"30.07.2017 08:30";"29.2";"740.8";"750.0";"";"83";"Wind blowing from the north-east";"1";"";"";"100%.";" ";"";"";"27.2";"";"";"";"2500 or more, or no clouds.";"";"";"4.0";"26.1";"";"";"";"";"";"";
"29.07.2017 17:30";"32.2";"740.7";"749.8";"";"71";"Wind blowing from the north-east";"1";"";"";"70 – 80%.";" ";"";"";"";"33.2";"";"";"2500 or more, or no clouds.";"";"";"4.0";"26.4";"";"";"";"";"";"";
"29.07.2017 08:30";"29.2";"740.3";"749.5";"";"76";"Wind blowing from the north-east";"1";"";"";"50%.";" ";"";"";"26.2";"";"";"";"2500 or more, or no clouds.";"";"";"4.0";"24.6";"";"";"";"";"";"";
"28.07.2017 17:30";"32.2";"739.2";"748.3";"";"71";"Wind blowing from the north-east";"2";"";"";"50%.";" ";"";"";"";"33.2";"";"";"2500 or more, or no clouds.";"";"";"4.0";"26.4";"";"";"";"";"";"";
"27.07.2017 17:30";"27.2";"737.7";"746.9";"";"90";"Wind blowing from the north-east";"1";"";"";"100%.";" ";"";"";"";"28.2";"";"";"600-1000";"";"";"4.0";"25.5";"";"";"";"";"";"";
"27.07.2017 08:30";"30.2";"739.9";"749.0";"";"77";"Wind blowing from the north-east";"1";"";"";"100%.";" ";"";"";"26.2";"";"";"";"2500 or more, or no clouds.";"";"";"4.0";"25.7";"";"";"";"";"";"";
"26.07.2017 17:30";"31.2";"737.3";"746.4";"";"71";"Wind blowing from the north-east";"1";"";"";"50%.";" ";"";"";"";"32.2";"";"";"2500 or more, or no clouds.";"";"";"4.0";"25.3";"";"";"";"";"";"";
"26.07.2017 11:30";"29.2";"740.3";"749.5";"";"83";"Wind blowing from the north-west";"1";"";"";"50%.";" ";"";"";"27.2";"32.2";"";"";"";"";"";"";"26.1";"";"";"";"";"";"";
"26.07.2017 08:30";"29.2";"740.3";"749.5";"";"83";"Wind blowing from the north-west";"1";"";"";"50%.";" ";"";"";"27.2";"";"";"";"2500 or more, or no clouds.";"";"";"4.0";"26.1";"";"";"";"";"";"";
"25.07.2017 08:30";"27.2";"740.3";"749.5";"";"90";"Wind blowing from the north-west";"1";"";"";"100%.";" ";"";"";"26.2";"";"";"";"2500 or more, or no clouds.";"";"";"4.0";"25.5";"";"";"";"";"";"";
"24.07.2017 17:30";"31.2";"737.5";"746.6";"";"71";"Wind blowing from the north-east";"1";"";"";"100%.";" ";"";"";"";"32.2";"";"";"2500 or more, or no clouds.";"";"";"4.0";"25.3";"";"";"";"";"";"";
"24.07.2017 08:30";"28.2";"739.4";"748.6";"";"83";"Wind blowing from the north-east";"1";"";"";"100%.";" ";"";"";"25.2";"";"";"";"2500 or more, or no clouds.";"";"";"4.0";"25.1";"";"";"";"";"";"";
"23.07.2017 17:30";"28.5";"737.4";"746.6";"";"100";"Wind blowing from the south";"1";"";"";"100%.";"Haze. ";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"";"29.0";"";"";"2500 or more, or no clouds.";"";"";"4.0";"28.5";"";"";"";"";"";"";
"23.07.2017 08:30";"28.2";"739.1";"748.3";"";"91";"Wind blowing from the north-west";"1";"";"";"100%.";" ";"";"";"21.2";"";"";"";"2500 or more, or no clouds.";"";"";"4.0";"26.5";"";"";"";"";"";"";
"22.07.2017 17:30";"29.2";"740.6";"749.8";"";"83";"Wind blowing from the north-east";"1";"";"";"100%.";" ";"";"";"";"";"";"";"2500 or more, or no clouds.";"";"";"4.0";"26.1";"";"";"";"";"";"";
"22.07.2017 08:30";"28.2";"739.7";"748.9";"";"91";"Wind blowing from the north-east";"1";"";"";"100%.";" ";"";"";"25.2";"";"";"";"2500 or more, or no clouds.";"";"";"4.0";"26.5";"";"";"";"";"";"";
"21.07.2017 17:30";"27.2";"738.0";"747.2";"";"98";"Wind blowing from the north-east";"1";"";"";"100%.";" ";"";"";"";"28.2";"";"";"600-1000";"";"";"4.0";"26.8";"";"";"";"";"";"";
"21.07.2017 08:30";"29.2";"739.3";"748.5";"";"83";"Wind blowing from the north-east";"1";"";"";"100%.";" ";"";"";"26.2";"";"";"";"2500 or more, or no clouds.";"";"";"4.0";"26.1";"";"";"";"";"";"";
"20.07.2017 17:30";"31.2";"735.6";"744.7";"";"77";"Wind blowing from the north-east";"1";"";"";"70 – 80%.";" ";"";"";"";"33.6";"";"";"2500 or more, or no clouds.";"";"";"4.0";"26.8";"";"";"";"";"";"";
"20.07.2017 08:30";"30.2";"738.6";"747.7";"";"77";"Wind blowing from the north-east";"1";"";"";"100%.";" ";"";"";"27.2";"";"";"";"2500 or more, or no clouds.";"";"";"4.0";"25.7";"";"";"";"";"";"";
"19.07.2017 08:30";"32.2";"740.4";"749.5";"";"78";"Wind blowing from the north-west";"1";"";"";"no clouds";" ";"";"";"29.2";"";"";"";"";"";"";"4.0";"27.8";"";"";"";"";"";"";
"18.07.2017 17:30";"34.2";"736.9";"745.9";"";"66";"Wind blowing from the north-east";"1";"";"";"50%.";" ";"";"";"";"36.2";"";"";"2500 or more, or no clouds.";"";"";"4.0";"27.1";"";"";"";"";"";"";
"18.07.2017 08:30";"31.2";"741.0";"750.1";"";"77";"Wind blowing from the north-east";"1";"";"";"50%.";" ";"";"";"28.2";"";"";"";"2500 or more, or no clouds.";"";"";"4.0";"26.8";"";"";"";"";"";"";
"17.07.2017 17:30";"29.1";"737.4";"746.5";"";"91";"Wind blowing from the north-east";"1";"";"";"70 – 80%.";" ";"";"";"";"";"";"";"2500 or more, or no clouds.";"";"";"4.0";"27.4";"";"";"";"";"";"";
"17.07.2017 08:30";"29.2";"740.6";"749.8";"";"83";"Wind blowing from the north-west";"1";"";"";"70 – 80%.";" ";"";"";"27.2";"";"";"";"2500 or more, or no clouds.";"";"";"4.0";"26.1";"";"";"";"";"";"";
"16.07.2017 17:30";"35.2";"736.9";"745.9";"";"61";"Wind blowing from the north-west";"1";"";"";"no clouds";" ";"";"";"";"36.2";"";"";"";"";"";"4.0";"26.7";"";"";"";"";"";"";
"16.07.2017 08:30";"30.2";"741.8";"751.0";"";"84";"Wind blowing from the north-east";"1";"";"";"100%.";" ";"";"";"28.2";"";"";"";"2500 or more, or no clouds.";"";"";"4.0";"27.2";"";"";"";"";"";"";
"15.07.2017 17:30";"32.2";"737.3";"746.3";"";"78";"Wind blowing from the south-east";"1";"";"";"70 – 80%.";" ";"";"";"";"32.2";"";"";"600-1000";"";"";"4.0";"27.8";"";"";"";"";"";"";
"15.07.2017 08:30";"30.2";"741.5";"750.7";"";"84";"Wind blowing from the north-east";"1";"";"";"70 – 80%.";" ";"";"";"29.2";"";"";"";"2500 or more, or no clouds.";"";"";"4.0";"27.2";"";"";"";"";"";"";
"14.07.2017 17:30";"32.2";"737.6";"746.6";"";"78";"Wind blowing from the north-east";"1";"";"";"50%.";" ";"";"";"";"34.2";"";"";"2500 or more, or no clouds.";"";"";"4.0";"27.8";"";"";"";"";"";"";
"14.07.2017 08:30";"29.2";"741.1";"750.3";"";"83";"Wind blowing from the north-east";"1";"";"";"70 – 80%.";" ";"";"";"26.2";"";"";"";"2500 or more, or no clouds.";"";"";"4.0";"26.1";"";"";"";"";"";"";
"13.07.2017 17:30";"30.2";"737.4";"746.5";"";"84";"Wind blowing from the north-east";"1";"";"";"70 – 80%.";" ";"";"";"";"31.2";"";"";"2500 or more, or no clouds.";"";"";"4.0";"27.2";"";"";"";"";"";"";
"13.07.2017 08:30";"28.2";"740.6";"749.8";"";"83";"Wind blowing from the north-west";"1";"";"";"20–30%.";" ";"";"";"25.2";"";"";"";"2500 or more, or no clouds.";"";"";"4.0";"25.1";"";"";"";"";"";"";
"12.07.2017 17:30";"28.2";"738.4";"747.6";"";"91";"Wind blowing from the north-east";"1";"";"";"100%.";" ";"";"";"";"29.2";"";"";"600-1000";"";"";"4.0";"26.5";"";"";"";"";"";"";
"12.07.2017 08:30";"27.2";"741.7";"751.0";"";"90";"Wind blowing from the north-east";"1";"";"";"100%.";" ";"";"";"24.2";"";"";"";"2500 or more, or no clouds.";"";"";"4.0";"25.5";"";"";"";"";"";"";
"11.07.2017 17:30";"28.2";"739.0";"748.2";"";"91";"Wind blowing from the north-west";"1";"";"";"100%.";" ";"";"";"";"29.2";"";"";"600-1000";"";"";"4.0";"26.5";"";"";"";"";"";"";
"11.07.2017 08:30";"26.2";"742.3";"751.6";"";"98";"Wind blowing from the south-east";"1";"";"";"100%.";" ";"";"";"25.2";"";"";"";"2500 or more, or no clouds.";"";"";"4.0";"25.9";"";"";"";"";"";"";
"10.07.2017 17:30";"30.2";"740.1";"749.2";"";"77";"Wind blowing from the north-east";"1";"";"";"100%.";" ";"";"";"";"31.2";"";"";"2500 or more, or no clouds.";"";"";"4.0";"25.7";"";"";"";"";"";"";
"10.07.2017 08:30";"30.2";"741.2";"750.4";"";"77";"Wind blowing from the north-east";"1";"";"";"70 – 80%.";" ";"";"";"27.2";"";"";"";"2500 or more, or no clouds.";"";"";"4.0";"25.7";"";"";"";"";"";"";
"09.07.2017 17:30";"29.2";"739.4";"748.6";"";"83";"Wind blowing from the south-west";"2";"";"";"100%.";" ";"";"";"";"33.2";"";"";"2500 or more, or no clouds.";"";"";"4.0";"26.1";"";"";"";"";"";"";
"08.07.2017 08:30";"30.2";"741.3";"750.5";"";"84";"Wind blowing from the north-west";"1";"";"";"70 – 80%.";" ";"";"";"28.2";"";"";"";"2500 or more, or no clouds.";"";"";"4.0";"27.2";"";"";"";"";"";"";
"07.07.2017 17:30";"33.2";"739.0";"748.0";"";"73";"Wind blowing from the south-east";"1";"";"";"40%.";" ";"";"";"";"33.2";"";"";"600-1000";"";"";"4.0";"27.8";"";"";"";"";"";"";
"07.07.2017 08:30";"26.8";"742.3";"751.6";"";"95";"Wind blowing from the south-east";"1";"";"";"100%.";" ";"";"";"26.2";"";"";"";"2500 or more, or no clouds.";"";"";"4.0";"25.9";"";"";"";"";"";"";
"06.07.2017 08:30";"27.2";"740.8";"750.0";"";"90";"Wind blowing from the north-east";"1";"";"";"100%.";" ";"";"";"26.2";"";"";"";"2500 or more, or no clouds.";"";"";"4.0";"25.5";"";"";"";"";"";"";
"05.07.2017 17:30";"30.2";"738.0";"747.1";"";"84";"Wind blowing from the north-east";"1";"";"";"100%.";" ";"";"";"";"32.2";"";"";"2500 or more, or no clouds.";"";"";"4.0";"27.2";"";"";"";"";"";"";
"05.07.2017 08:30";"26.2";"740.0";"749.3";"";"98";"Wind blowing from the south-east";"1";"";"";"100%.";" ";"";"";"24.2";"";"";"";"2500 or more, or no clouds.";"";"";"4.0";"25.9";"";"";"";"";"";"";
"04.07.2017 17:30";"28.2";"737.2";"746.4";"";"84";"Wind blowing from the north-east";"1";"";"";"100%.";" ";"";"";"";"30.2";"";"";"2500 or more, or no clouds.";"";"";"4.0";"25.3";"";"";"";"";"";"";
"04.07.2017 08:30";"26.2";"738.8";"748.0";"";"98";"Wind blowing from the south-east";"1";"";"";"100%.";" ";"";"";"26.2";"";"";"";"2500 or more, or no clouds.";"";"";"4.0";"25.9";"";"";"";"";"";"";
"03.07.2017 17:30";"29.2";"736.2";"745.3";"";"91";"Wind blowing from the north-east";"1";"";"";"100%.";" ";"";"";"";"33.2";"";"";"600-1000";"";"";"4.0";"27.5";"";"";"";"";"";"";
"03.07.2017 08:30";"29.2";"740.0";"749.2";"";"83";"Wind blowing from the north-east";"1";"";"";"100%.";" ";"";"";"27.2";"";"";"";"600-1000";"";"";"4.0";"26.1";"";"";"";"";"";"";
"02.07.2017 17:30";"29.2";"738.0";"747.1";"";"91";"Wind blowing from the north-east";"1";"";"";"70 – 80%.";" ";"";"";"";"30.2";"";"";"2500 or more, or no clouds.";"";"";"4.0";"27.5";"";"";"";"";"";"";
"02.07.2017 08:30";"31.2";"738.5";"747.6";"";"77";"Wind blowing from the north-east";"1";"";"";"100%.";" ";"";"";"28.2";"";"";"";"2500 or more, or no clouds.";"";"";"4.0";"26.8";"";"";"";"";"";"";
"01.07.2017 17:30";"34.2";"736.2";"745.2";"";"66";"Wind blowing from the north-east";"2";"";"";"100%.";" ";"";"";"";"37.2";"";"";"2500 or more, or no clouds.";"";"";"4.0";"27.1";"";"";"";"";"";"";
"01.07.2017 08:30";"31.2";"738.6";"747.7";"";"71";"Wind blowing from the north-east";"1";"";"";"100%.";" ";"";"";"29.2";"";"";"";"2500 or more, or no clouds.";"";"";"4.0";"25.3";"";"";"";"";"";"";
"30.06.2017 17:30";"32.2";"736.3";"745.3";"";"71";"Wind blowing from the north-west";"1";"";"";"100%.";" ";"";"";"";"34.6";"";"";"2500 or more, or no clouds.";"";"";"4.0";"26.4";"";"";"";"";"";"";
"30.06.2017 08:30";"31.2";"740.2";"749.3";"";"71";"Wind blowing from the north-east";"1";"";"";"40%.";" ";"";"";"28.2";"";"";"";"2500 or more, or no clouds.";"";"";"4.0";"25.3";"";"";"";"";"";"";
"29.06.2017 17:30";"33.2";"737.4";"746.4";"";"72";"Wind blowing from the north-east";"1";"";"";"100%.";" ";"";"";"";"35.2";"";"";"2500 or more, or no clouds.";"";"";"4.0";"27.4";"";"";"";"";"";"";
"29.06.2017 08:30";"27.2";"741.1";"750.3";"";"98";"Wind blowing from the south-east";"1";"";"";"100%.";" ";"";"";"25.2";"";"";"";"2500 or more, or no clouds.";"";"";"4.0";"26.9";"";"";"";"";"";"";
"28.06.2017 17:30";"39.2";"736.6";"745.4";"";"44";"Wind blowing from the north-east";"2";"";"";"50%.";" ";"";"";"";"40.2";"";"";"2500 or more, or no clouds.";"";"";"4.0";"25.0";"";"";"";"";"";"";
"27.06.2017 17:30";"39.2";"736.1";"744.9";"";"44";"Wind blowing from the north-east";"1";"";"";"50%.";" ";"";"";"";"39.6";"";"";"2500 or more, or no clouds.";"";"";"4.0";"25.0";"";"";"";"";"";"";
"27.06.2017 08:30";"34.2";"739.6";"748.6";"";"66";"Wind blowing from the south-east";"1";"";"";"no clouds";" ";"";"";"31.2";"";"";"";"";"";"";"4.0";"27.1";"";"";"";"";"";"";
"26.06.2017 17:30";"39.2";"736.5";"745.3";"";"44";"Wind blowing from the north-east";"1";"";"";"50%.";" ";"";"";"";"40.2";"";"";"2500 or more, or no clouds.";"";"";"4.0";"25.0";"";"";"";"";"";"";
"26.06.2017 08:30";"34.2";"739.9";"748.9";"";"65";"Wind blowing from the north-east";"1";"";"";"no clouds";" ";"";"";"30.6";"";"";"";"";"";"";"4.0";"26.8";"";"";"";"";"";"";
"25.06.2017 08:30";"32.2";"738.8";"747.9";"";"65";"Wind blowing from the north-west";"1";"";"";"no clouds";" ";"";"";"30.2";"";"";"";"";"";"";"4.0";"24.8";"";"";"";"";"";"";
"24.06.2017 17:30";"39.2";"735.7";"744.5";"";"44";"Wind blowing from the north-east";"1";"";"";"no clouds";" ";"";"";"";"40.2";"";"";"";"";"";"4.0";"25.0";"";"";"";"";"";"";
"23.06.2017 17:30";"33.2";"737.0";"746.0";"";"66";"Wind blowing from the north-east";"1";"";"";"100%.";" ";"";"";"";"";"";"";"600-1000";"";"";"4.0";"26.0";"";"";"";"";"";"";
"23.06.2017 08:30";"32.2";"741.6";"750.7";"";"65";"Wind blowing from the north-west";"1";"";"";"70 – 80%.";" ";"";"";"28.2";"";"";"";"2500 or more, or no clouds.";"";"";"4.0";"24.8";"";"";"";"";"";"";
