# Weather station Simara (airport), Nepal, WMO_ID=44449,selection from 01.01.2012 till 31.12.2017, all days
# Encoding: UTF-8
# The data is provided by the website "Reliable Prognosis", rp5.ru 
# If you use the data, please indicate the name of the website.
# For meteorological parameters see the address http://rp5.ru/archive.php?wmo_id=44449&lang=en
#
"Local time in Simara (airport)";"T";"Po";"P";"Pa";"U";"DD";"Ff";"ff10";"ff3";"N";"WW";"W1";"W2";"Tn";"Tx";"Cl";"Nh";"H";"Cm";"Ch";"VV";"Td";"RRR";"tR";"E";"Tg";"E'";"sss"
"29.03.2016 11:45";"29.2";"748.3";"760.2";"";"52";"Wind blowing from the east-southeast";"4";"";"";"50%.";" ";"";"";"";"";"";"40%.";"2500 or more, or no clouds.";"Altocumulus of a chaotic sky, generally at several levels.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"10.0";"18.4";"";"";"";"";"";"";
"29.03.2016 08:45";"25.0";"748.6";"760.6";"0.9";"60";"Wind blowing from the east";"2";"";"";"no clouds";" ";"";"";"16.0";"";"";"";"";"";"";"10.0";"16.8";"4.0";"24";"";"";"";"";
"29.03.2016 05:45";"18.4";"747.7";"759.7";"";"73";"Wind blowing from the east";"2";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"10.0";"13.4";"";"";"";"";"";"";
"28.03.2016 17:45";"33.4";"744.1";"756.2";"-0.4";"48";"Wind blowing from the west-southwest";"2";"";"";"100%.";" ";"";"";"";"35.5";"Cumulonimbus calvus, with or without Cumulus, Stratocumulus or Stratus.";"40%.";"200-300";"Altocumulus translucidus or opacus in two or more layers, or Altocumulus opacus in a single layer, not progressively invading the sky, or Altocumulus with Altostratus or Nimbostratus.";"";"6.0";"21.1";"No precipitation";"9";"";"";"";"";
"28.03.2016 14:45";"35.0";"744.5";"756.6";"-2.6";"45";"Wind blowing from the west-southwest";"2";"";"";"10%  or less, but not 0";" ";"";"";"";"";"Cumulus humilis or Cumulus fractus other than of bad weather, or both.";"10%  or less, but not 0";"600-1000";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"6.0";"21.3";"";"";"";"";"";"";
"28.03.2016 11:45";"30.4";"747.1";"759.0";"-0.4";"67";"Wind blowing from the west";"2";"";"";"70 – 80%.";"Haze. ";"Fog or ice fog or thick haze.";"Fog or ice fog or thick haze.";"";"";"Cumulus humilis or Cumulus fractus other than of bad weather, or both.";"20–30%.";"200-300";"Altocumulus translucidus or opacus in two or more layers, or Altocumulus opacus in a single layer, not progressively invading the sky, or Altocumulus with Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"5.0";"23.7";"";"";"";"";"";"";
"28.03.2016 08:45";"25.0";"747.5";"759.4";"0.7";"71";"Wind blowing from the west";"1";"";"";"60%.";"Haze. ";"Fog or ice fog or thick haze.";"Fog or ice fog or thick haze.";"22.2";"";"Cumulus humilis or Cumulus fractus other than of bad weather, or both.";"20–30%.";"600-1000";"Altocumulus translucidus in bands, or one or more layers of Altocumulus translucidus or opacus, progressively invading the sky; these Altocumulus clouds generally thicken as a whole.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"4.0";"19.4";"No precipitation";"24";"";"";"";"";
"28.03.2016 05:45";"22.2";"746.8";"758.7";"";"73";"Calm, no wind";"0";"";"";"70 – 80%.";"Haze. ";"";"";"";"";"Cumulus humilis or Cumulus fractus other than of bad weather, or both.";"20–30%.";"2500 or more, or no clouds.";"Altocumulus translucidus or opacus in two or more layers, or Altocumulus opacus in a single layer, not progressively invading the sky, or Altocumulus with Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"3.5";"17.1";"";"";"";"";"";"";
"27.03.2016 17:45";"32.0";"745.6";"757.5";"-1.1";"75";"Calm, no wind";"0";"";"";"100%.";"Mist. ";"Fog or ice fog or thick haze.";"Fog or ice fog or thick haze.";"";"32.5";"Cumulus humilis or Cumulus fractus other than of bad weather, or both.";"20–30%.";"600-1000";"Altocumulus translucidus or opacus in two or more layers, or Altocumulus opacus in a single layer, not progressively invading the sky, or Altocumulus with Altostratus or Nimbostratus.";"";"4.0";"27.0";"No precipitation";"9";"";"";"";"";
"27.03.2016 14:45";"34.0";"746.7";"758.6";"-1.0";"60";"Wind blowing from the south";"2";"";"";"no clouds";"Haze. ";"Fog or ice fog or thick haze.";"Fog or ice fog or thick haze.";"";"";"";"";"";"";"";"5.0";"25.2";"";"";"";"";"";"";
"27.03.2016 11:45";"31.6";"747.7";"759.6";"-0.3";"67";"Calm, no wind";"0";"";"";"no clouds";"Haze. ";"Fog or ice fog or thick haze.";"Fog or ice fog or thick haze.";"";"";"";"";"";"";"";"5.0";"24.8";"";"";"";"";"";"";
"27.03.2016 08:45";"27.8";"748.0";"759.9";"1.5";"55";"Wind blowing from the east";"1";"";"";"10%  or less, but not 0";"Haze. ";"Fog or ice fog or thick haze.";"Fog or ice fog or thick haze.";"19.3";"";"Cumulus humilis or Cumulus fractus other than of bad weather, or both.";"10%  or less, but not 0";"600-1000";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"5.0";"18.0";"No precipitation";"24";"";"";"";"";
"27.03.2016 05:45";"19.8";"746.5";"758.4";"";"82";"Calm, no wind";"0";"";"";"no clouds";"Mist. ";"";"";"";"";"";"";"";"";"";"3.0";"16.7";"";"";"";"";"";"";
"26.03.2016 17:45";"33.0";"746.2";"758.1";"-0.7";"56";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"34.5";"";"";"";"";"";"6.0";"23.2";"No precipitation";"9";"";"";"";"";
"26.03.2016 14:45";"34.0";"746.9";"758.8";"-2.0";"14";"Wind blowing from the east";"2";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"6.0";"2.7";"";"";"";"";"";"";
"26.03.2016 11:45";"32.0";"748.9";"760.9";"-0.3";"41";"Wind blowing from the east-southeast";"2";"";"";"no clouds";"Haze. ";"Fog or ice fog or thick haze.";"Fog or ice fog or thick haze.";"";"";"";"";"";"";"";"5.0";"17.3";"";"";"";"";"";"";
"26.03.2016 08:45";"25.4";"749.2";"761.1";"1.6";"58";"Calm, no wind";"0";"";"";"no clouds";"Visibility reduced by smoke, e.g. veldt or forest fires, industrial smoke or volcanic ashes. ";"Fog or ice fog or thick haze.";"Fog or ice fog or thick haze.";"17.8";"";"";"";"";"";"";"3.0";"16.6";"No precipitation";"24";"";"";"";"";
"26.03.2016 05:45";"18.0";"747.6";"759.5";"";"90";"Calm, no wind";"0";"";"";"no clouds";"Fog or ice fog at a distance at the time of observation, but not at the station during the preceding hour, the fog or ice fog extending to a level above that of the observer. ";"";"";"";"";"";"";"";"";"";"0.8";"16.3";"";"";"";"";"";"";
"25.03.2016 17:45";"33.0";"747.0";"758.9";"-1.5";"33";"Wind blowing from the south";"2";"";"";"no clouds";" ";"";"";"";"34.2";"";"";"";"";"";"6.0";"14.5";"No precipitation";"9";"";"";"";"";
"25.03.2016 14:45";"33.8";"748.5";"760.4";"-1.5";"58";"Wind blowing from the south";"2";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"6.0";"24.4";"";"";"";"";"";"";
"25.03.2016 11:45";"31.2";"750.0";"761.9";"-0.7";"69";"Calm, no wind";"0";"";"";"no clouds";"Visibility reduced by smoke, e.g. veldt or forest fires, industrial smoke or volcanic ashes. ";"Fog or ice fog or thick haze.";"";"";"";"";"";"";"";"";"5.0";"24.8";"";"";"";"";"";"";
"25.03.2016 08:45";"24.4";"750.7";"762.6";"1.7";"61";"Calm, no wind";"0";"";"";"no clouds";"Haze. ";"Fog or ice fog or thick haze.";"Fog or ice fog or thick haze.";"17.6";"";"";"";"";"";"";"2.5";"16.5";"No precipitation";"24";"";"";"";"";
"25.03.2016 05:45";"17.8";"749.0";"760.9";"";"85";"Calm, no wind";"0";"";"";"no clouds";"Fog or ice fog at a distance at the time of observation, but not at the station during the preceding hour, the fog or ice fog extending to a level above that of the observer. ";"";"";"";"";"";"";"";"";"";"0.8";"15.3";"";"";"";"";"";"";
"24.03.2016 17:45";"31.0";"746.6";"758.5";"-0.8";"73";"Wind blowing from the south";"1";"";"";"no clouds";"Haze. ";"Fog or ice fog or thick haze.";"Fog or ice fog or thick haze.";"";"32.5";"";"";"";"";"";"5.0";"25.6";"No precipitation";"9";"";"";"";"";
"24.03.2016 14:45";"32.0";"747.4";"759.3";"-2.2";"54";"Calm, no wind";"0";"";"";"no clouds";"Haze. ";"Fog or ice fog or thick haze.";"Fog or ice fog or thick haze.";"";"";"";"";"";"";"";"5.0";"21.7";"";"";"";"";"";"";
"24.03.2016 11:45";"30.4";"749.6";"761.5";"-0.5";"38";"Wind blowing from the east";"3";"";"";"no clouds";"Haze. ";"Fog or ice fog or thick haze.";"Fog or ice fog or thick haze.";"";"";"";"";"";"";"";"5.0";"14.6";"";"";"";"";"";"";
"24.03.2016 08:45";"25.0";"750.1";"762.0";"1.9";"49";"Wind blowing from the east";"1";"";"";"no clouds";"Haze. ";"Fog or ice fog or thick haze.";"Fog or ice fog or thick haze.";"15.4";"";"";"";"";"";"";"4.0";"13.4";"No precipitation";"24";"";"";"";"";
"24.03.2016 05:45";"16.6";"748.2";"760.3";"";"96";"Calm, no wind";"0";"";"";"no clouds";"Fog or ice fog at a distance at the time of observation, but not at the station during the preceding hour, the fog or ice fog extending to a level above that of the observer. ";"";"";"";"";"";"";"";"";"";"0.8";"16.0";"";"";"";"";"";"";
"23.03.2016 17:45";"30.4";"744.7";"756.8";"-0.6";"51";"Wind blowing from the south";"1";"";"";"no clouds";"Haze. ";"Fog or ice fog or thick haze.";"Fog or ice fog or thick haze.";"";"31.5";"";"";"";"";"";"5.0";"19.3";"No precipitation";"9";"";"";"";"";
"23.03.2016 14:45";"31.0";"745.3";"757.2";"-1.1";"59";"Wind blowing from the west-southwest";"2";"";"";"no clouds";"Haze. ";"Fog or ice fog or thick haze.";"Fog or ice fog or thick haze.";"";"";"";"";"";"";"";"5.0";"22.2";"";"";"";"";"";"";
"23.03.2016 11:45";"28.6";"746.4";"758.3";"0.2";"32";"Wind blowing from the east";"3";"";"";"no clouds";"Visibility reduced by smoke, e.g. veldt or forest fires, industrial smoke or volcanic ashes. ";"Fog or ice fog or thick haze.";"Fog or ice fog or thick haze.";"";"";"";"";"";"";"";"2.5";"10.4";"";"";"";"";"";"";
"23.03.2016 08:45";"18.6";"746.2";"758.1";"2.3";"67";"Calm, no wind";"0";"";"";"no clouds";"Visibility reduced by smoke, e.g. veldt or forest fires, industrial smoke or volcanic ashes. ";"Fog or ice fog or thick haze.";"Fog or ice fog or thick haze.";"12.6";"";"";"";"";"";"";"0.7";"12.3";"No precipitation";"24";"";"";"";"";
"23.03.2016 05:45";"12.6";"743.9";"755.8";"";"96";"Calm, no wind";"0";"";"";"no clouds";"Fog or ice fog at a distance at the time of observation, but not at the station during the preceding hour, the fog or ice fog extending to a level above that of the observer. ";"";"";"";"";"";"";"";"";"";"0.6";"11.9";"";"";"";"";"";"";
"22.03.2016 17:45";"30.8";"742.0";"753.9";"-0.7";"58";"Wind blowing from the west-southwest";"2";"";"";"no clouds";" ";"";"";"";"32.0";"";"";"";"";"";"6.0";"21.6";"No precipitation";"9";"";"";"";"";
"22.03.2016 14:45";"30.4";"742.7";"754.6";"-1.4";"66";"Wind blowing from the west";"1";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"6.0";"23.3";"";"";"";"";"";"";
"22.03.2016 11:45";"26.0";"744.1";"756.0";"0.5";"66";"Calm, no wind";"0";"";"";"no clouds";"Haze. ";"Fog or ice fog or thick haze.";"Fog or ice fog or thick haze.";"";"";"";"";"";"";"";"5.0";"19.2";"";"";"";"";"";"";
"22.03.2016 08:45";"15.8";"743.6";"755.5";"";"89";"Calm, no wind";"0";"";"";"no clouds";"Visibility reduced by smoke, e.g. veldt or forest fires, industrial smoke or volcanic ashes. ";"Fog or ice fog or thick haze.";"Fog or ice fog or thick haze.";"12.0";"";"";"";"";"";"";"1.2";"13.9";"No precipitation";"24";"";"";"";"";
"21.03.2016 17:45";"33.4";"742.2";"754.1";"-0.7";"40";"Wind blowing from the west-southwest";"4";"";"";"no clouds";" ";"";"";"";"34.6";"";"";"";"";"";"6.0";"17.9";"No precipitation";"9";"";"";"";"";
"21.03.2016 14:45";"34.2";"742.9";"754.9";"-1.8";"38";"Wind blowing from the west-southwest";"4";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"6.0";"18.1";"";"";"";"";"";"";
"21.03.2016 11:45";"31.2";"744.7";"756.7";"-0.2";"42";"Wind blowing from the south";"2";"";"";"no clouds";"Visibility reduced by smoke, e.g. veldt or forest fires, industrial smoke or volcanic ashes. ";"Fog or ice fog or thick haze.";"Fog or ice fog or thick haze.";"";"";"";"";"";"";"";"2.5";"16.8";"";"";"";"";"";"";
"21.03.2016 08:45";"22.2";"744.9";"756.8";"";"65";"Calm, no wind";"0";"";"";"no clouds";"Visibility reduced by smoke, e.g. veldt or forest fires, industrial smoke or volcanic ashes. ";"Fog or ice fog or thick haze.";"Fog or ice fog or thick haze.";"14.6";"";"";"";"";"";"";"1.5";"15.3";"No precipitation";"24";"";"";"";"";
"21.03.2016 05:45";"14.4";"";"";"";"48";"Wind blowing from the east";"1";"";"";"10%  or less, but not 0";" ";"";"";"";"";"Cumulus humilis or Cumulus fractus other than of bad weather, or both.";"10%  or less, but not 0";"50-100";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"10.0";"3.5";"";"";"";"";"";"";
"20.03.2016 17:45";"33.6";"743.5";"755.5";"-1.1";"49";"Wind blowing from the west-southwest";"2";"";"";"no clouds";" ";"";"";"";"34.5";"";"";"";"";"";"6.0";"21.4";"No precipitation";"9";"";"";"";"";
"20.03.2016 14:45";"34.2";"744.6";"756.5";"-2.1";"54";"Wind blowing from the west-southwest";"2";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"6.0";"23.7";"";"";"";"";"";"";
"20.03.2016 11:45";"31.6";"746.7";"758.6";"0.2";"46";"Wind blowing from the south-southeast";"2";"";"";"no clouds";"Haze. ";"Fog or ice fog or thick haze.";"Fog or ice fog or thick haze.";"";"";"";"";"";"";"";"5.0";"18.7";"";"";"";"";"";"";
"20.03.2016 08:45";"25.2";"746.5";"758.5";"1.8";"56";"Wind blowing from the east";"2";"";"";"no clouds";"Haze. ";"Fog or ice fog or thick haze.";"Fog or ice fog or thick haze.";"15.5";"";"";"";"";"";"";"3.0";"15.8";"No precipitation";"24";"";"";"";"";
"20.03.2016 05:45";"16.2";"744.7";"756.6";"";"86";"Calm, no wind";"0";"";"";"no clouds";"Fog or ice fog at a distance at the time of observation, but not at the station during the preceding hour, the fog or ice fog extending to a level above that of the observer. ";"";"";"";"";"";"";"";"";"";"0.7";"13.9";"";"";"";"";"";"";
"19.03.2016 17:45";"33.0";"744.4";"756.3";"-0.7";"44";"Wind blowing from the south";"2";"";"";"no clouds";" ";"";"";"";"34.2";"";"";"";"";"";"6.0";"19.3";"No precipitation";"9";"";"";"";"";
"19.03.2016 14:45";"34.0";"745.1";"757.0";"-1.7";"54";"Wind blowing from the south";"1";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"6.0";"23.3";"";"";"";"";"";"";
"19.03.2016 11:45";"31.2";"746.8";"758.7";"-0.3";"54";"Wind blowing from the east";"2";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"6.0";"20.9";"";"";"";"";"";"";
"19.03.2016 08:45";"24.4";"747.1";"759.1";"2.1";"59";"Wind blowing from the east";"2";"";"";"no clouds";"Haze. ";"Fog or ice fog or thick haze.";"Fog or ice fog or thick haze.";"15.6";"";"";"";"";"";"";"3.5";"15.8";"No precipitation";"24";"";"";"";"";
"19.03.2016 05:45";"15.6";"745.0";"757.0";"";"96";"Calm, no wind";"0";"";"";"no clouds";"Fog or ice fog at a distance at the time of observation, but not at the station during the preceding hour, the fog or ice fog extending to a level above that of the observer. ";"";"";"";"";"";"";"";"";"";"0.8";"15.0";"";"";"";"";"";"";
"18.03.2016 17:45";"30.6";"744.4";"756.3";"-0.6";"53";"Wind blowing from the west-southwest";"2";"";"";"no clouds";" ";"";"";"";"32.5";"";"";"";"";"";"6.0";"19.9";"No precipitation";"9";"";"";"";"";
"18.03.2016 14:45";"31.0";"745.0";"757.0";"-3.0";"59";"Wind blowing from the west-southwest";"2";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"6.0";"22.2";"";"";"";"";"";"";
"18.03.2016 11:45";"30.0";"748.0";"759.9";"-0.3";"39";"Wind blowing from the south";"2";"";"";"no clouds";"Haze. ";"Fog or ice fog or thick haze.";"Fog or ice fog or thick haze.";"";"";"";"";"";"";"";"5.0";"14.5";"";"";"";"";"";"";
"18.03.2016 08:45";"20.6";"748.3";"760.2";"";"68";"Calm, no wind";"0";"";"";"no clouds";"Fog or ice fog at a distance at the time of observation, but not at the station during the preceding hour, the fog or ice fog extending to a level above that of the observer. ";"Fog or ice fog or thick haze.";"Fog or ice fog or thick haze.";"12.4";"";"";"";"";"";"";"0.6";"14.5";"No precipitation";"24";"";"";"";"";
"17.03.2016 17:45";"28.6";"746.5";"758.5";"-0.7";"64";"Calm, no wind";"0";"";"";"70 – 80%.";" ";"";"";"";"31.6";"Cumulus humilis or Cumulus fractus other than of bad weather, or both.";"40%.";"600-1000";"Altocumulus translucidus or opacus in two or more layers, or Altocumulus opacus in a single layer, not progressively invading the sky, or Altocumulus with Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"6.0";"21.0";"No precipitation";"9";"";"";"";"";
"17.03.2016 14:45";"30.6";"747.2";"759.2";"-1.4";"77";"Wind blowing from the north-east";"2";"";"";"70 – 80%.";" ";"";"";"";"";"Cumulus humilis or Cumulus fractus other than of bad weather, or both.";"40%.";"600-1000";"Altocumulus translucidus or opacus in two or more layers, or Altocumulus opacus in a single layer, not progressively invading the sky, or Altocumulus with Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"6.0";"26.1";"";"";"";"";"";"";
"17.03.2016 11:45";"27.6";"748.6";"760.5";"0.4";"48";"Wind blowing from the south-southwest";"3";"";"";"60%.";"Haze. ";"Fog or ice fog or thick haze.";"Fog or ice fog or thick haze.";"";"";"Cumulus humilis or Cumulus fractus other than of bad weather, or both.";"10%  or less, but not 0";"600-1000";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus spissatus, in patches or entangled sheaves, which usually do not increase and sometimes seem to be the remains of the upper part of a Cumulonimbus; or Cirrus castellanus or floccus.";"5.0";"15.7";"";"";"";"";"";"";
"17.03.2016 08:45";"19.4";"748.2";"760.1";"2.0";"70";"Calm, no wind";"0";"";"";"10%  or less, but not 0";"Mist. ";"Fog or ice fog or thick haze.";"Fog or ice fog or thick haze.";"12.4";"";"";"";"600-1000";"";"";"1.5";"13.8";"No precipitation";"24";"";"";"";"";
"17.03.2016 05:45";"12.6";"746.2";"758.1";"";"99";"Calm, no wind";"0";"";"";"20–30%.";" ";"";"";"";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"50%.";"600-1000";"";"";"0.7";"12.5";"";"";"";"";"";"";
"16.03.2016 17:45";"30.0";"745.3";"757.2";"-0.3";"38";"Wind blowing from the west-southwest";"2";"";"";"no clouds";" ";"";"";"";"31.2";"";"";"";"";"";"7.0";"14.0";"No precipitation";"9";"";"";"";"";
"16.03.2016 14:45";"30.8";"745.6";"757.5";"-1.8";"38";"Wind blowing from the west";"2";"";"";"40%.";" ";"";"";"";"";"Cumulus humilis or Cumulus fractus other than of bad weather, or both.";"20–30%.";"600-1000";"Patches (often lenticular) of Altocumulus translucidus, continually changing and occurring at one or more levels.";"No Cirrus, Cirrocumulus or Cirrostratus.";"7.0";"14.7";"";"";"";"";"";"";
"16.03.2016 11:45";"26.6";"747.4";"759.4";"-2.1";"57";"Wind blowing from the west";"2";"";"";"no clouds";"Haze. ";"Fog or ice fog or thick haze.";"Fog or ice fog or thick haze.";"";"";"";"";"";"";"";"5.0";"17.5";"";"";"";"";"";"";
"16.03.2016 08:45";"19.0";"749.5";"761.5";"3.6";"77";"Wind blowing from the south";"1";"";"";"10%  or less, but not 0";"Mist. ";"Fog or ice fog or thick haze.";"Fog or ice fog or thick haze.";"11.5";"";"";"";"600-1000";"";"";"4.0";"14.9";"No precipitation";"24";"";"";"";"";
"16.03.2016 05:45";"11.6";"745.9";"757.9";"";"100";"Calm, no wind";"0";"";"";"no clouds";"Fog or ice fog at a distance at the time of observation, but not at the station during the preceding hour, the fog or ice fog extending to a level above that of the observer. ";"";"";"";"";"";"";"";"";"";"0.7";"11.6";"";"";"";"";"";"";
"15.03.2016 17:45";"27.5";"745.7";"757.4";"-0.9";"53";"Wind blowing from the west-southwest";"3";"";"";"50%.";" ";"";"";"";"31.4";"Cumulus humilis or Cumulus fractus other than of bad weather, or both.";"10%  or less, but not 0";"600-1000";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus spissatus, in patches or entangled sheaves, which usually do not increase and sometimes seem to be the remains of the upper part of a Cumulonimbus; or Cirrus castellanus or floccus.";"10.0";"17.0";"No precipitation";"9";"";"";"";"";
"15.03.2016 14:45";"30.4";"746.6";"758.3";"-2.5";"54";"Wind blowing from the west";"4";"";"";"40%.";" ";"";"";"";"";"Cumulus humilis or Cumulus fractus other than of bad weather, or both.";"10%  or less, but not 0";"600-1000";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"12.0";"20.2";"";"";"";"";"";"";
"15.03.2016 11:45";"29.0";"749.1";"761.1";"0.0";"46";"Wind blowing from the west";"3";"";"";"50%.";" ";"";"";"";"";"Cumulus humilis or Cumulus fractus other than of bad weather, or both.";"10%  or less, but not 0";"600-1000";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus spissatus, in patches or entangled sheaves, which usually do not increase and sometimes seem to be the remains of the upper part of a Cumulonimbus; or Cirrus castellanus or floccus.";"15.0";"16.2";"";"";"";"";"";"";
"15.03.2016 08:45";"22.4";"749.1";"761.0";"1.1";"61";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"12.5";"";"";"";"";"";"";"15.0";"14.5";"No precipitation";"24";"";"";"";"";
"15.03.2016 05:45";"13.2";"748.0";"760.0";"";"97";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"10.0";"12.7";"";"";"";"";"";"";
"14.03.2016 17:45";"27.0";"747.0";"758.9";"-0.7";"70";"Wind blowing from the south";"1";"";"";"60%.";" ";"";"";"";"28.5";"Cumulus humilis or Cumulus fractus other than of bad weather, or both.";"20–30%.";"600-1000";"Altocumulus translucidus in bands, or one or more layers of Altocumulus translucidus or opacus, progressively invading the sky; these Altocumulus clouds generally thicken as a whole.";"No Cirrus, Cirrocumulus or Cirrostratus.";"5.0";"21.0";"No precipitation";"9";"";"";"";"";
"14.03.2016 14:45";"27.4";"747.7";"759.7";"-2.0";"72";"Wind blowing from the south";"2";"";"";"50%.";"Haze. ";"Fog or ice fog or thick haze.";"Fog or ice fog or thick haze.";"";"";"Cumulus humilis or Cumulus fractus other than of bad weather, or both.";"20–30%.";"600-1000";"Altocumulus translucidus in bands, or one or more layers of Altocumulus translucidus or opacus, progressively invading the sky; these Altocumulus clouds generally thicken as a whole.";"No Cirrus, Cirrocumulus or Cirrostratus.";"5.0";"21.9";"";"";"";"";"";"";
"14.03.2016 11:45";"25.4";"749.7";"761.6";"0.2";"71";"Wind blowing from the south";"3";"";"";"70 – 80%.";"Haze. ";"Fog or ice fog or thick haze.";"Fog or ice fog or thick haze.";"";"";"Stratocumulus cumulogenitus.";"50%.";"300-600";"Altocumulus translucidus or opacus in two or more layers, or Altocumulus opacus in a single layer, not progressively invading the sky, or Altocumulus with Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"19.8";"";"";"";"";"";"";
"14.03.2016 08:45";"20.2";"749.5";"761.4";"2.0";"86";"Calm, no wind";"0";"";"";"20–30%.";"Mist. ";"Fog or ice fog or thick haze.";"Fog or ice fog or thick haze.";"15.4";"";"Cumulus humilis or Cumulus fractus other than of bad weather, or both.";"10%  or less, but not 0";"600-1000";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"1.5";"17.7";"No precipitation";"24";"";"";"";"";
"14.03.2016 05:45";"15.6";"747.5";"759.4";"";"";"Calm, no wind";"0";"";"";"50%.";"Mist. ";"";"";"";"";"Cumulus humilis or Cumulus fractus other than of bad weather, or both.";"20–30%.";"200-300";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"1.2";"";"";"";"";"";"";"";
"13.03.2016 17:45";"26.6";"746.8";"758.8";"-0.3";"73";"Wind blowing from the west-southwest";"2";"";"";"90  or more, but not 100%";" ";"";"";"";"29.5";"Cumulus humilis or Cumulus fractus other than of bad weather, or both.";"40%.";"200-300";"Altocumulus translucidus or opacus in two or more layers, or Altocumulus opacus in a single layer, not progressively invading the sky, or Altocumulus with Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"6.0";"21.4";"No precipitation";"9";"";"";"";"";
"13.03.2016 14:45";"29.0";"747.1";"759.1";"-1.9";"70";"Wind blowing from the west-southwest";"2";"";"";"60%.";" ";"";"";"";"";"Cumulus humilis or Cumulus fractus other than of bad weather, or both.";"20–30%.";"300-600";"Altocumulus translucidus or opacus in two or more layers, or Altocumulus opacus in a single layer, not progressively invading the sky, or Altocumulus with Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"7.0";"22.9";"";"";"";"";"";"";
"13.03.2016 11:45";"27.6";"749.0";"760.9";"-0.2";"61";"Calm, no wind";"0";"";"";"60%.";" ";"";"";"";"";"Cumulus humilis or Cumulus fractus other than of bad weather, or both.";"50%.";"300-600";"Altocumulus translucidus or opacus in two or more layers, or Altocumulus opacus in a single layer, not progressively invading the sky, or Altocumulus with Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"6.0";"19.4";"";"";"";"";"";"";
"13.03.2016 08:45";"23.0";"749.2";"761.1";"1.3";"81";"Calm, no wind";"0";"";"";"90  or more, but not 100%";"Mist. ";"Fog or ice fog or thick haze.";"Fog or ice fog or thick haze.";"19.5";"";"Cumulus humilis or Cumulus fractus other than of bad weather, or both.";"40%.";"200-300";"Altocumulus translucidus or opacus in two or more layers, or Altocumulus opacus in a single layer, not progressively invading the sky, or Altocumulus with Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"2.5";"19.6";"No precipitation";"24";"";"";"";"";
"13.03.2016 05:45";"20.6";"747.9";"759.8";"";"95";"Calm, no wind";"0";"";"";"70 – 80%.";"Mist. ";"";"";"";"";"Cumulus humilis or Cumulus fractus other than of bad weather, or both.";"40%.";"200-300";"Altocumulus translucidus or opacus in two or more layers, or Altocumulus opacus in a single layer, not progressively invading the sky, or Altocumulus with Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"2.0";"19.7";"";"";"";"";"";"";
