# Weather station Supaul, India, WMO_ID=42393,selection from 09.12.2015 till 31.12.2017, all days
# Encoding: UTF-8
# The data is provided by the website "Reliable Prognosis", rp5.ru 
# If you use the data, please indicate the name of the website.
# For meteorological parameters see the address http://rp5.ru/archive.php?wmo_id=42393&lang=en
#
"Local time in Supaul";"T";"Po";"P";"Pa";"U";"DD";"Ff";"ff10";"ff3";"N";"WW";"W1";"W2";"Tn";"Tx";"Cl";"Nh";"H";"Cm";"Ch";"VV";"Td";"RRR";"tR";"E";"Tg";"E'";"sss"
"29.01.2017 08:30";"16.0";"759.7";"764.2";"";"81";"Wind blowing from the west";"3";"";"";"no clouds";" ";"";"";"10.0";"";"";"";"";"";"";"4.0";"12.8";"";"";"";"";"";"";
"28.01.2017 17:30";"20.2";"756.3";"760.7";"";"78";"Wind blowing from the west";"1";"";"";"no clouds";" ";"";"";"";"23.4";"";"";"";"";"";"4.0";"16.2";"";"";"";"";"";"";
"28.01.2017 08:30";"16.0";"759.5";"764.0";"";"90";"Wind blowing from the west";"3";"";"";"Sky obscured by fog and/or other meteorological phenomena.";"Fog or ice fog, sky invisible (has become thinner during the preceding hour). ";"Fog or ice fog or thick haze.";"Fog or ice fog or thick haze.";"11.9";"";"";"";"2500 or more, or no clouds.";"";"";"0.5";"14.3";"Trace of precipitation";"6";"";"";"";"";
"27.01.2017 08:30";"18.6";"758.4";"762.9";"";"79";"Wind blowing from the west";"1";"";"";"70 – 80%.";" ";"";"";"13.6";"";"Stratocumulus cumulogenitus.";"70 – 80%.";"300-600";"Altostratus opacus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"14.8";"";"";"";"";"";"";
"25.01.2017 17:30";"23.2";"758.9";"763.3";"";"73";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"28.3";"";"";"";"";"";"4.0";"18.1";"";"";"";"";"";"";
"25.01.2017 08:30";"16.2";"762.2";"766.7";"";"81";"Wind blowing from the west";"1";"";"";"no clouds";"Fog or ice fog in patches. ";"Fog or ice fog or thick haze.";"Fog or ice fog or thick haze.";"8.7";"";"";"";"";"";"";"0.5";"13.0";"";"";"";"";"";"";
"24.01.2017 17:30";"22.0";"758.6";"763.0";"";"79";"Wind blowing from the west";"1";"";"";"no clouds";" ";"";"";"";"27.2";"";"";"";"";"";"4.0";"18.2";"";"";"";"";"";"";
"24.01.2017 08:30";"13.8";"";"766.3";"";"93";"Wind blowing from the west";"1";"";"";"no clouds";"Fog or ice fog in patches. ";"Fog or ice fog or thick haze.";"Fog or ice fog or thick haze.";"8.2";"";"";"";"";"";"";"0.2";"12.7";"";"";"";"";"";"";
"23.01.2017 17:30";"21.2";"";"761.5";"";"82";"Wind blowing from the west";"1";"";"";"no clouds";" ";"";"";"";"25.9";"";"";"";"";"";"4.0";"18.0";"";"";"";"";"";"";
"23.01.2017 08:30";"15.6";"";"765.2";"";"79";"Wind blowing from the west";"1";"";"";"no clouds";"Fog or ice fog in patches. ";"Fog or ice fog or thick haze.";"Fog or ice fog or thick haze.";"9.6";"";"";"";"";"";"";"0.5";"11.9";"";"";"";"";"";"";
"22.01.2017 17:30";"21.0";"";"762.5";"";"79";"Wind blowing from the west";"1";"";"";"no clouds";" ";"";"";"";"25.4";"";"";"";"";"";"4.0";"17.1";"";"";"";"";"";"";
"22.01.2017 08:30";"15.0";"";"766.9";"";"81";"Wind blowing from the west";"1";"";"";"no clouds";" ";"";"";"8.8";"";"";"";"";"";"";"4.0";"11.7";"";"";"";"";"";"";
"21.01.2017 17:30";"20.2";"";"763.5";"";"73";"Wind blowing from the east-northeast";"1";"";"";"no clouds";" ";"";"";"";"25.2";"";"";"";"";"";"4.0";"15.1";"";"";"";"";"";"";
"20.01.2017 17:30";"20.0";"";"761.8";"";"81";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"24.4";"";"";"";"";"";"4.0";"16.7";"";"";"";"";"";"";
"20.01.2017 08:30";"14.0";"";"765.6";"";"72";"Wind blowing from the west";"3";"";"";"no clouds";" ";"";"";"7.6";"";"";"";"";"";"";"4.0";"8.9";"";"";"";"";"";"";
"19.01.2017 17:30";"20.8";"";"762.4";"";"75";"Wind blowing from the west";"1";"";"";"no clouds";" ";"";"";"";"26.0";"";"";"";"";"";"4.0";"16.2";"";"";"";"";"";"";
"19.01.2017 08:30";"14.4";"";"766.3";"";"74";"Wind blowing from the west";"1";"";"";"no clouds";" ";"";"";"8.5";"";"";"";"";"";"";"4.0";"9.8";"";"";"";"";"";"";
"18.01.2017 17:30";"20.0";"";"763.8";"";"76";"Wind blowing from the west";"1";"";"";"no clouds";" ";"";"";"";"25.6";"";"";"";"";"";"4.0";"15.6";"";"";"";"";"";"";
"17.01.2017 17:30";"20.0";"";"761.3";"";"74";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"24.7";"";"";"";"";"";"4.0";"15.3";"";"";"";"";"";"";
"17.01.2017 08:30";"14.0";"";"763.9";"";"78";"Wind blowing from the west";"1";"";"";"no clouds";" ";"";"";"7.3";"";"";"";"";"";"";"4.0";"10.2";"";"";"";"";"";"";
"16.01.2017 17:30";"18.8";"";"760.8";"";"68";"Wind blowing from the west";"1";"";"";"no clouds";" ";"";"";"";"24.1";"";"";"";"";"";"4.0";"12.8";"";"";"";"";"";"";
"15.01.2017 17:30";"18.4";"";"762.1";"";"75";"Wind blowing from the west";"1";"";"";"no clouds";" ";"";"";"";"24.0";"";"";"";"";"";"4.0";"13.9";"";"";"";"";"";"";
"15.01.2017 08:30";"12.2";"";"766.0";"";"65";"Wind blowing from the west";"1";"";"";"no clouds";" ";"";"";"5.6";"";"";"";"";"";"";"4.0";"5.8";"";"";"";"";"";"";
"14.01.2017 17:30";"16.6";"";"762.9";"";"68";"Wind blowing from the west";"1";"";"";"no clouds";" ";"";"";"";"21.3";"";"";"";"";"";"4.0";"10.6";"";"";"";"";"";"";
"12.01.2017 17:30";"16.2";"";"760.5";"";"68";"Wind blowing from the west";"1";"";"";"no clouds";" ";"";"";"";"21.7";"";"";"";"";"";"4.0";"10.2";"";"";"";"";"";"";
"11.01.2017 17:30";"18.0";"";"760.1";"";"71";"Wind blowing from the west";"1";"";"";"no clouds";" ";"";"";"";"22.4";"";"";"";"";"";"4.0";"12.6";"";"";"";"";"";"";
"11.01.2017 08:30";"14.2";"";"762.2";"";"87";"Wind blowing from the west";"3";"";"";"60%.";" ";"";"";"9.5";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"60%.";"1000-1500";"Altocumulus translucidus in bands, or one or more layers of Altocumulus translucidus or opacus, progressively invading the sky; these Altocumulus clouds generally thicken as a whole.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"12.0";"";"";"";"";"";"";
"10.01.2017 17:30";"19.8";"";"759.1";"";"81";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"24.4";"";"";"";"";"";"4.0";"16.5";"";"";"";"";"";"";
"10.01.2017 08:30";"16.4";"756.8";"761.3";"";"85";"Wind blowing from the west";"1";"";"";"60%.";" ";"";"";"11.5";"";"Cumulonimbus calvus, with or without Cumulus, Stratocumulus or Stratus.";"60%.";"300-600";"Altostratus opacus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"13.9";"";"";"";"";"";"";
"09.01.2017 17:30";"20.4";"754.0";"758.4";"";"81";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"25.1";"";"";"";"";"";"4.0";"17.1";"";"";"";"";"";"";
"09.01.2017 08:30";"15.4";"754.2";"758.7";"";"79";"Wind blowing from the west";"1";"";"";"no clouds";" ";"";"";"8.3";"";"";"";"";"";"";"4.0";"11.7";"";"";"";"";"";"";
"08.01.2017 17:30";"18.4";"754.4";"758.8";"";"75";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"22.8";"";"";"";"";"";"4.0";"13.9";"";"";"";"";"";"";
"07.01.2017 17:30";"17.2";"754.2";"758.6";"";"88";"Wind blowing from the west";"1";"";"";"no clouds";" ";"";"";"";"20.5";"";"";"";"";"";"4.0";"15.1";"";"";"";"";"";"";
"06.01.2017 17:30";"16.4";"756.1";"760.6";"";"91";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"18.9";"";"";"";"";"";"4.0";"15.0";"";"";"";"";"";"";
"05.01.2017 17:30";"15.6";"755.9";"760.4";"";"89";"Wind blowing from the west";"3";"";"";"no clouds";" ";"";"";"";"18.8";"";"";"";"";"";"4.0";"13.8";"";"";"";"";"";"";
"04.01.2017 17:30";"17.2";"756.3";"760.8";"";"92";"Wind blowing from the west";"1";"";"";"no clouds";" ";"";"";"";"18.5";"";"";"";"";"";"4.0";"15.9";"";"";"";"";"";"";
"03.01.2017 08:30";"16.8";"759.1";"763.6";"";"84";"Wind blowing from the west";"3";"";"";"no clouds";" ";"";"";"11.6";"";"";"";"";"";"";"2.0";"14.0";"";"";"";"";"";"";
"02.01.2017 17:30";"21.0";"757.1";"761.5";"";"86";"Calm, no wind";"0";"";"";"70 – 80%.";" ";"";"";"";"23.9";"Cumulonimbus calvus, with or without Cumulus, Stratocumulus or Stratus.";"70 – 80%.";"300-600";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"18.5";"";"";"";"";"";"";
"02.01.2017 08:30";"17.8";"759.3";"763.8";"";"82";"Wind blowing from the west";"1";"";"";"70 – 80%.";" ";"";"";"10.9";"";"Cumulus mediocris or congestus, with or without Cumulus of species fractus or humilis or Stratocumulus, all having their bases at the same level.";"70 – 80%.";"300-600";"Patches (often lenticular) of Altocumulus translucidus, continually changing and occurring at one or more levels.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"14.7";"";"";"";"";"";"";
"01.01.2017 17:30";"19.8";"757.5";"761.9";"";"87";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"24.2";"";"";"";"";"";"4.0";"17.5";"";"";"";"";"";"";
"01.01.2017 08:30";"14.4";"760.6";"765.1";"";"97";"Wind blowing from the north-west";"1";"";"";"no clouds";"Fog or ice fog in patches. ";"Fog or ice fog or thick haze.";"Fog or ice fog or thick haze.";"10.9";"";"";"";"";"";"";"0.05";"14.0";"";"";"";"";"";"";
"31.12.2016 08:30";"14.2";"760.0";"764.5";"";"97";"Wind blowing from the west";"1";"";"";"no clouds";"Fog or ice fog, sky invisible (has become thinner during the preceding hour). ";"Fog or ice fog or thick haze.";"Fog or ice fog or thick haze.";"11.0";"";"";"";"";"";"";"0.5";"13.8";"";"";"";"";"";"";
"30.12.2016 17:30";"17.8";"757.5";"762.0";"";"86";"Wind blowing from the west";"1";"";"";"no clouds";" ";"";"";"";"21.2";"";"";"";"";"";"4.0";"15.4";"";"";"";"";"";"";
"30.12.2016 08:30";"13.8";"759.9";"764.4";"";"96";"Wind blowing from the north-west";"1";"";"";"no clouds";"Fog or ice fog in patches. ";"Fog or ice fog or thick haze.";"Fog or ice fog or thick haze.";"9.7";"";"";"";"";"";"";"less than 0.05";"13.1";"";"";"";"";"";"";
"29.12.2016 17:30";"19.0";"756.9";"761.3";"";"88";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"22.5";"";"";"";"";"";"4.0";"17.0";"";"";"";"";"";"";
"29.12.2016 08:30";"14.0";"760.4";"764.9";"";"97";"Wind blowing from the west";"1";"";"";"no clouds";"Fog or ice fog in patches. ";"Fog or ice fog or thick haze.";"Fog or ice fog or thick haze.";"8.9";"";"";"";"";"";"";"0.05";"13.5";"";"";"";"";"";"";
"28.12.2016 17:30";"16.2";"757.3";"761.8";"";"87";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"17.5";"";"";"";"";"";"4.0";"14.1";"";"";"";"";"";"";
"28.12.2016 08:30";"15.2";"759.5";"764.0";"";"90";"Wind blowing from the west";"1";"";"";"Sky obscured by fog and/or other meteorological phenomena.";"Fog or ice fog, sky invisible (has become thinner during the preceding hour). ";"Fog or ice fog or thick haze.";"Fog or ice fog or thick haze.";"11.8";"";"";"";"2500 or more, or no clouds.";"";"";"0.5";"13.5";"";"";"";"";"";"";
"27.12.2016 17:30";"18.2";"757.3";"761.8";"";"81";"Wind blowing from the west";"1";"";"";"Sky obscured by fog and/or other meteorological phenomena.";"Fog or ice fog at a distance at the time of observation, but not at the station during the preceding hour, the fog or ice fog extending to a level above that of the observer. ";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"";"";"";"";"2500 or more, or no clouds.";"";"";"0.5";"14.8";"";"";"";"";"";"";
"27.12.2016 08:30";"17.8";"760.3";"764.8";"";"94";"Wind blowing from the east-northeast";"3";"";"";"20–30%.";"Fog or ice fog, sky invisible (has become thinner during the preceding hour). ";"Fog or ice fog or thick haze.";"Fog or ice fog or thick haze.";"14.3";"";"";"";"2500 or more, or no clouds.";"";"";"0.5";"16.8";"";"";"";"";"";"";
"26.12.2016 17:30";"21.4";"755.0";"759.4";"";"79";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"25.0";"";"";"";"";"";"4.0";"17.5";"";"";"";"";"";"";
"26.12.2016 08:30";"18.2";"756.4";"760.8";"";"84";"Wind blowing from the west";"1";"";"";"no clouds";" ";"";"";"13.2";"";"";"";"";"";"";"4.0";"15.5";"";"";"";"";"";"";
"25.12.2016 17:30";"22.4";"754.1";"758.5";"";"79";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"26.9";"";"";"";"";"";"4.0";"18.6";"";"";"";"";"";"";
"25.12.2016 08:30";"16.6";"757.8";"762.3";"";"92";"Wind blowing from the west";"1";"";"";"no clouds";"Fog or ice fog, sky invisible (has become thinner during the preceding hour). ";"Fog or ice fog or thick haze.";"Fog or ice fog or thick haze.";"11.2";"";"";"";"";"";"";"4.0";"15.2";"";"";"";"";"";"";
"24.12.2016 17:30";"22.4";"753.7";"758.1";"";"71";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"27.6";"";"";"";"";"";"4.0";"16.9";"";"";"";"";"";"";
"24.12.2016 08:30";"16.4";"756.2";"760.7";"";"96";"Wind blowing from the north-west";"3";"";"";"Sky obscured by fog and/or other meteorological phenomena.";"Fog or ice fog in patches. ";"Fog or ice fog or thick haze.";"Fog or ice fog or thick haze.";"13.1";"";"";"";"2500 or more, or no clouds.";"";"";"0.2";"15.7";"";"";"";"";"";"";
"22.12.2016 17:30";"22.6";"755.1";"759.5";"";"78";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"26.7";"";"";"";"";"";"4.0";"18.5";"";"";"";"";"";"";
"22.12.2016 08:30";"16.4";"758.2";"762.7";"";"85";"Wind blowing from the west";"1";"";"";"no clouds";" ";"";"";"11.0";"";"";"";"";"";"";"4.0";"13.9";"";"";"";"";"";"";
"21.12.2016 17:30";"20.2";"755.6";"760.0";"";"80";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"25.1";"";"";"";"";"";"4.0";"16.6";"";"";"";"";"";"";
"21.12.2016 08:30";"16.4";"758.3";"762.8";"";"79";"Wind blowing from the west";"1";"";"";"no clouds";" ";"";"";"10.9";"";"";"";"";"";"";"4.0";"12.8";"";"";"";"";"";"";
"20.12.2016 17:30";"20.4";"755.2";"759.6";"";"76";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"25.5";"";"";"";"";"";"4.0";"16.1";"";"";"";"";"";"";
"19.12.2016 17:30";"21.4";"755.6";"760.0";"";"74";"Wind blowing from the west";"1";"";"";"no clouds";" ";"";"";"";"26.9";"";"";"";"";"";"4.0";"16.5";"";"";"";"";"";"";
"18.12.2016 17:30";"20.6";"757.0";"761.4";"";"85";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"24.8";"";"";"";"";"";"4.0";"18.0";"";"";"";"";"";"";
"18.12.2016 08:30";"14.0";"759.7";"764.2";"";"97";"Wind blowing from the north-west";"1";"";"";"Sky obscured by fog and/or other meteorological phenomena.";"Fog or ice fog in patches. ";"Fog or ice fog or thick haze.";"Fog or ice fog or thick haze.";"9.6";"";"";"";"2500 or more, or no clouds.";"";"";"less than 0.05";"13.6";"";"";"";"";"";"";
"17.12.2016 08:30";"13.0";"759.4";"763.9";"";"93";"Wind blowing from the west";"3";"";"";"Sky obscured by fog and/or other meteorological phenomena.";"Fog or ice fog in patches. ";"Fog or ice fog or thick haze.";"Fog or ice fog or thick haze.";"9.3";"";"";"";"";"";"";"0.05";"11.9";"";"";"";"";"";"";
"16.12.2016 17:30";"19.6";"756.8";"761.2";"";"78";"Wind blowing from the west";"1";"";"";"no clouds";" ";"";"";"";"25.8";"";"";"";"";"";"4.0";"15.6";"";"";"";"";"";"";
"16.12.2016 08:30";"12.4";"759.9";"764.5";"";"96";"Wind blowing from the north-west";"1";"";"";"Sky obscured by fog and/or other meteorological phenomena.";"Fog or ice fog in patches. ";"Fog or ice fog or thick haze.";"Fog or ice fog or thick haze.";"8.1";"";"";"";"";"";"";"0.05";"11.7";"";"";"";"";"";"";
"15.12.2016 17:30";"17.0";"756.9";"761.4";"";"86";"Wind blowing from the west";"1";"";"";"no clouds";" ";"";"";"";"20.0";"";"";"";"";"";"4.0";"14.6";"";"";"";"";"";"";
"15.12.2016 08:30";"13.2";"759.2";"763.7";"";"96";"Wind blowing from the north-west";"2";"";"";"no clouds";"Fog or ice fog in patches. ";"Fog or ice fog or thick haze.";"Fog or ice fog or thick haze.";"9.8";"";"";"";"";"";"";"0.5";"12.5";"";"";"";"";"";"";
"14.12.2016 17:30";"19.0";"755.9";"760.3";"";"83";"Wind blowing from the west";"1";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"4.0";"16.0";"";"";"";"";"";"";
"14.12.2016 08:30";"12.6";"758.9";"763.5";"";"96";"Wind blowing from the north-west";"1";"";"";"no clouds";"Fog or ice fog in patches. ";"Fog or ice fog or thick haze.";"Fog or ice fog or thick haze.";"7.3";"";"";"";"";"";"";"0.2";"11.9";"";"";"";"";"";"";
"13.12.2016 17:30";"16.0";"755.5";"760.0";"";"91";"Wind blowing from the north-west";"1";"";"";"no clouds";" ";"";"";"";"19.4";"";"";"";"";"";"4.0";"14.6";"";"";"";"";"";"";
"13.12.2016 08:30";"12.8";"758.6";"763.1";"";"93";"Wind blowing from the west";"3";"";"";"no clouds";"Fog or ice fog, sky invisible (has become thinner during the preceding hour). ";"Fog or ice fog or thick haze.";"Fog or ice fog or thick haze.";"8.1";"";"";"";"";"";"";"1.0";"11.7";"";"";"";"";"";"";
"12.12.2016 17:30";"16.2";"754.9";"759.4";"";"79";"Wind blowing from the west";"1";"";"";"no clouds";" ";"";"";"";"20.7";"";"";"";"";"";"4.0";"12.6";"";"";"";"";"";"";
"12.12.2016 08:30";"11.6";"758.2";"762.8";"";"88";"Wind blowing from the west";"3";"";"";"no clouds";"Fog or ice fog, sky invisible (has become thinner during the preceding hour). ";"Fog or ice fog or thick haze.";"Fog or ice fog or thick haze.";"7.9";"";"";"";"";"";"";"1.0";"9.6";"";"";"";"";"";"";
"11.12.2016 17:30";"14.2";"754.7";"759.2";"";"91";"Wind blowing from the north-west";"3";"";"";"no clouds";"Fog or ice fog, sky invisible (has become thinner during the preceding hour). ";"Fog or ice fog or thick haze.";"Fog or ice fog or thick haze.";"";"14.6";"";"";"";"";"";"1.0";"12.7";"";"";"";"";"";"";
"11.12.2016 08:30";"12.6";"757.6";"762.1";"";"96";"Wind blowing from the west";"1";"";"";"no clouds";"Fog or ice fog in patches. ";"Fog or ice fog or thick haze.";"Fog or ice fog or thick haze.";"8.8";"";"";"";"";"";"";"0.5";"11.9";"";"";"";"";"";"";
"10.12.2016 17:30";"17.6";"755.2";"759.6";"";"75";"Wind blowing from the north-west";"1";"";"";"no clouds";" ";"";"";"";"22.0";"";"";"";"";"";"4.0";"13.0";"";"";"";"";"";"";
"10.12.2016 08:30";"12.4";"757.9";"762.4";"";"86";"Wind blowing from the west";"3";"";"";"no clouds";"Fog or ice fog, sky invisible (has become thinner during the preceding hour). ";"Fog or ice fog or thick haze.";"Fog or ice fog or thick haze.";"8.9";"";"";"";"";"";"";"1.0";"10.1";"";"";"";"";"";"";
"09.12.2016 17:30";"16.2";"755.2";"759.7";"";"84";"Wind blowing from the north-west";"3";"";"";"no clouds";" ";"";"";"";"19.6";"";"";"";"";"";"4.0";"13.4";"";"";"";"";"";"";
"09.12.2016 08:30";"13.6";"758.3";"762.8";"";"87";"Wind blowing from the west";"3";"";"";"no clouds";"Fog or ice fog, sky invisible (has become thinner during the preceding hour). ";"Fog or ice fog or thick haze.";"Fog or ice fog or thick haze.";"10.2";"";"";"";"";"";"";"1.0";"11.4";"";"";"";"";"";"";
"08.12.2016 17:30";"16.0";"756.3";"760.8";"";"90";"Wind blowing from the west";"1";"";"";"no clouds";" ";"";"";"";"17.2";"";"";"";"";"";"4.0";"14.3";"";"";"";"";"";"";
"08.12.2016 08:30";"14.0";"759.2";"763.7";"";"96";"Wind blowing from the north-west";"3";"";"";"no clouds";"Fog or ice fog in patches. ";"Fog or ice fog or thick haze.";"Fog or ice fog or thick haze.";"10.3";"";"";"";"";"";"";"0.5";"13.3";"";"";"";"";"";"";
"07.12.2016 17:30";"19.4";"756.8";"761.2";"";"85";"Wind blowing from the west";"1";"";"";"no clouds";" ";"";"";"";"22.7";"";"";"";"";"";"4.0";"16.8";"";"";"";"";"";"";
"07.12.2016 08:30";"15.2";"759.6";"764.1";"";"98";"Wind blowing from the west";"1";"";"";"no clouds";"Fog or ice fog in patches. ";"Fog or ice fog or thick haze.";"Fog or ice fog or thick haze.";"11.2";"";"";"";"";"";"";"0.2";"14.9";"";"";"";"";"";"";
"06.12.2016 08:30";"15.4";"760.6";"765.1";"";"96";"Wind blowing from the west";"1";"";"";"no clouds";"Fog or ice fog in patches. ";"Fog or ice fog or thick haze.";"Fog or ice fog or thick haze.";"11.1";"";"";"";"";"";"";"0.5";"14.7";"";"";"";"";"";"";
"05.12.2016 17:30";"19.4";"758.1";"762.5";"";"85";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"4.0";"16.8";"";"";"";"";"";"";
"05.12.2016 08:30";"17.8";"760.3";"764.8";"";"90";"Wind blowing from the east";"3";"";"";"no clouds";"Fog or ice fog, sky invisible (has become thinner during the preceding hour). ";"Fog or ice fog or thick haze.";"Fog or ice fog or thick haze.";"13.0";"";"";"";"";"";"";"1.0";"16.1";"";"";"";"";"";"";
"04.12.2016 17:30";"20.0";"758.3";"762.7";"";"89";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"23.2";"";"";"";"";"";"4.0";"18.1";"";"";"";"";"";"";
"03.12.2016 17:30";"23.8";"758.0";"762.4";"";"81";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"28.0";"";"";"";"";"";"4.0";"20.4";"";"";"";"";"";"";
"03.12.2016 08:30";"19.0";"760.9";"765.4";"";"96";"Wind blowing from the east";"1";"";"";"no clouds";" ";"";"";"15.1";"";"";"";"";"";"";"0.5";"18.4";"";"";"";"";"";"";
"02.12.2016 17:30";"23.6";"756.7";"761.1";"";"81";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"28.5";"";"";"";"";"";"4.0";"20.2";"";"";"";"";"";"";
"02.12.2016 08:30";"21.6";"759.6";"764.0";"";"77";"Wind blowing from the east";"1";"";"";"no clouds";" ";"";"";"16.2";"";"";"";"";"";"";"4.0";"17.4";"";"";"";"";"";"";
"01.12.2016 17:30";"24.6";"756.1";"760.4";"";"77";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"29.4";"";"";"";"";"";"4.0";"20.3";"";"";"";"";"";"";
"01.12.2016 08:30";"22.2";"759.5";"763.9";"";"76";"Wind blowing from the east";"1";"";"";"no clouds";" ";"";"";"15.9";"";"";"";"";"";"";"4.0";"17.7";"";"";"";"";"";"";
"30.11.2016 17:30";"24.8";"756.3";"760.6";"";"76";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"4.0";"20.2";"";"";"";"";"";"";
"30.11.2016 08:30";"23.0";"759.7";"764.1";"";"71";"Wind blowing from the east";"1";"";"";"no clouds";" ";"";"";"15.5";"";"";"";"";"";"";"4.0";"17.5";"";"";"";"";"";"";
"29.11.2016 17:30";"24.0";"";"";"";"83";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"30.0";"";"";"";"";"";"4.0";"21.0";"";"";"";"";"";"";
"29.11.2016 08:30";"21.6";"758.0";"762.4";"";"74";"Wind blowing from the east";"1";"";"";"no clouds";" ";"";"";"14.9";"";"";"";"";"";"";"4.0";"16.7";"";"";"";"";"";"";
"28.11.2016 17:30";"23.4";"753.8";"758.2";"";"83";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"28.7";"";"";"";"";"";"4.0";"20.3";"";"";"";"";"";"";
"28.11.2016 08:30";"18.0";"756.9";"761.4";"";"92";"Wind blowing from the east";"1";"";"";"no clouds";" ";"";"";"13.7";"";"";"";"";"";"";"4.0";"16.7";"";"";"";"";"";"";
"27.11.2016 17:30";"23.4";"753.1";"757.4";"";"81";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"28.2";"";"";"";"";"";"4.0";"20.0";"";"";"";"";"";"";
"27.11.2016 08:30";"20.2";"756.7";"761.1";"";"80";"Wind blowing from the south";"1";"";"";"no clouds";" ";"";"";"14.5";"";"";"";"";"";"";"4.0";"16.6";"";"";"";"";"";"";
"26.11.2016 17:30";"23.2";"753.3";"757.7";"";"80";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"28.6";"";"";"";"";"";"4.0";"19.5";"";"";"";"";"";"";
"26.11.2016 08:30";"19.0";"756.4";"760.8";"";"87";"Wind blowing from the south";"1";"";"";"no clouds";" ";"";"";"13.8";"";"";"";"";"";"";"4.0";"16.7";"";"";"";"";"";"";
"25.11.2016 17:30";"22.8";"752.4";"756.8";"";"84";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"26.7";"";"";"";"";"";"4.0";"20.0";"";"";"";"";"";"";
"25.11.2016 08:30";"19.6";"756.3";"760.7";"";"78";"Wind blowing from the south";"1";"";"";"no clouds";" ";"";"";"14.2";"";"";"";"";"";"";"4.0";"15.6";"";"";"";"";"";"";
"23.11.2016 17:30";"23.0";"754.0";"758.4";"";"83";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"28.0";"";"";"";"";"";"4.0";"19.9";"";"";"";"";"";"";
"23.11.2016 08:30";"19.2";"756.7";"761.1";"";"87";"Wind blowing from the east";"1";"";"";"no clouds";" ";"";"";"14.6";"";"";"";"";"";"";"4.0";"16.9";"";"";"";"";"";"";
"22.11.2016 17:30";"23.4";"752.7";"757.0";"";"73";"Wind blowing from the south";"1";"";"";"no clouds";" ";"";"";"";"28.9";"";"";"";"";"";"4.0";"18.3";"";"";"";"";"";"";
"22.11.2016 08:30";"19.4";"756.0";"760.4";"";"81";"Wind blowing from the east";"1";"";"";"no clouds";" ";"";"";"13.9";"";"";"";"";"";"";"4.0";"16.1";"";"";"";"";"";"";
"21.11.2016 17:30";"23.8";"753.4";"757.7";"";"75";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"30.0";"";"";"";"";"";"4.0";"19.1";"";"";"";"";"";"";
"21.11.2016 08:30";"21.0";"756.6";"761.0";"";"75";"Wind blowing from the east";"1";"";"";"no clouds";" ";"";"";"14.6";"";"";"";"";"";"";"4.0";"16.4";"";"";"";"";"";"";
"19.11.2016 17:30";"23.4";"753.5";"757.9";"";"88";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"28.9";"";"";"";"";"";"4.0";"21.3";"";"";"";"";"";"";
