# Weather station Bagati, India, WMO_ID=42714,selection from 08.12.2015 till 31.12.2017, all days
# Encoding: UTF-8
# The data is provided by the website "Reliable Prognosis", rp5.ru 
# If you use the data, please indicate the name of the website.
# For meteorological parameters see the address http://rp5.ru/archive.php?wmo_id=42714&lang=en
#
"Local time in Bagati";"T";"Po";"P";"Pa";"U";"DD";"Ff";"ff10";"ff3";"N";"WW";"W1";"W2";"Tn";"Tx";"Cl";"Nh";"H";"Cm";"Ch";"VV";"Td";"RRR";"tR";"E";"Tg";"E'";"sss"
"01.12.2017 17:30";"27.0";"757.6";"758.6";"";"50";"Wind blowing from the north";"1";"";"";"no clouds";" ";"";"";"";"28.0";"";"";"";"";"";"10.0";"15.6";"";"";"";"";"";"";
"01.12.2017 08:30";"17.0";"761.0";"762.1";"";"70";"Wind blowing from the north";"1";"";"";"no clouds";" ";"";"";"12.5";"";"";"";"";"";"";"10.0";"11.5";"";"";"";"";"";"";
"30.11.2017 17:30";"24.0";"759.4";"760.4";"";"53";"Wind blowing from the north";"1";"";"";"no clouds";" ";"";"";"";"27.0";"";"";"";"";"";"10.0";"13.8";"";"";"";"";"";"";
"30.11.2017 08:30";"17.5";"760.7";"761.8";"";"70";"Wind blowing from the west";"1";"";"";"no clouds";" ";"";"";"13.0";"";"";"";"";"";"";"10.0";"12.0";"";"";"";"";"";"";
"29.11.2017 17:30";"25.0";"757.8";"758.8";"";"50";"Wind blowing from the north-west";"1";"";"";"no clouds";" ";"";"";"";"28.0";"";"";"";"";"";"10.0";"13.8";"";"";"";"";"";"";
"29.11.2017 08:30";"21.0";"759.3";"760.4";"";"65";"Wind blowing from the north";"1";"";"";"no clouds";" ";"";"";"13.5";"";"";"";"";"";"";"10.0";"14.1";"";"";"";"";"";"";
"28.11.2017 17:30";"25.5";"758.2";"759.2";"";"44";"Wind blowing from the north-west";"1";"";"";"no clouds";" ";"";"";"";"28.5";"";"";"";"";"";"10.0";"12.5";"";"";"";"";"";"";
"28.11.2017 08:30";"17.5";"760.4";"761.5";"";"80";"Wind blowing from the north-west";"1";"";"";"no clouds";" ";"";"";"14.5";"";"";"";"";"";"";"10.0";"13.9";"";"";"";"";"";"";
"27.11.2017 17:30";"27.5";"757.5";"758.5";"";"44";"Wind blowing from the west";"1";"";"";"no clouds";" ";"";"";"";"28.5";"";"";"";"";"";"10.0";"14.0";"";"";"";"";"";"";
"27.11.2017 08:30";"21.0";"761.0";"762.1";"";"73";"Wind blowing from the north";"1";"";"";"no clouds";" ";"";"";"15.0";"";"";"";"";"";"";"10.0";"16.0";"";"";"";"";"";"";
"26.11.2017 17:30";"23.0";"758.3";"759.4";"";"62";"Wind blowing from the north";"1";"";"";"no clouds";" ";"";"";"";"26.5";"";"";"";"";"";"10.0";"15.3";"";"";"";"";"";"";
"26.11.2017 08:30";"21.0";"759.3";"760.4";"";"65";"Wind blowing from the north";"1";"";"";"no clouds";" ";"";"";"13.2";"";"";"";"";"";"";"10.0";"14.1";"";"";"";"";"";"";
"25.11.2017 17:30";"22.5";"758.6";"759.7";"";"63";"Wind blowing from the north-west";"1";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"10.0";"15.0";"";"";"";"";"";"";
"25.11.2017 08:30";"21.0";"761.3";"762.4";"";"60";"Wind blowing from the north";"1";"";"";"no clouds";" ";"";"";"13.5";"";"";"";"";"";"";"10.0";"12.9";"";"";"";"";"";"";
"24.11.2017 17:30";"27.0";"757.8";"758.8";"";"40";"Wind blowing from the north-west";"1";"";"";"no clouds";" ";"";"";"";"28.0";"";"";"";"";"";"10.0";"12.2";"";"";"";"";"";"";
"24.11.2017 08:30";"21.5";"759.8";"760.9";"";"62";"Wind blowing from the north";"1";"";"";"no clouds";" ";"";"";"13.5";"";"";"";"";"";"";"10.0";"13.8";"";"";"";"";"";"";
"23.11.2017 17:30";"28.0";"759.4";"760.4";"";"37";"Wind blowing from the north";"1";"";"";"no clouds";" ";"";"";"";"28.0";"";"";"";"";"";"10.0";"12.1";"";"";"";"";"";"";
"23.11.2017 08:30";"20.2";"758.9";"760.0";"";"54";"Wind blowing from the north";"1";"";"";"no clouds";" ";"";"";"13.5";"";"";"";"";"";"";"10.0";"10.6";"";"";"";"";"";"";
"22.11.2017 17:30";"27.0";"757.2";"758.2";"";"37";"Wind blowing from the north";"1";"";"";"no clouds";" ";"";"";"";"27.0";"";"";"";"";"";"10.0";"11.2";"";"";"";"";"";"";
"22.11.2017 08:30";"21.0";"758.6";"759.7";"";"57";"Wind blowing from the west";"1";"";"";"no clouds";" ";"";"";"14.0";"";"";"";"";"";"";"10.0";"12.1";"";"";"";"";"";"";
"21.11.2017 17:30";"28.0";"757.0";"758.0";"";"70";"Wind blowing from the north";"1";"";"";"no clouds";" ";"";"";"";"31.0";"";"";"";"";"";"10.0";"22.1";"";"";"";"";"";"";
"21.11.2017 08:30";"25.5";"758.5";"759.5";"";"83";"Wind blowing from the north";"1";"";"";"no clouds";" ";"";"";"20.0";"";"";"";"";"";"";"10.0";"22.4";"";"";"";"";"";"";
"20.11.2017 17:30";"27.5";"756.7";"757.7";"";"74";"Wind blowing from the north";"1";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"10.0";"22.4";"";"";"";"";"";"";
"20.11.2017 08:30";"26.5";"757.8";"758.8";"";"81";"Wind blowing from the north";"1";"";"";"no clouds";" ";"";"";"21.0";"";"";"";"";"";"";"10.0";"22.9";"";"";"";"";"";"";
"19.11.2017 17:30";"28.0";"756.8";"757.8";"";"80";"Wind blowing from the north";"1";"";"";"no clouds";" ";"";"";"";"31.0";"";"";"";"";"";"10.0";"24.3";"";"";"";"";"";"";
