# Weather station Paro (airport), Bhutan, METAR=VQPR,selection from 26.09.2012 till 31.12.2017, all days
# Encoding: UTF-8
# The data is provided by the website "Reliable Prognosis", rp5.ru 
# If you use the data, please indicate the name of the website.
# For meteorological parameters see the address http://rp5.ru/metar.php?metar=VQPR&lang=en
#
"Local time in Paro (airport)";"T";"P0";"P";"U";"DD";"Ff";"ff10";"WW";"W'W'";"c";"VV";"Td";
"12.12.2014 06:20";"-3.0";"580.0";"768.9";"86";"Wind blowing from the north-west";"2";"";"";"";"No clouds";"10.0 and more";"-5.0";
"11.12.2014 15:50";"17.0";"584.9";"760.5";"15";"Wind blowing from the south-east";"9";"";"";"";"Few clouds (10-30%) 6000 m";"10.0 and more";"-10.0";
"11.12.2014 14:50";"19.0";"585.9";"760.5";"13";"Wind blowing from the east-southeast";"8";"";"";"";"Few clouds (10-30%) 6000 m";"10.0 and more";"-10.0";
"11.12.2014 13:50";"19.0";"586.5";"761.2";"13";"Wind blowing from the west-southwest";"2";"";"";"";"Few clouds (10-30%) 6000 m";"10.0 and more";"-10.0";
"11.12.2014 12:50";"17.0";"586.7";"762.8";"15";"Wind blowing from the north-northeast";"1";"";"";"";"Few clouds (10-30%) 6000 m";"10.0 and more";"-10.0";
"11.12.2014 12:20";"16.0";"586.7";"763.5";"16";"Wind blowing from the south-southeast";"2";"";"";"";"Few clouds (10-30%) 6000 m";"10.0 and more";"-10.0";
"11.12.2014 11:20";"12.0";"586.3";"765.8";"24";"Wind blowing from the south-southeast";"2";"";"";"";"Few clouds (10-30%) 6000 m";"10.0 and more";"-8.0";
"11.12.2014 09:50";"7.0";"585.2";"768.1";"34";"Wind blowing from the north";"1";"";"";"";"No clouds";"10.0 and more";"-8.0";
"11.12.2014 09:20";"4.0";"583.5";"768.1";"48";"Calm, no wind";"0";"";"";"";"No clouds";"10.0 and more";"-6.0";
"11.12.2014 08:50";"2.0";"583.0";"768.9";"56";"Wind blowing from the north-northeast";"2";"";"";"";"No clouds";"10.0 and more";"-6.0";
"11.12.2014 08:20";"0.0";"581.2";"768.1";"64";"Wind blowing from the south";"1";"";"";"";"";"10.0 and more";"-6.0";
"11.12.2014 07:50";"-2.0";"580.0";"768.1";"74";"Calm, no wind";"0";"";"";"";"Few clouds (10-30%) 6000 m";"10.0 and more";"-6.0";
"11.12.2014 07:20";"-4.0";"578.8";"768.1";"80";"Calm, no wind";"0";"";"";"";"Few clouds (10-30%) 6000 m";"10.0 and more";"-7.0";
"11.12.2014 06:50";"-4.0";"578.2";"767.3";"80";"Wind blowing from the north-west";"1";"";"";"";"Few clouds (10-30%) 6000 m";"10.0 and more";"-7.0";
"11.12.2014 06:20";"-3.0";"578.8";"767.3";"74";"Calm, no wind";"0";"";"";"";"No clouds";"10.0 and more";"-7.0";
"10.12.2014 14:20";"21.0";"587.0";"760.5";"8";"Wind blowing from the south-southeast";"6";"";"";"";"No clouds";"10.0 and more";"-14.0";
"10.12.2014 13:50";"20.0";"586.5";"760.5";"11";"Wind blowing from the south-east";"6";"";"";"";"No clouds";"10.0 and more";"-11.0";
"10.12.2014 12:20";"16.0";"586.1";"762.8";"22";"Calm, no wind";"0";"";"";"";"No clouds";"10.0 and more";"-6.0";
"10.12.2014 11:50";"16.0";"587.3";"764.3";"23";"Calm, no wind";"0";"";"";"";"No clouds";"10.0 and more";"-5.0";
"10.12.2014 11:20";"13.0";"586.2";"765.0";"28";"Calm, no wind";"0";"";"";"";"No clouds";"10.0 and more";"-5.0";
"10.12.2014 10:50";"11.0";"585.7";"765.8";"32";"Calm, no wind";"0";"";"";"";"No clouds";"10.0 and more";"-5.0";
"10.12.2014 10:20";"10.0";"585.8";"766.6";"37";"Calm, no wind";"0";"";"";"";"No clouds";"10.0 and more";"-4.0";
"10.12.2014 09:50";"8.0";"585.2";"767.3";"40";"Calm, no wind";"0";"";"";"";"No clouds";"10.0 and more";"-5.0";
"10.12.2014 09:20";"5.0";"584.1";"768.1";"49";"Calm, no wind";"0";"";"";"";"No clouds";"10.0 and more";"-5.0";
"10.12.2014 08:50";"3.0";"582.9";"768.1";"60";"Calm, no wind";"0";"";"";"";"No clouds";"10.0 and more";"-4.0";
"10.12.2014 08:20";"1.0";"581.8";"768.1";"75";"Calm, no wind";"0";"";"";"";"No clouds";"10.0 and more";"-3.0";
"10.12.2014 07:50";"-2.0";"580.0";"768.1";"86";"Calm, no wind";"0";"";"";"";"No clouds";"10.0 and more";"-4.0";
"10.12.2014 06:50";"-2.0";"578.8";"766.6";"86";"Wind blowing from the west-northwest";"2";"";"";"";"No clouds";"10.0 and more";"-4.0";
"08.12.2014 13:50";"20.0";"587.0";"761.2";"26";"Calm, no wind";"0";"";"";"";"No clouds";"10.0 and more";"0.0";
"08.12.2014 12:50";"18.0";"587.2";"762.8";"30";"Calm, no wind";"0";"";"";"";"No clouds";"10.0 and more";"0.0";
"08.12.2014 11:50";"17.0";"587.8";"764.3";"34";"Calm, no wind";"0";"";"";"";"Few clouds (10-30%) 1500 m";"10.0 and more";"1.0";
"08.12.2014 11:20";"15.0";"587.9";"765.8";"39";"Calm, no wind";"0";"";"";"";"Scattered clouds (40-50%) 600 m, scattered clouds (40-50%) 1200 m";"8.0";"1.0";
"08.12.2014 10:50";"14.0";"587.4";"765.8";"39";"Calm, no wind";"0";"";"";"";"Scattered clouds (40-50%) 600 m, scattered clouds (40-50%) 1200 m";"8.0";"0.0";
"08.12.2014 10:20";"14.0";"588.0";"766.6";"41";"Calm, no wind";"0";"";"";"";"Scattered clouds (40-50%) 600 m, scattered clouds (40-50%) 1200 m";"8.0";"1.0";
"08.12.2014 09:50";"12.0";"586.9";"766.6";"54";"Calm, no wind";"0";"";"";"";"Scattered clouds (40-50%) 600 m, scattered clouds (40-50%) 1200 m";"8.0";"3.0";
"08.12.2014 09:20";"11.0";"586.9";"767.3";"58";"Calm, no wind";"0";"";"";"";"Scattered clouds (40-50%) 600 m, scattered clouds (40-50%) 1200 m";"8.0";"3.0";
"08.12.2014 08:50";"10.0";"586.3";"767.3";"62";"Wind blowing from the north";"1";"";"";"";"Scattered clouds (40-50%) 600 m, scattered clouds (40-50%) 1200 m";"6.0";"3.0";
"08.12.2014 08:20";"8.0";"585.2";"767.3";"71";"Calm, no wind";"0";"";"";"";"Scattered clouds (40-50%) 600 m, broken clouds (60-90%) 1200 m";"6.0";"3.0";
"08.12.2014 07:50";"7.0";"584.1";"766.6";"76";"Calm, no wind";"0";"";"";"";"Scattered clouds (40-50%) 240 m, scattered clouds (40-50%) 600 m, broken clouds (60-90%) 1800 m";"5.0";"3.0";
"07.12.2014 16:20";"15.0";"584.4";"761.2";"39";"Wind blowing from the south-southeast";"5";"";"";"";"No clouds";"10.0 and more";"1.0";
"07.12.2014 15:50";"16.0";"584.4";"760.5";"34";"Wind blowing from the south-southeast";"7";"";"";"";"No clouds";"10.0 and more";"0.0";
"07.12.2014 15:20";"18.0";"585.4";"760.5";"32";"Wind blowing from the south-southeast";"8";"";"";"";"Few clouds (10-30%) 3600 m";"10.0 and more";"1.0";
"07.12.2014 14:50";"19.0";"585.9";"760.5";"30";"Wind blowing from the south-east";"8";"";"";"";"Few clouds (10-30%) 3600 m";"10.0 and more";"1.0";
"07.12.2014 14:20";"20.0";"587.0";"761.2";"28";"Wind blowing from the south-southeast";"6";"";"";"";"Few clouds (10-30%) 3600 m";"10.0 and more";"1.0";
"07.12.2014 13:50";"20.0";"587.0";"761.2";"26";"Wind blowing from the east-southeast";"3";"";"";"";"No clouds";"10.0 and more";"0.0";
"07.12.2014 13:20";"20.0";"587.6";"762.0";"28";"Wind blowing from the south";"3";"";"";"";"No clouds";"10.0 and more";"1.0";
"07.12.2014 12:50";"19.0";"587.7";"762.8";"28";"Wind blowing from the south-east";"2";"";"";"";"Few clouds (10-30%) 1200 m";"10.0 and more";"0.0";
"07.12.2014 11:20";"15.0";"587.3";"765.0";"36";"Calm, no wind";"0";"";"";"";"No clouds";"10.0 and more";"0.0";
"07.12.2014 10:50";"15.0";"587.9";"765.8";"34";"Wind blowing from the south";"1";"";"";"";"Few clouds (10-30%) 1200 m";"10.0 and more";"-1.0";
"07.12.2014 10:20";"14.0";"588.0";"766.6";"39";"Calm, no wind";"0";"";"";"";"Few clouds (10-30%) 1200 m";"10.0 and more";"0.0";
"07.12.2014 09:20";"11.0";"586.9";"767.3";"54";"variable wind direction";"1";"";"";"";"Scattered clouds (40-50%) 1200 m";"8.0";"2.0";
"07.12.2014 08:50";"10.0";"586.3";"767.3";"58";"Calm, no wind";"0";"";"";"";"Scattered clouds (40-50%) 1200 m";"8.0";"2.0";
"07.12.2014 07:50";"8.0";"584.7";"766.6";"71";"Calm, no wind";"0";"";"";"";"Few clouds (10-30%) 600 m, broken clouds (60-90%) 1800 m";"8.0";"3.0";
"06.12.2014 15:20";"20.0";"587.0";"761.2";"26";"Wind blowing from the east-southeast";"6";"";"";"";"No clouds";"10.0 and more";"0.0";
"06.12.2014 11:50";"16.0";"588.4";"765.8";"34";"Calm, no wind";"0";"";"";"";"No clouds";"10.0 and more";"0.0";
"06.12.2014 10:50";"15.0";"589.1";"767.3";"39";"Calm, no wind";"0";"";"";"";"No clouds";"10.0 and more";"1.0";
"06.12.2014 10:20";"14.0";"589.1";"768.1";"41";"Calm, no wind";"0";"";"";"";"No clouds";"10.0 and more";"1.0";
"06.12.2014 09:50";"12.0";"588.0";"768.1";"51";"Calm, no wind";"0";"";"";"";"Scattered clouds (40-50%) 900 m";"10.0 and more";"2.0";
"06.12.2014 09:20";"10.0";"587.5";"768.9";"58";"Calm, no wind";"0";"";"";"";"Scattered clouds (40-50%) 900 m";"10.0 and more";"2.0";
"06.12.2014 08:20";"7.0";"585.8";"768.9";"66";"Wind blowing from the north";"3";"";"";"";"Scattered clouds (40-50%) 450 m, broken clouds (60-90%) 900 m";"6.0";"1.0";
"06.12.2014 07:50";"7.0";"585.8";"768.9";"66";"Wind blowing from the north";"2";"";"";"";"Scattered clouds (40-50%) 450 m, broken clouds (60-90%) 900 m";"6.0";"1.0";
"06.12.2014 07:20";"7.0";"585.8";"768.9";"66";"Calm, no wind";"0";"";"";"";"Scattered clouds (40-50%) 450 m, broken clouds (60-90%) 900 m";"6.0";"1.0";
"06.12.2014 06:20";"6.0";"584.7";"768.1";"76";"Calm, no wind";"0";"";"";"";"Scattered clouds (40-50%) 450 m, broken clouds (60-90%) 900 m";"6.0";"2.0";
"05.12.2014 15:20";"18.0";"587.7";"763.5";"30";"Wind blowing from the south-southeast";"8";"";"";"";"No clouds";"10.0 and more";"0.0";
"05.12.2014 14:50";"19.0";"588.3";"763.5";"28";"Wind blowing from the south-southeast";"5";"";"";"";"No clouds";"10.0 and more";"0.0";
"05.12.2014 14:20";"20.0";"588.8";"763.5";"28";"Wind blowing from the south-southeast";"6";"";"";"";"No clouds";"10.0 and more";"1.0";
"05.12.2014 13:50";"20.0";"589.4";"764.3";"28";"Wind blowing from the east-southeast";"6";"";"";"";"No clouds";"10.0 and more";"1.0";
"05.12.2014 12:50";"19.0";"589.4";"765.0";"30";"Wind blowing from the south";"2";"";"";"";"No clouds";"10.0 and more";"1.0";
"05.12.2014 12:20";"18.0";"589.5";"765.8";"32";"Wind blowing from the south-southwest";"2";"";"";"";"No clouds";"10.0 and more";"1.0";
"05.12.2014 11:50";"17.0";"589.6";"766.6";"34";"Wind blowing from the south";"3";"";"";"";"Few clouds (10-30%) 1200 m";"10.0 and more";"1.0";
"05.12.2014 11:20";"16.0";"589.6";"767.3";"36";"Wind blowing from the east-southeast";"1";"";"";"";"Few clouds (10-30%) 1200 m";"10.0 and more";"1.0";
"05.12.2014 10:20";"14.0";"589.7";"768.9";"44";"Wind blowing from the west";"3";"";"";"";"Few clouds (10-30%) 1200 m";"10.0 and more";"2.0";
"05.12.2014 09:50";"13.0";"589.7";"769.6";"55";"Wind blowing from the north-west";"3";"";"";"";"Scattered clouds (40-50%) 1200 m";"8.0";"4.0";
"05.12.2014 09:20";"11.0";"588.6";"769.6";"62";"Wind blowing from the north-west";"3";"";"";"";"Scattered clouds (40-50%) 1200 m";"8.0";"4.0";
"05.12.2014 08:50";"11.0";"588.6";"769.6";"58";"Calm, no wind";"0";"";"";"";"Scattered clouds (40-50%) 1200 m";"6.0";"3.0";
"05.12.2014 07:50";"7.0";"586.4";"769.6";"76";"Wind blowing from the south-east";"3";"";"";"";"Scattered clouds (40-50%) 450 m, scattered clouds (40-50%) 1200 m";"7.0";"3.0";
"05.12.2014 07:20";"6.0";"585.3";"768.9";"81";"Wind blowing from the south";"2";"";"";"";"Scattered clouds (40-50%) 450 m, scattered clouds (40-50%) 1200 m";"6.0";"3.0";
"05.12.2014 06:50";"6.0";"585.3";"768.9";"81";"Wind blowing from the south-southwest";"3";"";"";"";"Scattered clouds (40-50%) 450 m, scattered clouds (40-50%) 1200 m";"6.0";"3.0";
"05.12.2014 06:20";"6.0";"584.7";"768.1";"81";"Wind blowing from the south-southeast";"3";"";"";"";"Few clouds (10-30%) 450 m, broken clouds (60-90%) 1200 m";"6.0";"3.0";
"04.12.2014 13:20";"19.0";"588.9";"764.3";"30";"Wind blowing from the south-east";"3";"";"";"";"Few clouds (10-30%) 900 m";"10.0 and more";"1.0";
"04.12.2014 12:20";"17.0";"589.0";"765.8";"34";"Wind blowing from the south-southeast";"2";"";"";"";"Few clouds (10-30%) 900 m";"10.0 and more";"1.0";
"04.12.2014 11:20";"15.0";"588.5";"766.6";"39";"Calm, no wind";"0";"";"";"";"Few clouds (10-30%) 900 m";"10.0 and more";"1.0";
"04.12.2014 10:50";"14.0";"588.5";"767.3";"44";"Wind blowing from the north-northeast";"2";"";"";"";"Scattered clouds (40-50%) 600 m, scattered clouds (40-50%) 1800 m";"8.0";"2.0";
"04.12.2014 10:20";"14.0";"589.1";"768.1";"44";"Wind blowing from the north-northwest";"5";"";"";"";"Scattered clouds (40-50%) 600 m, scattered clouds (40-50%) 1800 m";"8.0";"2.0";
"04.12.2014 09:50";"13.0";"588.6";"768.1";"51";"Wind blowing from the north-northwest";"4";"";"";"";"Scattered clouds (40-50%) 600 m, scattered clouds (40-50%) 1800 m";"8.0";"3.0";
"04.12.2014 09:20";"12.0";"588.0";"768.1";"63";"Wind blowing from the north-northwest";"4";"";"";"";"Scattered clouds (40-50%) 600 m, scattered clouds (40-50%) 1800 m";"8.0";"5.0";
"04.12.2014 08:50";"11.0";"587.5";"768.1";"67";"Wind blowing from the north-west";"3";"";"";"";"Scattered clouds (40-50%) 600 m, scattered clouds (40-50%) 1800 m";"8.0";"5.0";
"04.12.2014 08:20";"10.0";"586.3";"767.3";"71";"Calm, no wind";"0";"";"";"";"Scattered clouds (40-50%) 600 m, broken clouds (60-90%) 1200 m";"6.0";"5.0";
"04.12.2014 07:50";"9.0";"585.7";"767.3";"76";"Wind blowing from the south-southeast";"2";"";"";"";"Scattered clouds (40-50%) 450 m, broken clouds (60-90%) 1200 m";"6.0";"5.0";
"04.12.2014 07:20";"8.0";"585.2";"767.3";"82";"Calm, no wind";"0";"";"";"";"Scattered clouds (40-50%) 450 m, broken clouds (60-90%) 1200 m";"6.0";"5.0";
"04.12.2014 06:50";"8.0";"584.7";"766.6";"82";"Calm, no wind";"0";"";"";"";"Scattered clouds (40-50%) 450 m, broken clouds (60-90%) 1200 m";"6.0";"5.0";
"04.12.2014 06:20";"8.0";"584.7";"766.6";"76";"Calm, no wind";"0";"";"";"";"Scattered clouds (40-50%) 450 m, broken clouds (60-90%) 1200 m";"6.0";"4.0";
"03.12.2014 16:20";"14.0";"583.8";"761.2";"44";"Wind blowing from the south-southeast";"10";"";"";"";"No clouds";"10.0 and more";"2.0";
"03.12.2014 14:20";"20.0";"586.5";"760.5";"30";"Wind blowing from the south-southeast";"5";"";"";"";"No clouds";"10.0 and more";"2.0";
"03.12.2014 13:50";"19.0";"585.9";"760.5";"32";"Wind blowing from the south-east";"6";"";"";"";"No clouds";"10.0 and more";"2.0";
"03.12.2014 12:50";"18.0";"586.6";"762.0";"34";"Wind blowing from the south";"4";"";"";"";"No clouds";"10.0 and more";"2.0";
"03.12.2014 12:20";"18.0";"587.2";"762.8";"34";"Wind blowing from the south";"1";"";"";"";"No clouds";"10.0 and more";"2.0";
"03.12.2014 11:50";"16.0";"586.7";"763.5";"39";"Wind blowing from the south";"2";"";"";"";"No clouds";"10.0 and more";"2.0";
"03.12.2014 11:20";"15.0";"586.7";"764.3";"42";"Calm, no wind";"0";"";"";"";"No clouds";"10.0 and more";"2.0";
"03.12.2014 10:50";"15.0";"587.9";"765.8";"42";"Calm, no wind";"0";"";"";"";"No clouds";"10.0 and more";"2.0";
"03.12.2014 10:20";"13.0";"586.8";"765.8";"47";"Calm, no wind";"0";"";"";"";"Scattered clouds (40-50%) 1200 m";"8.0";"2.0";
"03.12.2014 09:50";"12.0";"586.9";"766.6";"51";"Wind blowing from the west-northwest";"2";"";"";"";"Scattered clouds (40-50%) 1200 m";"8.0";"2.0";
"03.12.2014 09:20";"11.0";"586.3";"766.6";"54";"Calm, no wind";"0";"";"";"";"Scattered clouds (40-50%) 600 m, broken clouds (60-90%) 1800 m";"6.0";"2.0";
"03.12.2014 08:50";"10.0";"585.8";"766.6";"58";"Calm, no wind";"0";"";"";"";"Scattered clouds (40-50%) 600 m, broken clouds (60-90%) 1800 m";"6.0";"2.0";
"03.12.2014 08:20";"9.0";"585.2";"766.6";"66";"Calm, no wind";"0";"";"";"";"Scattered clouds (40-50%) 600 m, broken clouds (60-90%) 1800 m";"6.0";"3.0";
"03.12.2014 07:50";"9.0";"584.6";"765.8";"71";"Calm, no wind";"0";"";"";"";"Scattered clouds (40-50%) 600 m, broken clouds (60-90%) 1800 m";"6.0";"4.0";
"03.12.2014 07:20";"8.0";"584.0";"765.8";"76";"Calm, no wind";"0";"";"";"";"Scattered clouds (40-50%) 600 m, broken clouds (60-90%) 1800 m";"6.0";"4.0";
"03.12.2014 06:50";"8.0";"583.4";"765.0";"76";"Calm, no wind";"0";"";"";"";"Scattered clouds (40-50%) 900 m, overcast (100%) 2400 m";"6.0";"4.0";
"02.12.2014 15:50";"16.0";"584.9";"761.2";"39";"Wind blowing from the south-east";"9";"";"";"";"No clouds";"10.0 and more";"2.0";
"02.12.2014 13:50";"20.0";"587.6";"762.0";"28";"Calm, no wind";"0";"";"";"";"No clouds";"10.0 and more";"1.0";
"02.12.2014 13:20";"19.0";"587.7";"762.8";"30";"Wind blowing from the south";"2";"";"";"";"No clouds";"10.0 and more";"1.0";
"02.12.2014 12:20";"17.0";"587.8";"764.3";"34";"Calm, no wind";"0";"";"";"";"No clouds";"10.0 and more";"1.0";
"02.12.2014 11:20";"15.0";"587.9";"765.8";"42";"Calm, no wind";"0";"";"";"";"No clouds";"10.0 and more";"2.0";
"02.12.2014 10:20";"12.0";"587.4";"767.3";"51";"Calm, no wind";"0";"";"";"";"Few clouds (10-30%) 600 m, scattered clouds (40-50%) 1200 m";"7.0";"2.0";
"02.12.2014 09:50";"12.0";"587.4";"767.3";"51";"Wind blowing from the north";"2";"";"";"";"Scattered clouds (40-50%) 600 m, broken clouds (60-90%) 1200 m";"7.0";"2.0";
"02.12.2014 09:20";"10.0";"586.3";"767.3";"58";"Wind blowing from the north-northwest";"2";"";"";"";"Scattered clouds (40-50%) 600 m, broken clouds (60-90%) 1200 m";"7.0";"2.0";
"02.12.2014 08:50";"9.0";"585.7";"767.3";"62";"Wind blowing from the west-northwest";"2";"";"";"";"Scattered clouds (40-50%) 600 m, broken clouds (60-90%) 2100 m";"7.0";"2.0";
"02.12.2014 07:50";"8.0";"584.7";"766.6";"66";"Calm, no wind";"0";"";"";"";"Scattered clouds (40-50%) 600 m, broken clouds (60-90%) 2100 m";"7.0";"2.0";
"02.12.2014 07:20";"8.0";"584.7";"766.6";"71";"Calm, no wind";"0";"";"";"";"Scattered clouds (40-50%) 600 m, broken clouds (60-90%) 2100 m";"7.0";"3.0";
"02.12.2014 06:50";"8.0";"584.0";"765.8";"71";"Calm, no wind";"0";"";"";"";"Scattered clouds (40-50%) 600 m, broken clouds (60-90%) 2100 m";"7.0";"3.0";
"01.12.2014 16:50";"14.0";"583.8";"761.2";"44";"Wind blowing from the south-southeast";"7";"";"";"";"No clouds";"10.0 and more";"2.0";
"01.12.2014 16:20";"15.0";"583.8";"760.5";"42";"Wind blowing from the south-southeast";"9";"";"";"";"No clouds";"10.0 and more";"2.0";
"01.12.2014 15:50";"16.0";"584.4";"760.5";"39";"Wind blowing from the east";"9";"";"";"";"No clouds";"10.0 and more";"2.0";
"01.12.2014 15:20";"18.0";"585.4";"760.5";"32";"Wind blowing from the east";"7";"";"";"";"No clouds";"10.0 and more";"1.0";
"01.12.2014 14:50";"18.0";"585.4";"760.5";"32";"Wind blowing from the east";"8";"";"";"";"No clouds";"10.0 and more";"1.0";
"01.12.2014 13:50";"19.0";"586.5";"761.2";"30";"Wind blowing from the south-southeast";"7";"";"";"";"No Significant Clouds";"10.0 and more";"1.0";
"01.12.2014 12:50";"18.0";"587.2";"762.8";"30";"Wind blowing from the south-southeast";"3";"";"";"";"No Significant Clouds";"10.0 and more";"0.0";
"01.12.2014 12:20";"17.0";"587.2";"763.5";"34";"Wind blowing from the south-southeast";"2";"";"";"";"No Significant Clouds";"10.0 and more";"1.0";
"01.12.2014 11:20";"15.0";"586.7";"764.3";"39";"Wind blowing from the south-east";"2";"";"";"";"Few clouds (10-30%) 1200 m";"10.0 and more";"1.0";
"01.12.2014 10:50";"14.0";"586.7";"765.0";"39";"Wind blowing from the south-southwest";"3";"";"";"";"Few clouds (10-30%) 1200 m";"8.0";"0.0";
"01.12.2014 10:20";"14.0";"587.4";"765.8";"41";"Calm, no wind";"0";"";"";"";"No Significant Clouds";"8.0";"1.0";
"01.12.2014 09:50";"12.0";"586.9";"766.6";"44";"Calm, no wind";"0";"";"";"";"Few clouds (10-30%) 1200 m";"8.0";"0.0";
"01.12.2014 09:20";"11.0";"586.3";"766.6";"50";"Wind blowing from the north-northwest";"2";"";"";"";"Scattered clouds (40-50%) 450 m, scattered clouds (40-50%) 1200 m";"8.0";"1.0";
"01.12.2014 08:20";"8.0";"584.7";"766.6";"57";"Wind blowing from the west-northwest";"3";"";"";"";"Scattered clouds (40-50%) 450 m, broken clouds (60-90%) 1200 m";"7.0";"0.0";
"01.12.2014 07:50";"8.0";"584.0";"765.8";"57";"Wind blowing from the west-northwest";"4";"";"";"";"Scattered clouds (40-50%) 300 m, broken clouds (60-90%) 1200 m";"7.0";"0.0";
"01.12.2014 07:20";"8.0";"584.0";"765.8";"62";"Wind blowing from the north-west";"4";"";"";"";"Scattered clouds (40-50%) 300 m, broken clouds (60-90%) 1200 m";"6.0";"1.0";
"01.12.2014 06:50";"8.0";"583.4";"765.0";"62";"Wind blowing from the north-west";"3";"";"";"";"Few clouds (10-30%) 450 m, broken clouds (60-90%) 1200 m";"6.0";"1.0";
"30.11.2014 14:20";"18.0";"586.0";"761.2";"30";"Wind blowing from the south-east";"4";"";"";"";"Few clouds (10-30%) 1200 m";"10.0 and more";"0.0";
"30.11.2014 11:50";"15.0";"586.7";"764.3";"36";"Wind blowing from the west-northwest";"2";"";"";"";"Few clouds (10-30%) 1200 m";"10.0 and more";"0.0";
"30.11.2014 10:20";"13.0";"586.8";"765.8";"44";"Wind blowing from the north-northwest";"4";"";"";"";"Scattered clouds (40-50%) 600 m, scattered clouds (40-50%) 2100 m";"6.0";"1.0";
"30.11.2014 09:20";"12.0";"586.9";"766.6";"58";"Calm, no wind";"0";"";"Mist";"";"Scattered clouds (40-50%) 150 m, scattered clouds (40-50%) 600 m, broken clouds (60-90%) 2100 m";"5.0";"4.0";
"30.11.2014 08:20";"8.0";"584.7";"766.6";"76";"Calm, no wind";"0";"";"Mist";"";"Scattered clouds (40-50%) 120 m, scattered clouds (40-50%) 450 m, broken clouds (60-90%) 2100 m";"4.0";"4.0";
"30.11.2014 07:20";"7.0";"583.5";"765.8";"81";"Calm, no wind";"0";"";"Mist";"";"Scattered clouds (40-50%) 120 m, scattered clouds (40-50%) 450 m, broken clouds (60-90%) 2100 m";"4.0";"4.0";
"30.11.2014 06:50";"7.0";"583.5";"765.8";"81";"Calm, no wind";"0";"";"Mist";"";"Scattered clouds (40-50%) 120 m, scattered clouds (40-50%) 450 m, broken clouds (60-90%) 2100 m";"4.0";"4.0";
"29.11.2014 13:20";"14.0";"584.4";"762.0";"39";"Wind blowing from the south-east";"7";"";"";"";"Scattered clouds (40-50%) 450 m, scattered clouds (40-50%) 1200 m";"6.0";"0.0";
"29.11.2014 12:50";"16.0";"585.5";"762.0";"31";"Wind blowing from the south-east";"8";"";"";"";"Scattered clouds (40-50%) 1200 m";"6.0";"-1.0";
"29.11.2014 11:50";"15.0";"586.1";"763.5";"34";"Wind blowing from the south";"1";"";"";"";"Scattered clouds (40-50%) 1200 m";"6.0";"-1.0";
"29.11.2014 11:20";"14.0";"585.6";"763.5";"39";"Wind blowing from the south-southeast";"5";"";"";"";"Scattered clouds (40-50%) 1200 m";"6.0";"0.0";
"29.11.2014 10:50";"13.0";"585.7";"764.3";"44";"Wind blowing from the south";"4";"";"";"";"Scattered clouds (40-50%) 900 m";"8.0";"1.0";
"29.11.2014 10:20";"12.0";"585.7";"765.0";"44";"Wind blowing from the south-east";"2";"";"";"";"Few clouds (10-30%) 900 m";"10.0 and more";"0.0";
"29.11.2014 09:50";"11.0";"585.7";"765.8";"50";"Wind blowing from the south-southeast";"2";"";"";"";"Scattered clouds (40-50%) 1200 m";"8.0";"1.0";
"29.11.2014 09:20";"10.0";"585.8";"766.6";"54";"Wind blowing from the south-east";"3";"";"";"";"Scattered clouds (40-50%) 450 m, scattered clouds (40-50%) 1200 m";"8.0";"1.0";
"28.11.2014 13:50";"14.0";"584.4";"762.0";"39";"Wind blowing from the north-west";"2";"";"";"";"Scattered clouds (40-50%) 900 m, scattered clouds (40-50%) 1800 m";"10.0 and more";"0.0";
"28.11.2014 12:50";"14.0";"584.4";"762.0";"44";"Calm, no wind";"0";"";"";"";"Few clouds (10-30%) 300 m, scattered clouds (40-50%) 1200 m, scattered clouds (40-50%) 1800 m";"8.0";"2.0";
"28.11.2014 12:20";"13.0";"585.1";"763.5";"47";"Wind blowing from the west-southwest";"1";"";"";"";"Few clouds (10-30%) 300 m, scattered clouds (40-50%) 600 m, broken clouds (60-90%) 2100 m";"8.0";"2.0";
"28.11.2014 11:50";"12.0";"585.1";"764.3";"51";"Wind blowing from the south";"2";"";"";"";"Few clouds (10-30%) 300 m, scattered clouds (40-50%) 600 m, broken clouds (60-90%) 2100 m";"8.0";"2.0";
"28.11.2014 09:50";"9.0";"584.6";"765.8";"62";"Wind blowing from the south-southeast";"3";"";"";"";"Few clouds (10-30%) 300 m, scattered clouds (40-50%) 600 m, broken clouds (60-90%) 1800 m";"6.0";"2.0";
"28.11.2014 08:50";"8.0";"584.0";"765.8";"66";"Wind blowing from the south-southeast";"3";"";"";"";"Scattered clouds (40-50%) 300 m, scattered clouds (40-50%) 600 m, broken clouds (60-90%) 1800 m";"6.0";"2.0";
"28.11.2014 08:20";"7.0";"583.5";"765.8";"66";"Wind blowing from the south";"1";"";"";"";"Scattered clouds (40-50%) 300 m, scattered clouds (40-50%) 600 m, broken clouds (60-90%) 1800 m";"6.0";"1.0";
"27.11.2014 08:20";"8.0";"584.0";"765.8";"66";"Calm, no wind";"0";"";"Mist";"";"Scattered clouds (40-50%) 150 m, scattered clouds (40-50%) 450 m, broken clouds (60-90%) 2100 m";"4.0";"2.0";
