# Weather station Balurghat, India, WMO_ID=42506,selection from 07.12.2015 till 31.12.2017, all days
# Encoding: UTF-8
# The data is provided by the website "Reliable Prognosis", rp5.ru 
# If you use the data, please indicate the name of the website.
# For meteorological parameters see the address http://rp5.ru/archive.php?wmo_id=42506&lang=en
#
"Local time in Balurghat";"T";"Po";"P";"Pa";"U";"DD";"Ff";"ff10";"ff3";"N";"WW";"W1";"W2";"Tn";"Tx";"Cl";"Nh";"H";"Cm";"Ch";"VV";"Td";"RRR";"tR";"E";"Tg";"E'";"sss"
"14.12.2016 17:30";"24.6";"759.4";"761.7";"";"95";"Wind blowing from the south-east";"0";"";"";"50%.";" ";"";"";"";"26.3";"";"";"300-600";"";"";"2.0";"23.7";"";"";"";"";"";"";
"14.12.2016 08:30";"19.9";"759.0";"761.3";"";"92";"Wind blowing from the east";"1";"";"";"50%.";" ";"";"";"14.6";"";"";"";"300-600";"";"";"1.0";"18.5";"";"";"";"";"";"";
"13.12.2016 17:30";"24.8";"758.9";"761.2";"";"88";"Wind blowing from the south";"1";"";"";"50%.";" ";"";"";"";"26.2";"";"";"300-600";"";"";"2.0";"22.7";"";"";"";"";"";"";
"13.12.2016 08:30";"20.2";"758.4";"760.7";"";"98";"Wind blowing from the east";"0";"";"";"60%.";" ";"";"";"15.1";"";"";"";"300-600";"";"";"1.0";"19.9";"";"";"";"";"";"";
"12.12.2016 17:30";"25.8";"758.3";"760.6";"";"93";"Wind blowing from the west";"0";"";"";"60%.";" ";"";"";"";"26.8";"";"";"600-1000";"";"";"2.0";"24.6";"";"";"";"";"";"";
"11.12.2016 17:30";"25.2";"759.2";"761.5";"";"91";"Wind blowing from the south-east";"1";"";"";"60%.";" ";"";"";"";"26.0";"";"";"600-1000";"";"";"2.0";"23.7";"";"";"";"";"";"";
"11.12.2016 08:30";"22.6";"757.9";"760.2";"";"95";"Wind blowing from the south";"1";"";"";"60%.";" ";"";"";"16.1";"";"";"";"600-1000";"";"";"4.0";"21.7";"";"";"";"";"";"";
"10.12.2016 17:30";"26.0";"757.6";"759.9";"";"94";"Wind blowing from the north-east";"1";"";"";"60%.";" ";"";"";"";"26.8";"";"";"1000-1500";"";"";"4.0";"24.9";"";"";"";"";"";"";
"10.12.2016 08:30";"24.8";"757.2";"759.5";"";"93";"Wind blowing from the south";"1";"";"";"60%.";" ";"";"";"18.0";"";"";"";"600-1000";"";"";"2.0";"23.6";"";"";"";"";"";"";
"09.12.2016 17:30";"26.6";"757.9";"760.1";"";"89";"Wind blowing from the south";"1";"";"";"50%.";" ";"";"";"";"27.0";"";"";"600-1000";"";"";"2.0";"24.6";"";"";"";"";"";"";
"08.12.2016 17:30";"25.4";"757.0";"759.3";"";"96";"Wind blowing from the west";"0";"";"";"60%.";" ";"";"";"";"26.5";"";"";"600-1000";"";"";"2.0";"24.8";"";"";"";"";"";"";
"08.12.2016 08:30";"23.4";"756.7";"759.0";"";"90";"Wind blowing from the south-east";"1";"";"";"50%.";" ";"";"";"19.3";"";"";"";"600-1000";"";"";"4.0";"21.6";"";"";"";"";"";"";
"07.12.2016 08:30";"24.0";"754.4";"756.7";"";"92";"Wind blowing from the south";"1";"";"";"50%.";" ";"";"";"19.5";"";"";"";"600-1000";"";"";"2.0";"22.6";"";"";"";"";"";"";
"06.12.2016 17:30";"26.0";"755.1";"757.3";"";"92";"Wind blowing from the west";"1";"";"";"60%.";" ";"";"";"";"27.2";"";"";"600-1000";"";"";"2.0";"24.6";"";"";"";"";"";"";
"06.12.2016 08:30";"24.2";"754.4";"756.7";"";"91";"Wind blowing from the south-west";"1";"";"";"50%.";" ";"";"";"19.8";"";"";"";"600-1000";"";"";"4.0";"22.7";"";"";"";"";"";"";
"05.12.2016 17:30";"25.8";"";"";"";"93";"Wind blowing from the south";"1";"";"";"60%.";" ";"";"";"";"27.8";"";"";"300-600";"";"";"2.0";"24.6";"";"";"";"";"";"";
"05.12.2016 08:30";"24.2";"755.0";"757.3";"";"91";"Wind blowing from the east";"0";"";"";"50%.";" ";"";"";"20.2";"";"";"";"600-1000";"";"";"1.0";"22.7";"";"";"";"";"";"";
"04.12.2016 17:30";"26.0";"754.8";"757.0";"";"92";"Wind blowing from the south-east";"0";"";"";"60%.";" ";"";"";"";"28.2";"";"";"600-1000";"";"";"4.0";"24.6";"";"";"";"";"";"";
"03.12.2016 17:30";"26.0";"754.5";"756.7";"";"94";"Wind blowing from the south-east";"1";"";"";"60%.";" ";"";"";"";"28.2";"";"";"600-1000";"";"";"2.0";"24.9";"";"";"";"";"";"";
"03.12.2016 08:30";"24.8";"754.3";"756.6";"";"93";"Wind blowing from the east";"1";"";"";"60%.";" ";"";"";"20.8";"";"";"";"600-1000";"";"";"2.0";"23.6";"";"";"";"";"";"";
"02.12.2016 17:30";"26.8";"754.9";"757.1";"";"94";"";"";"";"";"60%.";" ";"";"";"";"29.5";"";"";"600-1000";"";"";"2.0";"25.7";"";"";"";"";"";"";
"02.12.2016 08:30";"25.2";"754.5";"756.7";"";"98";"Wind blowing from the south";"1";"";"";"60%.";" ";"";"";"21.2";"";"";"";"600-1000";"";"";"4.0";"24.9";"";"";"";"";"";"";
"01.12.2016 17:30";"26.8";"754.7";"756.9";"";"94";"Wind blowing from the south-west";"0";"";"";"60%.";" ";"";"";"";"29.8";"";"";"600-1000";"";"";"2.0";"25.7";"";"";"";"";"";"";
"01.12.2016 08:30";"25.0";"754.4";"756.7";"";"93";"Wind blowing from the south";"1";"";"";"50%.";" ";"";"";"21.0";"";"";"";"600-1000";"";"";"2.0";"23.8";"";"";"";"";"";"";
"30.11.2016 17:30";"26.6";"754.6";"756.8";"";"90";"Wind blowing from the south";"1";"";"";"50%.";" ";"";"";"";"29.2";"";"";"300-600";"";"";"2.0";"24.9";"";"";"";"";"";"";
"30.11.2016 08:30";"25.2";"754.5";"756.7";"";"93";"Wind blowing from the east";"1";"";"";"50%.";" ";"";"";"21.1";"";"";"";"300-600";"";"";"2.0";"24.0";"";"";"";"";"";"";
"29.11.2016 17:30";"26.4";"754.5";"756.7";"";"92";"Wind blowing from the south-west";"1";"";"";"50%.";" ";"";"";"";"28.8";"";"";"600-1000";"";"";"2.0";"25.0";"";"";"";"";"";"";
"29.11.2016 08:30";"25.0";"";"756.4";"";"93";"";"";"";"";"60%.";" ";"";"";"20.8";"";"";"";"600-1000";"";"";"4.0";"23.8";"";"";"";"";"";"";
"28.11.2016 17:30";"26.0";"";"756.7";"";"92";"Wind blowing from the east";"1";"";"";"60%.";" ";"";"";"";"";"";"";"600-1000";"";"";"2.0";"24.6";"";"";"";"";"";"";
"28.11.2016 08:30";"25.2";"";"756.5";"";"90";"Wind blowing from the south";"1";"";"";"60%.";" ";"";"";"21.0";"";"";"";"600-1000";"";"";"4.0";"23.4";"";"";"";"";"";"";
"27.11.2016 17:30";"26.0";"";"756.4";"";"92";"Wind blowing from the south-east";"1";"";"";"50%.";" ";"";"";"";"";"";"";"300-600";"";"";"1.0";"24.6";"";"";"";"";"";"";
"27.11.2016 08:30";"25.2";"";"756.1";"";"90";"Wind blowing from the east";"1";"";"";"50%.";" ";"";"";"21.2";"";"";"";"300-600";"";"";"2.0";"23.4";"";"";"";"";"";"";
"26.11.2016 17:30";"26.4";"";"756.6";"";"90";"Wind blowing from the south-west";"1";"";"";"50%.";" ";"";"";"";"29.3";"";"";"300-600";"";"";"4.0";"24.7";"";"";"";"";"";"";
"26.11.2016 08:30";"25.2";"";"756.1";"";"91";"Wind blowing from the south";"1";"";"";"60%.";" ";"";"";"21.0";"";"";"";"300-600";"";"";"2.0";"23.7";"";"";"";"";"";"";
"25.11.2016 17:30";"26.6";"";"756.7";"";"89";"Wind blowing from the north-east";"1";"";"";"50%.";" ";"";"";"";"";"";"";"300-600";"";"";"2.0";"24.6";"";"";"";"";"";"";
"25.11.2016 08:30";"25.4";"";"755.7";"";"88";"Wind blowing from the east";"1";"";"";"50%.";" ";"";"";"21.5";"";"";"";"600-1000";"";"";"1.0";"23.3";"";"";"";"";"";"";
"24.11.2016 17:30";"26.2";"";"756.6";"";"90";"Wind blowing from the east";"0";"";"";"60%.";" ";"";"";"";"";"";"";"600-1000";"";"";"4.0";"24.5";"";"";"";"";"";"";
"24.11.2016 08:30";"25.2";"";"755.9";"";"90";"Wind blowing from the south";"1";"";"";"60%.";" ";"";"";"21.3";"";"";"";"600-1000";"";"";"4.0";"23.4";"";"";"";"";"";"";
"23.11.2016 17:30";"26.2";"";"756.6";"";"90";"Wind blowing from the west";"1";"";"";"60%.";" ";"";"";"";"";"";"";"600-1000";"";"";"1.0";"24.5";"";"";"";"";"";"";
"23.11.2016 08:30";"25.2";"";"756.3";"";"91";"Wind blowing from the east";"0";"";"";"50%.";" ";"";"";"21.1";"";"";"";"600-1000";"";"";"2.0";"23.7";"";"";"";"";"";"";
"22.11.2016 17:30";"26.4";"";"756.4";"";"90";"Wind blowing from the south-west";"0";"";"";"50%.";" ";"";"";"";"";"";"";"600-1000";"";"";"2.0";"24.7";"";"";"";"";"";"";
"22.11.2016 08:30";"25.4";"";"756.0";"";"91";"Wind blowing from the north-west";"1";"";"";"60%.";" ";"";"";"21.5";"";"";"";"300-600";"";"";"1.0";"23.9";"";"";"";"";"";"";
"21.11.2016 17:30";"27.0";"";"756.8";"";"92";"Wind blowing from the west";"1";"";"";"50%.";" ";"";"";"";"";"";"";"600-1000";"";"";"2.0";"25.6";"";"";"";"";"";"";
"21.11.2016 08:30";"25.8";"";"756.1";"";"93";"Calm, no wind";"0";"";"";"20–30%.";" ";"";"";"22.5";"";"";"";"600-1000";"";"";"1.0";"24.6";"";"";"";"";"";"";
"20.11.2016 08:30";"25.2";"";"756.4";"";"93";"Wind blowing from the south";"1";"";"";"60%.";" ";"";"";"21.8";"";"";"";"600-1000";"";"";"2.0";"24.0";"";"";"";"";"";"";
"19.11.2016 17:30";"26.8";"";"755.7";"";"94";"Wind blowing from the north";"1";"";"";"60%.";" ";"";"";"";"";"";"";"600-1000";"";"";"2.0";"25.7";"";"";"";"";"";"";
"19.11.2016 08:30";"25.6";"";"755.5";"";"95";"Wind blowing from the south-east";"1";"";"";"60%.";" ";"";"";"22.0";"";"";"";"300-600";"";"";"2.0";"24.7";"";"";"";"";"";"";
"18.11.2016 17:30";"26.8";"";"752.8";"";"87";"Wind blowing from the south";"1";"";"";"60%.";" ";"";"";"";"";"";"";"600-1000";"";"";"4.0";"24.5";"";"";"";"";"";"";
"18.11.2016 08:30";"26.0";"";"755.2";"";"92";"Wind blowing from the west";"0";"";"";"60%.";" ";"";"";"22.4";"";"";"";"600-1000";"";"";"2.0";"24.6";"";"";"";"";"";"";
"17.11.2016 17:30";"26.8";"";"755.5";"";"94";"Wind blowing from the south-west";"0";"";"";"60%.";" ";"";"";"";"30.4";"";"";"600-1000";"";"";"2.0";"25.7";"";"";"";"";"";"";
"17.11.2016 08:30";"25.2";"";"754.9";"";"93";"Wind blowing from the south-east";"0";"";"";"50%.";" ";"";"";"22.0";"";"";"";"300-600";"";"";"1.0";"24.0";"";"";"";"";"";"";
"11.11.2016 17:30";"26.6";"752.8";"755.0";"";"89";"Wind blowing from the east";"1";"";"";"60%.";" ";"";"";"";"";"";"";"300-600";"";"";"2.0";"24.6";"";"";"";"";"";"";
"11.11.2016 08:30";"25.0";"752.7";"754.9";"";"93";"Wind blowing from the south-east";"0";"";"";"60%.";" ";"";"";"22.0";"";"";"";"600-1000";"";"";"1.0";"23.8";"";"";"";"";"";"";
"10.11.2016 17:30";"26.8";"753.0";"755.2";"";"94";"Wind blowing from the south-east";"0";"";"";"60%.";" ";"";"";"";"30.8";"";"";"600-1000";"";"";"2.0";"25.7";"";"";"";"";"";"";
"10.11.2016 08:30";"25.2";"752.9";"755.1";"";"91";"Wind blowing from the east";"1";"";"";"60%.";" ";"";"";"22.1";"";"";"";"600-1000";"";"";"1.0";"23.7";"";"";"";"";"";"";
"09.11.2016 17:30";"27.0";"754.0";"756.2";"";"94";"Wind blowing from the south-west";"1";"";"";"60%.";" ";"";"";"";"31.7";"";"";"300-600";"";"";"0.5";"25.9";"";"";"";"";"";"";
"08.11.2016 17:30";"27.2";"752.8";"755.0";"";"92";"Wind blowing from the west";"0";"";"";"60%.";" ";"";"";"";"";"";"";"600-1000";"";"";"4.0";"25.8";"";"";"";"";"";"";
"08.11.2016 08:30";"26.0";"752.4";"754.6";"";"92";"Wind blowing from the south-west";"0";"";"";"50%.";" ";"";"";"23.3";"";"";"";"600-1000";"";"";"1.0";"24.6";"";"";"";"";"";"";
"07.11.2016 17:30";"27.2";"752.6";"754.8";"";"92";"Wind blowing from the south-east";"1";"";"";"60%.";" ";"";"";"";"";"";"";"600-1000";"";"";"2.0";"25.8";"";"";"";"";"";"";
"07.11.2016 08:30";"25.4";"752.2";"754.4";"";"90";"Wind blowing from the east";"1";"";"";"50%.";" ";"";"";"23.5";"";"";"";"300-600";"";"";"1.0";"23.7";"";"";"";"";"";"";
"06.11.2016 17:30";"27.4";"752.2";"754.4";"";"89";"Wind blowing from the east";"0";"";"";"60%.";" ";"";"";"";"32.1";"";"";"300-600";"";"";"2.0";"25.4";"";"";"";"";"";"";
"06.11.2016 08:30";"25.4";"752.1";"754.3";"";"91";"Wind blowing from the south";"1";"";"";"60%.";" ";"";"";"23.8";"";"";"";"600-1000";"";"";"4.0";"23.9";"";"";"";"";"";"";
"05.11.2016 17:30";"28.8";"751.8";"754.0";"";"94";"Wind blowing from the south-west";"1";"";"";"60%.";" ";"";"";"";"32.2";"";"";"600-1000";"";"";"2.0";"27.7";"";"";"";"";"";"";
"05.11.2016 08:30";"25.6";"751.3";"753.5";"";"95";"Wind blowing from the east";"1";"";"";"50%.";" ";"";"";"24.0";"";"";"";"300-600";"";"";"1.0";"24.7";"";"";"";"";"";"";
"04.11.2016 17:30";"29.2";"752.3";"754.5";"";"91";"Wind blowing from the east";"1";"";"";"50%.";" ";"";"";"";"32.8";"";"";"300-600";"";"";"2.0";"27.5";"";"";"";"";"";"";
"04.11.2016 08:30";"25.8";"751.8";"754.0";"";"93";"Wind blowing from the north-east";"1";"";"";"50%.";" ";"";"";"24.2";"";"";"";"300-600";"";"";"1.0";"24.6";"";"";"";"";"";"";
"03.11.2016 17:30";"29.6";"752.0";"754.2";"";"88";"Wind blowing from the south-east";"1";"";"";"40%.";" ";"";"";"";"33.4";"";"";"300-600";"";"";"1.0";"27.4";"";"";"";"";"";"";
"03.11.2016 08:30";"26.2";"751.5";"753.7";"";"92";"Wind blowing from the north-east";"1";"";"";"40%.";" ";"";"";"24.5";"";"";"";"300-600";"";"";"0.5";"24.8";"";"";"";"";"";"";
"02.11.2016 17:30";"30.4";"751.8";"754.0";"";"85";"Wind blowing from the west";"1";"";"";"60%.";" ";"";"";"";"33.6";"";"";"600-1000";"";"";"2.0";"27.6";"";"";"";"";"";"";
"02.11.2016 08:30";"26.4";"751.3";"753.5";"";"90";"Wind blowing from the west";"1";"";"";"60%.";" ";"";"";"24.4";"";"";"";"300-600";"";"";"1.0";"24.7";"";"";"";"";"";"";
"01.11.2016 17:30";"29.8";"752.1";"754.3";"";"88";"Wind blowing from the east";"1";"";"";"60%.";" ";"";"";"";"33.2";"";"";"600-1000";"";"";"2.0";"27.6";"";"";"";"";"";"";
"01.11.2016 08:30";"26.2";"751.5";"753.7";"";"92";"Wind blowing from the south";"1";"";"";"60%.";" ";"";"";"24.3";"";"";"";"600-1000";"";"";"2.0";"24.8";"";"";"";"";"";"";
"31.10.2016 17:30";"29.6";"752.1";"754.3";"";"90";"Wind blowing from the south-east";"1";"";"";"60%.";" ";"";"";"";"32.8";"";"";"600-1000";"";"";"1.0";"27.7";"";"";"";"";"";"";
"31.10.2016 08:30";"26.0";"751.7";"753.9";"";"94";"Wind blowing from the south-west";"1";"";"";"60%.";" ";"";"";"24.2";"";"";"";"600-1000";"";"";"2.0";"24.9";"";"";"";"";"";"";
"30.10.2016 17:30";"30.2";"751.4";"753.6";"";"91";"Wind blowing from the north";"1";"";"";"60%.";" ";"";"";"";"33.0";"";"";"600-1000";"";"";"4.0";"28.6";"";"";"";"";"";"";
"29.10.2016 17:30";"29.4";"751.7";"753.9";"";"88";"Wind blowing from the north-east";"1";"";"";"50%.";" ";"";"";"";"32.5";"";"";"300-600";"";"";"2.0";"27.3";"";"";"";"";"";"";
"29.10.2016 08:30";"26.2";"751.3";"753.5";"";"92";"Wind blowing from the east";"1";"";"";"60%.";" ";"";"";"24.0";"";"";"";"600-1000";"";"";"4.0";"24.8";"";"";"";"";"";"";
"28.10.2016 17:30";"29.2";"751.8";"754.0";"";"91";"Wind blowing from the east";"0";"";"";"50%.";" ";"";"";"";"32.6";"";"";"300-600";"";"";"1.0";"27.5";"";"";"";"";"";"";
"28.10.2016 08:30";"26.0";"751.4";"753.6";"";"92";"Wind blowing from the south";"1";"";"";"60%.";" ";"";"";"24.2";"";"";"";"600-1000";"";"";"2.0";"24.6";"";"";"";"";"";"";
"27.10.2016 17:30";"29.6";"751.7";"753.9";"";"88";"Calm, no wind";"0";"";"";"60%.";" ";"";"";"";"33.0";"";"";"600-1000";"";"";"4.0";"27.4";"";"";"";"";"";"";
"27.10.2016 08:30";"26.2";"751.0";"753.2";"";"92";"Wind blowing from the north-west";"1";"";"";"50%.";" ";"";"";"24.5";"";"";"";"600-1000";"";"";"10.0";"24.8";"";"";"";"";"";"";
"26.10.2016 17:30";"29.8";"751.7";"753.9";"";"86";"Wind blowing from the south-east";"1";"";"";"60%.";" ";"";"";"";"32.8";"";"";"300-600";"";"";"2.0";"27.3";"";"";"";"";"";"";
"26.10.2016 08:30";"26.4";"751.6";"753.8";"";"89";"Wind blowing from the east";"1";"";"";"60%.";" ";"";"";"24.4";"";"";"";"600-1000";"";"";"1.0";"24.4";"";"";"";"";"";"";
"25.10.2016 17:30";"30.0";"752.1";"754.3";"";"92";"Wind blowing from the north-east";"1";"";"";"60%.";" ";"";"";"";"33.2";"";"";"600-1000";"";"";"2.0";"28.6";"";"";"";"";"";"";
"25.10.2016 08:30";"26.2";"751.5";"753.7";"";"90";"Wind blowing from the east";"1";"";"";"50%.";" ";"";"";"24.5";"";"";"";"300-600";"";"";"1.0";"24.5";"";"";"";"";"";"";
"24.10.2016 17:30";"30.2";"751.8";"754.0";"";"91";"Wind blowing from the south";"0";"";"";"50%.";" ";"";"";"";"33.5";"";"";"300-600";"";"";"2.0";"28.6";"";"";"";"";"";"";
"24.10.2016 08:30";"26.4";"751.2";"753.4";"";"89";"Wind blowing from the west";"1";"";"";"60%.";" ";"";"";"24.6";"";"";"";"600-1000";"";"";"1.0";"24.4";"";"";"";"";"";"";
"23.10.2016 17:30";"30.0";"751.4";"753.6";"";"86";"Wind blowing from the south-east";"1";"";"";"60%.";" ";"";"";"";"33.4";"";"";"600-1000";"";"";"2.0";"27.5";"";"";"";"";"";"";
"23.10.2016 08:30";"26.2";"751.2";"753.4";"";"90";"Wind blowing from the south-west";"1";"";"";"60%.";" ";"";"";"24.2";"";"";"";"300-600";"";"";"2.0";"24.5";"";"";"";"";"";"";
"22.10.2016 17:30";"30.0";"751.4";"753.6";"";"86";"Wind blowing from the south-east";"1";"";"";"60%.";" ";"";"";"";"33.4";"";"";"600-1000";"";"";"2.0";"27.5";"";"";"";"";"";"";
"22.10.2016 08:30";"26.6";"751.2";"753.4";"";"89";"Wind blowing from the east";"1";"";"";"60%.";" ";"";"";"24.4";"";"";"";"1000-1500";"";"";"4.0";"24.6";"";"";"";"";"";"";
"21.10.2016 17:30";"29.6";"751.0";"753.2";"";"88";"Wind blowing from the south";"1";"";"";"60%.";" ";"";"";"";"33.6";"";"";"300-600";"";"";"2.0";"27.4";"";"";"";"";"";"";
"21.10.2016 08:30";"26.4";"750.7";"752.9";"";"92";"Wind blowing from the east";"1";"";"";"60%.";" ";"";"";"24.7";"";"";"";"1000-1500";"";"";"2.0";"25.0";"";"";"";"";"";"";
"20.10.2016 17:30";"30.0";"750.7";"752.9";"";"88";"Wind blowing from the south-east";"1";"";"";"70 – 80%.";" ";"";"";"";"33.2";"";"";"1000-1500";"";"";"10.0";"27.8";"";"";"";"";"";"";
"20.10.2016 08:30";"26.6";"750.6";"752.8";"";"90";"Wind blowing from the west";"1";"";"";"50%.";" ";"";"";"24.5";"";"";"";"600-1000";"";"";"2.0";"24.9";"";"";"";"";"";"";
"19.10.2016 17:30";"30.2";"750.7";"752.9";"";"87";"Wind blowing from the south-west";"1";"";"";"50%.";" ";"";"";"";"33.3";"";"";"300-600";"";"";"0.5";"27.8";"";"";"";"";"";"";
"19.10.2016 08:30";"26.8";"750.6";"752.8";"";"89";"Wind blowing from the north-west";"1";"";"";"50%.";" ";"";"";"24.6";"";"";"";"300-600";"";"";"1.0";"24.8";"";"";"";"";"";"";
"18.10.2016 17:30";"29.6";"750.8";"753.0";"";"88";"Wind blowing from the south";"1";"";"";"50%.";" ";"";"";"";"32.8";"";"";"600-1000";"";"";"1.0";"27.4";"";"";"";"";"";"";
"17.10.2016 17:30";"29.8";"751.0";"753.2";"";"88";"Wind blowing from the south-east";"1";"";"";"20–30%.";" ";"";"";"";"33.4";"";"";"600-1000";"";"";"4.0";"27.6";"";"";"";"";"";"";
"17.10.2016 08:30";"26.6";"750.8";"753.0";"";"95";"Wind blowing from the east";"1";"";"";"50%.";" ";"";"";"24.5";"";"";"";"600-1000";"";"";"2.0";"25.7";"";"";"";"";"";"";
"16.10.2016 17:30";"30.2";"750.6";"752.8";"";"91";"Wind blowing from the south";"1";"";"";"60%.";" ";"";"";"";"33.7";"";"";"600-1000";"";"";"4.0";"28.6";"";"";"";"";"";"";
"16.10.2016 08:30";"26.8";"750.4";"752.6";"";"94";"Wind blowing from the north-west";"1";"";"";"50%.";" ";"";"";"24.8";"";"";"";"300-600";"";"";"2.0";"25.7";"";"";"";"";"";"";
"15.10.2016 17:30";"30.6";"750.9";"753.1";"";"88";"Wind blowing from the east";"1";"";"";"60%.";" ";"";"";"";"33.6";"";"";"300-600";"";"";"2.0";"28.4";"";"";"";"";"";"";
"15.10.2016 08:30";"27.0";"750.5";"752.7";"";"92";"Wind blowing from the south";"1";"";"";"60%.";" ";"";"";"25.1";"";"";"";"600-1000";"";"";"4.0";"25.6";"";"";"";"";"";"";
"14.10.2016 17:30";"30.4";"751.1";"753.3";"";"90";"Wind blowing from the west";"1";"";"";"50%.";" ";"";"";"";"33.5";"";"";"600-1000";"";"";"2.0";"28.5";"";"";"";"";"";"";
"14.10.2016 08:30";"26.8";"750.8";"753.0";"";"94";"Wind blowing from the north-east";"1";"";"";"50%.";" ";"";"";"25.0";"";"";"";"300-600";"";"";"1.0";"25.7";"";"";"";"";"";"";
"13.10.2016 17:30";"30.2";"751.5";"753.7";"";"92";"Wind blowing from the south-west";"1";"";"";"60%.";" ";"";"";"";"33.8";"";"";"300-600";"";"";"2.0";"28.8";"";"";"";"";"";"";
"13.10.2016 08:30";"26.6";"751.5";"753.7";"";"89";"Wind blowing from the south-east";"1";"";"";"60%.";" ";"";"";"24.7";"";"";"";"600-1000";"";"";"2.0";"24.6";"";"";"";"";"";"";
"12.10.2016 17:30";"30.0";"751.2";"753.4";"";"88";"Wind blowing from the east";"1";"";"";"50%.";" ";"";"";"";"33.4";"";"";"300-600";"";"";"2.0";"27.7";"";"";"";"";"";"";
"12.10.2016 08:30";"26.2";"751.2";"753.4";"";"90";"Wind blowing from the south";"1";"";"";"60%.";" ";"";"";"24.8";"";"";"";"600-1000";"";"";"2.0";"24.5";"";"";"";"";"";"";
"10.10.2016 08:30";"26.6";"750.7";"752.9";"";"95";"Wind blowing from the east-northeast";"1";"";"";"20–30%.";" ";"";"";"25.0";"";"";"";"600-1000";"";"";"4.0";"25.7";"";"";"";"";"";"";
"09.10.2016 17:30";"30.6";"750.8";"753.0";"";"90";"Wind blowing from the south-west";"1";"";"";"60%.";" ";"";"";"";"34.3";"";"";"600-1000";"";"";"2.0";"28.7";"";"";"";"";"";"";
"09.10.2016 08:30";"27.0";"750.3";"752.5";"";"92";"Wind blowing from the south";"1";"";"";"60%.";" ";"";"";"25.1";"";"";"";"600-1000";"";"";"2.0";"25.6";"";"";"";"";"";"";
"08.10.2016 17:30";"30.8";"751.1";"753.3";"";"87";"Wind blowing from the north-east";"1";"";"";"60%.";" ";"";"";"";"34.4";"";"";"600-1000";"";"";"1.0";"28.3";"";"";"";"";"";"";
"08.10.2016 08:30";"27.2";"750.4";"752.6";"";"92";"Wind blowing from the east";"1";"";"";"50%.";" ";"";"";"25.0";"";"";"";"600-1000";"";"";"1.0";"25.8";"";"";"";"";"";"";
"07.10.2016 17:30";"31.6";"751.8";"754.0";"";"83";"Wind blowing from the east";"1";"";"";"60%.";" ";"";"";"";"34.9";"";"";"600-1000";"";"";"2.0";"28.3";"";"";"";"";"";"";
"07.10.2016 08:30";"27.6";"751.1";"753.3";"";"89";"Wind blowing from the south";"1";"";"";"60%.";" ";"";"";"25.2";"";"";"";"600-1000";"";"";"2.0";"25.6";"";"";"";"";"";"";
"06.10.2016 17:30";"31.4";"751.2";"753.4";"";"84";"Wind blowing from the west";"1";"";"";"60%.";" ";"";"";"";"35.0";"";"";"600-1000";"";"";"4.0";"28.4";"";"";"";"";"";"";
"06.10.2016 08:30";"27.2";"750.6";"752.8";"";"90";"Wind blowing from the south-west";"1";"";"";"60%.";" ";"";"";"25.3";"";"";"";"600-1000";"";"";"2.0";"25.5";"";"";"";"";"";"";
"05.10.2016 17:30";"31.2";"751.3";"753.5";"";"84";"Wind blowing from the south-east";"0";"";"";"60%.";" ";"";"";"";"34.4";"";"";"300-600";"";"";"4.0";"28.2";"";"";"";"";"";"";
"05.10.2016 08:30";"27.6";"751.0";"753.2";"";"89";"Wind blowing from the east";"1";"";"";"60%.";" ";"";"";"25.3";"";"";"";"300-600";"";"";"2.0";"25.6";"";"";"";"";"";"";
"04.10.2016 17:30";"31.0";"750.6";"752.8";"";"87";"Wind blowing from the east";"1";"";"";"50%.";" ";"";"";"";"34.5";"";"";"300-600";"";"";"1.0";"28.6";"";"";"";"";"";"";
"04.10.2016 08:30";"27.4";"750.7";"752.9";"";"90";"Wind blowing from the south-east";"1";"";"";"60%.";" ";"";"";"25.1";"";"";"";"600-1000";"";"";"2.0";"25.7";"";"";"";"";"";"";
"03.10.2016 17:30";"30.4";"751.5";"753.7";"";"90";"Wind blowing from the south";"1";"";"";"60%.";" ";"";"";"";"34.6";"";"";"600-1000";"";"";"2.0";"28.5";"";"";"";"";"";"";
"03.10.2016 08:30";"27.2";"751.0";"753.2";"";"90";"Wind blowing from the east";"1";"";"";"50%.";" ";"";"";"25.0";"";"";"";"300-600";"";"";"2.0";"25.5";"";"";"";"";"";"";
"02.10.2016 17:30";"30.6";"751.2";"753.4";"";"84";"Wind blowing from the south";"1";"";"";"60%.";" ";"";"";"";"34.2";"";"";"600-1000";"";"";"2.0";"27.6";"";"";"";"";"";"";
"02.10.2016 08:30";"27.4";"750.4";"752.6";"";"90";"Wind blowing from the south";"1";"";"";"60%.";" ";"";"";"25.1";"";"";"";"600-1000";"";"";"4.0";"25.7";"";"";"";"";"";"";
"01.10.2016 17:30";"30.6";"751.3";"753.5";"";"88";"Wind blowing from the west";"1";"";"";"40%.";" ";"";"";"";"33.8";"";"";"300-600";"";"";"1.0";"28.4";"";"";"";"";"";"";
"01.10.2016 08:30";"27.2";"750.9";"753.1";"";"92";"Wind blowing from the south-west";"1";"";"";"50%.";" ";"";"";"25.0";"";"";"";"300-600";"";"";"2.0";"25.8";"";"";"";"";"";"";
"30.09.2016 17:30";"30.8";"751.5";"753.7";"";"87";"Wind blowing from the south";"1";"";"";"60%.";" ";"";"";"";"34.0";"";"";"600-1000";"";"";"2.0";"28.3";"";"";"";"";"";"";
