# Weather station Burdwan, India, WMO_ID=42709,selection from 07.12.2015 till 31.12.2017, all days
# Encoding: UTF-8
# The data is provided by the website "Reliable Prognosis", rp5.ru 
# If you use the data, please indicate the name of the website.
# For meteorological parameters see the address http://rp5.ru/archive.php?wmo_id=42709&lang=en
#
"Local time in Burdwan";"T";"Po";"P";"Pa";"U";"DD";"Ff";"ff10";"ff3";"N";"WW";"W1";"W2";"Tn";"Tx";"Cl";"Nh";"H";"Cm";"Ch";"VV";"Td";"RRR";"tR";"E";"Tg";"E'";"sss"
"30.11.2016 17:30";"27.0";"756.4";"758.5";"";"59";"Wind blowing from the north-west";"1";"";"";"no clouds";" ";"";"";"";"30.4";"";"";"";"";"";"4.0";"18.2";"";"";"";"";"";"";
"30.11.2016 08:30";"22.2";"758.1";"760.2";"";"77";"Wind blowing from the north";"1";"";"";"no clouds";" ";"";"";"17.0";"";"";"";"";"";"";"4.0";"18.0";"";"";"";"";"";"";
"29.11.2016 17:30";"24.2";"758.3";"760.4";"";"54";"Wind blowing from the north-west";"1";"";"";"no clouds";" ";"";"";"";"29.0";"";"";"";"";"";"4.0";"14.2";"";"";"";"";"";"";
"29.11.2016 08:30";"20.8";"758.2";"760.3";"";"58";"Wind blowing from the north";"1";"";"";"no clouds";" ";"";"";"15.4";"";"";"";"";"";"";"4.0";"12.3";"";"";"";"";"";"";
"28.11.2016 17:30";"27.2";"757.6";"759.7";"";"59";"Wind blowing from the north-west";"1";"";"";"no clouds";" ";"";"";"";"29.4";"";"";"";"";"";"4.0";"18.4";"";"";"";"";"";"";
"28.11.2016 08:30";"21.4";"756.5";"758.6";"";"69";"Wind blowing from the north";"1";"";"";"no clouds";" ";"";"";"17.8";"";"";"";"";"";"";"4.0";"15.5";"";"";"";"";"";"";
"27.11.2016 17:30";"26.2";"757.6";"759.7";"";"51";"Wind blowing from the north";"1";"";"";"no clouds";" ";"";"";"";"27.8";"";"";"";"";"";"4.0";"15.4";"";"";"";"";"";"";
"27.11.2016 08:30";"21.0";"759.1";"761.2";"";"65";"Wind blowing from the north";"1";"";"";"no clouds";" ";"";"";"15.6";"";"";"";"";"";"";"4.0";"14.1";"";"";"";"";"";"";
"26.11.2016 17:30";"24.8";"757.6";"759.7";"";"54";"Wind blowing from the north-west";"1";"";"";"no clouds";" ";"";"";"";"28.0";"";"";"";"";"";"4.0";"14.9";"";"";"";"";"";"";
"26.11.2016 08:30";"20.8";"757.0";"759.1";"";"57";"Wind blowing from the north";"1";"";"";"no clouds";" ";"";"";"15.3";"";"";"";"";"";"";"4.0";"11.9";"";"";"";"";"";"";
"25.11.2016 17:30";"24.8";"757.6";"759.7";"";"64";"Wind blowing from the north";"1";"";"";"no clouds";" ";"";"";"";"28.4";"";"";"";"";"";"4.0";"17.4";"";"";"";"";"";"";
"25.11.2016 08:30";"20.4";"758.5";"760.6";"";"69";"Wind blowing from the north-west";"1";"";"";"no clouds";" ";"";"";"15.8";"";"";"";"";"";"";"4.0";"14.4";"";"";"";"";"";"";
"24.11.2016 17:30";"25.6";"757.9";"760.0";"";"59";"Wind blowing from the north-west";"1";"";"";"no clouds";" ";"";"";"";"28.0";"";"";"";"";"";"4.0";"17.0";"";"";"";"";"";"";
"24.11.2016 08:30";"20.2";"757.7";"759.8";"";"71";"Wind blowing from the north";"1";"";"";"no clouds";" ";"";"";"15.8";"";"";"";"";"";"";"4.0";"14.8";"";"";"";"";"";"";
"23.11.2016 17:30";"26.0";"757.6";"759.7";"";"61";"Wind blowing from the north";"1";"";"";"no clouds";" ";"";"";"";"29.5";"";"";"";"";"";"4.0";"18.0";"";"";"";"";"";"";
"23.11.2016 08:30";"20.8";"758.1";"760.2";"";"58";"Wind blowing from the north";"1";"";"";"no clouds";" ";"";"";"16.0";"";"";"";"";"";"";"4.0";"12.3";"";"";"";"";"";"";
"22.11.2016 17:30";"25.8";"757.9";"760.0";"";"63";"Wind blowing from the north-west";"1";"";"";"no clouds";" ";"";"";"";"30.0";"";"";"";"";"";"4.0";"18.2";"";"";"";"";"";"";
"22.11.2016 08:30";"20.2";"759.1";"761.2";"";"71";"Wind blowing from the north";"1";"";"";"no clouds";" ";"";"";"15.8";"";"";"";"";"";"";"4.0";"14.8";"";"";"";"";"";"";
"21.11.2016 17:30";"25.0";"758.5";"760.6";"";"62";"Wind blowing from the north-west";"1";"";"";"no clouds";" ";"";"";"";"28.0";"";"";"";"";"";"4.0";"17.2";"";"";"";"";"";"";
"21.11.2016 08:30";"20.2";"758.5";"760.6";"";"63";"Wind blowing from the north";"1";"";"";"no clouds";" ";"";"";"15.0";"";"";"";"";"";"";"4.0";"12.8";"";"";"";"";"";"";
"20.11.2016 17:30";"24.8";"758.3";"760.4";"";"79";"Wind blowing from the north";"1";"";"";"no clouds";" ";"";"";"";"28.8";"";"";"";"";"";"4.0";"21.0";"";"";"";"";"";"";
"20.11.2016 08:30";"20.0";"757.3";"759.4";"";"64";"Wind blowing from the north";"1";"";"";"no clouds";" ";"";"";"15.0";"";"";"";"";"";"";"4.0";"13.0";"";"";"";"";"";"";
"19.11.2016 17:30";"25.2";"758.5";"760.6";"";"72";"Wind blowing from the north-west";"1";"";"";"no clouds";" ";"";"";"";"29.0";"";"";"";"";"";"4.0";"19.8";"";"";"";"";"";"";
"19.11.2016 08:30";"20.2";"757.0";"759.1";"";"63";"Wind blowing from the north";"1";"";"";"no clouds";" ";"";"";"15.8";"";"";"";"";"";"";"4.0";"12.8";"";"";"";"";"";"";
"18.11.2016 17:30";"22.8";"758.5";"760.6";"";"72";"Wind blowing from the north";"1";"";"";"no clouds";" ";"";"";"";"27.0";"";"";"";"";"";"4.0";"17.4";"";"";"";"";"";"";
"18.11.2016 08:30";"20.2";"760.2";"762.3";"";"69";"Wind blowing from the west";"1";"";"";"no clouds";" ";"";"";"15.8";"";"";"";"";"";"";"4.0";"14.4";"";"";"";"";"";"";
"17.11.2016 17:30";"24.0";"758.0";"760.1";"";"68";"Wind blowing from the north";"1";"";"";"no clouds";" ";"";"";"";"29.0";"";"";"";"";"";"4.0";"17.8";"";"";"";"";"";"";
"17.11.2016 08:30";"20.6";"759.5";"761.6";"";"66";"Wind blowing from the north";"1";"";"";"no clouds";" ";"";"";"16.8";"";"";"";"";"";"";"4.0";"14.1";"";"";"";"";"";"";
"16.11.2016 17:30";"28.0";"757.9";"760.0";"";"85";"Wind blowing from the north-west";"1";"";"";"no clouds";" ";"";"";"";"29.5";"";"";"";"";"";"4.0";"25.2";"";"";"";"";"";"";
"16.11.2016 08:30";"22.8";"759.1";"761.2";"";"64";"Wind blowing from the north";"1";"";"";"no clouds";" ";"";"";"17.0";"";"";"";"";"";"";"4.0";"15.5";"";"";"";"";"";"";
"15.11.2016 17:30";"26.0";"757.9";"760.0";"";"83";"Wind blowing from the south";"1";"";"";"no clouds";" ";"";"";"";"30.4";"";"";"";"";"";"4.0";"22.8";"";"";"";"";"";"";
"15.11.2016 08:30";"23.0";"758.7";"760.8";"";"67";"Wind blowing from the north";"1";"";"";"no clouds";" ";"";"";"18.0";"";"";"";"";"";"";"4.0";"16.5";"";"";"";"";"";"";
"14.11.2016 17:30";"26.8";"757.4";"759.5";"";"77";"Wind blowing from the south";"1";"";"";"no clouds";" ";"";"";"";"30.4";"";"";"";"";"";"4.0";"22.4";"";"";"";"";"";"";
"14.11.2016 08:30";"24.4";"758.3";"760.4";"";"62";"Wind blowing from the south";"1";"";"";"20–30%.";" ";"";"";"19.0";"";"";"";"2500 or more, or no clouds.";"";"";"4.0";"16.6";"";"";"";"";"";"";
"13.11.2016 17:30";"28.0";"757.6";"759.7";"";"88";"Wind blowing from the north-west";"1";"";"";"no clouds";" ";"";"";"";"31.0";"";"";"";"";"";"4.0";"25.8";"";"";"";"";"";"";
"13.11.2016 08:30";"29.2";"758.2";"760.3";"";"62";"Wind blowing from the north-west";"1";"";"";"no clouds";" ";"";"";"19.0";"";"";"";"";"";"";"4.0";"21.2";"";"";"";"";"";"";
"12.11.2016 17:30";"29.0";"757.6";"759.7";"";"86";"Wind blowing from the north-west";"1";"";"";"no clouds";" ";"";"";"";"30.2";"";"";"";"";"";"4.0";"26.4";"";"";"";"";"";"";
"12.11.2016 08:30";"24.4";"758.1";"760.2";"";"65";"Wind blowing from the north-west";"1";"";"";"no clouds";" ";"";"";"20.0";"";"";"";"";"";"";"4.0";"17.3";"";"";"";"";"";"";
"11.11.2016 17:30";"29.0";"757.3";"759.4";"";"84";"Wind blowing from the north-west";"1";"";"";"no clouds";" ";"";"";"";"30.2";"";"";"";"";"";"4.0";"26.0";"";"";"";"";"";"";
"11.11.2016 08:30";"23.4";"758.2";"760.3";"";"78";"Wind blowing from the north";"1";"";"";"no clouds";" ";"";"";"19.0";"";"";"";"";"";"";"4.0";"19.3";"";"";"";"";"";"";
"10.11.2016 17:30";"25.0";"757.3";"759.4";"";"82";"Wind blowing from the north-west";"1";"";"";"no clouds";" ";"";"";"";"29.0";"";"";"";"";"";"4.0";"21.8";"";"";"";"";"";"";
"10.11.2016 08:30";"23.0";"758.5";"760.6";"";"73";"Wind blowing from the north";"1";"";"";"no clouds";" ";"";"";"18.5";"";"";"";"";"";"";"4.0";"17.8";"";"";"";"";"";"";
"09.11.2016 17:30";"25.0";"757.3";"759.4";"";"88";"Wind blowing from the north-west";"1";"";"";"no clouds";" ";"";"";"";"29.4";"";"";"";"";"";"4.0";"22.8";"";"";"";"";"";"";
"09.11.2016 08:30";"20.8";"758.0";"760.1";"";"73";"Wind blowing from the north";"1";"";"";"no clouds";" ";"";"";"17.8";"";"";"";"";"";"";"4.0";"15.8";"";"";"";"";"";"";
"08.11.2016 17:30";"28.0";"755.4";"757.5";"";"86";"Wind blowing from the north-west";"1";"";"";"no clouds";" ";"";"";"";"31.0";"";"";"";"";"";"4.0";"25.4";"";"";"";"";"";"";
"08.11.2016 08:30";"22.4";"758.5";"760.6";"";"74";"Wind blowing from the north";"1";"";"";"no clouds";" ";"";"";"18.2";"";"";"";"";"";"";"4.0";"17.6";"";"";"";"";"";"";
"07.11.2016 17:30";"25.8";"757.0";"759.1";"";"84";"Wind blowing from the north-west";"1";"";"";"no clouds";" ";"";"";"";"29.2";"";"";"";"";"";"4.0";"22.9";"";"";"";"";"";"";
"07.11.2016 08:30";"23.2";"758.2";"760.3";"";"72";"Wind blowing from the north";"1";"";"";"no clouds";" ";"";"";"19.8";"";"";"";"";"";"";"4.0";"17.8";"";"";"";"";"";"";
"06.11.2016 17:30";"25.8";"757.1";"759.2";"";"82";"Wind blowing from the north";"1";"";"";"no clouds";" ";"";"";"";"29.0";"";"";"";"";"";"4.0";"22.4";"";"";"";"";"";"";
"06.11.2016 08:30";"23.2";"757.6";"759.7";"";"72";"Wind blowing from the north";"1";"";"";"no clouds";" ";"";"";"18.8";"";"";"";"";"";"";"4.0";"17.8";"";"";"";"";"";"";
"05.11.2016 17:30";"26.8";"756.1";"758.2";"";"88";"Wind blowing from the south";"1";"";"";"70 – 80%.";"Haze. ";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"";"30.0";"Cumulus humilis or Cumulus fractus other than of bad weather, or both.";"20–30%.";"600-1000";"Altostratus translucidus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"2.0";"24.7";"";"";"";"";"";"";
"05.11.2016 08:30";"24.8";"757.6";"759.7";"";"70";"Wind blowing from the north-northwest";"1";"";"";"90  or more, but not 100%";"Haze. ";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"19.2";"";"Cumulus mediocris or congestus, with or without Cumulus of species fractus or humilis or Stratocumulus, all having their bases at the same level.";"40%.";"600-1000";"Altostratus translucidus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"2.0";"18.9";"";"";"";"";"";"";
"04.11.2016 17:30";"28.4";"755.6";"757.7";"";"85";"Wind blowing from the south";"1";"";"";"90  or more, but not 100%";"Haze. ";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"";"31.5";"Cumulonimbus calvus, with or without Cumulus, Stratocumulus or Stratus.";"50%.";"600-1000";"Patches (often lenticular) of Altocumulus translucidus, continually changing and occurring at one or more levels.";"No Cirrus, Cirrocumulus or Cirrostratus.";"2.0";"25.6";"";"";"";"";"";"";
"04.11.2016 08:30";"25.2";"756.1";"758.2";"";"73";"Wind blowing from the north-west";"1";"";"";"70 – 80%.";"Haze. ";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"20.4";"";"Cumulus humilis or Cumulus fractus other than of bad weather, or both.";"20–30%.";"600-1000";"Altostratus translucidus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"2.0";"20.0";"";"";"";"";"";"";
"03.11.2016 17:30";"29.2";"755.0";"757.0";"";"82";"Wind blowing from the north-west";"1";"";"";"no clouds";" ";"";"";"";"32.0";"";"";"";"";"";"4.0";"25.8";"";"";"";"";"";"";
"03.11.2016 08:30";"24.8";"757.4";"759.5";"";"69";"Wind blowing from the north";"2";"";"";"no clouds";" ";"";"";"20.8";"";"";"";"";"";"";"4.0";"18.6";"";"";"";"";"";"";
"02.11.2016 17:30";"29.0";"755.4";"757.5";"";"88";"Wind blowing from the south";"1";"";"";"no clouds";" ";"";"";"";"32.0";"";"";"";"";"";"4.0";"26.8";"";"";"";"";"";"";
"02.11.2016 08:30";"25.8";"753.0";"755.1";"";"69";"Wind blowing from the north";"1";"";"";"no clouds";" ";"";"";"21.2";"";"";"";"";"";"";"4.0";"19.6";"";"";"";"";"";"";
"01.11.2016 17:30";"29.2";"755.3";"757.4";"";"82";"Wind blowing from the north-west";"1";"";"";"no clouds";" ";"";"";"";"32.0";"";"";"";"";"";"4.0";"25.9";"";"";"";"";"";"";
"01.11.2016 08:30";"25.2";"757.3";"759.4";"";"76";"Wind blowing from the north";"1";"";"";"no clouds";" ";"";"";"20.8";"";"";"";"";"";"";"4.0";"20.6";"";"";"";"";"";"";
"31.10.2016 17:30";"29.0";"754.6";"756.7";"";"74";"Wind blowing from the south";"1";"";"";"no clouds";" ";"";"";"";"33.0";"";"";"";"";"";"4.0";"23.8";"";"";"";"";"";"";
"31.10.2016 08:30";"25.2";"757.3";"759.4";"";"81";"Wind blowing from the north-west";"1";"";"";"no clouds";" ";"";"";"21.0";"";"";"";"";"";"";"4.0";"21.6";"";"";"";"";"";"";
"30.10.2016 17:30";"29.0";"755.4";"757.5";"";"84";"Wind blowing from the south";"1";"";"";"no clouds";" ";"";"";"";"32.0";"";"";"";"";"";"4.0";"26.0";"";"";"";"";"";"";
"30.10.2016 08:30";"24.8";"757.6";"759.7";"";"68";"Wind blowing from the north";"1";"";"";"no clouds";" ";"";"";"19.8";"";"";"";"";"";"";"4.0";"18.5";"";"";"";"";"";"";
"29.10.2016 17:30";"29.2";"755.3";"757.4";"";"85";"Wind blowing from the south";"1";"";"";"no clouds";" ";"";"";"";"33.0";"";"";"";"";"";"4.0";"26.4";"";"";"";"";"";"";
"29.10.2016 08:30";"25.8";"755.4";"757.5";"";"70";"Wind blowing from the north";"1";"";"";"no clouds";" ";"";"";"21.0";"";"";"";"";"";"";"4.0";"20.0";"";"";"";"";"";"";
"28.10.2016 17:30";"29.4";"754.9";"756.9";"";"84";"Wind blowing from the north";"1";"";"";"no clouds";" ";"";"";"";"32.4";"";"";"";"";"";"4.0";"26.4";"";"";"";"";"";"";
"28.10.2016 08:30";"26.2";"754.8";"756.9";"";"75";"Wind blowing from the south";"1";"";"";"70 – 80%.";"State of sky on the whole unchanged. ";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"22.2";"";"Cumulus humilis or Cumulus fractus other than of bad weather, or both.";"20–30%.";"600-1000";"Altostratus translucidus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"2.0";"21.4";"";"";"";"";"";"";
"27.10.2016 17:30";"29.0";"755.4";"757.5";"";"88";"Wind blowing from the south";"1";"";"";"no clouds";" ";"";"";"";"32.8";"";"";"";"";"";"4.0";"26.8";"";"";"";"";"";"";
"27.10.2016 08:30";"25.2";"757.3";"759.4";"";"81";"Wind blowing from the south";"1";"";"";"100%.";"State of sky on the whole unchanged. ";"Rain.";"Rain.";"21.0";"";"Cumulus humilis or Cumulus fractus other than of bad weather, or both.";"20–30%.";"600-1000";"Altostratus translucidus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"2.0";"21.6";"";"";"";"";"";"";
"26.10.2016 17:30";"29.0";"754.2";"756.2";"";"85";"Wind blowing from the south";"1";"";"";"50%.";" ";"";"";"";"32.5";"";"";"600-1000";"";"";"2.0";"26.2";"";"";"";"";"";"";
"26.10.2016 08:30";"25.2";"754.6";"756.7";"";"80";"Wind blowing from the south";"1";"";"";"no clouds";" ";"";"";"20.8";"";"";"";"";"";"";"4.0";"21.4";"";"";"";"";"";"";
"25.10.2016 17:30";"28.8";"754.9";"757.0";"";"84";"Wind blowing from the south";"1";"";"";"no clouds";" ";"";"";"";"33.0";"";"";"";"";"";"4.0";"25.8";"";"";"";"";"";"";
"25.10.2016 08:30";"25.8";"754.2";"756.3";"";"76";"Wind blowing from the north";"1";"";"";"no clouds";" ";"";"";"21.8";"";"";"";"";"";"";"4.0";"21.3";"";"";"";"";"";"";
"24.10.2016 17:30";"29.2";"754.1";"756.1";"";"87";"Wind blowing from the south";"1";"";"";"no clouds";" ";"";"";"";"33.0";"";"";"";"";"";"4.0";"26.8";"";"";"";"";"";"";
"24.10.2016 08:30";"25.2";"754.3";"756.4";"";"73";"Wind blowing from the north";"1";"";"";"no clouds";" ";"";"";"20.8";"";"";"";"";"";"";"4.0";"20.0";"";"";"";"";"";"";
"23.10.2016 17:30";"29.8";"754.2";"756.2";"";"82";"Wind blowing from the south";"1";"";"";"no clouds";" ";"";"";"";"32.4";"";"";"";"";"";"4.0";"26.4";"";"";"";"";"";"";
"23.10.2016 08:30";"25.2";"754.9";"757.0";"";"79";"Wind blowing from the north";"1";"";"";"no clouds";" ";"";"";"21.0";"";"";"";"";"";"";"4.0";"21.3";"";"";"";"";"";"";
"22.10.2016 17:30";"28.6";"755.3";"757.4";"";"85";"Wind blowing from the south";"1";"";"";"no clouds";" ";"";"";"";"32.0";"";"";"";"";"";"4.0";"25.9";"";"";"";"";"";"";
"22.10.2016 08:30";"25.8";"754.9";"757.0";"";"76";"Wind blowing from the north";"1";"";"";"no clouds";" ";"";"";"21.6";"";"";"";"";"";"";"4.0";"21.3";"";"";"";"";"";"";
"21.10.2016 17:30";"28.8";"754.9";"757.0";"";"81";"Wind blowing from the south";"1";"";"";"no clouds";" ";"";"";"";"31.5";"";"";"";"";"";"4.0";"25.2";"";"";"";"";"";"";
"21.10.2016 08:30";"26.6";"755.4";"757.5";"";"78";"Wind blowing from the south";"1";"";"";"no clouds";" ";"";"";"21.8";"";"";"";"";"";"";"4.0";"22.5";"";"";"";"";"";"";
"20.10.2016 17:30";"28.8";"753.9";"755.9";"";"84";"Wind blowing from the south";"1";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"4.0";"25.8";"";"";"";"";"";"";
"20.10.2016 08:30";"27.8";"754.4";"756.5";"";"78";"Wind blowing from the south";"2";"";"";"no clouds";" ";"";"";"22.8";"";"";"";"";"";"";"4.0";"23.7";"";"";"";"";"";"";
"19.10.2016 17:30";"29.6";"755.0";"757.0";"";"83";"Wind blowing from the south";"1";"";"";"no clouds";" ";"";"";"";"32.4";"";"";"";"";"";"4.0";"26.4";"";"";"";"";"";"";
"19.10.2016 08:30";"27.4";"754.9";"757.0";"";"81";"Wind blowing from the north";"1";"";"";"no clouds";" ";"";"";"21.8";"";"";"";"";"";"";"4.0";"23.9";"";"";"";"";"";"";
"18.10.2016 17:30";"28.4";"753.8";"755.9";"";"88";"Wind blowing from the south";"1";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"4.0";"26.2";"";"";"";"";"";"";
"18.10.2016 08:30";"27.0";"755.2";"757.3";"";"84";"Wind blowing from the north";"1";"";"";"no clouds";" ";"";"";"21.8";"";"";"";"";"";"";"4.0";"24.0";"";"";"";"";"";"";
"17.10.2016 17:30";"29.4";"754.2";"756.2";"";"83";"Wind blowing from the south";"1";"";"";"no clouds";" ";"";"";"";"32.0";"";"";"";"";"";"4.0";"26.2";"";"";"";"";"";"";
"17.10.2016 08:30";"27.2";"755.5";"757.6";"";"77";"Wind blowing from the north";"1";"";"";"no clouds";" ";"";"";"21.4";"";"";"";"";"";"";"4.0";"22.8";"";"";"";"";"";"";
"16.10.2016 17:30";"29.4";"754.2";"756.2";"";"88";"Wind blowing from the south";"1";"";"";"no clouds";" ";"";"";"";"31.0";"";"";"";"";"";"4.0";"27.2";"";"";"";"";"";"";
"16.10.2016 08:30";"26.4";"754.9";"757.0";"";"83";"Wind blowing from the north";"1";"";"";"no clouds";" ";"";"";"21.0";"";"";"";"";"";"";"4.0";"23.2";"";"";"";"";"";"";
"15.10.2016 17:30";"29.8";"754.2";"756.2";"";"81";"Wind blowing from the north";"1";"";"";"no clouds";" ";"";"";"";"32.0";"";"";"";"";"";"4.0";"26.2";"";"";"";"";"";"";
"15.10.2016 08:30";"26.4";"755.1";"757.2";"";"83";"Wind blowing from the south";"1";"";"";"no clouds";" ";"";"";"21.0";"";"";"";"";"";"";"4.0";"23.3";"";"";"";"";"";"";
"14.10.2016 17:30";"30.4";"754.2";"756.2";"";"81";"Wind blowing from the south";"1";"";"";"no clouds";" ";"";"";"";"32.0";"";"";"";"";"";"4.0";"26.8";"";"";"";"";"";"";
"14.10.2016 08:30";"28.2";"754.3";"756.4";"";"80";"Wind blowing from the south";"1";"";"";"no clouds";" ";"";"";"25.2";"";"";"";"";"";"";"4.0";"24.5";"";"";"";"";"";"";
"13.10.2016 17:30";"30.0";"754.2";"756.2";"";"80";"Wind blowing from the south";"1";"";"";"no clouds";" ";"";"";"";"31.8";"";"";"";"";"";"4.0";"26.2";"";"";"";"";"";"";
"13.10.2016 08:30";"27.8";"754.3";"756.4";"";"83";"Wind blowing from the south";"1";"";"";"no clouds";" ";"";"";"24.6";"";"";"";"";"";"";"4.0";"24.6";"";"";"";"";"";"";
"12.10.2016 17:30";"30.8";"753.2";"755.2";"";"80";"Wind blowing from the south";"1";"";"";"no clouds";" ";"";"";"";"32.4";"";"";"";"";"";"4.0";"27.0";"";"";"";"";"";"";
"12.10.2016 08:30";"28.4";"754.5";"756.6";"";"87";"Wind blowing from the south";"1";"";"";"no clouds";" ";"";"";"25.0";"";"";"";"";"";"";"4.0";"26.0";"";"";"";"";"";"";
"11.10.2016 17:30";"30.8";"753.2";"755.2";"";"77";"Wind blowing from the south";"1";"";"";"no clouds";" ";"";"";"";"34.0";"";"";"";"";"";"4.0";"26.2";"";"";"";"";"";"";
"11.10.2016 08:30";"28.2";"754.3";"756.4";"";"82";"Wind blowing from the south";"1";"";"";"100%.";"State of sky on the whole unchanged. ";"Rain.";"Rain.";"24.8";"";"Stratocumulus cumulogenitus.";"40%.";"600-1000";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"2.0";"24.8";"";"";"";"";"";"";
"10.10.2016 17:30";"27.8";"753.8";"755.9";"";"86";"Wind blowing from the south";"1";"";"";"100%.";"State of sky on the whole unchanged. ";"Rain.";"Rain.";"";"";"Stratocumulus cumulogenitus.";"40%.";"600-1000";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"2.0";"25.2";"";"";"";"";"";"";
"10.10.2016 08:30";"28.0";"754.0";"756.1";"";"75";"Wind blowing from the east";"1";"";"";"10%  or less, but not 0";" ";"";"";"24.8";"";"";"";"2500 or more, or no clouds.";"";"";"4.0";"23.2";"";"";"";"";"";"";
"09.10.2016 08:30";"28.4";"754.1";"756.2";"";"80";"Wind blowing from the south";"1";"";"";"70 – 80%.";"State of sky on the whole unchanged. ";"Rain.";"Rain.";"25.3";"";"Cumulus humilis or Cumulus fractus other than of bad weather, or both.";"20–30%.";"600-1000";"Altostratus translucidus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"2.0";"24.7";"";"";"";"";"";"";
"08.10.2016 17:30";"30.8";"753.9";"755.9";"";"79";"Wind blowing from the south";"1";"";"";"no clouds";" ";"";"";"";"32.0";"";"";"";"";"";"2.0";"26.7";"";"";"";"";"";"";
"08.10.2016 08:30";"29.0";"753.9";"755.9";"";"93";"Wind blowing from the south";"1";"";"";"no clouds";" ";"";"";"26.8";"";"";"";"";"";"";"4.0";"27.7";"";"";"";"";"";"";
"07.10.2016 17:30";"30.8";"752.7";"754.7";"";"75";"Wind blowing from the south";"1";"";"";"no clouds";" ";"";"";"";"32.5";"";"";"";"";"";"4.0";"25.8";"";"";"";"";"";"";
"07.10.2016 08:30";"28.6";"753.5";"755.5";"";"85";"Wind blowing from the south";"1";"";"";"100%.";"State of sky on the whole unchanged. ";"Rain.";"Rain.";"26.8";"";"Cumulus mediocris or congestus, with or without Cumulus of species fractus or humilis or Stratocumulus, all having their bases at the same level.";"40%.";"600-1000";"Altostratus translucidus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"2.0";"25.8";"";"";"";"";"";"";
"06.10.2016 17:30";"31.0";"753.5";"755.5";"";"80";"Wind blowing from the south";"1";"";"";"100%.";"State of sky on the whole unchanged. ";"Rain.";"Rain.";"";"33.0";"Cumulus mediocris or congestus, with or without Cumulus of species fractus or humilis or Stratocumulus, all having their bases at the same level.";"40%.";"600-1000";"Altostratus translucidus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"2.0";"27.2";"";"";"";"";"";"";
"06.10.2016 08:30";"28.8";"754.0";"756.1";"";"78";"Wind blowing from the south";"1";"";"";"no clouds";" ";"";"";"24.8";"";"";"";"";"";"";"4.0";"24.5";"";"";"";"";"";"";
"05.10.2016 17:30";"31.8";"752.7";"754.7";"";"75";"Wind blowing from the south";"1";"";"";"no clouds";" ";"";"";"";"33.0";"";"";"";"";"";"4.0";"26.8";"";"";"";"";"";"";
"05.10.2016 08:30";"29.2";"753.5";"755.5";"";"88";"Wind blowing from the south";"1";"";"";"no clouds";" ";"";"";"26.0";"";"";"";"";"";"";"4.0";"27.0";"";"";"";"";"";"";
"04.10.2016 17:30";"30.8";"752.4";"754.4";"";"80";"Wind blowing from the south";"1";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"4.0";"26.9";"";"";"";"";"";"";
"04.10.2016 08:30";"29.8";"753.9";"755.9";"";"80";"Wind blowing from the south";"1";"";"";"no clouds";" ";"";"";"25.8";"";"";"";"";"";"";"4.0";"26.0";"";"";"";"";"";"";
"03.10.2016 17:30";"31.0";"753.2";"755.2";"";"81";"Wind blowing from the south";"1";"";"";"no clouds";" ";"";"";"";"34.0";"";"";"";"";"";"4.0";"27.4";"";"";"";"";"";"";
"03.10.2016 08:30";"29.2";"754.4";"756.4";"";"81";"Wind blowing from the south";"1";"";"";"no clouds";" ";"";"";"25.8";"";"";"";"";"";"";"4.0";"25.7";"";"";"";"";"";"";
"02.10.2016 17:30";"31.0";"752.7";"754.7";"";"79";"Wind blowing from the south";"1";"";"";"no clouds";" ";"";"";"";"33.0";"";"";"";"";"";"4.0";"27.0";"";"";"";"";"";"";
"02.10.2016 08:30";"28.4";"754.5";"756.6";"";"80";"Wind blowing from the south";"1";"";"";"no clouds";"State of sky on the whole unchanged. ";"Rain.";"Rain.";"24.8";"";"";"";"";"";"";"2.0";"24.7";"";"";"";"";"";"";
