# Weather station Keongjhargarh, India, WMO_ID=42891,selection from 07.12.2015 till 31.12.2017, all days
# Encoding: UTF-8
# The data is provided by the website "Reliable Prognosis", rp5.ru 
# If you use the data, please indicate the name of the website.
# For meteorological parameters see the address http://rp5.ru/archive.php?wmo_id=42891&lang=en
#
"Local time in Keongjhargarh";"T";"Po";"P";"Pa";"U";"DD";"Ff";"ff10";"ff3";"N";"WW";"W1";"W2";"Tn";"Tx";"Cl";"Nh";"H";"Cm";"Ch";"VV";"Td";"RRR";"tR";"E";"Tg";"E'";"sss"
"14.12.2017 08:30";"18.6";"721.7";"764.0";"";"87";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"14.2";"";"";"";"";"";"";"4.0";"16.4";"";"";"";"";"";"";
"13.12.2017 17:30";"23.0";"719.0";"760.5";"-0.1";"66";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"28.6";"";"";"";"";"";"2.0";"16.4";"";"";"";"";"";"";
"13.12.2017 14:30";"28.0";"719.1";"759.9";"-1.9";"41";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"4.0";"13.4";"";"";"";"";"";"";
"13.12.2017 11:30";"27.4";"721.0";"761.9";"-0.5";"46";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"4.0";"14.6";"";"";"";"";"";"";
"13.12.2017 08:30";"20.4";"721.5";"763.5";"";"79";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"15.0";"";"";"";"";"";"";"4.0";"16.6";"";"";"";"";"";"";
"12.12.2017 17:30";"24.0";"719.0";"760.3";"0.5";"68";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"29.0";"";"";"";"";"";"2.0";"17.8";"";"";"";"";"";"";
"12.12.2017 14:30";"27.8";"718.5";"759.2";"-2.1";"47";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"4.0";"15.5";"";"";"";"";"";"";
"12.12.2017 11:30";"25.8";"720.6";"761.7";"-0.7";"55";"Wind blowing from the south-west";"1";"";"";"20–30%.";" ";"";"";"";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"no clouds";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus spissatus, in patches or entangled sheaves, which usually do not increase and sometimes seem to be the remains of the upper part of a Cumulonimbus; or Cirrus castellanus or floccus.";"4.0";"16.1";"";"";"";"";"";"";
"12.12.2017 08:30";"20.0";"721.3";"763.3";"";"79";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"15.0";"";"";"";"";"";"";"4.0";"16.2";"";"";"";"";"";"";
"11.12.2017 17:30";"23.6";"718.3";"759.6";"0.1";"68";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"28.6";"";"";"";"";"";"2.0";"17.4";"";"";"";"";"";"";
"11.12.2017 14:30";"28.4";"718.2";"758.8";"-1.9";"44";"Calm, no wind";"0";"";"";"50%.";" ";"";"";"";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"50%.";"600-1000";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"15.1";"";"";"";"";"";"";
"11.12.2017 11:30";"25.6";"720.1";"761.3";"-0.4";"60";"Calm, no wind";"0";"";"";"60%.";" ";"";"";"";"";"Stratocumulus cumulogenitus.";"60%.";"600-1000";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"17.3";"";"";"";"";"";"";
"11.12.2017 08:30";"20.4";"720.5";"762.4";"";"86";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"16.5";"";"";"";"";"";"";"4.0";"17.9";"";"";"";"";"";"";
"10.12.2017 17:30";"23.0";"718.2";"759.6";"1.0";"75";"Wind blowing from the north-west";"1";"";"";"100%.";" ";"";"";"";"25.6";"Stratus fractus or Cumulus fractus of bad weather, or both (pannus), usually below Altostratus or Nimbostratus.";"60%.";"2500 or more, or no clouds.";"Altostratus opacus or Nimbostratus.";"";"2.0";"18.4";"";"";"";"";"";"";
"10.12.2017 14:30";"25.4";"717.2";"758.2";"-1.4";"67";"Calm, no wind";"0";"";"";"90  or more, but not 100%";" ";"";"";"";"";"Stratus nebulosus or Stratus fractus other than of bad weather, or both.";"50%.";"600-1000";"Altostratus translucidus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"18.8";"";"";"";"";"";"";
"10.12.2017 11:30";"24.2";"718.6";"759.9";"-0.6";"66";"Wind blowing from the north";"1";"";"";"90  or more, but not 100%";" ";"";"";"";"";"Stratus nebulosus or Stratus fractus other than of bad weather, or both.";"50%.";"600-1000";"Altostratus translucidus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"17.4";"";"";"";"";"";"";
"10.12.2017 08:30";"20.6";"719.2";"761.0";"";"74";"Calm, no wind";"0";"";"";"90  or more, but not 100%";" ";"";"";"17.4";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"40%.";"600-1000";"Altostratus translucidus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"15.8";"";"";"";"";"";"";
"09.12.2017 17:30";"20.8";"717.0";"758.7";"0.5";"62";"Calm, no wind";"0";"";"";"100%.";" ";"";"";"";"22.1";"Stratus nebulosus or Stratus fractus other than of bad weather, or both.";"60%.";"600-1000";"Altostratus translucidus.";"";"2.0";"13.1";"";"";"";"";"";"";
"09.12.2017 14:30";"22.0";"716.5";"758.0";"-1.6";"57";"Wind blowing from the north";"2";"";"";"100%.";"State of sky on the whole unchanged. ";"Rain.";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"";"";"Stratus nebulosus or Stratus fractus other than of bad weather, or both.";"50%.";"600-1000";"Altostratus opacus or Nimbostratus.";"";"4.0";"13.0";"";"";"";"";"";"";
